open,high,low,close,volume,datetime
63.59,63.59,63.57,63.57,22721,2021-11-23 09:30:00-05:00
63.56,63.65,63.56,63.65,982,2021-11-23 09:32:00-05:00
63.68,63.68,63.64,63.64,200,2021-11-23 09:33:00-05:00
63.715,63.715,63.67,63.67,300,2021-11-23 09:34:00-05:00
63.6798,63.6798,63.6798,63.6798,7411,2021-11-23 09:35:00-05:00
63.55,63.56,63.51,63.53,999,2021-11-23 09:36:00-05:00
63.52,63.565,63.43,63.52,3305,2021-11-23 09:37:00-05:00
63.56,63.56,63.54,63.55,300,2021-11-23 09:38:00-05:00
63.56,63.56,63.515,63.515,1225,2021-11-23 09:39:00-05:00
63.54,63.56,63.51,63.56,4295,2021-11-23 09:40:00-05:00
63.56,63.59,63.51,63.545,1552,2021-11-23 09:41:00-05:00
63.59,63.6066,63.5393,63.5393,2117,2021-11-23 09:42:00-05:00
63.6,63.6,63.6,63.6,100,2021-11-23 09:43:00-05:00
63.58,63.59,63.58,63.59,453,2021-11-23 09:44:00-05:00
63.65,63.7343,63.65,63.65,1030,2021-11-23 09:45:00-05:00
63.65,63.65,63.53,63.53,2736,2021-11-23 09:46:00-05:00
63.53,63.56,63.53,63.56,900,2021-11-23 09:47:00-05:00
63.55,63.61,63.55,63.58,609,2021-11-23 09:48:00-05:00
63.58,63.63,63.55,63.55,805,2021-11-23 09:49:00-05:00
63.62,63.67,63.62,63.67,487,2021-11-23 09:50:00-05:00
63.58,63.61,63.54,63.54,1224,2021-11-23 09:51:00-05:00
63.565,63.58,63.53,63.56,2159,2021-11-23 09:52:00-05:00
63.55,63.565,63.52,63.54,1600,2021-11-23 09:53:00-05:00
63.53,63.53,63.48,63.48,500,2021-11-23 09:54:00-05:00
63.46,63.51,63.46,63.48,500,2021-11-23 09:55:00-05:00
63.51,63.551,63.51,63.5101,697,2021-11-23 09:56:00-05:00
63.51,63.54,63.5,63.54,1202,2021-11-23 09:57:00-05:00
63.5706,63.6,63.54,63.54,381,2021-11-23 09:58:00-05:00
63.59,63.59,63.55,63.55,800,2021-11-23 09:59:00-05:00
63.6,63.6,63.6,63.6,200,2021-11-23 10:00:00-05:00
63.68,63.68,63.68,63.68,100,2021-11-23 10:01:00-05:00
63.65,63.675,63.65,63.65,316,2021-11-23 10:02:00-05:00
63.7303,63.78,63.72,63.78,1274,2021-11-23 10:03:00-05:00
63.78,63.82,63.76,63.77,3314,2021-11-23 10:04:00-05:00
63.73,63.73,63.72,63.72,200,2021-11-23 10:05:00-05:00
63.8,63.84,63.8,63.84,300,2021-11-23 10:06:00-05:00
63.86,63.86,63.84,63.86,404,2021-11-23 10:07:00-05:00
63.8784,63.8784,63.85,63.85,1197,2021-11-23 10:08:00-05:00
63.88,63.9,63.8406,63.9,1574,2021-11-23 10:09:00-05:00
63.95,63.96,63.95,63.96,700,2021-11-23 10:10:00-05:00
63.97,64.05,63.965,64.04,2716,2021-11-23 10:11:00-05:00
64.04,64.04,64.04,64.04,500,2021-11-23 10:12:00-05:00
64.08,64.101,64.08,64.101,860,2021-11-23 10:13:00-05:00
64.09,64.12,64.04,64.04,2750,2021-11-23 10:14:00-05:00
64.05,64.05,64.01,64.04,1280,2021-11-23 10:15:00-05:00
64.07,64.08,64.05,64.08,700,2021-11-23 10:16:00-05:00
64.05,64.07,63.99,64.04,1900,2021-11-23 10:17:00-05:00
64.05,64.05,64.03,64.03,417,2021-11-23 10:18:00-05:00
64.06,64.07,64.06,64.06,1109,2021-11-23 10:19:00-05:00
64.0,64.05,64.0,64.05,2200,2021-11-23 10:21:00-05:00
64.035,64.05,63.99,63.99,1276,2021-11-23 10:22:00-05:00
63.99,63.99,63.93,63.93,1455,2021-11-23 10:23:00-05:00
63.89,63.93,63.87,63.93,400,2021-11-23 10:25:00-05:00
63.9,63.92,63.8798,63.91,1135,2021-11-23 10:26:00-05:00
63.88,63.9,63.85,63.9,2489,2021-11-23 10:27:00-05:00
63.865,63.94,63.85,63.94,1900,2021-11-23 10:29:00-05:00
63.94,63.98,63.94,63.96,991,2021-11-23 10:30:00-05:00
63.97,64.02,63.97,64.02,422,2021-11-23 10:31:00-05:00
64.06,64.06,64.04,64.04,200,2021-11-23 10:32:00-05:00
64.04,64.06,64.04,64.04,700,2021-11-23 10:33:00-05:00
64.11,64.11,64.06,64.08,1681,2021-11-23 10:34:00-05:00
64.09,64.09,64.09,64.09,139,2021-11-23 10:35:00-05:00
64.1,64.1,64.04,64.08,623,2021-11-23 10:36:00-05:00
64.12,64.15,64.06,64.06,1873,2021-11-23 10:38:00-05:00
64.075,64.075,63.96,63.96,2325,2021-11-23 10:39:00-05:00
63.96,64.09,63.96,64.09,1400,2021-11-23 10:40:00-05:00
64.09,64.09,64.05,64.09,1734,2021-11-23 10:41:00-05:00
64.11,64.17,64.11,64.17,2800,2021-11-23 10:42:00-05:00
64.16,64.2,64.16,64.19,2300,2021-11-23 10:43:00-05:00
64.14,64.21,64.14,64.21,2500,2021-11-23 10:44:00-05:00
64.2,64.24,64.2,64.24,4280,2021-11-23 10:45:00-05:00
64.24,64.24,64.2,64.2,800,2021-11-23 10:46:00-05:00
64.23,64.28,64.21,64.28,1719,2021-11-23 10:47:00-05:00
64.31,64.31,64.3,64.3,476,2021-11-23 10:48:00-05:00
64.33,64.33,64.255,64.28,1001,2021-11-23 10:49:00-05:00
64.24,64.27,64.22,64.25,3014,2021-11-23 10:50:00-05:00
64.22,64.27,64.21,64.27,600,2021-11-23 10:51:00-05:00
64.21,64.22,64.21,64.22,800,2021-11-23 10:52:00-05:00
64.23,64.29,64.23,64.29,5791,2021-11-23 10:53:00-05:00
64.305,64.305,64.305,64.305,100,2021-11-23 10:54:00-05:00
64.29,64.32,64.28,64.28,500,2021-11-23 10:55:00-05:00
64.25,64.25,64.25,64.25,400,2021-11-23 10:56:00-05:00
64.27,64.27,64.27,64.27,100,2021-11-23 10:57:00-05:00
64.263,64.32,64.263,64.32,910,2021-11-23 10:58:00-05:00
64.325,64.325,64.325,64.325,200,2021-11-23 10:59:00-05:00
64.31,64.36,64.31,64.33,1516,2021-11-23 11:00:00-05:00
64.33,64.35,64.33,64.35,2139,2021-11-23 11:02:00-05:00
