open,high,low,close,volume,datetime
189.04,189.735,189.04,189.735,4145,2024-03-28 09:30:00-04:00
189.615,190.23,189.615,190.23,200,2024-03-28 09:35:00-04:00
189.635,189.635,189.635,189.635,100,2024-03-28 09:37:00-04:00
189.57,190.04,189.4569,190.04,300,2024-03-28 09:38:00-04:00
189.95,189.95,189.95,189.95,100,2024-03-28 09:39:00-04:00
189.83,190.135,189.83,190.135,1201,2024-03-28 09:41:00-04:00
190.605,190.605,190.605,190.605,100,2024-03-28 09:42:00-04:00
190.36,190.4,190.36,190.4,200,2024-03-28 09:43:00-04:00
190.1325,190.1325,190.1325,190.1325,100,2024-03-28 09:45:00-04:00
190.0776,190.52,190.0776,190.11,750,2024-03-28 09:46:00-04:00
189.81,190.11,189.8,190.045,1356,2024-03-28 09:47:00-04:00
189.5,189.5,189.5,189.5,214,2024-03-28 09:48:00-04:00
189.49,189.49,189.49,189.49,200,2024-03-28 09:51:00-04:00
189.78,189.78,189.78,189.78,100,2024-03-28 09:52:00-04:00
189.3,189.31,189.3,189.31,263,2024-03-28 09:54:00-04:00
189.34,189.4175,189.16,189.16,4175,2024-03-28 09:55:00-04:00
189.03,189.03,189.025,189.025,600,2024-03-28 09:58:00-04:00
189.02,189.02,189.015,189.015,1100,2024-03-28 09:59:00-04:00
188.98,188.99,188.98,188.99,200,2024-03-28 10:00:00-04:00
188.985,189.1425,188.985,189.1425,914,2024-03-28 10:01:00-04:00
188.995,188.995,188.995,188.995,566,2024-03-28 10:02:00-04:00
188.995,188.995,188.7,188.74,1834,2024-03-28 10:03:00-04:00
188.86,188.87,188.85,188.87,1767,2024-03-28 10:04:00-04:00
189.15,189.305,188.915,189.28,2097,2024-03-28 10:06:00-04:00
189.27,189.275,189.19,189.275,652,2024-03-28 10:07:00-04:00
189.34,189.34,189.34,189.34,200,2024-03-28 10:10:00-04:00
189.33,189.34,189.305,189.305,667,2024-03-28 10:11:00-04:00
189.25,189.25,189.25,189.25,300,2024-03-28 10:12:00-04:00
189.3,189.3,189.3,189.3,400,2024-03-28 10:13:00-04:00
189.3,189.3,189.3,189.3,162,2024-03-28 10:14:00-04:00
189.3,189.3,189.3,189.3,600,2024-03-28 10:15:00-04:00
189.295,189.297,189.29,189.295,1210,2024-03-28 10:16:00-04:00
189.25,189.25,188.985,189.0175,1148,2024-03-28 10:17:00-04:00
189.09,189.1,188.935,188.96,2641,2024-03-28 10:18:00-04:00
188.98,188.9825,188.965,188.965,600,2024-03-28 10:21:00-04:00
188.965,189.28,188.965,189.155,3397,2024-03-28 10:22:00-04:00
