open,high,low,close,volume,datetime
159.97,159.97,159.97,159.97,264,2024-03-28 08:12:00-04:00
160.58,160.58,160.58,160.58,100,2024-03-28 08:31:00-04:00
160.1,160.1,160.1,160.1,200,2024-03-28 08:32:00-04:00
160.0,160.0,159.99,160.0,600,2024-03-28 08:34:00-04:00
160.0,160.0,160.0,160.0,600,2024-03-28 08:35:00-04:00
159.93,159.93,159.93,159.93,100,2024-03-28 08:44:00-04:00
160.0,160.0,160.0,160.0,100,2024-03-28 08:52:00-04:00
159.99,159.99,159.99,159.99,100,2024-03-28 08:53:00-04:00
160.0,160.0,160.0,160.0,422,2024-03-28 08:54:00-04:00
159.99,159.99,159.99,159.99,100,2024-03-28 09:02:00-04:00
159.99,159.99,159.99,159.99,100,2024-03-28 09:05:00-04:00
159.98,160.3,159.9,160.235,20150,2024-03-28 09:30:00-04:00
160.48,160.82,160.48,160.665,1144,2024-03-28 09:31:00-04:00
160.645,160.96,160.645,160.835,1212,2024-03-28 09:32:00-04:00
160.825,161.18,160.8,161.065,3678,2024-03-28 09:33:00-04:00
160.99,161.06,160.61,160.925,7848,2024-03-28 09:34:00-04:00
160.89,160.89,160.66,160.66,1134,2024-03-28 09:35:00-04:00
160.73,160.85,160.53,160.53,1900,2024-03-28 09:37:00-04:00
160.54,160.72,160.42,160.72,1091,2024-03-28 09:38:00-04:00
160.54,160.76,160.54,160.74,979,2024-03-28 09:39:00-04:00
160.52,160.52,160.51,160.51,544,2024-03-28 09:40:00-04:00
160.48,160.51,160.38,160.49,868,2024-03-28 09:41:00-04:00
160.5,160.71,160.497,160.69,1370,2024-03-28 09:42:00-04:00
160.48,160.53,160.48,160.53,200,2024-03-28 09:43:00-04:00
160.4,160.54,160.4,160.54,929,2024-03-28 09:45:00-04:00
160.42,160.44,160.31,160.31,1118,2024-03-28 09:46:00-04:00
160.43,160.45,160.43,160.45,532,2024-03-28 09:47:00-04:00
160.35,160.35,160.21,160.26,724,2024-03-28 09:48:00-04:00
160.11,160.12,160.11,160.11,488,2024-03-28 09:49:00-04:00
159.95,160.05,159.94,159.94,520,2024-03-28 09:50:00-04:00
159.95,160.07,159.895,160.0178,1782,2024-03-28 09:51:00-04:00
159.9,160.245,159.885,160.245,3047,2024-03-28 09:52:00-04:00
160.21,160.31,160.21,160.3,1232,2024-03-28 09:53:00-04:00
160.295,160.295,160.04,160.04,1341,2024-03-28 09:54:00-04:00
160.025,160.12,159.96,159.96,400,2024-03-28 09:55:00-04:00
159.96,160.07,159.95,160.01,1300,2024-03-28 09:56:00-04:00
160.01,160.01,159.88,159.88,1026,2024-03-28 09:57:00-04:00
160.06,160.17,160.05,160.11,1422,2024-03-28 09:58:00-04:00
160.23,160.23,160.06,160.095,400,2024-03-28 09:59:00-04:00
160.23,160.333,160.23,160.333,438,2024-03-28 10:00:00-04:00
160.23,160.23,160.23,160.23,100,2024-03-28 10:01:00-04:00
160.32,160.47,160.29,160.4449,1508,2024-03-28 10:02:00-04:00
160.37,160.37,160.32,160.35,1162,2024-03-28 10:03:00-04:00
160.4199,160.4199,160.21,160.37,926,2024-03-28 10:04:00-04:00
160.39,160.52,160.39,160.52,715,2024-03-28 10:05:00-04:00
160.56,160.57,160.56,160.57,200,2024-03-28 10:06:00-04:00
160.46,160.67,160.46,160.67,1577,2024-03-28 10:07:00-04:00
160.76,160.77,160.68,160.72,1572,2024-03-28 10:08:00-04:00
160.715,160.84,160.63,160.83,5069,2024-03-28 10:09:00-04:00
160.89,160.94,160.885,160.92,2878,2024-03-28 10:10:00-04:00
160.915,161.0,160.915,161.0,1122,2024-03-28 10:11:00-04:00
160.965,160.965,160.965,160.965,200,2024-03-28 10:12:00-04:00
160.94,160.94,160.74,160.74,3316,2024-03-28 10:13:00-04:00
160.84,160.84,160.84,160.84,161,2024-03-28 10:14:00-04:00
160.91,160.965,160.9,160.92,1310,2024-03-28 10:15:00-04:00
160.8523,160.97,160.8523,160.97,312,2024-03-28 10:16:00-04:00
160.96,161.0,160.79,160.79,1134,2024-03-28 10:17:00-04:00
160.65,160.65,160.5843,160.5843,837,2024-03-28 10:18:00-04:00
160.6,160.6,160.6,160.6,100,2024-03-28 10:19:00-04:00
160.54,160.57,160.52,160.53,800,2024-03-28 10:20:00-04:00
160.59,160.59,160.59,160.59,338,2024-03-28 10:21:00-04:00
160.7,160.805,160.675,160.805,1522,2024-03-28 10:22:00-04:00
160.87,160.87,160.7613,160.8148,933,2024-03-28 10:23:00-04:00
160.8068,160.8068,160.76,160.76,779,2024-03-28 10:24:00-04:00
160.53,160.53,160.53,160.53,105,2024-03-28 10:25:00-04:00
160.6,160.6,160.6,160.6,100,2024-03-28 10:26:00-04:00
160.67,160.76,160.655,160.7208,826,2024-03-28 10:27:00-04:00
160.765,160.765,160.72,160.765,500,2024-03-28 10:28:00-04:00
160.78,160.78,160.72,160.775,950,2024-03-28 10:29:00-04:00
160.79,160.82,160.78,160.78,1164,2024-03-28 10:30:00-04:00
160.7,160.77,160.7,160.77,743,2024-03-28 10:31:00-04:00
160.75,160.76,160.75,160.76,400,2024-03-28 10:32:00-04:00
160.64,160.68,160.62,160.68,885,2024-03-28 10:33:00-04:00
160.66,160.71,160.61,160.61,540,2024-03-28 10:34:00-04:00
160.64,160.685,160.585,160.685,603,2024-03-28 10:35:00-04:00
160.61,160.655,160.54,160.54,1320,2024-03-28 10:36:00-04:00
160.58,160.73,160.58,160.67,1869,2024-03-28 10:37:00-04:00
160.73,160.73,160.73,160.73,100,2024-03-28 10:38:00-04:00
160.64,160.64,160.64,160.64,100,2024-03-28 10:39:00-04:00
160.63,160.7122,160.63,160.7,4038,2024-03-28 10:40:00-04:00
160.65,160.65,160.62,160.65,324,2024-03-28 10:41:00-04:00
160.505,160.58,160.48,160.575,1429,2024-03-28 10:42:00-04:00
160.58,160.63,160.58,160.63,1331,2024-03-28 10:43:00-04:00
160.67,160.67,160.55,160.55,800,2024-03-28 10:44:00-04:00
160.46,160.46,160.46,160.46,712,2024-03-28 10:45:00-04:00
160.45,160.53,160.45,160.47,1140,2024-03-28 10:46:00-04:00
160.42,160.455,160.42,160.455,750,2024-03-28 10:47:00-04:00
160.455,160.455,160.455,160.455,100,2024-03-28 10:48:00-04:00
160.365,160.365,160.29,160.315,883,2024-03-28 10:49:00-04:00
160.38,160.44,160.38,160.44,728,2024-03-28 10:50:00-04:00
160.51,160.55,160.5,160.55,611,2024-03-28 10:51:00-04:00
160.53,160.58,160.4,160.4,1309,2024-03-28 10:52:00-04:00
160.49,160.51,160.49,160.51,428,2024-03-28 10:53:00-04:00
160.51,160.51,160.51,160.51,773,2024-03-28 10:54:00-04:00
160.5446,160.55,160.49,160.49,803,2024-03-28 10:55:00-04:00
160.49,160.51,160.4,160.4,3000,2024-03-28 10:56:00-04:00
160.435,160.555,160.43,160.44,12682,2024-03-28 10:57:00-04:00
160.52,160.55,160.48,160.52,1457,2024-03-28 10:59:00-04:00
160.56,160.57,160.56,160.57,636,2024-03-28 11:00:00-04:00
160.52,160.52,160.425,160.425,1000,2024-03-28 11:01:00-04:00
160.43,160.5584,160.43,160.5584,2063,2024-03-28 11:02:00-04:00
160.58,160.58,160.57,160.58,525,2024-03-28 11:03:00-04:00
160.575,160.595,160.52,160.59,450,2024-03-28 11:04:00-04:00
160.66,160.66,160.53,160.56,2162,2024-03-28 11:05:00-04:00
160.6,160.6,160.59,160.59,664,2024-03-28 11:06:00-04:00
160.66,160.66,160.61,160.62,2840,2024-03-28 11:07:00-04:00
160.62,160.62,160.53,160.53,2033,2024-03-28 11:08:00-04:00
160.56,160.66,160.5,160.66,1806,2024-03-28 11:09:00-04:00
160.72,160.78,160.67,160.78,1300,2024-03-28 11:10:00-04:00
160.795,160.795,160.6101,160.6101,1470,2024-03-28 11:11:00-04:00
160.675,160.71,160.675,160.71,704,2024-03-28 11:12:00-04:00
160.68,160.76,160.66,160.66,3187,2024-03-28 11:13:00-04:00
160.635,160.635,160.635,160.635,365,2024-03-28 11:14:00-04:00
160.635,160.68,160.615,160.68,1839,2024-03-28 11:15:00-04:00
160.7,160.8625,160.7,160.82,1753,2024-03-28 11:16:00-04:00
160.85,160.85,160.785,160.785,455,2024-03-28 11:17:00-04:00
160.755,160.86,160.73,160.79,3421,2024-03-28 11:18:00-04:00
160.78,160.82,160.76,160.77,8581,2024-03-28 11:19:00-04:00
160.73,160.73,160.64,160.69,1290,2024-03-28 11:20:00-04:00
160.66,160.79,160.66,160.79,721,2024-03-28 11:21:00-04:00
160.835,160.835,160.8,160.8,1000,2024-03-28 11:22:00-04:00
160.8,160.8,160.6701,160.6701,1654,2024-03-28 11:23:00-04:00
160.7086,160.82,160.7086,160.76,2973,2024-03-28 11:24:00-04:00
160.79,160.82,160.71,160.75,4222,2024-03-28 11:25:00-04:00
160.745,160.8,160.745,160.8,200,2024-03-28 11:26:00-04:00
160.73,160.81,160.7,160.71,1200,2024-03-28 11:27:00-04:00
160.73,160.735,160.705,160.735,1594,2024-03-28 11:28:00-04:00
160.69,160.73,160.64,160.72,1470,2024-03-28 11:29:00-04:00
160.68,160.68,160.65,160.65,400,2024-03-28 11:30:00-04:00
160.69,160.71,160.6,160.6,727,2024-03-28 11:31:00-04:00
160.7,160.78,160.7,160.78,1349,2024-03-28 11:32:00-04:00
160.74,160.75,160.73,160.75,1901,2024-03-28 11:33:00-04:00
160.69,160.73,160.69,160.73,600,2024-03-28 11:34:00-04:00
160.755,160.885,160.755,160.87,6408,2024-03-28 11:35:00-04:00
160.885,160.885,160.82,160.83,1656,2024-03-28 11:36:00-04:00
160.84,160.91,160.82,160.91,634,2024-03-28 11:37:00-04:00
160.96,161.0,160.95,160.98,2501,2024-03-28 11:38:00-04:00
160.955,161.04,160.955,161.04,1700,2024-03-28 11:39:00-04:00
160.99,161.085,160.99,161.085,932,2024-03-28 11:40:00-04:00
