open,high,low,close,volume,datetime
85.02,85.02,85.02,85.02,108,2024-03-28 08:12:00-04:00
85.02,85.59,84.97,85.5,27203,2024-03-28 09:30:00-04:00
85.5,85.63,85.43,85.63,650,2024-03-28 09:31:00-04:00
85.36,85.42,85.2725,85.33,7373,2024-03-28 09:32:00-04:00
85.41,85.41,85.41,85.41,100,2024-03-28 09:33:00-04:00
85.28,85.28,85.28,85.28,166,2024-03-28 09:34:00-04:00
85.13,85.29,85.13,85.215,401,2024-03-28 09:35:00-04:00
85.205,85.205,85.005,85.005,1465,2024-03-28 09:36:00-04:00
84.765,84.765,84.765,84.765,100,2024-03-28 09:38:00-04:00
84.905,84.915,84.905,84.915,200,2024-03-28 09:39:00-04:00
85.01,85.02,85.01,85.02,300,2024-03-28 09:40:00-04:00
85.025,85.065,84.925,85.055,828,2024-03-28 09:41:00-04:00
85.155,85.155,85.045,85.045,200,2024-03-28 09:42:00-04:00
85.07,85.36,85.07,85.24,22349,2024-03-28 09:43:00-04:00
85.3188,85.355,85.29,85.29,651,2024-03-28 09:44:00-04:00
85.27,85.28,85.07,85.09,1388,2024-03-28 09:45:00-04:00
84.97,85.015,84.92,84.92,1020,2024-03-28 09:46:00-04:00
85.0,85.0,84.99,84.99,200,2024-03-28 09:47:00-04:00
85.015,85.015,85.0,85.0,600,2024-03-28 09:48:00-04:00
85.07,85.07,84.9775,84.99,2015,2024-03-28 09:49:00-04:00
84.985,85.0,84.94,84.94,400,2024-03-28 09:50:00-04:00
85.018,85.018,85.018,85.018,301,2024-03-28 09:51:00-04:00
84.975,84.975,84.975,84.975,235,2024-03-28 09:52:00-04:00
84.975,85.03,84.82,84.895,8175,2024-03-28 09:53:00-04:00
84.89,84.95,84.89,84.915,1616,2024-03-28 09:54:00-04:00
84.915,85.11,84.9,85.065,21439,2024-03-28 09:55:00-04:00
85.1,85.19,85.03,85.08,6364,2024-03-28 09:56:00-04:00
85.08,85.125,85.07,85.125,600,2024-03-28 09:57:00-04:00
85.09,85.125,85.05,85.1,1100,2024-03-28 09:58:00-04:00
85.075,85.085,85.05,85.075,900,2024-03-28 09:59:00-04:00
85.08,85.205,85.08,85.2,3819,2024-03-28 10:00:00-04:00
85.185,85.22,85.17,85.175,4274,2024-03-28 10:01:00-04:00
85.182,85.34,85.182,85.315,2775,2024-03-28 10:02:00-04:00
85.34,85.34,85.19,85.2,1400,2024-03-28 10:03:00-04:00
85.15,85.2,85.15,85.2,1368,2024-03-28 10:05:00-04:00
85.17,85.17,85.17,85.17,200,2024-03-28 10:06:00-04:00
85.13,85.15,85.05,85.145,6240,2024-03-28 10:07:00-04:00
85.19,85.19,85.15,85.15,609,2024-03-28 10:08:00-04:00
85.165,85.17,85.145,85.155,1121,2024-03-28 10:09:00-04:00
85.16,85.16,85.13,85.14,742,2024-03-28 10:10:00-04:00
85.14,85.17,85.14,85.17,1464,2024-03-28 10:11:00-04:00
85.16,85.24,85.15,85.21,3677,2024-03-28 10:12:00-04:00
85.175,85.2,85.16,85.18,1307,2024-03-28 10:13:00-04:00
85.2,85.2,85.13,85.13,2417,2024-03-28 10:14:00-04:00
85.16,85.21,85.155,85.21,1845,2024-03-28 10:15:00-04:00
85.21,85.23,85.195,85.195,1500,2024-03-28 10:16:00-04:00
85.19,85.19,85.17,85.17,300,2024-03-28 10:17:00-04:00
85.17,85.17,85.1,85.12,31784,2024-03-28 10:18:00-04:00
85.13,85.14,85.11,85.14,2230,2024-03-28 10:19:00-04:00
85.14,85.2,85.12,85.19,7701,2024-03-28 10:20:00-04:00
85.23,85.255,85.23,85.25,1800,2024-03-28 10:21:00-04:00
85.25,85.26,85.24,85.26,891,2024-03-28 10:22:00-04:00
85.26,85.26,85.2575,85.2575,300,2024-03-28 10:23:00-04:00
85.22,85.22,85.135,85.135,2137,2024-03-28 10:24:00-04:00
85.14,85.17,85.1,85.15,3355,2024-03-28 10:25:00-04:00
85.165,85.18,85.16,85.16,435,2024-03-28 10:26:00-04:00
85.2,85.25,85.2,85.245,1337,2024-03-28 10:28:00-04:00
85.24,85.24,85.23,85.23,300,2024-03-28 10:29:00-04:00
85.24,85.25,85.235,85.235,1035,2024-03-28 10:30:00-04:00
85.235,85.32,85.23,85.29,2610,2024-03-28 10:31:00-04:00
85.28,85.28,85.24,85.27,1048,2024-03-28 10:32:00-04:00
85.25,85.375,85.25,85.375,2458,2024-03-28 10:33:00-04:00
85.365,85.365,85.365,85.365,200,2024-03-28 10:34:00-04:00
85.34,85.38,85.32,85.38,1088,2024-03-28 10:35:00-04:00
85.375,85.46,85.36,85.435,2447,2024-03-28 10:36:00-04:00
85.42,85.42,85.39,85.39,600,2024-03-28 10:37:00-04:00
85.33,85.33,85.24,85.24,3147,2024-03-28 10:39:00-04:00
85.26,85.27,85.25,85.25,2663,2024-03-28 10:40:00-04:00
85.29,85.35,85.29,85.35,1100,2024-03-28 10:41:00-04:00
85.36,85.43,85.36,85.43,1860,2024-03-28 10:42:00-04:00
85.43,85.47,85.4,85.47,1669,2024-03-28 10:43:00-04:00
85.445,85.445,85.445,85.445,100,2024-03-28 10:44:00-04:00
85.455,85.46,85.44,85.44,680,2024-03-28 10:45:00-04:00
85.46,85.48,85.46,85.48,321,2024-03-28 10:46:00-04:00
85.49,85.49,85.43,85.44,778,2024-03-28 10:47:00-04:00
85.405,85.41,85.4,85.41,500,2024-03-28 10:48:00-04:00
85.43,85.448,85.43,85.44,500,2024-03-28 10:49:00-04:00
85.46,85.46,85.45,85.45,600,2024-03-28 10:50:00-04:00
85.45,85.5,85.44,85.49,1657,2024-03-28 10:51:00-04:00
85.51,85.51,85.51,85.51,371,2024-03-28 10:53:00-04:00
85.5175,85.52,85.485,85.485,1200,2024-03-28 10:54:00-04:00
85.51,85.53,85.51,85.525,900,2024-03-28 10:55:00-04:00
85.47,85.47,85.41,85.41,1152,2024-03-28 10:56:00-04:00
85.405,85.44,85.405,85.4285,900,2024-03-28 10:57:00-04:00
85.42,85.45,85.42,85.43,900,2024-03-28 10:58:00-04:00
85.39,85.41,85.39,85.41,700,2024-03-28 10:59:00-04:00
85.39,85.39,85.375,85.375,400,2024-03-28 11:00:00-04:00
85.35,85.38,85.34,85.37,2857,2024-03-28 11:01:00-04:00
85.37,85.37,85.285,85.285,1317,2024-03-28 11:02:00-04:00
85.2771,85.315,85.2771,85.305,1720,2024-03-28 11:03:00-04:00
85.2871,85.31,85.2871,85.31,320,2024-03-28 11:04:00-04:00
85.31,85.31,85.26,85.26,267,2024-03-28 11:05:00-04:00
85.275,85.33,85.275,85.33,800,2024-03-28 11:06:00-04:00
85.31,85.38,85.31,85.36,3330,2024-03-28 11:07:00-04:00
85.35,85.39,85.35,85.39,500,2024-03-28 11:08:00-04:00
85.37,85.41,85.365,85.41,1765,2024-03-28 11:09:00-04:00
85.4,85.42,85.325,85.405,5926,2024-03-28 11:10:00-04:00
85.41,85.41,85.41,85.41,300,2024-03-28 11:11:00-04:00
85.42,85.43,85.42,85.425,500,2024-03-28 11:12:00-04:00
85.44,85.47,85.44,85.465,1901,2024-03-28 11:13:00-04:00
85.48,85.49,85.45,85.49,901,2024-03-28 11:14:00-04:00
85.495,85.495,85.465,85.465,1126,2024-03-28 11:15:00-04:00
85.48,85.51,85.48,85.51,829,2024-03-28 11:16:00-04:00
85.52,85.52,85.48,85.48,200,2024-03-28 11:17:00-04:00
85.52,85.52,85.495,85.495,218,2024-03-28 11:18:00-04:00
85.5,85.5,85.5,85.5,100,2024-03-28 11:19:00-04:00
85.5,85.5,85.5,85.5,300,2024-03-28 11:20:00-04:00
85.51,85.51,85.51,85.51,100,2024-03-28 11:21:00-04:00
85.52,85.59,85.52,85.565,2986,2024-03-28 11:22:00-04:00
85.565,85.565,85.55,85.55,483,2024-03-28 11:23:00-04:00
85.56,85.56,85.56,85.56,200,2024-03-28 11:24:00-04:00
85.588,85.588,85.588,85.588,200,2024-03-28 11:25:00-04:00
85.55,85.57,85.55,85.57,600,2024-03-28 11:27:00-04:00
85.56,85.595,85.55,85.595,1713,2024-03-28 11:28:00-04:00
85.59,85.59,85.55,85.55,700,2024-03-28 11:29:00-04:00
85.47,85.51,85.47,85.51,200,2024-03-28 11:30:00-04:00
85.51,85.51,85.5,85.5,1266,2024-03-28 11:31:00-04:00
85.52,85.52,85.505,85.505,372,2024-03-28 11:32:00-04:00
85.5,85.53,85.5,85.53,800,2024-03-28 11:33:00-04:00
85.53,85.56,85.52,85.56,1000,2024-03-28 11:34:00-04:00
85.56,85.56,85.52,85.52,1202,2024-03-28 11:35:00-04:00
85.52,85.52,85.52,85.52,702,2024-03-28 11:36:00-04:00
85.53,85.56,85.53,85.56,700,2024-03-28 11:37:00-04:00
85.57,85.57,85.57,85.57,100,2024-03-28 11:38:00-04:00
85.575,85.575,85.565,85.565,300,2024-03-28 11:39:00-04:00
85.575,85.68,85.575,85.68,1997,2024-03-28 11:40:00-04:00
85.65,85.65,85.59,85.64,2010,2024-03-28 11:41:00-04:00
85.63,85.65,85.63,85.65,266,2024-03-28 11:42:00-04:00
85.655,85.655,85.655,85.655,100,2024-03-28 11:43:00-04:00
85.645,85.6597,85.645,85.6597,720,2024-03-28 11:44:00-04:00
85.66,85.68,85.66,85.68,2120,2024-03-28 11:45:00-04:00
85.65,85.67,85.65,85.67,304,2024-03-28 11:46:00-04:00
85.64,85.6477,85.64,85.6477,410,2024-03-28 11:47:00-04:00
85.66,85.69,85.65,85.69,1585,2024-03-28 11:48:00-04:00
85.695,85.695,85.695,85.695,100,2024-03-28 11:49:00-04:00
85.7,85.71,85.69,85.69,1353,2024-03-28 11:50:00-04:00
85.705,85.72,85.69,85.72,1500,2024-03-28 11:51:00-04:00
85.73,85.74,85.73,85.74,300,2024-03-28 11:52:00-04:00
85.75,85.75,85.72,85.72,701,2024-03-28 11:53:00-04:00
85.72,85.75,85.69,85.75,2677,2024-03-28 11:54:00-04:00
85.74,85.81,85.74,85.81,5454,2024-03-28 11:55:00-04:00
85.81,85.81,85.73,85.73,2377,2024-03-28 11:56:00-04:00
85.695,85.695,85.68,85.68,200,2024-03-28 11:58:00-04:00
85.675,85.675,85.64,85.64,601,2024-03-28 11:59:00-04:00
85.62,85.68,85.615,85.68,2673,2024-03-28 12:00:00-04:00
85.695,85.695,85.67,85.69,1100,2024-03-28 12:01:00-04:00
85.695,85.695,85.67,85.67,300,2024-03-28 12:02:00-04:00
85.69,85.7,85.69,85.695,600,2024-03-28 12:03:00-04:00
85.71,85.71,85.7,85.7,700,2024-03-28 12:04:00-04:00
85.725,85.74,85.725,85.74,500,2024-03-28 12:05:00-04:00
85.75,85.78,85.74,85.755,7269,2024-03-28 12:06:00-04:00
85.76,85.79,85.755,85.79,1800,2024-03-28 12:07:00-04:00
85.795,85.795,85.795,85.795,100,2024-03-28 12:08:00-04:00
85.8,85.81,85.69,85.69,3827,2024-03-28 12:09:00-04:00
85.695,85.705,85.675,85.68,993,2024-03-28 12:10:00-04:00
85.665,85.665,85.625,85.625,2220,2024-03-28 12:11:00-04:00
85.64,85.73,85.615,85.715,9863,2024-03-28 12:12:00-04:00
85.7,85.7,85.69,85.69,1476,2024-03-28 12:13:00-04:00
85.65,85.65,85.65,85.65,100,2024-03-28 12:14:00-04:00
85.545,85.56,85.545,85.545,400,2024-03-28 12:15:00-04:00
85.555,85.555,85.53,85.53,333,2024-03-28 12:16:00-04:00
85.55,85.61,85.52,85.6,2145,2024-03-28 12:17:00-04:00
85.61,85.615,85.61,85.615,662,2024-03-28 12:18:00-04:00
85.6,85.64,85.6,85.6316,3152,2024-03-28 12:19:00-04:00
85.64,85.66,85.515,85.515,18800,2024-03-28 12:20:00-04:00
85.505,85.5055,85.4,85.435,18032,2024-03-28 12:21:00-04:00
85.42,85.42,85.36,85.36,1920,2024-03-28 12:22:00-04:00
85.37,85.37,85.28,85.28,349,2024-03-28 12:23:00-04:00
85.28,85.31,85.26,85.26,2300,2024-03-28 12:24:00-04:00
85.265,85.3,85.15,85.1732,9970,2024-03-28 12:25:00-04:00
85.15,85.255,85.13,85.2525,9327,2024-03-28 12:26:00-04:00
85.21,85.22,85.19,85.22,2842,2024-03-28 12:27:00-04:00
85.21,85.21,85.2,85.2,200,2024-03-28 12:28:00-04:00
85.2,85.25,85.16,85.16,56706,2024-03-28 12:29:00-04:00
85.13,85.13,85.02,85.11,3296,2024-03-28 12:30:00-04:00
85.1,85.14,85.095,85.13,2402,2024-03-28 12:31:00-04:00
85.13,85.13,85.13,85.13,500,2024-03-28 12:32:00-04:00
85.115,85.17,85.115,85.17,3400,2024-03-28 12:33:00-04:00
85.16,85.2,85.16,85.2,1889,2024-03-28 12:34:00-04:00
85.19,85.19,85.16,85.16,850,2024-03-28 12:35:00-04:00
85.1575,85.165,85.125,85.1275,3025,2024-03-28 12:36:00-04:00
