open,high,low,close,volume,datetime
329.41,329.41,329.41,329.41,3025,2021-11-23 09:30:00-05:00
329.2,329.2,329.2,329.2,207,2021-11-23 09:31:00-05:00
328.3491,328.3491,328.3491,328.3491,191,2021-11-23 09:35:00-05:00
328.02,328.02,328.02,328.02,100,2021-11-23 09:38:00-05:00
327.76,328.13,327.76,328.13,200,2021-11-23 09:39:00-05:00
328.48,328.79,328.33,328.53,500,2021-11-23 09:41:00-05:00
328.6,328.6,328.6,328.6,100,2021-11-23 09:42:00-05:00
328.0,328.0,328.0,328.0,546,2021-11-23 09:44:00-05:00
329.16,329.16,328.58,328.58,800,2021-11-23 09:46:00-05:00
329.18,329.32,329.18,329.32,301,2021-11-23 09:49:00-05:00
329.31,329.31,329.31,329.31,100,2021-11-23 09:50:00-05:00
330.5,330.5,330.46,330.5,584,2021-11-23 09:54:00-05:00
330.5,330.5,330.5,330.5,100,2021-11-23 09:55:00-05:00
330.62,330.62,330.62,330.62,100,2021-11-23 09:56:00-05:00
330.18,330.18,330.18,330.18,100,2021-11-23 09:57:00-05:00
330.615,330.615,330.615,330.615,100,2021-11-23 09:58:00-05:00
330.4,330.605,330.4,330.605,200,2021-11-23 09:59:00-05:00
330.605,330.605,330.05,330.05,640,2021-11-23 10:00:00-05:00
330.445,330.445,330.445,330.445,100,2021-11-23 10:01:00-05:00
329.73,330.45,329.73,330.45,200,2021-11-23 10:02:00-05:00
330.455,330.885,330.055,330.885,700,2021-11-23 10:03:00-05:00
331.02,331.45,331.02,331.45,300,2021-11-23 10:04:00-05:00
331.275,331.275,330.83,330.845,300,2021-11-23 10:05:00-05:00
331.45,331.45,331.45,331.45,100,2021-11-23 10:06:00-05:00
331.485,331.59,331.485,331.59,200,2021-11-23 10:07:00-05:00
331.435,331.435,331.435,331.435,200,2021-11-23 10:08:00-05:00
331.07,331.07,331.07,331.07,100,2021-11-23 10:09:00-05:00
331.435,331.435,331.435,331.435,100,2021-11-23 10:10:00-05:00
331.435,331.44,331.435,331.44,200,2021-11-23 10:11:00-05:00
331.375,331.39,331.375,331.39,200,2021-11-23 10:12:00-05:00
331.04,331.04,330.82,330.82,500,2021-11-23 10:13:00-05:00
330.09,330.17,329.96,329.96,300,2021-11-23 10:15:00-05:00
329.22,329.22,329.22,329.22,100,2021-11-23 10:18:00-05:00
329.19,329.21,329.19,329.21,200,2021-11-23 10:20:00-05:00
328.55,328.55,328.41,328.41,300,2021-11-23 10:22:00-05:00
328.46,328.55,328.27,328.27,1005,2021-11-23 10:26:00-05:00
328.01,328.01,328.01,328.01,200,2021-11-23 10:27:00-05:00
328.105,328.105,328.105,328.105,100,2021-11-23 10:28:00-05:00
327.99,327.99,327.99,327.99,100,2021-11-23 10:30:00-05:00
328.44,328.7351,328.44,328.7351,800,2021-11-23 10:31:00-05:00
328.78,328.78,328.7,328.7,300,2021-11-23 10:32:00-05:00
329.25,329.25,329.25,329.25,100,2021-11-23 10:33:00-05:00
328.92,328.92,328.92,328.92,100,2021-11-23 10:34:00-05:00
328.955,328.955,328.955,328.955,100,2021-11-23 10:39:00-05:00
329.04,329.04,329.04,329.04,100,2021-11-23 10:42:00-05:00
329.37,329.37,329.37,329.37,100,2021-11-23 10:43:00-05:00
329.41,329.54,329.41,329.54,607,2021-11-23 10:45:00-05:00
329.69,329.69,329.69,329.69,100,2021-11-23 10:46:00-05:00
330.12,330.12,330.12,330.12,100,2021-11-23 10:47:00-05:00
330.01,330.01,329.74,329.74,401,2021-11-23 10:48:00-05:00
329.755,329.755,329.755,329.755,100,2021-11-23 10:49:00-05:00
329.97,330.04,329.83,329.83,793,2021-11-23 10:51:00-05:00
329.79,329.79,329.79,329.79,100,2021-11-23 10:55:00-05:00
329.46,329.46,329.12,329.12,401,2021-11-23 10:57:00-05:00
329.17,329.17,329.17,329.17,100,2021-11-23 10:58:00-05:00
329.165,329.165,329.165,329.165,121,2021-11-23 10:59:00-05:00
