open,high,low,close,volume,datetime
189.99,189.99,188.95,188.98,3365,2024-03-28 09:30:00-04:00
188.57,188.57,188.57,188.57,100,2024-03-28 09:31:00-04:00
188.64,188.64,188.64,188.64,100,2024-03-28 09:33:00-04:00
188.63,188.63,188.63,188.63,200,2024-03-28 09:36:00-04:00
188.68,188.68,188.68,188.68,200,2024-03-28 09:38:00-04:00
188.54,188.54,188.54,188.54,100,2024-03-28 09:41:00-04:00
188.89,188.89,188.62,188.62,200,2024-03-28 09:43:00-04:00
188.7986,188.87,188.57,188.755,825,2024-03-28 09:44:00-04:00
188.68,188.68,188.62,188.67,500,2024-03-28 09:45:00-04:00
188.535,188.535,188.535,188.535,200,2024-03-28 09:46:00-04:00
188.675,188.72,188.48,188.72,2839,2024-03-28 09:47:00-04:00
188.93,189.11,188.89,189.11,1409,2024-03-28 09:48:00-04:00
189.04,189.04,189.04,189.04,100,2024-03-28 09:49:00-04:00
189.18,189.3,189.15,189.15,1684,2024-03-28 09:51:00-04:00
189.19,189.19,189.19,189.19,258,2024-03-28 09:53:00-04:00
188.88,189.19,188.88,189.19,1176,2024-03-28 09:54:00-04:00
189.13,189.13,189.125,189.125,300,2024-03-28 09:55:00-04:00
189.205,189.38,189.205,189.35,700,2024-03-28 10:01:00-04:00
189.46,189.52,189.415,189.415,1000,2024-03-28 10:04:00-04:00
189.34,189.34,189.325,189.325,900,2024-03-28 10:05:00-04:00
189.39,189.395,189.39,189.395,300,2024-03-28 10:06:00-04:00
189.38,189.395,189.38,189.395,785,2024-03-28 10:07:00-04:00
189.47,189.47,189.47,189.47,145,2024-03-28 10:08:00-04:00
189.405,189.405,189.19,189.27,3513,2024-03-28 10:09:00-04:00
189.34,189.405,189.34,189.4,1100,2024-03-28 10:10:00-04:00
189.4,189.4,189.4,189.4,200,2024-03-28 10:11:00-04:00
189.4,189.4,189.4,189.4,100,2024-03-28 10:12:00-04:00
189.48,189.48,189.48,189.48,300,2024-03-28 10:13:00-04:00
189.435,189.435,189.05,189.11,800,2024-03-28 10:14:00-04:00
189.15,189.15,189.135,189.135,200,2024-03-28 10:16:00-04:00
188.91,188.91,188.91,188.91,100,2024-03-28 10:18:00-04:00
188.97,188.97,188.97,188.97,100,2024-03-28 10:19:00-04:00
188.945,188.945,188.945,188.945,200,2024-03-28 10:25:00-04:00
188.995,188.995,188.995,188.995,100,2024-03-28 10:26:00-04:00
188.95,188.95,188.95,188.95,100,2024-03-28 10:29:00-04:00
188.98,188.98,188.98,188.98,200,2024-03-28 10:30:00-04:00
188.85,188.85,188.85,188.85,300,2024-03-28 10:31:00-04:00
188.87,188.87,188.75,188.82,300,2024-03-28 10:32:00-04:00
188.7674,188.91,188.7674,188.85,1153,2024-03-28 10:33:00-04:00
188.92,188.92,188.83,188.83,968,2024-03-28 10:34:00-04:00
188.845,188.845,188.845,188.845,105,2024-03-28 10:35:00-04:00
188.865,188.93,188.865,188.93,712,2024-03-28 10:36:00-04:00
