open,high,low,close,volume,datetime
259.69,259.93,259.655,259.655,8683,2024-03-28 09:30:00-04:00
259.4,259.645,259.19,259.645,510,2024-03-28 09:31:00-04:00
259.725,259.735,259.36,259.36,700,2024-03-28 09:32:00-04:00
259.42,259.42,259.42,259.42,100,2024-03-28 09:33:00-04:00
259.36,259.78,259.06,259.505,800,2024-03-28 09:34:00-04:00
259.25,259.25,259.25,259.25,100,2024-03-28 09:35:00-04:00
259.43,259.43,259.27,259.27,400,2024-03-28 09:36:00-04:00
259.54,259.54,259.54,259.54,730,2024-03-28 09:37:00-04:00
259.84,259.84,259.84,259.84,200,2024-03-28 09:38:00-04:00
259.485,259.485,259.22,259.46,300,2024-03-28 09:39:00-04:00
259.4,259.4,259.4,259.4,100,2024-03-28 09:40:00-04:00
259.1701,259.1701,259.1701,259.1701,100,2024-03-28 09:41:00-04:00
259.44,259.71,259.44,259.495,550,2024-03-28 09:42:00-04:00
260.02,260.11,259.91,260.11,1262,2024-03-28 09:43:00-04:00
260.125,260.125,259.975,259.975,1007,2024-03-28 09:44:00-04:00
260.25,260.25,260.025,260.025,300,2024-03-28 09:45:00-04:00
259.975,260.09,259.975,260.09,400,2024-03-28 09:46:00-04:00
260.32,260.41,260.03,260.36,2836,2024-03-28 09:47:00-04:00
260.48,260.48,260.36,260.48,600,2024-03-28 09:48:00-04:00
260.52,261.0,260.52,261.0,1402,2024-03-28 09:49:00-04:00
261.34,261.34,261.1,261.26,666,2024-03-28 09:50:00-04:00
261.01,261.16,261.01,261.16,200,2024-03-28 09:51:00-04:00
261.12,261.12,260.38,260.43,1502,2024-03-28 09:53:00-04:00
260.5,260.84,260.5,260.84,300,2024-03-28 09:54:00-04:00
260.84,260.84,260.675,260.675,200,2024-03-28 09:55:00-04:00
260.78,260.78,260.78,260.78,100,2024-03-28 09:56:00-04:00
260.84,260.84,260.82,260.82,600,2024-03-28 09:58:00-04:00
260.92,260.92,260.92,260.92,134,2024-03-28 09:59:00-04:00
260.97,260.97,260.81,260.83,1017,2024-03-28 10:00:00-04:00
260.87,261.11,260.64,261.05,1214,2024-03-28 10:01:00-04:00
260.78,260.85,260.65,260.65,600,2024-03-28 10:02:00-04:00
260.69,260.7,260.69,260.7,300,2024-03-28 10:03:00-04:00
260.68,260.83,260.68,260.83,509,2024-03-28 10:04:00-04:00
260.585,260.585,260.585,260.585,100,2024-03-28 10:05:00-04:00
260.55,260.55,260.33,260.515,851,2024-03-28 10:06:00-04:00
260.45,260.45,260.0,260.0,435,2024-03-28 10:07:00-04:00
259.95,259.95,259.95,259.95,100,2024-03-28 10:08:00-04:00
260.02,260.375,260.02,260.375,1059,2024-03-28 10:09:00-04:00
260.57,260.57,260.445,260.445,392,2024-03-28 10:10:00-04:00
260.445,260.445,260.445,260.445,100,2024-03-28 10:11:00-04:00
260.43,260.57,260.065,260.065,800,2024-03-28 10:12:00-04:00
259.82,260.0,259.82,260.0,403,2024-03-28 10:13:00-04:00
259.85,260.0,259.85,259.97,600,2024-03-28 10:14:00-04:00
259.97,259.97,259.97,259.97,100,2024-03-28 10:15:00-04:00
260.2,260.45,260.115,260.245,1201,2024-03-28 10:16:00-04:00
259.96,260.02,259.96,260.02,403,2024-03-28 10:17:00-04:00
259.925,259.925,259.925,259.925,100,2024-03-28 10:19:00-04:00
259.93,259.93,259.93,259.93,133,2024-03-28 10:20:00-04:00
259.945,259.955,259.945,259.955,488,2024-03-28 10:21:00-04:00
259.75,259.88,259.75,259.755,500,2024-03-28 10:22:00-04:00
259.94,260.11,259.845,259.845,744,2024-03-28 10:23:00-04:00
259.83,259.83,259.83,259.83,100,2024-03-28 10:24:00-04:00
259.91,259.91,259.91,259.91,100,2024-03-28 10:25:00-04:00
259.95,259.95,259.95,259.95,100,2024-03-28 10:26:00-04:00
259.905,259.905,259.895,259.895,400,2024-03-28 10:27:00-04:00
259.895,260.04,259.895,260.04,400,2024-03-28 10:28:00-04:00
260.015,260.015,259.88,259.88,250,2024-03-28 10:29:00-04:00
260.01,260.01,259.98,259.98,200,2024-03-28 10:30:00-04:00
260.0675,260.18,260.005,260.18,700,2024-03-28 10:33:00-04:00
260.15,260.16,259.89,259.96,1100,2024-03-28 10:34:00-04:00
259.9866,260.125,259.9866,260.125,400,2024-03-28 10:35:00-04:00
260.04,260.05,260.04,260.05,200,2024-03-28 10:36:00-04:00
260.11,260.14,260.11,260.14,425,2024-03-28 10:37:00-04:00
260.14,260.145,260.14,260.145,605,2024-03-28 10:38:00-04:00
260.14,260.27,260.01,260.13,3388,2024-03-28 10:39:00-04:00
260.1825,260.23,260.07,260.23,589,2024-03-28 10:40:00-04:00
260.135,260.135,260.135,260.135,100,2024-03-28 10:41:00-04:00
260.1475,260.205,260.1475,260.16,561,2024-03-28 10:42:00-04:00
260.215,260.215,260.215,260.215,100,2024-03-28 10:43:00-04:00
260.215,260.49,260.175,260.23,2282,2024-03-28 10:44:00-04:00
260.24,260.5,260.24,260.4425,7132,2024-03-28 10:45:00-04:00
260.59,260.68,260.49,260.675,800,2024-03-28 10:46:00-04:00
260.78,260.81,260.7025,260.7025,400,2024-03-28 10:47:00-04:00
260.73,260.73,260.65,260.65,250,2024-03-28 10:48:00-04:00
260.74,260.74,260.74,260.74,189,2024-03-28 10:49:00-04:00
260.755,260.875,260.755,260.875,500,2024-03-28 10:50:00-04:00
261.1166,261.1166,260.985,260.985,400,2024-03-28 10:51:00-04:00
261.005,261.12,261.005,261.12,200,2024-03-28 10:52:00-04:00
261.1,261.1,260.855,260.99,1748,2024-03-28 10:53:00-04:00
261.04,261.04,261.04,261.04,100,2024-03-28 10:54:00-04:00
261.1775,261.1775,261.04,261.04,425,2024-03-28 10:56:00-04:00
260.91,260.92,260.73,260.73,1304,2024-03-28 10:57:00-04:00
