open,high,low,close,volume,datetime
260.05,260.05,260.05,260.05,100,2024-03-28 07:25:00-04:00
260.78,260.78,260.78,260.78,100,2024-03-28 07:44:00-04:00
260.89,261.0,260.89,261.0,506,2024-03-28 07:49:00-04:00
260.99,261.23,260.99,261.05,1004,2024-03-28 07:53:00-04:00
261.0,261.0,261.0,261.0,120,2024-03-28 07:54:00-04:00
261.0,261.22,261.0,261.22,200,2024-03-28 07:57:00-04:00
261.67,261.67,261.67,261.67,390,2024-03-28 07:58:00-04:00
260.0,260.0,260.0,260.0,156,2024-03-28 08:12:00-04:00
261.5,261.5,261.5,261.5,125,2024-03-28 08:26:00-04:00
261.6199,261.6199,261.6199,261.6199,1845,2024-03-28 08:41:00-04:00
261.31,261.31,261.31,261.31,229,2024-03-28 08:54:00-04:00
261.32,261.32,261.32,261.32,100,2024-03-28 09:04:00-04:00
261.32,261.32,261.32,261.32,100,2024-03-28 09:11:00-04:00
261.45,261.489,260.71,261.39,11373,2024-03-28 09:30:00-04:00
261.38,262.21,261.33,261.83,6845,2024-03-28 09:31:00-04:00
261.905,262.15,261.53,261.775,18358,2024-03-28 09:32:00-04:00
261.82,261.82,261.395,261.7,1705,2024-03-28 09:33:00-04:00
261.88,262.11,261.88,262.09,2090,2024-03-28 09:34:00-04:00
261.95,262.11,261.95,262.11,685,2024-03-28 09:35:00-04:00
261.92,261.95,261.58,261.58,799,2024-03-28 09:36:00-04:00
261.75,261.75,261.141,261.141,3420,2024-03-28 09:37:00-04:00
261.12,261.12,260.785,260.93,1974,2024-03-28 09:38:00-04:00
260.91,261.41,260.91,261.36,1414,2024-03-28 09:39:00-04:00
261.06,261.325,261.06,261.1928,642,2024-03-28 09:40:00-04:00
261.1,261.2,261.02,261.09,2900,2024-03-28 09:41:00-04:00
261.22,261.455,261.1149,261.455,2600,2024-03-28 09:42:00-04:00
261.25,261.25,261.06,261.06,877,2024-03-28 09:43:00-04:00
261.14,261.28,261.13,261.26,750,2024-03-28 09:44:00-04:00
260.82,261.06,260.75,260.9,2200,2024-03-28 09:46:00-04:00
260.94,261.085,260.9,260.9,1555,2024-03-28 09:47:00-04:00
260.87,260.87,260.6048,260.6048,610,2024-03-28 09:48:00-04:00
260.61,260.62,260.5,260.5,501,2024-03-28 09:49:00-04:00
260.5,260.5,260.37,260.45,1073,2024-03-28 09:50:00-04:00
260.41,260.41,260.37,260.37,200,2024-03-28 09:51:00-04:00
260.32,260.51,260.32,260.51,3603,2024-03-28 09:52:00-04:00
260.51,260.66,260.48,260.5,3100,2024-03-28 09:53:00-04:00
260.48,260.52,260.35,260.35,2000,2024-03-28 09:54:00-04:00
