open,high,low,close,volume,datetime
66.51,66.51,66.51,66.51,100,2024-03-28 07:00:00-04:00
66.6,66.6,66.6,66.6,195,2024-03-28 07:05:00-04:00
66.58,66.58,66.58,66.58,100,2024-03-28 07:13:00-04:00
66.54,66.56,66.54,66.56,200,2024-03-28 07:42:00-04:00
66.56,66.56,66.56,66.56,100,2024-03-28 07:56:00-04:00
66.57,66.57,66.56,66.56,670,2024-03-28 08:02:00-04:00
66.57,66.57,66.57,66.57,200,2024-03-28 08:03:00-04:00
66.59,66.65,66.404,66.65,954,2024-03-28 08:04:00-04:00
66.7,66.7,66.57,66.57,800,2024-03-28 08:06:00-04:00
66.57,66.57,66.57,66.57,882,2024-03-28 08:11:00-04:00
66.57,66.57,66.57,66.57,796,2024-03-28 08:12:00-04:00
66.5699,66.5699,66.5699,66.5699,100,2024-03-28 08:13:00-04:00
66.5681,66.5681,66.5681,66.5681,100,2024-03-28 08:17:00-04:00
66.51,66.51,66.51,66.51,100,2024-03-28 08:28:00-04:00
66.57,66.57,66.57,66.57,1811,2024-03-28 08:30:00-04:00
66.57,66.57,66.57,66.57,1350,2024-03-28 08:31:00-04:00
66.55,66.55,66.55,66.55,304,2024-03-28 08:32:00-04:00
66.54,66.54,66.54,66.54,100,2024-03-28 08:34:00-04:00
66.55,66.55,66.55,66.55,500,2024-03-28 08:40:00-04:00
66.5208,66.5208,66.5,66.5,400,2024-03-28 08:43:00-04:00
66.5,66.5,66.5,66.5,200,2024-03-28 08:46:00-04:00
66.49,66.49,66.48,66.48,600,2024-03-28 08:48:00-04:00
66.53,66.53,66.53,66.53,164,2024-03-28 08:49:00-04:00
66.55,66.56,66.55,66.56,262,2024-03-28 08:58:00-04:00
66.56,66.56,66.56,66.56,138,2024-03-28 08:59:00-04:00
66.57,66.57,66.57,66.57,100,2024-03-28 09:00:00-04:00
66.57,66.57,66.57,66.57,741,2024-03-28 09:05:00-04:00
66.6252,66.6252,66.6252,66.6252,100,2024-03-28 09:06:00-04:00
66.59,66.59,66.59,66.59,100,2024-03-28 09:08:00-04:00
66.6,66.6,66.6,66.6,150,2024-03-28 09:09:00-04:00
66.58,66.58,66.58,66.58,150,2024-03-28 09:10:00-04:00
66.6603,66.6603,66.6603,66.6603,100,2024-03-28 09:15:00-04:00
66.56,66.56,66.56,66.56,700,2024-03-28 09:20:00-04:00
66.6,66.6,66.58,66.6,420,2024-03-28 09:25:00-04:00
66.6,66.6,66.6,66.6,629,2024-03-28 09:27:00-04:00
66.84,66.91,66.7,66.91,3990,2024-03-28 09:28:00-04:00
66.9,66.9,66.9,66.9,198,2024-03-28 09:29:00-04:00
66.87,66.99,66.72,66.79,133423,2024-03-28 09:30:00-04:00
66.77,66.819,66.58,66.58,19020,2024-03-28 09:31:00-04:00
66.62,66.67,66.53,66.54,29642,2024-03-28 09:32:00-04:00
66.5592,66.64,66.43,66.6389,21163,2024-03-28 09:33:00-04:00
66.6497,66.8064,66.615,66.79,26616,2024-03-28 09:34:00-04:00
66.78,66.887,66.76,66.87,25657,2024-03-28 09:35:00-04:00
66.83,67.01,66.81,67.0,147514,2024-03-28 09:36:00-04:00
67.0,67.005,66.88,66.938,36397,2024-03-28 09:37:00-04:00
66.95,66.95,66.88,66.88,11724,2024-03-28 09:38:00-04:00
66.84,67.01,66.84,66.9,57270,2024-03-28 09:39:00-04:00
66.9,66.94,66.72,66.865,47245,2024-03-28 09:40:00-04:00
66.8799,66.905,66.83,66.835,15886,2024-03-28 09:41:00-04:00
66.81,66.8681,66.75,66.8052,12365,2024-03-28 09:42:00-04:00
66.8,66.8,66.7,66.72,11305,2024-03-28 09:43:00-04:00
66.725,66.81,66.725,66.78,10894,2024-03-28 09:44:00-04:00
66.78,66.81,66.74,66.81,12686,2024-03-28 09:45:00-04:00
66.805,66.815,66.73,66.74,33610,2024-03-28 09:46:00-04:00
66.76,66.84,66.76,66.7699,31680,2024-03-28 09:47:00-04:00
66.76,66.78,66.645,66.655,37141,2024-03-28 09:48:00-04:00
66.645,66.68,66.5712,66.575,20698,2024-03-28 09:49:00-04:00
66.58,66.66,66.58,66.66,18200,2024-03-28 09:50:00-04:00
66.64,66.69,66.57,66.6,16027,2024-03-28 09:51:00-04:00
66.61,66.705,66.59,66.68,25881,2024-03-28 09:52:00-04:00
66.67,66.68,66.585,66.61,18366,2024-03-28 09:53:00-04:00
66.6,66.605,66.485,66.51,13776,2024-03-28 09:54:00-04:00
66.52,66.56,66.495,66.54,55262,2024-03-28 09:55:00-04:00
66.53,66.56,66.515,66.54,12410,2024-03-28 09:56:00-04:00
66.535,66.5468,66.485,66.49,10973,2024-03-28 09:57:00-04:00
66.5,66.57,66.5,66.555,6214,2024-03-28 09:58:00-04:00
66.54,66.54,66.475,66.5,11186,2024-03-28 09:59:00-04:00
66.52,66.57,66.51,66.53,10394,2024-03-28 10:00:00-04:00
66.5399,66.605,66.5399,66.54,15450,2024-03-28 10:01:00-04:00
66.545,66.545,66.495,66.4975,23522,2024-03-28 10:02:00-04:00
66.505,66.63,66.495,66.62,30051,2024-03-28 10:03:00-04:00
66.62,66.67,66.61,66.615,29457,2024-03-28 10:04:00-04:00
66.62,66.71,66.62,66.68,35471,2024-03-28 10:05:00-04:00
66.66,66.67,66.58,66.585,21143,2024-03-28 10:06:00-04:00
66.59,66.64,66.58,66.64,10210,2024-03-28 10:07:00-04:00
66.63,66.64,66.6004,66.635,9552,2024-03-28 10:08:00-04:00
66.635,66.74,66.63,66.72,20838,2024-03-28 10:09:00-04:00
66.715,66.755,66.67,66.67,7989,2024-03-28 10:10:00-04:00
66.6725,66.7365,66.6725,66.72,10010,2024-03-28 10:11:00-04:00
66.72,66.735,66.68,66.68,13402,2024-03-28 10:12:00-04:00
66.6819,66.695,66.63,66.67,17951,2024-03-28 10:13:00-04:00
66.68,66.7687,66.68,66.745,17576,2024-03-28 10:14:00-04:00
66.7499,66.8,66.7499,66.765,15307,2024-03-28 10:15:00-04:00
66.7614,66.77,66.705,66.735,14587,2024-03-28 10:16:00-04:00
66.74,66.75,66.66,66.675,13670,2024-03-28 10:17:00-04:00
66.675,66.685,66.645,66.655,3617,2024-03-28 10:18:00-04:00
66.655,66.74,66.645,66.72,14118,2024-03-28 10:19:00-04:00
66.71,66.745,66.705,66.7101,10419,2024-03-28 10:20:00-04:00
