open,high,low,close,volume,datetime
73.75,73.93,73.43,73.685,3524,2021-11-23 09:30:00-05:00
73.61,73.86,73.61,73.86,1000,2021-11-23 09:31:00-05:00
73.76,73.85,73.75,73.835,605,2021-11-23 09:32:00-05:00
73.97,73.97,73.76,73.76,1849,2021-11-23 09:33:00-05:00
73.68,73.68,73.64,73.64,300,2021-11-23 09:34:00-05:00
73.655,73.72,73.51,73.72,2885,2021-11-23 09:35:00-05:00
73.81,73.91,73.77,73.91,300,2021-11-23 09:36:00-05:00
73.895,73.895,73.71,73.81,900,2021-11-23 09:37:00-05:00
73.82,73.835,73.77,73.8125,900,2021-11-23 09:38:00-05:00
73.82,73.82,73.8,73.8,300,2021-11-23 09:39:00-05:00
73.93,73.93,73.85,73.855,3500,2021-11-23 09:40:00-05:00
73.8901,73.8901,73.8901,73.8901,400,2021-11-23 09:41:00-05:00
73.95,73.95,73.92,73.945,402,2021-11-23 09:43:00-05:00
73.905,73.96,73.905,73.945,371,2021-11-23 09:44:00-05:00
73.93,73.93,73.93,73.93,100,2021-11-23 09:45:00-05:00
74.005,74.03,73.97,73.97,1254,2021-11-23 09:46:00-05:00
73.96,73.96,73.96,73.96,100,2021-11-23 09:47:00-05:00
73.933,74.04,73.93,74.04,500,2021-11-23 09:48:00-05:00
73.96,73.96,73.941,73.941,300,2021-11-23 09:49:00-05:00
73.995,74.1,73.995,74.03,1000,2021-11-23 09:50:00-05:00
74.05,74.05,74.0,74.005,6300,2021-11-23 09:51:00-05:00
73.96,74.0,73.96,73.996,1416,2021-11-23 09:52:00-05:00
74.0,74.06,73.93,73.98,4446,2021-11-23 09:53:00-05:00
73.905,73.94,73.905,73.905,521,2021-11-23 09:54:00-05:00
73.985,73.985,73.94,73.94,500,2021-11-23 09:55:00-05:00
73.96,74.07,73.96,74.03,2924,2021-11-23 09:56:00-05:00
74.02,74.05,74.02,74.025,400,2021-11-23 09:57:00-05:00
73.98,73.985,73.98,73.985,300,2021-11-23 09:58:00-05:00
73.98,73.98,73.98,73.98,100,2021-11-23 09:59:00-05:00
73.96,73.985,73.92,73.94,2100,2021-11-23 10:00:00-05:00
74.02,74.02,74.02,74.02,100,2021-11-23 10:01:00-05:00
74.08,74.115,74.08,74.115,200,2021-11-23 10:02:00-05:00
74.14,74.2,74.14,74.2,900,2021-11-23 10:04:00-05:00
74.23,74.23,74.19,74.19,500,2021-11-23 10:05:00-05:00
74.24,74.245,74.235,74.245,412,2021-11-23 10:06:00-05:00
74.27,74.27,74.26,74.26,200,2021-11-23 10:07:00-05:00
74.28,74.295,74.12,74.12,4464,2021-11-23 10:08:00-05:00
74.16,74.2,74.16,74.175,2151,2021-11-23 10:09:00-05:00
74.2,74.25,74.16,74.25,1406,2021-11-23 10:10:00-05:00
74.31,74.325,74.3,74.325,4900,2021-11-23 10:11:00-05:00
74.25,74.37,74.25,74.37,1323,2021-11-23 10:12:00-05:00
74.35,74.35,74.285,74.285,400,2021-11-23 10:13:00-05:00
74.23,74.24,74.111,74.15,700,2021-11-23 10:14:00-05:00
74.14,74.14,74.06,74.135,2000,2021-11-23 10:15:00-05:00
74.09,74.09,74.05,74.09,700,2021-11-23 10:16:00-05:00
74.08,74.14,74.04,74.04,2300,2021-11-23 10:17:00-05:00
74.06,74.06,74.05,74.05,600,2021-11-23 10:18:00-05:00
74.01,74.01,73.98,73.98,300,2021-11-23 10:19:00-05:00
74.04,74.05,74.005,74.045,2385,2021-11-23 10:20:00-05:00
73.95,74.05,73.95,74.05,1500,2021-11-23 10:21:00-05:00
74.05,74.15,74.045,74.105,3209,2021-11-23 10:23:00-05:00
74.04,74.04,74.03,74.03,1100,2021-11-23 10:24:00-05:00
74.07,74.08,74.04,74.04,300,2021-11-23 10:25:00-05:00
74.03,74.03,74.02,74.02,600,2021-11-23 10:26:00-05:00
74.03,74.04,74.0,74.0,1800,2021-11-23 10:28:00-05:00
74.0,74.03,74.0,74.03,3971,2021-11-23 10:29:00-05:00
74.05,74.06,74.04,74.06,300,2021-11-23 10:30:00-05:00
74.04,74.115,74.04,74.115,2855,2021-11-23 10:31:00-05:00
74.15,74.15,74.04,74.07,2526,2021-11-23 10:32:00-05:00
74.07,74.07,74.04,74.04,900,2021-11-23 10:33:00-05:00
74.0,74.01,73.99,74.01,500,2021-11-23 10:34:00-05:00
73.99,74.03,73.99,74.015,1903,2021-11-23 10:35:00-05:00
74.0,74.0,73.96,73.97,500,2021-11-23 10:36:00-05:00
73.97,73.97,73.97,73.97,5900,2021-11-23 10:37:00-05:00
73.961,73.97,73.9,73.9,1000,2021-11-23 10:38:00-05:00
73.91,73.92,73.9,73.9,1200,2021-11-23 10:39:00-05:00
73.9,73.92,73.875,73.88,21631,2021-11-23 10:40:00-05:00
73.92,73.96,73.92,73.94,678,2021-11-23 10:41:00-05:00
73.985,73.985,73.98,73.98,300,2021-11-23 10:42:00-05:00
73.99,73.99,73.97,73.97,200,2021-11-23 10:43:00-05:00
74.05,74.06,74.04,74.06,574,2021-11-23 10:45:00-05:00
74.015,74.03,74.01,74.03,800,2021-11-23 10:46:00-05:00
74.0,74.05,74.0,74.0,3673,2021-11-23 10:47:00-05:00
74.0,74.04,73.985,73.985,2086,2021-11-23 10:48:00-05:00
73.97,73.97,73.97,73.97,100,2021-11-23 10:49:00-05:00
74.0,74.0,74.0,74.0,200,2021-11-23 10:50:00-05:00
74.0,74.0,73.962,73.985,1300,2021-11-23 10:51:00-05:00
73.985,74.0,73.97,73.99,1448,2021-11-23 10:52:00-05:00
73.985,74.01,73.985,74.0,9975,2021-11-23 10:53:00-05:00
73.98,73.98,73.94,73.95,900,2021-11-23 10:55:00-05:00
73.93,73.93,73.93,73.93,100,2021-11-23 10:56:00-05:00
73.92,73.93,73.9,73.93,2549,2021-11-23 10:57:00-05:00
73.93,73.98,73.93,73.955,1050,2021-11-23 10:58:00-05:00
73.96,73.98,73.93,73.98,800,2021-11-23 10:59:00-05:00
73.99,74.01,73.94,73.94,2700,2021-11-23 11:00:00-05:00
73.93,73.93,73.905,73.905,900,2021-11-23 11:01:00-05:00
73.89,73.97,73.89,73.97,1100,2021-11-23 11:02:00-05:00
74.0,74.02,73.94,73.94,1919,2021-11-23 11:03:00-05:00
73.94,73.97,73.92,73.95,1000,2021-11-23 11:04:00-05:00
73.99,74.0,73.99,74.0,697,2021-11-23 11:05:00-05:00
73.96,73.96,73.96,73.96,200,2021-11-23 11:06:00-05:00
73.94,73.94,73.92,73.92,700,2021-11-23 11:07:00-05:00
73.91,73.91,73.88,73.88,1220,2021-11-23 11:08:00-05:00
73.88,73.88,73.85,73.85,1000,2021-11-23 11:09:00-05:00
73.88,73.88,73.78,73.78,5100,2021-11-23 11:10:00-05:00
73.79,73.87,73.79,73.85,2667,2021-11-23 11:11:00-05:00
73.86,73.88,73.85,73.855,700,2021-11-23 11:12:00-05:00
73.87,73.87,73.845,73.845,2100,2021-11-23 11:13:00-05:00
73.85,73.85,73.85,73.85,100,2021-11-23 11:14:00-05:00
73.86,73.925,73.843,73.925,11506,2021-11-23 11:15:00-05:00
73.95,74.01,73.95,73.95,2932,2021-11-23 11:16:00-05:00
73.95,73.95,73.91,73.91,416,2021-11-23 11:17:00-05:00
73.89,73.89,73.84,73.845,500,2021-11-23 11:18:00-05:00
73.841,73.841,73.841,73.841,100,2021-11-23 11:19:00-05:00
73.85,73.85,73.84,73.845,300,2021-11-23 11:20:00-05:00
73.85,73.8575,73.85,73.8575,570,2021-11-23 11:21:00-05:00
73.85,73.85,73.84,73.84,400,2021-11-23 11:22:00-05:00
73.87,73.87,73.85,73.85,600,2021-11-23 11:23:00-05:00
73.84,73.86,73.84,73.85,500,2021-11-23 11:24:00-05:00
73.875,73.9,73.875,73.875,300,2021-11-23 11:25:00-05:00
73.875,73.88,73.865,73.865,1229,2021-11-23 11:26:00-05:00
73.865,73.89,73.865,73.885,400,2021-11-23 11:27:00-05:00
73.89,73.89,73.851,73.851,900,2021-11-23 11:29:00-05:00
73.89,73.89,73.851,73.885,600,2021-11-23 11:30:00-05:00
73.89,73.89,73.87,73.87,1000,2021-11-23 11:31:00-05:00
73.88,73.88,73.865,73.865,506,2021-11-23 11:32:00-05:00
73.87,73.87,73.84,73.85,1119,2021-11-23 11:33:00-05:00
73.85,73.85,73.77,73.77,1600,2021-11-23 11:34:00-05:00
73.78,73.81,73.78,73.81,800,2021-11-23 11:35:00-05:00
73.781,73.835,73.781,73.81,1100,2021-11-23 11:36:00-05:00
73.81,73.865,73.81,73.865,200,2021-11-23 11:37:00-05:00
73.865,73.91,73.865,73.9,900,2021-11-23 11:38:00-05:00
73.96,73.96,73.91,73.92,800,2021-11-23 11:40:00-05:00
73.95,74.03,73.95,74.03,741,2021-11-23 11:41:00-05:00
74.05,74.05,74.03,74.03,1100,2021-11-23 11:43:00-05:00
74.0,74.0,73.915,73.915,1200,2021-11-23 11:44:00-05:00
73.98,74.04,73.96,74.04,1611,2021-11-23 11:45:00-05:00
74.05,74.05,74.05,74.05,100,2021-11-23 11:46:00-05:00
74.09,74.13,74.07,74.07,1200,2021-11-23 11:47:00-05:00
74.07,74.07,74.01,74.01,480,2021-11-23 11:48:00-05:00
74.03,74.03,74.01,74.01,700,2021-11-23 11:49:00-05:00
74.025,74.07,74.025,74.055,1400,2021-11-23 11:50:00-05:00
74.05,74.05,74.05,74.05,500,2021-11-23 11:51:00-05:00
74.06,74.09,74.06,74.09,232,2021-11-23 11:52:00-05:00
74.04,74.04,74.001,74.001,300,2021-11-23 11:53:00-05:00
74.05,74.05,74.001,74.001,965,2021-11-23 11:54:00-05:00
74.03,74.03,74.03,74.03,227,2021-11-23 11:55:00-05:00
74.04,74.05,74.04,74.05,201,2021-11-23 11:56:00-05:00
74.05,74.05,74.05,74.05,250,2021-11-23 11:57:00-05:00
74.03,74.03,73.99,73.99,500,2021-11-23 11:58:00-05:00
73.99,73.99,73.97,73.97,1100,2021-11-23 11:59:00-05:00
73.96,73.995,73.943,73.995,1064,2021-11-23 12:00:00-05:00
73.98,73.995,73.95,73.96,2400,2021-11-23 12:01:00-05:00
73.91,73.91,73.87,73.87,400,2021-11-23 12:02:00-05:00
73.91,73.91,73.91,73.91,100,2021-11-23 12:03:00-05:00
73.87,73.87,73.84,73.86,1741,2021-11-23 12:04:00-05:00
73.85,73.86,73.85,73.86,400,2021-11-23 12:05:00-05:00
73.83,73.93,73.83,73.93,1579,2021-11-23 12:06:00-05:00
73.93,73.95,73.93,73.95,1700,2021-11-23 12:07:00-05:00
73.94,73.94,73.94,73.94,200,2021-11-23 12:08:00-05:00
73.95,73.96,73.95,73.96,465,2021-11-23 12:09:00-05:00
73.985,73.985,73.985,73.985,134,2021-11-23 12:10:00-05:00
74.0,74.0,73.9684,73.97,3126,2021-11-23 12:11:00-05:00
73.97,74.02,73.97,74.02,1529,2021-11-23 12:12:00-05:00
74.03,74.03,74.01,74.01,400,2021-11-23 12:13:00-05:00
74.0,74.01,73.96,73.96,1825,2021-11-23 12:14:00-05:00
73.97,74.01,73.97,74.01,700,2021-11-23 12:15:00-05:00
74.02,74.065,74.02,74.065,800,2021-11-23 12:16:00-05:00
74.07,74.09,74.04,74.09,1079,2021-11-23 12:17:00-05:00
74.1,74.1,74.1,74.1,100,2021-11-23 12:18:00-05:00
74.11,74.11,74.09,74.1,675,2021-11-23 12:19:00-05:00
74.13,74.2,74.13,74.2,878,2021-11-23 12:20:00-05:00
74.21,74.21,74.16,74.16,657,2021-11-23 12:21:00-05:00
74.19,74.19,74.16,74.16,200,2021-11-23 12:22:00-05:00
74.185,74.2,74.18,74.18,835,2021-11-23 12:23:00-05:00
74.16,74.16,74.125,74.125,1000,2021-11-23 12:24:00-05:00
74.11,74.13,74.11,74.12,1300,2021-11-23 12:25:00-05:00
74.13,74.13,74.13,74.13,300,2021-11-23 12:26:00-05:00
74.13,74.14,74.13,74.14,400,2021-11-23 12:27:00-05:00
74.16,74.16,74.16,74.16,200,2021-11-23 12:28:00-05:00
74.13,74.13,74.113,74.113,200,2021-11-23 12:29:00-05:00
74.125,74.125,74.11,74.12,600,2021-11-23 12:30:00-05:00
74.11,74.11,74.05,74.1,2504,2021-11-23 12:31:00-05:00
74.09,74.09,74.09,74.09,600,2021-11-23 12:33:00-05:00
74.05,74.05,73.995,74.02,1409,2021-11-23 12:34:00-05:00
74.0,74.0,73.99,73.99,500,2021-11-23 12:35:00-05:00
74.01,74.025,74.01,74.02,300,2021-11-23 12:36:00-05:00
74.0,74.025,74.0,74.0,700,2021-11-23 12:38:00-05:00
74.02,74.02,74.001,74.001,200,2021-11-23 12:39:00-05:00
74.0,74.0,73.981,74.0,2021,2021-11-23 12:40:00-05:00
73.99,73.99,73.99,73.99,300,2021-11-23 12:41:00-05:00
73.985,73.985,73.985,73.985,1000,2021-11-23 12:42:00-05:00
73.99,74.03,73.985,73.995,3418,2021-11-23 12:43:00-05:00
74.0,74.0,74.0,74.0,800,2021-11-23 12:44:00-05:00
73.981,73.981,73.98,73.98,200,2021-11-23 12:45:00-05:00
74.01,74.045,74.01,74.045,800,2021-11-23 12:46:00-05:00
74.02,74.02,73.98,73.99,700,2021-11-23 12:47:00-05:00
73.98,73.99,73.98,73.99,400,2021-11-23 12:48:00-05:00
73.97,73.97,73.945,73.945,300,2021-11-23 12:49:00-05:00
73.94,73.96,73.94,73.96,900,2021-11-23 12:50:00-05:00
73.96,73.96,73.96,73.96,500,2021-11-23 12:51:00-05:00
73.96,73.96,73.92,73.92,1135,2021-11-23 12:53:00-05:00
73.895,73.895,73.85,73.86,700,2021-11-23 12:54:00-05:00
73.84,73.84,73.84,73.84,200,2021-11-23 12:55:00-05:00
73.82,73.82,73.815,73.815,500,2021-11-23 12:56:00-05:00
73.82,73.82,73.801,73.801,1009,2021-11-23 12:57:00-05:00
73.82,73.84,73.79,73.79,1100,2021-11-23 12:58:00-05:00
73.81,73.83,73.79,73.83,1473,2021-11-23 12:59:00-05:00
73.82,73.88,73.82,73.86,800,2021-11-23 13:00:00-05:00
73.86,73.929,73.86,73.928,920,2021-11-23 13:01:00-05:00
73.89,73.98,73.89,73.98,700,2021-11-23 13:02:00-05:00
73.945,73.945,73.939,73.939,300,2021-11-23 13:03:00-05:00
73.89,73.89,73.89,73.89,300,2021-11-23 13:04:00-05:00
73.825,73.85,73.825,73.85,600,2021-11-23 13:05:00-05:00
73.87,73.88,73.87,73.88,1007,2021-11-23 13:07:00-05:00
73.805,73.82,73.805,73.82,1463,2021-11-23 13:10:00-05:00
73.81,73.81,73.79,73.8,1064,2021-11-23 13:11:00-05:00
73.78,73.8,73.78,73.8,521,2021-11-23 13:12:00-05:00
73.84,73.9,73.84,73.9,799,2021-11-23 13:13:00-05:00
73.9,73.93,73.9,73.9,1724,2021-11-23 13:15:00-05:00
73.911,73.911,73.91,73.91,586,2021-11-23 13:17:00-05:00
73.89,73.91,73.89,73.9,1000,2021-11-23 13:18:00-05:00
73.892,73.9,73.84,73.84,1527,2021-11-23 13:19:00-05:00
73.85,73.87,73.85,73.86,1700,2021-11-23 13:20:00-05:00
73.84,73.86,73.84,73.86,946,2021-11-23 13:21:00-05:00
73.85,73.85,73.85,73.85,100,2021-11-23 13:22:00-05:00
73.855,73.88,73.855,73.88,582,2021-11-23 13:23:00-05:00
73.865,73.865,73.84,73.865,300,2021-11-23 13:24:00-05:00
73.86,73.86,73.86,73.86,100,2021-11-23 13:25:00-05:00
73.86,73.87,73.835,73.835,1979,2021-11-23 13:26:00-05:00
73.85,73.85,73.815,73.82,600,2021-11-23 13:27:00-05:00
73.84,73.85,73.83,73.85,400,2021-11-23 13:28:00-05:00
73.84,73.85,73.82,73.82,1301,2021-11-23 13:29:00-05:00
73.83,73.85,73.79,73.84,3015,2021-11-23 13:30:00-05:00
73.84,73.86,73.84,73.85,1500,2021-11-23 13:31:00-05:00
73.85,73.87,73.85,73.87,400,2021-11-23 13:33:00-05:00
73.88,73.88,73.88,73.88,100,2021-11-23 13:34:00-05:00
73.89,73.92,73.89,73.91,1257,2021-11-23 13:35:00-05:00
73.93,73.93,73.92,73.92,300,2021-11-23 13:38:00-05:00
73.94,74.0,73.92,74.0,2130,2021-11-23 13:41:00-05:00
73.99,73.99,73.971,73.971,200,2021-11-23 13:42:00-05:00
73.97,73.97,73.97,73.97,900,2021-11-23 13:43:00-05:00
73.96,73.96,73.94,73.94,706,2021-11-23 13:45:00-05:00
73.94,73.94,73.92,73.92,2216,2021-11-23 13:46:00-05:00
73.93,73.93,73.88,73.9,2692,2021-11-23 13:47:00-05:00
73.9,73.925,73.9,73.925,1281,2021-11-23 13:48:00-05:00
73.94,73.94,73.94,73.94,400,2021-11-23 13:49:00-05:00
73.94,73.95,73.93,73.93,1301,2021-11-23 13:50:00-05:00
73.93,73.93,73.93,73.93,100,2021-11-23 13:51:00-05:00
73.96,74.0,73.96,74.0,1147,2021-11-23 13:52:00-05:00
74.0,74.04,74.0,74.04,400,2021-11-23 13:53:00-05:00
74.04,74.04,74.01,74.01,571,2021-11-23 13:54:00-05:00
74.02,74.02,74.02,74.02,300,2021-11-23 13:55:00-05:00
74.0,74.01,73.97,73.99,1500,2021-11-23 13:56:00-05:00
73.981,73.981,73.96,73.96,700,2021-11-23 13:57:00-05:00
73.97,73.97,73.96,73.96,400,2021-11-23 13:58:00-05:00
73.95,73.96,73.95,73.96,836,2021-11-23 13:59:00-05:00
73.94,73.94,73.94,73.94,700,2021-11-23 14:00:00-05:00
73.94,73.969,73.94,73.969,500,2021-11-23 14:01:00-05:00
73.925,73.925,73.925,73.925,100,2021-11-23 14:02:00-05:00
73.91,73.91,73.88,73.88,1000,2021-11-23 14:04:00-05:00
73.87,73.88,73.82,73.88,2402,2021-11-23 14:05:00-05:00
73.92,73.96,73.91,73.96,1200,2021-11-23 14:06:00-05:00
73.95,73.98,73.95,73.96,1500,2021-11-23 14:07:00-05:00
73.95,73.95,73.95,73.95,200,2021-11-23 14:08:00-05:00
73.95,73.965,73.95,73.96,600,2021-11-23 14:09:00-05:00
73.98,73.98,73.98,73.98,200,2021-11-23 14:10:00-05:00
73.99,73.99,73.97,73.98,700,2021-11-23 14:11:00-05:00
74.0,74.0,73.99,73.99,427,2021-11-23 14:13:00-05:00
73.99,74.0,73.94,73.97,831,2021-11-23 14:14:00-05:00
73.98,73.99,73.94,73.94,2100,2021-11-23 14:15:00-05:00
73.945,73.945,73.945,73.945,200,2021-11-23 14:16:00-05:00
73.93,73.93,73.905,73.905,861,2021-11-23 14:18:00-05:00
73.905,73.92,73.905,73.905,409,2021-11-23 14:19:00-05:00
73.905,73.91,73.85,73.85,600,2021-11-23 14:20:00-05:00
73.86,73.86,73.84,73.855,800,2021-11-23 14:21:00-05:00
73.855,73.89,73.84,73.89,4033,2021-11-23 14:22:00-05:00
73.89,73.965,73.89,73.965,700,2021-11-23 14:23:00-05:00
73.95,73.95,73.95,73.95,400,2021-11-23 14:24:00-05:00
73.94,74.02,73.92,74.0,1300,2021-11-23 14:25:00-05:00
74.01,74.02,74.01,74.01,400,2021-11-23 14:26:00-05:00
