open,high,low,close,volume,datetime
136.66,136.97,136.5,136.51,11954,2021-11-23 09:30:00-05:00
136.91,136.91,136.91,136.91,100,2021-11-23 09:31:00-05:00
136.8293,136.8293,136.8293,136.8293,300,2021-11-23 09:32:00-05:00
136.73,136.94,136.73,136.94,560,2021-11-23 09:33:00-05:00
136.82,136.82,136.82,136.82,100,2021-11-23 09:34:00-05:00
136.8903,136.94,136.855,136.94,975,2021-11-23 09:35:00-05:00
136.91,137.03,136.86,137.03,801,2021-11-23 09:36:00-05:00
136.89,137.0,136.89,136.89,300,2021-11-23 09:37:00-05:00
136.59,136.64,136.59,136.64,300,2021-11-23 09:38:00-05:00
136.68,136.68,136.68,136.68,100,2021-11-23 09:39:00-05:00
136.73,136.73,136.61,136.71,578,2021-11-23 09:40:00-05:00
136.81,136.87,136.7566,136.7566,463,2021-11-23 09:41:00-05:00
136.89,136.899,136.74,136.74,1570,2021-11-23 09:42:00-05:00
136.63,136.63,136.63,136.63,400,2021-11-23 09:43:00-05:00
136.65,136.7149,136.65,136.7149,218,2021-11-23 09:44:00-05:00
136.74,136.75,136.545,136.56,1220,2021-11-23 09:45:00-05:00
136.45,136.45,136.45,136.45,100,2021-11-23 09:46:00-05:00
136.48,136.48,136.42,136.42,420,2021-11-23 09:47:00-05:00
136.59,136.8,136.59,136.8,500,2021-11-23 09:48:00-05:00
136.8,136.83,136.8,136.83,216,2021-11-23 09:49:00-05:00
136.785,136.785,136.785,136.785,100,2021-11-23 09:51:00-05:00
136.8749,136.94,136.8749,136.94,380,2021-11-23 09:52:00-05:00
137.064,137.064,137.064,137.064,500,2021-11-23 09:53:00-05:00
137.09,137.21,137.09,137.21,320,2021-11-23 09:54:00-05:00
137.33,137.39,137.32,137.39,608,2021-11-23 09:57:00-05:00
137.36,137.53,137.33,137.53,1826,2021-11-23 09:59:00-05:00
137.55,137.55,137.45,137.45,500,2021-11-23 10:02:00-05:00
137.43,137.56,137.43,137.56,300,2021-11-23 10:03:00-05:00
137.38,137.38,137.25,137.25,693,2021-11-23 10:06:00-05:00
137.3127,137.3127,137.3127,137.3127,270,2021-11-23 10:07:00-05:00
137.29,137.35,137.23,137.29,2312,2021-11-23 10:08:00-05:00
137.22,137.22,137.22,137.22,100,2021-11-23 10:09:00-05:00
137.25,137.27,137.25,137.27,314,2021-11-23 10:11:00-05:00
137.22,137.36,137.19,137.36,900,2021-11-23 10:13:00-05:00
137.28,137.28,137.19,137.27,918,2021-11-23 10:14:00-05:00
137.27,137.27,137.27,137.27,220,2021-11-23 10:15:00-05:00
137.24,137.24,137.095,137.095,200,2021-11-23 10:17:00-05:00
137.13,137.13,137.13,137.13,500,2021-11-23 10:18:00-05:00
137.19,137.25,137.19,137.25,514,2021-11-23 10:20:00-05:00
137.245,137.31,137.245,137.3096,1080,2021-11-23 10:21:00-05:00
137.23,137.23,137.2,137.2,200,2021-11-23 10:22:00-05:00
137.0,137.0,136.89,136.89,1442,2021-11-23 10:26:00-05:00
136.865,136.865,136.865,136.865,100,2021-11-23 10:28:00-05:00
136.85,136.87,136.84,136.865,979,2021-11-23 10:29:00-05:00
136.82,136.82,136.795,136.795,200,2021-11-23 10:31:00-05:00
136.86,136.86,136.7391,136.7391,568,2021-11-23 10:32:00-05:00
136.805,136.96,136.805,136.96,1300,2021-11-23 10:33:00-05:00
136.91,136.91,136.74,136.74,392,2021-11-23 10:34:00-05:00
136.79,136.79,136.79,136.79,100,2021-11-23 10:35:00-05:00
136.79,136.79,136.72,136.72,631,2021-11-23 10:38:00-05:00
136.7,136.72,136.61,136.61,1087,2021-11-23 10:39:00-05:00
136.68,136.75,136.6617,136.75,1132,2021-11-23 10:40:00-05:00
136.84,136.84,136.84,136.84,100,2021-11-23 10:43:00-05:00
136.9,136.94,136.9,136.94,400,2021-11-23 10:45:00-05:00
137.0,137.05,137.0,137.05,200,2021-11-23 10:46:00-05:00
136.977,136.995,136.977,136.995,300,2021-11-23 10:51:00-05:00
137.03,137.07,137.03,137.07,355,2021-11-23 10:52:00-05:00
137.01,137.02,137.01,137.0195,600,2021-11-23 10:53:00-05:00
137.02,137.02,137.02,137.02,100,2021-11-23 10:55:00-05:00
137.04,137.05,137.04,137.05,230,2021-11-23 10:56:00-05:00
136.99,136.99,136.99,136.99,100,2021-11-23 10:57:00-05:00
137.0,137.1,136.985,137.1,1199,2021-11-23 10:58:00-05:00
137.1,137.1,137.1,137.1,400,2021-11-23 10:59:00-05:00
137.04,137.07,137.04,137.07,200,2021-11-23 11:00:00-05:00
137.07,137.07,137.07,137.07,100,2021-11-23 11:01:00-05:00
137.15,137.2,137.15,137.2,1043,2021-11-23 11:04:00-05:00
137.35,137.35,137.19,137.255,706,2021-11-23 11:05:00-05:00
137.21,137.21,137.21,137.21,103,2021-11-23 11:06:00-05:00
137.21,137.25,137.21,137.25,600,2021-11-23 11:07:00-05:00
137.155,137.155,137.155,137.155,100,2021-11-23 11:08:00-05:00
137.125,137.125,137.125,137.125,600,2021-11-23 11:09:00-05:00
137.1816,137.25,137.1816,137.25,818,2021-11-23 11:11:00-05:00
137.31,137.31,137.3,137.3,238,2021-11-23 11:14:00-05:00
137.25,137.25,137.25,137.25,2500,2021-11-23 11:15:00-05:00
137.29,137.29,137.2671,137.2671,386,2021-11-23 11:16:00-05:00
137.24,137.29,137.23,137.26,920,2021-11-23 11:17:00-05:00
137.32,137.36,137.32,137.32,409,2021-11-23 11:18:00-05:00
137.35,137.35,137.35,137.35,301,2021-11-23 11:19:00-05:00
137.38,137.38,137.38,137.38,200,2021-11-23 11:20:00-05:00
137.41,137.41,137.41,137.41,392,2021-11-23 11:21:00-05:00
137.32,137.32,137.32,137.32,100,2021-11-23 11:22:00-05:00
137.3867,137.3867,137.3867,137.3867,100,2021-11-23 11:24:00-05:00
137.35,137.35,137.29,137.35,4728,2021-11-23 11:25:00-05:00
