open,high,low,close,volume,datetime
219.94,219.94,219.03,219.75,4265,2024-03-28 09:30:00-04:00
219.08,219.09,218.25,218.37,400,2024-03-28 09:33:00-04:00
219.095,219.63,219.095,219.63,400,2024-03-28 09:34:00-04:00
219.68,219.7,219.68,219.7,200,2024-03-28 09:35:00-04:00
219.035,219.035,219.035,219.035,100,2024-03-28 09:36:00-04:00
218.42,218.745,218.42,218.745,200,2024-03-28 09:37:00-04:00
218.745,218.745,217.99,217.99,200,2024-03-28 09:38:00-04:00
218.3265,218.39,218.3265,218.39,505,2024-03-28 09:39:00-04:00
218.18,218.27,217.83,217.83,700,2024-03-28 09:40:00-04:00
218.175,218.2331,218.175,218.185,585,2024-03-28 09:41:00-04:00
218.325,218.81,218.085,218.755,3354,2024-03-28 09:42:00-04:00
218.615,218.615,218.615,218.615,100,2024-03-28 09:43:00-04:00
218.505,218.505,218.505,218.505,100,2024-03-28 09:44:00-04:00
218.46,218.46,218.265,218.265,200,2024-03-28 09:46:00-04:00
218.1645,218.175,218.1645,218.175,217,2024-03-28 09:47:00-04:00
218.46,218.46,218.46,218.46,100,2024-03-28 09:48:00-04:00
218.115,218.115,218.115,218.115,223,2024-03-28 09:49:00-04:00
217.94,217.94,217.91,217.91,300,2024-03-28 09:50:00-04:00
217.8269,217.8269,217.8269,217.8269,100,2024-03-28 09:51:00-04:00
217.81,217.81,217.56,217.56,430,2024-03-28 09:52:00-04:00
217.79,218.0,217.79,217.9,1834,2024-03-28 09:53:00-04:00
217.78,217.79,217.78,217.79,300,2024-03-28 09:54:00-04:00
217.755,217.755,217.755,217.755,100,2024-03-28 09:55:00-04:00
217.99,218.03,217.99,218.02,651,2024-03-28 09:56:00-04:00
217.9525,217.9525,217.945,217.945,300,2024-03-28 09:57:00-04:00
217.985,217.985,217.985,217.985,200,2024-03-28 09:58:00-04:00
218.035,218.035,218.035,218.035,200,2024-03-28 09:59:00-04:00
218.03,218.03,217.99,217.99,200,2024-03-28 10:00:00-04:00
218.21,218.32,218.21,218.32,621,2024-03-28 10:01:00-04:00
218.54,218.7,218.53,218.7,500,2024-03-28 10:02:00-04:00
218.58,218.58,218.51,218.58,1000,2024-03-28 10:03:00-04:00
218.5,218.5,218.49,218.49,400,2024-03-28 10:04:00-04:00
218.485,218.49,218.485,218.49,352,2024-03-28 10:05:00-04:00
218.59,218.62,218.59,218.62,430,2024-03-28 10:06:00-04:00
218.69,218.69,218.69,218.69,102,2024-03-28 10:07:00-04:00
218.73,218.75,218.71,218.71,400,2024-03-28 10:08:00-04:00
218.69,218.69,218.69,218.69,186,2024-03-28 10:09:00-04:00
218.685,218.685,218.59,218.59,326,2024-03-28 10:10:00-04:00
218.8,218.86,218.71,218.82,516,2024-03-28 10:11:00-04:00
218.93,219.26,218.93,219.26,1278,2024-03-28 10:12:00-04:00
219.26,219.36,219.26,219.36,614,2024-03-28 10:13:00-04:00
219.455,219.455,219.35,219.38,1268,2024-03-28 10:14:00-04:00
219.3801,219.5,219.3801,219.5,419,2024-03-28 10:16:00-04:00
219.32,219.34,219.3,219.305,1046,2024-03-28 10:17:00-04:00
219.33,219.33,219.12,219.12,2907,2024-03-28 10:18:00-04:00
219.14,219.19,219.05,219.19,867,2024-03-28 10:19:00-04:00
218.945,219.03,218.945,219.03,300,2024-03-28 10:20:00-04:00
219.055,219.215,219.055,219.215,616,2024-03-28 10:21:00-04:00
219.32,219.565,219.285,219.56,1356,2024-03-28 10:22:00-04:00
219.565,219.62,219.56,219.62,553,2024-03-28 10:23:00-04:00
219.51,219.54,219.48,219.48,600,2024-03-28 10:24:00-04:00
219.47,219.47,219.34,219.34,824,2024-03-28 10:25:00-04:00
219.35,219.385,219.35,219.385,600,2024-03-28 10:26:00-04:00
219.385,219.385,219.385,219.385,100,2024-03-28 10:27:00-04:00
219.51,219.52,219.44,219.44,605,2024-03-28 10:28:00-04:00
219.415,219.5,219.415,219.5,300,2024-03-28 10:29:00-04:00
219.5,219.5,219.35,219.35,464,2024-03-28 10:30:00-04:00
219.415,219.45,219.415,219.45,200,2024-03-28 10:31:00-04:00
219.32,219.425,219.2,219.22,1859,2024-03-28 10:32:00-04:00
219.205,219.205,219.205,219.205,100,2024-03-28 10:33:00-04:00
219.04,219.145,219.04,219.115,500,2024-03-28 10:34:00-04:00
219.27,219.27,219.0045,219.0045,1189,2024-03-28 10:35:00-04:00
218.985,219.0,218.985,218.99,300,2024-03-28 10:36:00-04:00
219.06,219.2,219.015,219.2,2115,2024-03-28 10:37:00-04:00
219.25,219.25,219.25,219.25,100,2024-03-28 10:38:00-04:00
219.26,219.5,219.26,219.37,1943,2024-03-28 10:39:00-04:00
219.415,219.415,219.22,219.22,729,2024-03-28 10:40:00-04:00
219.25,219.25,219.25,219.25,100,2024-03-28 10:41:00-04:00
219.24,219.24,219.13,219.22,883,2024-03-28 10:42:00-04:00
219.28,219.28,219.28,219.28,100,2024-03-28 10:44:00-04:00
219.02,219.2,219.02,219.2,500,2024-03-28 10:45:00-04:00
219.21,219.21,219.21,219.21,315,2024-03-28 10:49:00-04:00
219.215,219.28,219.2,219.2,700,2024-03-28 10:50:00-04:00
219.1576,219.2,219.1576,219.2,325,2024-03-28 10:51:00-04:00
219.145,219.15,219.13,219.15,500,2024-03-28 10:52:00-04:00
219.13,219.2,219.12,219.2,635,2024-03-28 10:53:00-04:00
219.165,219.165,218.945,218.985,923,2024-03-28 10:54:00-04:00
218.89,218.9,218.89,218.9,200,2024-03-28 10:55:00-04:00
218.82,218.82,218.82,218.82,181,2024-03-28 10:56:00-04:00
218.84,218.9,218.82,218.82,1650,2024-03-28 10:57:00-04:00
218.83,218.83,218.83,218.83,100,2024-03-28 10:58:00-04:00
218.83,218.87,218.83,218.87,736,2024-03-28 10:59:00-04:00
218.835,218.835,218.83,218.83,300,2024-03-28 11:00:00-04:00
218.81,218.81,218.81,218.81,1632,2024-03-28 11:01:00-04:00
218.91,218.91,218.91,218.91,100,2024-03-28 11:02:00-04:00
218.93,219.03,218.93,219.03,2200,2024-03-28 11:03:00-04:00
219.05,219.05,219.05,219.05,1502,2024-03-28 11:04:00-04:00
219.14,219.235,219.14,219.2,1744,2024-03-28 11:05:00-04:00
219.1,219.165,219.1,219.165,1200,2024-03-28 11:06:00-04:00
219.1422,219.155,219.1422,219.15,1592,2024-03-28 11:07:00-04:00
219.145,219.155,218.87,218.87,1318,2024-03-28 11:08:00-04:00
218.91,218.94,218.86,218.94,900,2024-03-28 11:09:00-04:00
218.97,218.97,218.41,218.575,4353,2024-03-28 11:10:00-04:00
218.5725,218.5725,218.5725,218.5725,100,2024-03-28 11:11:00-04:00
218.6,218.73,218.49,218.73,1200,2024-03-28 11:12:00-04:00
218.6225,218.6225,218.62,218.62,339,2024-03-28 11:13:00-04:00
218.65,218.78,218.65,218.675,1879,2024-03-28 11:14:00-04:00
218.675,218.675,218.53,218.57,13726,2024-03-28 11:15:00-04:00
218.575,218.575,218.41,218.41,300,2024-03-28 11:16:00-04:00
218.39,218.39,218.32,218.32,290,2024-03-28 11:17:00-04:00
218.18,218.18,218.08,218.08,318,2024-03-28 11:18:00-04:00
218.185,218.185,218.185,218.185,100,2024-03-28 11:19:00-04:00
217.915,218.07,217.915,218.0,807,2024-03-28 11:20:00-04:00
218.01,218.01,218.01,218.01,200,2024-03-28 11:21:00-04:00
217.855,217.855,217.855,217.855,100,2024-03-28 11:22:00-04:00
217.975,217.99,217.975,217.99,200,2024-03-28 11:23:00-04:00
218.1,218.31,218.055,218.31,2158,2024-03-28 11:24:00-04:00
218.195,218.195,218.195,218.195,100,2024-03-28 11:25:00-04:00
218.21,218.47,218.21,218.45,845,2024-03-28 11:26:00-04:00
218.51,218.51,218.51,218.51,100,2024-03-28 11:27:00-04:00
218.39,218.4,218.39,218.395,900,2024-03-28 11:28:00-04:00
218.37,218.37,218.37,218.37,100,2024-03-28 11:29:00-04:00
218.21,218.32,218.21,218.32,390,2024-03-28 11:30:00-04:00
218.37,218.37,218.37,218.37,100,2024-03-28 11:31:00-04:00
218.36,218.56,218.36,218.56,921,2024-03-28 11:32:00-04:00
218.61,218.61,218.61,218.61,200,2024-03-28 11:33:00-04:00
218.61,218.61,218.61,218.61,100,2024-03-28 11:34:00-04:00
218.65,218.695,218.6,218.66,7800,2024-03-28 11:35:00-04:00
218.64,218.66,218.03,218.0545,4738,2024-03-28 11:36:00-04:00
218.18,218.18,218.18,218.18,100,2024-03-28 11:37:00-04:00
218.38,218.38,218.255,218.255,607,2024-03-28 11:38:00-04:00
218.4,218.55,218.4,218.54,700,2024-03-28 11:40:00-04:00
218.54,218.54,218.525,218.525,400,2024-03-28 11:41:00-04:00
218.65,218.81,218.63,218.63,12878,2024-03-28 11:42:00-04:00
218.63,218.63,218.5,218.57,623,2024-03-28 11:43:00-04:00
218.46,218.47,218.46,218.47,200,2024-03-28 11:44:00-04:00
218.55,218.55,218.55,218.55,100,2024-03-28 11:45:00-04:00
218.575,218.575,218.575,218.575,500,2024-03-28 11:46:00-04:00
218.465,218.475,218.4508,218.4508,323,2024-03-28 11:49:00-04:00
218.48,218.48,218.34,218.475,300,2024-03-28 11:50:00-04:00
218.485,218.485,218.35,218.35,200,2024-03-28 11:51:00-04:00
