open,high,low,close,volume,datetime
30.34,30.4,30.34,30.34,3340,2021-11-23 07:00:00-05:00
30.33,30.33,30.33,30.33,227,2021-11-23 07:03:00-05:00
30.26,30.26,30.25,30.25,500,2021-11-23 07:04:00-05:00
30.2,30.2,30.2,30.2,440,2021-11-23 07:06:00-05:00
30.22,30.22,30.22,30.22,500,2021-11-23 07:07:00-05:00
30.27,30.31,30.27,30.31,1650,2021-11-23 07:08:00-05:00
30.19,30.2,30.17,30.2,1835,2021-11-23 07:09:00-05:00
30.21,30.21,30.2,30.2,400,2021-11-23 07:15:00-05:00
30.18,30.18,30.17,30.17,300,2021-11-23 07:18:00-05:00
30.17,30.2,30.17,30.2,300,2021-11-23 07:21:00-05:00
30.24,30.34,30.24,30.33,850,2021-11-23 07:22:00-05:00
30.33,30.34,30.33,30.34,400,2021-11-23 07:23:00-05:00
30.34,30.34,30.34,30.34,250,2021-11-23 07:24:00-05:00
30.36,30.36,30.35,30.35,900,2021-11-23 07:33:00-05:00
30.34,30.34,30.34,30.34,145,2021-11-23 07:46:00-05:00
30.3,30.3,30.3,30.3,950,2021-11-23 08:00:00-05:00
30.34,30.34,30.34,30.34,100,2021-11-23 08:10:00-05:00
30.5899,30.5899,30.5899,30.5899,200,2021-11-23 08:43:00-05:00
30.57,30.57,30.56,30.56,1250,2021-11-23 08:44:00-05:00
30.56,30.56,30.56,30.56,200,2021-11-23 08:45:00-05:00
30.6524,30.6524,30.6524,30.6524,489,2021-11-23 08:47:00-05:00
30.6,30.6,30.6,30.6,350,2021-11-23 08:50:00-05:00
30.6,30.6,30.6,30.6,361,2021-11-23 08:57:00-05:00
30.6,30.66,30.6,30.66,1179,2021-11-23 08:58:00-05:00
30.63,30.65,30.63,30.65,500,2021-11-23 09:01:00-05:00
30.73,30.76,30.7,30.72,2725,2021-11-23 09:02:00-05:00
30.74,30.74,30.74,30.74,328,2021-11-23 09:04:00-05:00
30.77,30.77,30.77,30.77,100,2021-11-23 09:05:00-05:00
30.86,30.88,30.81,30.88,4131,2021-11-23 09:06:00-05:00
30.77,30.77,30.75,30.77,1000,2021-11-23 09:09:00-05:00
30.78,30.78,30.78,30.78,200,2021-11-23 09:12:00-05:00
30.79,30.81,30.79,30.8,3275,2021-11-23 09:18:00-05:00
30.82,30.82,30.8,30.8,774,2021-11-23 09:19:00-05:00
30.82,30.82,30.82,30.82,400,2021-11-23 09:21:00-05:00
30.78,30.78,30.77,30.77,300,2021-11-23 09:22:00-05:00
30.75,30.75,30.73,30.73,300,2021-11-23 09:23:00-05:00
30.75,30.75,30.75,30.75,100,2021-11-23 09:24:00-05:00
30.7,30.7,30.7,30.7,100,2021-11-23 09:25:00-05:00
30.87,30.88,30.87,30.88,800,2021-11-23 09:28:00-05:00
30.88,30.92,30.88,30.9,2682,2021-11-23 09:29:00-05:00
30.92,31.13,30.875,31.12,201824,2021-11-23 09:30:00-05:00
31.13,31.29,31.11,31.24,154741,2021-11-23 09:31:00-05:00
31.24,31.24,30.91,30.91,35766,2021-11-23 09:32:00-05:00
30.925,31.08,30.925,31.08,18719,2021-11-23 09:33:00-05:00
31.07,31.18,31.04,31.1563,29222,2021-11-23 09:34:00-05:00
31.15,31.16,31.0,31.07,31592,2021-11-23 09:35:00-05:00
31.07,31.13,31.01,31.01,27282,2021-11-23 09:36:00-05:00
31.02,31.095,31.02,31.09,44993,2021-11-23 09:37:00-05:00
31.09,31.2291,31.09,31.21,36676,2021-11-23 09:38:00-05:00
31.205,31.27,31.205,31.26,30895,2021-11-23 09:39:00-05:00
31.27,31.34,31.245,31.33,46872,2021-11-23 09:40:00-05:00
31.33,31.365,31.32,31.35,29569,2021-11-23 09:41:00-05:00
31.33,31.41,31.32,31.35,28668,2021-11-23 09:42:00-05:00
31.34,31.38,31.31,31.3101,45223,2021-11-23 09:43:00-05:00
31.32,31.43,31.32,31.401,10723,2021-11-23 09:44:00-05:00
31.4,31.48,31.38,31.39,31582,2021-11-23 09:45:00-05:00
31.38,31.4,31.36,31.38,20694,2021-11-23 09:46:00-05:00
