open,high,low,close,volume,datetime
216.9,216.9,216.9,216.9,2676,2021-11-23 09:30:00-05:00
216.64,216.64,216.64,216.64,100,2021-11-23 09:35:00-05:00
216.54,216.54,216.54,216.54,100,2021-11-23 09:43:00-05:00
216.718,216.83,216.65,216.65,575,2021-11-23 09:47:00-05:00
217.0,217.295,217.0,217.02,300,2021-11-23 09:48:00-05:00
217.0771,217.285,217.0771,217.285,200,2021-11-23 09:51:00-05:00
217.24,217.24,217.035,217.035,216,2021-11-23 09:52:00-05:00
217.22,217.32,217.185,217.1958,928,2021-11-23 09:54:00-05:00
217.34,217.34,217.185,217.185,1100,2021-11-23 09:55:00-05:00
217.4,217.6,217.395,217.6,470,2021-11-23 09:56:00-05:00
217.21,217.53,217.21,217.245,300,2021-11-23 09:58:00-05:00
217.03,217.23,217.03,217.23,496,2021-11-23 09:59:00-05:00
216.77,216.77,216.56,216.56,200,2021-11-23 10:00:00-05:00
216.73,217.005,216.73,217.005,200,2021-11-23 10:04:00-05:00
216.74,216.965,216.53,216.53,2741,2021-11-23 10:05:00-05:00
216.64,216.86,216.5,216.86,1513,2021-11-23 10:06:00-05:00
216.86,216.86,216.86,216.86,100,2021-11-23 10:07:00-05:00
216.5,216.5,216.495,216.495,200,2021-11-23 10:08:00-05:00
216.44,216.53,216.285,216.53,800,2021-11-23 10:10:00-05:00
216.78,216.78,216.78,216.78,100,2021-11-23 10:11:00-05:00
216.555,216.555,216.555,216.555,100,2021-11-23 10:12:00-05:00
216.24,216.585,216.24,216.585,1650,2021-11-23 10:14:00-05:00
216.75,216.845,216.75,216.845,200,2021-11-23 10:15:00-05:00
216.36,216.36,216.36,216.36,100,2021-11-23 10:17:00-05:00
216.69,216.69,216.69,216.69,100,2021-11-23 10:18:00-05:00
216.21,216.21,216.21,216.21,100,2021-11-23 10:19:00-05:00
216.03,216.03,216.03,216.03,100,2021-11-23 10:22:00-05:00
215.94,216.145,215.94,216.145,200,2021-11-23 10:24:00-05:00
215.99,215.99,215.85,215.85,400,2021-11-23 10:26:00-05:00
215.65,215.65,215.65,215.65,100,2021-11-23 10:27:00-05:00
216.02,216.145,215.83,216.145,800,2021-11-23 10:29:00-05:00
215.925,215.925,215.92,215.92,200,2021-11-23 10:30:00-05:00
216.095,216.1,216.095,216.1,200,2021-11-23 10:31:00-05:00
216.1,216.625,216.1,216.625,500,2021-11-23 10:32:00-05:00
216.14,216.335,216.13,216.335,975,2021-11-23 10:34:00-05:00
216.205,216.605,216.06,216.4,650,2021-11-23 10:35:00-05:00
216.07,216.1744,215.9,215.9,410,2021-11-23 10:38:00-05:00
216.03,216.03,215.815,215.815,872,2021-11-23 10:39:00-05:00
216.01,216.17,216.01,216.08,800,2021-11-23 10:40:00-05:00
216.22,216.22,216.12,216.12,200,2021-11-23 10:41:00-05:00
216.17,216.17,216.17,216.17,100,2021-11-23 10:42:00-05:00
216.34,216.34,216.34,216.34,100,2021-11-23 10:44:00-05:00
216.5,216.54,216.5,216.54,200,2021-11-23 10:45:00-05:00
216.44,216.44,216.3,216.3,1008,2021-11-23 10:48:00-05:00
216.39,216.39,216.39,216.39,100,2021-11-23 10:50:00-05:00
216.305,216.305,216.305,216.305,100,2021-11-23 10:51:00-05:00
216.19,216.19,216.19,216.19,400,2021-11-23 10:52:00-05:00
215.78,215.815,215.78,215.815,200,2021-11-23 10:53:00-05:00
215.72,215.72,215.72,215.72,100,2021-11-23 10:54:00-05:00
215.25,215.25,215.25,215.25,100,2021-11-23 10:55:00-05:00
215.6,215.61,215.6,215.61,969,2021-11-23 10:56:00-05:00
215.595,215.595,215.595,215.595,100,2021-11-23 10:57:00-05:00
215.68,215.77,215.67,215.77,500,2021-11-23 10:59:00-05:00
215.885,215.885,215.6562,215.6562,325,2021-11-23 11:00:00-05:00
215.1501,215.27,215.1501,215.27,250,2021-11-23 11:02:00-05:00
215.31,215.31,215.31,215.31,306,2021-11-23 11:04:00-05:00
215.33,215.33,215.295,215.295,200,2021-11-23 11:05:00-05:00
215.4091,215.4091,215.4091,215.4091,102,2021-11-23 11:06:00-05:00
215.21,215.23,215.15,215.23,1341,2021-11-23 11:07:00-05:00
215.23,215.5,215.15,215.325,1050,2021-11-23 11:08:00-05:00
215.4,215.53,215.4,215.53,445,2021-11-23 11:10:00-05:00
215.41,215.41,215.41,215.41,200,2021-11-23 11:11:00-05:00
215.41,215.41,215.41,215.41,200,2021-11-23 11:12:00-05:00
215.6,215.6,215.6,215.6,100,2021-11-23 11:13:00-05:00
215.4,215.405,215.4,215.405,600,2021-11-23 11:14:00-05:00
215.04,215.04,215.03,215.03,200,2021-11-23 11:15:00-05:00
215.3,215.3,215.3,215.3,100,2021-11-23 11:16:00-05:00
214.8,214.8468,214.71,214.8468,547,2021-11-23 11:18:00-05:00
214.76,214.76,214.43,214.43,400,2021-11-23 11:19:00-05:00
214.72,214.72,214.655,214.66,300,2021-11-23 11:21:00-05:00
214.725,215.21,214.58,215.21,620,2021-11-23 11:22:00-05:00
214.85,214.9,214.85,214.85,534,2021-11-23 11:23:00-05:00
