open,high,low,close,volume,datetime
346.99,346.99,346.99,346.99,100,2021-11-23 07:36:00-05:00
346.45,347.0,345.4925,345.64,21148,2021-11-23 09:30:00-05:00
345.66,346.215,345.66,346.215,300,2021-11-23 09:31:00-05:00
345.36,345.43,344.98,344.98,1175,2021-11-23 09:32:00-05:00
344.87,345.72,344.87,345.72,800,2021-11-23 09:33:00-05:00
345.42,345.42,345.165,345.165,700,2021-11-23 09:34:00-05:00
345.1043,345.56,345.1043,345.555,568,2021-11-23 09:35:00-05:00
345.83,346.32,345.62,346.18,1400,2021-11-23 09:36:00-05:00
346.74,347.18,346.74,347.18,1143,2021-11-23 09:37:00-05:00
347.18,347.18,347.1,347.12,616,2021-11-23 09:38:00-05:00
347.195,347.56,347.195,347.56,200,2021-11-23 09:39:00-05:00
347.89,348.02,347.63,348.02,700,2021-11-23 09:40:00-05:00
347.79,348.0,347.475,348.0,300,2021-11-23 09:41:00-05:00
348.48,348.48,348.3,348.3,500,2021-11-23 09:43:00-05:00
348.16,348.16,348.16,348.16,100,2021-11-23 09:44:00-05:00
347.78,347.78,347.78,347.78,100,2021-11-23 09:45:00-05:00
348.09,348.24,348.09,348.24,200,2021-11-23 09:46:00-05:00
348.63,348.855,348.56,348.855,1177,2021-11-23 09:48:00-05:00
349.01,349.66,349.01,349.66,503,2021-11-23 09:49:00-05:00
349.88,350.27,349.88,350.195,300,2021-11-23 09:50:00-05:00
350.84,351.2,350.76,350.76,400,2021-11-23 09:52:00-05:00
351.0085,351.0085,351.0085,351.0085,400,2021-11-23 09:53:00-05:00
351.365,351.87,351.19,351.645,2100,2021-11-23 09:54:00-05:00
351.5,351.5,351.02,351.02,1100,2021-11-23 09:55:00-05:00
351.59,351.64,351.215,351.64,500,2021-11-23 09:56:00-05:00
351.43,351.43,351.43,351.43,100,2021-11-23 09:57:00-05:00
351.41,351.45,350.91,350.91,1314,2021-11-23 09:58:00-05:00
350.8504,351.14,350.75,350.785,907,2021-11-23 09:59:00-05:00
350.47,350.675,350.14,350.14,1200,2021-11-23 10:00:00-05:00
