open,high,low,close,volume,datetime
154.33,154.33,154.33,154.33,216,2024-03-28 08:12:00-04:00
154.79,155.19,154.7,155.19,27490,2024-03-28 09:30:00-04:00
155.31,155.335,155.18,155.18,894,2024-03-28 09:31:00-04:00
155.325,155.5,155.325,155.5,965,2024-03-28 09:32:00-04:00
155.375,155.77,155.375,155.695,3299,2024-03-28 09:33:00-04:00
155.88,155.93,155.865,155.865,600,2024-03-28 09:34:00-04:00
155.865,155.88,155.67,155.67,2471,2024-03-28 09:35:00-04:00
155.7,155.7,155.7,155.7,100,2024-03-28 09:36:00-04:00
155.68,155.68,155.645,155.645,687,2024-03-28 09:37:00-04:00
155.76,155.93,155.76,155.825,1469,2024-03-28 09:38:00-04:00
155.93,156.0,155.48,155.48,7800,2024-03-28 09:39:00-04:00
155.5,155.58,155.495,155.57,1865,2024-03-28 09:40:00-04:00
155.6,155.625,155.5,155.565,1950,2024-03-28 09:41:00-04:00
155.585,155.585,155.585,155.585,150,2024-03-28 09:42:00-04:00
155.715,155.715,155.56,155.58,1532,2024-03-28 09:43:00-04:00
155.55,155.55,155.54,155.54,600,2024-03-28 09:44:00-04:00
155.64,155.91,155.64,155.85,1016,2024-03-28 09:45:00-04:00
155.77,155.84,155.71,155.725,879,2024-03-28 09:46:00-04:00
155.75,155.86,155.725,155.81,1282,2024-03-28 09:47:00-04:00
155.785,155.785,155.71,155.72,695,2024-03-28 09:48:00-04:00
155.675,155.7825,155.67,155.67,2612,2024-03-28 09:49:00-04:00
155.5779,155.68,155.57,155.57,310,2024-03-28 09:50:00-04:00
155.51,155.53,155.41,155.485,1411,2024-03-28 09:51:00-04:00
155.53,155.53,155.44,155.455,2654,2024-03-28 09:52:00-04:00
155.52,155.57,155.39,155.45,2192,2024-03-28 09:53:00-04:00
155.45,155.49,155.39,155.45,3625,2024-03-28 09:54:00-04:00
155.46,155.5,155.46,155.5,200,2024-03-28 09:55:00-04:00
155.54,155.59,155.48,155.59,1619,2024-03-28 09:56:00-04:00
155.63,155.675,155.615,155.63,700,2024-03-28 09:57:00-04:00
155.66,155.715,155.575,155.575,866,2024-03-28 09:58:00-04:00
155.6,155.61,155.53,155.61,500,2024-03-28 09:59:00-04:00
155.675,155.68,155.67,155.67,950,2024-03-28 10:00:00-04:00
155.66,155.76,155.66,155.76,800,2024-03-28 10:01:00-04:00
155.795,155.92,155.76,155.85,1480,2024-03-28 10:02:00-04:00
155.79,155.88,155.79,155.85,2756,2024-03-28 10:03:00-04:00
155.79,155.85,155.79,155.835,3215,2024-03-28 10:04:00-04:00
155.8175,155.88,155.815,155.88,1040,2024-03-28 10:05:00-04:00
155.9599,156.03,155.9,156.02,7891,2024-03-28 10:06:00-04:00
156.09,156.0999,155.96,155.96,2159,2024-03-28 10:07:00-04:00
155.96,155.98,155.92,155.95,1600,2024-03-28 10:08:00-04:00
155.93,155.93,155.83,155.83,1337,2024-03-28 10:09:00-04:00
155.91,155.91,155.83,155.83,1509,2024-03-28 10:10:00-04:00
155.87,155.88,155.82,155.82,400,2024-03-28 10:11:00-04:00
155.885,155.89,155.76,155.76,987,2024-03-28 10:12:00-04:00
155.72,155.72,155.69,155.69,300,2024-03-28 10:13:00-04:00
155.79,155.895,155.78,155.83,1754,2024-03-28 10:14:00-04:00
155.9,155.9,155.83,155.83,839,2024-03-28 10:15:00-04:00
155.86,155.99,155.86,155.96,848,2024-03-28 10:16:00-04:00
155.92,155.9225,155.79,155.79,1371,2024-03-28 10:17:00-04:00
155.79,155.85,155.79,155.85,1118,2024-03-28 10:18:00-04:00
155.865,155.895,155.86,155.89,800,2024-03-28 10:19:00-04:00
155.885,155.885,155.82,155.82,1000,2024-03-28 10:20:00-04:00
155.96,155.96,155.93,155.945,974,2024-03-28 10:21:00-04:00
155.95,156.035,155.95,156.005,2267,2024-03-28 10:22:00-04:00
155.96,156.01,155.96,155.975,1128,2024-03-28 10:23:00-04:00
155.98,156.01,155.92,155.965,894,2024-03-28 10:24:00-04:00
