open,high,low,close,volume,datetime
272.04,272.04,272.04,272.04,108,2024-03-28 08:12:00-04:00
272.38,273.0,271.12,271.12,11490,2024-03-28 09:30:00-04:00
271.12,271.13,271.12,271.13,300,2024-03-28 09:31:00-04:00
271.15,271.15,271.15,271.15,100,2024-03-28 09:32:00-04:00
272.0,272.0,272.0,272.0,100,2024-03-28 09:35:00-04:00
271.43,271.43,271.375,271.375,400,2024-03-28 09:36:00-04:00
271.74,271.93,271.205,271.205,1502,2024-03-28 09:37:00-04:00
271.0,271.0,270.47,270.47,2400,2024-03-28 09:38:00-04:00
270.38,270.38,270.38,270.38,100,2024-03-28 09:39:00-04:00
270.59,271.27,270.59,271.27,663,2024-03-28 09:40:00-04:00
271.28,271.28,271.28,271.28,100,2024-03-28 09:41:00-04:00
270.5575,270.73,270.35,270.73,1935,2024-03-28 09:42:00-04:00
271.55,271.55,271.55,271.55,167,2024-03-28 09:44:00-04:00
270.705,270.705,270.695,270.695,890,2024-03-28 09:46:00-04:00
270.77,270.77,270.29,270.4,12256,2024-03-28 09:47:00-04:00
270.44,270.67,270.435,270.52,3839,2024-03-28 09:48:00-04:00
270.37,271.13,270.37,270.72,4024,2024-03-28 09:49:00-04:00
270.93,271.47,270.93,271.47,1100,2024-03-28 09:51:00-04:00
270.69,270.8049,270.51,270.51,837,2024-03-28 09:54:00-04:00
270.03,270.03,270.03,270.03,100,2024-03-28 09:55:00-04:00
270.83,270.85,270.77,270.77,800,2024-03-28 09:57:00-04:00
270.61,270.63,270.61,270.62,300,2024-03-28 09:58:00-04:00
270.47,270.585,270.47,270.585,541,2024-03-28 09:59:00-04:00
270.685,270.685,270.53,270.545,500,2024-03-28 10:00:00-04:00
270.34,270.525,270.34,270.525,200,2024-03-28 10:01:00-04:00
270.53,270.71,270.53,270.69,1300,2024-03-28 10:02:00-04:00
270.715,270.715,270.715,270.715,100,2024-03-28 10:03:00-04:00
270.635,270.635,270.58,270.58,700,2024-03-28 10:04:00-04:00
270.6439,270.6439,270.585,270.585,271,2024-03-28 10:05:00-04:00
270.82,270.93,270.735,270.735,1302,2024-03-28 10:06:00-04:00
270.7,270.7,270.7,270.7,300,2024-03-28 10:07:00-04:00
270.7,271.0,270.69,271.0,2711,2024-03-28 10:08:00-04:00
270.93,271.02,270.93,270.935,700,2024-03-28 10:09:00-04:00
270.965,271.11,270.87,270.99,3655,2024-03-28 10:11:00-04:00
270.88,270.89,270.75,270.85,1699,2024-03-28 10:12:00-04:00
270.76,270.87,270.6,270.87,700,2024-03-28 10:13:00-04:00
270.61,270.61,270.61,270.61,100,2024-03-28 10:15:00-04:00
270.7916,270.835,270.7916,270.835,790,2024-03-28 10:16:00-04:00
270.845,270.845,270.81,270.81,200,2024-03-28 10:17:00-04:00
270.85,270.85,270.85,270.85,100,2024-03-28 10:18:00-04:00
270.66,270.66,270.51,270.51,243,2024-03-28 10:19:00-04:00
270.53,270.61,270.53,270.61,200,2024-03-28 10:21:00-04:00
270.675,270.68,270.47,270.515,3366,2024-03-28 10:22:00-04:00
270.545,270.78,270.545,270.78,1000,2024-03-28 10:23:00-04:00
270.72,270.72,270.72,270.72,100,2024-03-28 10:24:00-04:00
270.61,270.61,270.61,270.61,144,2024-03-28 10:25:00-04:00
270.62,270.62,270.615,270.615,200,2024-03-28 10:26:00-04:00
270.84,270.84,270.7414,270.7414,200,2024-03-28 10:27:00-04:00
270.74,270.93,270.74,270.85,1556,2024-03-28 10:28:00-04:00
271.0112,271.0112,270.62,270.62,500,2024-03-28 10:29:00-04:00
270.62,270.72,270.62,270.72,797,2024-03-28 10:30:00-04:00
270.725,270.91,270.62,270.83,1001,2024-03-28 10:31:00-04:00
270.92,270.92,270.92,270.92,100,2024-03-28 10:33:00-04:00
270.975,270.98,270.975,270.98,200,2024-03-28 10:35:00-04:00
270.97,270.97,270.97,270.97,150,2024-03-28 10:36:00-04:00
271.005,271.005,271.005,271.005,200,2024-03-28 10:37:00-04:00
271.005,271.1,270.92,270.92,300,2024-03-28 10:38:00-04:00
271.06,271.06,271.06,271.06,158,2024-03-28 10:40:00-04:00
270.9849,270.9849,270.78,270.79,1695,2024-03-28 10:41:00-04:00
270.89,270.94,270.87,270.87,1000,2024-03-28 10:42:00-04:00
270.94,270.94,270.94,270.94,100,2024-03-28 10:44:00-04:00
270.78,270.78,270.78,270.78,100,2024-03-28 10:45:00-04:00
270.85,270.85,270.81,270.81,1055,2024-03-28 10:46:00-04:00
270.82,270.82,270.82,270.82,200,2024-03-28 10:49:00-04:00
270.86,270.97,270.86,270.97,600,2024-03-28 10:50:00-04:00
271.0,271.0,271.0,271.0,300,2024-03-28 10:51:00-04:00
270.8681,270.8681,270.8681,270.8681,2000,2024-03-28 10:52:00-04:00
270.865,270.865,270.72,270.72,200,2024-03-28 10:54:00-04:00
271.04,271.04,271.04,271.04,190,2024-03-28 10:56:00-04:00
270.795,270.795,270.795,270.795,100,2024-03-28 10:59:00-04:00
270.63,270.63,270.63,270.63,100,2024-03-28 11:00:00-04:00
270.61,270.69,270.26,270.325,1717,2024-03-28 11:03:00-04:00
270.53,270.56,270.475,270.475,800,2024-03-28 11:04:00-04:00
270.505,270.505,270.505,270.505,121,2024-03-28 11:05:00-04:00
270.44,270.44,270.44,270.44,203,2024-03-28 11:07:00-04:00
270.37,270.37,270.24,270.24,200,2024-03-28 11:09:00-04:00
270.14,270.14,270.0,270.03,1162,2024-03-28 11:10:00-04:00
269.98,269.98,269.98,269.98,203,2024-03-28 11:11:00-04:00
270.09,270.13,269.995,270.005,805,2024-03-28 11:12:00-04:00
270.07,270.22,269.9662,270.09,700,2024-03-28 11:13:00-04:00
270.09,270.5,270.09,270.5,9340,2024-03-28 11:14:00-04:00
270.335,270.58,270.335,270.45,2507,2024-03-28 11:15:00-04:00
270.58,270.62,270.58,270.62,411,2024-03-28 11:16:00-04:00
270.64,270.64,270.485,270.485,200,2024-03-28 11:17:00-04:00
270.485,270.69,270.48,270.65,2041,2024-03-28 11:18:00-04:00
270.675,270.74,270.66,270.66,521,2024-03-28 11:19:00-04:00
270.625,270.625,270.62,270.62,7700,2024-03-28 11:20:00-04:00
270.625,270.75,270.48,270.585,30001,2024-03-28 11:21:00-04:00
270.585,270.625,270.4,270.59,3900,2024-03-28 11:22:00-04:00
270.59,270.6171,270.53,270.53,613,2024-03-28 11:23:00-04:00
270.59,270.59,270.455,270.5,600,2024-03-28 11:24:00-04:00
270.62,270.68,270.565,270.6,1300,2024-03-28 11:25:00-04:00
270.57,270.68,270.57,270.68,300,2024-03-28 11:26:00-04:00
270.61,270.61,270.61,270.61,100,2024-03-28 11:27:00-04:00
270.57,270.57,270.55,270.55,300,2024-03-28 11:28:00-04:00
270.55,270.55,270.515,270.515,200,2024-03-28 11:29:00-04:00
270.58,270.6,270.51,270.565,1600,2024-03-28 11:30:00-04:00
270.51,270.51,270.495,270.495,200,2024-03-28 11:31:00-04:00
270.5967,270.6,270.51,270.56,685,2024-03-28 11:32:00-04:00
270.575,270.575,270.575,270.575,400,2024-03-28 11:33:00-04:00
270.575,270.575,270.575,270.575,1651,2024-03-28 11:34:00-04:00
270.57,270.59,270.43,270.505,6083,2024-03-28 11:35:00-04:00
270.52,270.52,270.52,270.52,100,2024-03-28 11:36:00-04:00
270.52,270.52,270.52,270.52,100,2024-03-28 11:37:00-04:00
270.4727,270.67,270.4727,270.67,807,2024-03-28 11:38:00-04:00
270.62,270.68,270.62,270.66,654,2024-03-28 11:39:00-04:00
270.7,270.74,270.64,270.74,2300,2024-03-28 11:40:00-04:00
270.73,270.73,270.73,270.73,200,2024-03-28 11:41:00-04:00
270.69,270.695,270.69,270.695,300,2024-03-28 11:42:00-04:00
270.695,270.71,270.69,270.71,1500,2024-03-28 11:43:00-04:00
270.69,270.69,270.42,270.465,8819,2024-03-28 11:44:00-04:00
270.35,270.49,270.35,270.355,1075,2024-03-28 11:45:00-04:00
270.27,270.615,270.27,270.61,25277,2024-03-28 11:48:00-04:00
270.6,270.6,270.595,270.595,1700,2024-03-28 11:49:00-04:00
270.595,270.595,270.595,270.595,700,2024-03-28 11:50:00-04:00
270.58,270.64,270.58,270.64,200,2024-03-28 11:51:00-04:00
270.61,270.61,270.61,270.61,100,2024-03-28 11:52:00-04:00
270.57,270.575,270.57,270.575,500,2024-03-28 11:53:00-04:00
270.57,270.575,270.57,270.575,900,2024-03-28 11:54:00-04:00
270.47,270.575,270.47,270.565,1270,2024-03-28 11:55:00-04:00
270.565,270.565,270.555,270.555,400,2024-03-28 11:56:00-04:00
270.545,270.63,270.545,270.63,900,2024-03-28 11:57:00-04:00
270.68,270.7,270.63,270.63,949,2024-03-28 11:58:00-04:00
270.605,270.605,270.6,270.6,200,2024-03-28 11:59:00-04:00
270.595,270.71,270.595,270.63,4832,2024-03-28 12:00:00-04:00
270.66,270.66,270.63,270.63,1200,2024-03-28 12:01:00-04:00
270.635,270.73,270.635,270.73,1325,2024-03-28 12:02:00-04:00
270.66,270.66,270.625,270.625,200,2024-03-28 12:03:00-04:00
270.67,270.74,270.615,270.62,25451,2024-03-28 12:04:00-04:00
270.615,270.8,270.615,270.745,2931,2024-03-28 12:05:00-04:00
270.745,270.75,270.745,270.745,300,2024-03-28 12:06:00-04:00
270.68,270.72,270.575,270.575,15746,2024-03-28 12:08:00-04:00
270.58,270.58,270.58,270.58,100,2024-03-28 12:09:00-04:00
270.57,270.575,270.55,270.565,900,2024-03-28 12:10:00-04:00
270.57,270.575,270.46,270.57,1978,2024-03-28 12:11:00-04:00
270.57,270.7,270.565,270.665,2080,2024-03-28 12:12:00-04:00
270.7,270.72,270.7,270.71,1229,2024-03-28 12:13:00-04:00
270.7,270.7,270.7,270.7,2600,2024-03-28 12:14:00-04:00
270.7,270.74,270.69,270.7,700,2024-03-28 12:15:00-04:00
270.66,270.7,270.48,270.63,2479,2024-03-28 12:16:00-04:00
270.625,270.625,270.625,270.625,272,2024-03-28 12:17:00-04:00
270.62,270.74,270.62,270.725,900,2024-03-28 12:18:00-04:00
270.74,270.82,270.73,270.73,1344,2024-03-28 12:19:00-04:00
270.73,270.73,270.73,270.73,100,2024-03-28 12:20:00-04:00
270.73,270.73,270.73,270.73,100,2024-03-28 12:21:00-04:00
270.73,270.73,270.71,270.71,200,2024-03-28 12:22:00-04:00
270.58,270.7,270.54,270.63,12517,2024-03-28 12:23:00-04:00
270.635,270.635,270.51,270.615,7100,2024-03-28 12:24:00-04:00
270.62,270.6439,270.62,270.6439,340,2024-03-28 12:25:00-04:00
270.63,270.64,270.6,270.6,500,2024-03-28 12:26:00-04:00
270.6,270.6,270.6,270.6,250,2024-03-28 12:27:00-04:00
270.6,270.6,270.47,270.47,1000,2024-03-28 12:28:00-04:00
270.585,270.585,270.47,270.565,428,2024-03-28 12:29:00-04:00
270.565,270.565,269.96,269.96,7156,2024-03-28 12:30:00-04:00
269.86,270.07,269.86,269.86,2540,2024-03-28 12:31:00-04:00
269.83,269.83,269.755,269.755,838,2024-03-28 12:33:00-04:00
269.71,269.8625,269.71,269.8625,1967,2024-03-28 12:34:00-04:00
269.94,270.2,269.94,270.025,3188,2024-03-28 12:35:00-04:00
270.015,270.07,269.92,269.92,6200,2024-03-28 12:36:00-04:00
269.92,270.0,269.9,270.0,2424,2024-03-28 12:37:00-04:00
270.0,270.0,269.895,269.9,800,2024-03-28 12:38:00-04:00
269.87,269.87,269.87,269.87,300,2024-03-28 12:39:00-04:00
269.815,269.815,269.755,269.755,300,2024-03-28 12:40:00-04:00
269.75,270.22,269.75,270.22,6365,2024-03-28 12:41:00-04:00
270.1,270.175,270.1,270.175,400,2024-03-28 12:42:00-04:00
270.12,270.26,270.12,270.15,1334,2024-03-28 12:43:00-04:00
270.125,270.34,270.125,270.29,1858,2024-03-28 12:44:00-04:00
270.3,270.3,270.115,270.21,800,2024-03-28 12:45:00-04:00
270.185,270.4,270.185,270.4,1000,2024-03-28 12:46:00-04:00
270.4,270.47,270.275,270.345,1100,2024-03-28 12:47:00-04:00
270.48,270.56,270.48,270.56,302,2024-03-28 12:48:00-04:00
270.61,270.61,270.59,270.6,300,2024-03-28 12:49:00-04:00
270.46,270.46,270.46,270.46,118,2024-03-28 12:51:00-04:00
270.4,270.5,270.4,270.425,2698,2024-03-28 12:52:00-04:00
270.425,270.43,270.425,270.425,500,2024-03-28 12:53:00-04:00
270.42,270.5,270.42,270.445,798,2024-03-28 12:54:00-04:00
270.55,270.55,270.55,270.55,300,2024-03-28 12:55:00-04:00
270.58,270.58,270.58,270.58,200,2024-03-28 12:56:00-04:00
270.35,270.495,270.35,270.485,842,2024-03-28 12:58:00-04:00
270.49,270.49,270.4572,270.4572,600,2024-03-28 13:00:00-04:00
270.6,270.6,270.43,270.48,1014,2024-03-28 13:01:00-04:00
270.58,270.58,270.58,270.58,800,2024-03-28 13:02:00-04:00
270.5,270.5,270.5,270.5,400,2024-03-28 13:03:00-04:00
270.495,270.495,270.49,270.49,200,2024-03-28 13:04:00-04:00
270.59,270.66,270.58,270.66,1118,2024-03-28 13:05:00-04:00
270.47,270.56,270.47,270.47,323,2024-03-28 13:08:00-04:00
270.495,270.495,270.495,270.495,240,2024-03-28 13:09:00-04:00
270.55,270.58,270.505,270.58,746,2024-03-28 13:10:00-04:00
270.47,270.56,270.465,270.56,1205,2024-03-28 13:11:00-04:00
270.505,270.59,270.42,270.56,1554,2024-03-28 13:13:00-04:00
270.55,270.55,270.55,270.55,100,2024-03-28 13:16:00-04:00
270.43,270.43,270.43,270.43,100,2024-03-28 13:17:00-04:00
270.53,270.64,270.53,270.59,800,2024-03-28 13:20:00-04:00
270.5606,270.5606,270.5606,270.5606,200,2024-03-28 13:21:00-04:00
270.57,270.5754,270.57,270.5754,1706,2024-03-28 13:22:00-04:00
270.61,270.78,270.61,270.78,1896,2024-03-28 13:23:00-04:00
270.81,270.85,270.8,270.8,600,2024-03-28 13:24:00-04:00
270.7898,270.92,270.7898,270.86,831,2024-03-28 13:25:00-04:00
270.885,270.885,270.8801,270.8801,303,2024-03-28 13:26:00-04:00
270.85,270.85,270.85,270.85,200,2024-03-28 13:27:00-04:00
270.85,270.85,270.66,270.66,1433,2024-03-28 13:28:00-04:00
270.7,270.7,270.645,270.645,316,2024-03-28 13:30:00-04:00
270.645,270.67,270.55,270.65,1934,2024-03-28 13:31:00-04:00
270.7699,270.7699,270.6,270.605,1100,2024-03-28 13:32:00-04:00
270.73,270.73,270.73,270.73,100,2024-03-28 13:33:00-04:00
270.65,270.65,270.65,270.65,100,2024-03-28 13:34:00-04:00
270.58,270.64,270.55,270.55,474,2024-03-28 13:35:00-04:00
270.63,270.67,270.6275,270.67,1700,2024-03-28 13:37:00-04:00
270.66,270.66,270.66,270.66,200,2024-03-28 13:38:00-04:00
270.76,270.76,270.76,270.76,160,2024-03-28 13:39:00-04:00
270.57,270.66,270.57,270.655,700,2024-03-28 13:40:00-04:00
270.7162,270.87,270.7162,270.87,1833,2024-03-28 13:41:00-04:00
270.87,270.87,270.765,270.77,760,2024-03-28 13:44:00-04:00
270.82,270.82,270.82,270.82,100,2024-03-28 13:45:00-04:00
270.765,270.765,270.765,270.765,200,2024-03-28 13:46:00-04:00
270.66,270.66,270.66,270.66,100,2024-03-28 13:47:00-04:00
270.63,270.63,270.63,270.63,200,2024-03-28 13:48:00-04:00
270.7,270.77,270.7,270.77,800,2024-03-28 13:49:00-04:00
