open,high,low,close,volume,datetime
42.5,42.5,42.5,42.5,200,2024-03-28 07:36:00-04:00
42.38,42.4,42.3,42.3,400,2024-03-28 07:37:00-04:00
42.29,42.4,42.28,42.29,2060,2024-03-28 07:38:00-04:00
42.29,42.29,42.29,42.29,1500,2024-03-28 07:39:00-04:00
42.29,42.29,42.28,42.28,200,2024-03-28 07:40:00-04:00
42.19,42.19,42.19,42.19,300,2024-03-28 07:42:00-04:00
42.2,42.23,42.2,42.23,200,2024-03-28 07:43:00-04:00
42.23,42.24,42.23,42.23,900,2024-03-28 07:46:00-04:00
42.25,42.25,42.25,42.25,118,2024-03-28 07:55:00-04:00
42.26,42.26,42.26,42.26,100,2024-03-28 08:04:00-04:00
42.28,42.28,42.28,42.28,294,2024-03-28 08:12:00-04:00
42.29,42.29,42.29,42.29,100,2024-03-28 08:15:00-04:00
42.29,42.29,42.24,42.24,2763,2024-03-28 08:21:00-04:00
42.24,42.24,42.22,42.22,413,2024-03-28 08:29:00-04:00
42.23,42.23,42.22,42.22,200,2024-03-28 09:19:00-04:00
42.07,42.48,42.07,42.345,46835,2024-03-28 09:30:00-04:00
42.49,42.55,42.49,42.54,1226,2024-03-28 09:31:00-04:00
42.495,42.59,42.46,42.52,8339,2024-03-28 09:32:00-04:00
42.51,42.57,42.46,42.56,7202,2024-03-28 09:33:00-04:00
42.59,42.65,42.58,42.59,2798,2024-03-28 09:34:00-04:00
42.56,42.64,42.56,42.6,2461,2024-03-28 09:35:00-04:00
42.61,42.63,42.57,42.59,4318,2024-03-28 09:36:00-04:00
42.59,42.71,42.57,42.71,9967,2024-03-28 09:37:00-04:00
42.71,42.71,42.68,42.69,2200,2024-03-28 09:38:00-04:00
42.68,42.7,42.67,42.7,2299,2024-03-28 09:39:00-04:00
42.71,42.71,42.65,42.68,11986,2024-03-28 09:40:00-04:00
42.67,42.72,42.65,42.72,1500,2024-03-28 09:41:00-04:00
42.73,42.8,42.73,42.78,3055,2024-03-28 09:42:00-04:00
42.75,42.75,42.67,42.67,950,2024-03-28 09:43:00-04:00
42.71,42.76,42.71,42.712,1321,2024-03-28 09:44:00-04:00
42.71,42.71,42.65,42.7,4200,2024-03-28 09:45:00-04:00
42.695,42.695,42.64,42.65,5317,2024-03-28 09:46:00-04:00
42.63,42.68,42.63,42.665,1586,2024-03-28 09:47:00-04:00
42.67,42.72,42.67,42.67,3175,2024-03-28 09:48:00-04:00
42.67,42.675,42.615,42.62,18293,2024-03-28 09:49:00-04:00
42.62,42.62,42.56,42.56,2100,2024-03-28 09:50:00-04:00
42.56,42.56,42.515,42.515,1800,2024-03-28 09:51:00-04:00
42.53,42.55,42.515,42.525,2129,2024-03-28 09:52:00-04:00
42.53,42.54,42.51,42.51,5812,2024-03-28 09:53:00-04:00
42.52,42.54,42.52,42.53,1948,2024-03-28 09:54:00-04:00
42.515,42.53,42.48,42.49,2338,2024-03-28 09:55:00-04:00
42.5,42.5,42.47,42.48,2400,2024-03-28 09:56:00-04:00
42.49,42.5,42.47,42.47,3309,2024-03-28 09:57:00-04:00
42.46,42.5,42.46,42.5,2136,2024-03-28 09:58:00-04:00
42.5,42.5,42.46,42.46,830,2024-03-28 09:59:00-04:00
42.49,42.51,42.46,42.46,4396,2024-03-28 10:00:00-04:00
42.46,42.48,42.45,42.48,2784,2024-03-28 10:01:00-04:00
42.48,42.55,42.48,42.55,3396,2024-03-28 10:02:00-04:00
42.54,42.54,42.5,42.5,2904,2024-03-28 10:03:00-04:00
42.48,42.49,42.45,42.46,1996,2024-03-28 10:04:00-04:00
42.49,42.55,42.48,42.53,6316,2024-03-28 10:05:00-04:00
42.53,42.54,42.5,42.535,4894,2024-03-28 10:06:00-04:00
42.54,42.55,42.52,42.55,3247,2024-03-28 10:07:00-04:00
42.56,42.56,42.535,42.555,4451,2024-03-28 10:08:00-04:00
42.55,42.555,42.53,42.555,3812,2024-03-28 10:09:00-04:00
42.555,42.555,42.53,42.545,2900,2024-03-28 10:10:00-04:00
42.54,42.58,42.539,42.58,1828,2024-03-28 10:11:00-04:00
42.59,42.6,42.55,42.555,3495,2024-03-28 10:12:00-04:00
42.55,42.59,42.55,42.59,2491,2024-03-28 10:13:00-04:00
