open,high,low,close,volume,datetime
38.59,38.59,38.59,38.59,900,2024-03-28 08:12:00-04:00
38.67,38.67,38.67,38.67,200,2024-03-28 08:30:00-04:00
38.62,38.62,38.62,38.62,150,2024-03-28 09:08:00-04:00
38.69,38.69,38.69,38.69,100,2024-03-28 09:28:00-04:00
38.73,38.88,38.73,38.88,5100,2024-03-28 09:29:00-04:00
38.83,39.1,38.83,39.1,157524,2024-03-28 09:30:00-04:00
39.135,39.29,39.0801,39.095,56548,2024-03-28 09:31:00-04:00
39.11,39.18,39.02,39.105,22610,2024-03-28 09:32:00-04:00
39.11,39.23,39.11,39.19,23740,2024-03-28 09:33:00-04:00
39.18,39.25,39.1375,39.1375,20438,2024-03-28 09:34:00-04:00
39.13,39.23,39.1,39.16,46727,2024-03-28 09:35:00-04:00
39.16,39.22,39.16,39.22,36130,2024-03-28 09:36:00-04:00
39.23,39.25,39.13,39.13,43057,2024-03-28 09:37:00-04:00
39.14,39.215,39.13,39.16,72664,2024-03-28 09:38:00-04:00
39.16,39.21,39.14,39.2,28580,2024-03-28 09:39:00-04:00
39.2,39.205,39.08,39.095,21248,2024-03-28 09:40:00-04:00
39.095,39.13,39.06,39.11,35615,2024-03-28 09:41:00-04:00
39.11,39.145,39.095,39.13,12911,2024-03-28 09:42:00-04:00
39.135,39.2,39.135,39.2,41724,2024-03-28 09:43:00-04:00
39.195,39.23,39.11,39.16,61650,2024-03-28 09:44:00-04:00
39.16,39.19,39.0999,39.18,21388,2024-03-28 09:45:00-04:00
39.17,39.175,39.08,39.09,13886,2024-03-28 09:46:00-04:00
39.09,39.13,39.08,39.11,10477,2024-03-28 09:47:00-04:00
39.1,39.11,39.03,39.0301,28058,2024-03-28 09:48:00-04:00
39.03,39.03,38.94,38.96,32848,2024-03-28 09:49:00-04:00
38.96,39.0,38.94,38.965,52251,2024-03-28 09:50:00-04:00
38.96,38.97,38.9,38.91,20533,2024-03-28 09:51:00-04:00
38.91,38.9599,38.9,38.9,22788,2024-03-28 09:52:00-04:00
38.9,38.92,38.89,38.9,12860,2024-03-28 09:53:00-04:00
38.9,38.91,38.83,38.84,40764,2024-03-28 09:54:00-04:00
38.84,38.845,38.81,38.83,15817,2024-03-28 09:55:00-04:00
38.835,38.8392,38.79,38.82,13670,2024-03-28 09:56:00-04:00
38.82,38.86,38.81,38.85,119661,2024-03-28 09:57:00-04:00
38.85,38.89,38.815,38.84,84636,2024-03-28 09:58:00-04:00
38.84,38.84,38.79,38.83,5408,2024-03-28 09:59:00-04:00
38.83,38.84,38.78,38.78,14111,2024-03-28 10:00:00-04:00
38.79,38.845,38.78,38.835,27817,2024-03-28 10:01:00-04:00
38.835,38.88,38.825,38.87,21175,2024-03-28 10:02:00-04:00
38.87,38.89,38.86,38.87,16482,2024-03-28 10:03:00-04:00
38.86,38.87,38.8,38.8401,54662,2024-03-28 10:04:00-04:00
38.85,38.89,38.85,38.88,50680,2024-03-28 10:05:00-04:00
38.8899,38.905,38.87,38.88,7159,2024-03-28 10:06:00-04:00
38.8639,38.905,38.86,38.9,7073,2024-03-28 10:07:00-04:00
38.9,38.9,38.8609,38.8609,6960,2024-03-28 10:08:00-04:00
38.865,38.865,38.83,38.84,6881,2024-03-28 10:09:00-04:00
38.85,38.875,38.845,38.86,11649,2024-03-28 10:10:00-04:00
38.85,38.89,38.845,38.87,12257,2024-03-28 10:11:00-04:00
38.87,38.875,38.845,38.845,9368,2024-03-28 10:12:00-04:00
38.8491,38.86,38.835,38.843,21463,2024-03-28 10:13:00-04:00
38.85,38.89,38.85,38.89,7565,2024-03-28 10:14:00-04:00
38.9,38.93,38.88,38.88,11769,2024-03-28 10:15:00-04:00
38.8778,38.92,38.87,38.915,8603,2024-03-28 10:16:00-04:00
38.91,38.9101,38.835,38.84,6185,2024-03-28 10:17:00-04:00
38.83,38.85,38.82,38.85,23069,2024-03-28 10:18:00-04:00
38.845,38.86,38.845,38.85,11040,2024-03-28 10:19:00-04:00
38.845,38.845,38.78,38.79,26310,2024-03-28 10:20:00-04:00
38.78,38.805,38.78,38.79,7000,2024-03-28 10:21:00-04:00
38.8,38.865,38.8,38.84,25402,2024-03-28 10:22:00-04:00
38.845,38.86,38.835,38.8491,6447,2024-03-28 10:23:00-04:00
38.8402,38.845,38.795,38.8,13935,2024-03-28 10:24:00-04:00
38.81,38.81,38.7719,38.79,16083,2024-03-28 10:25:00-04:00
38.79,38.83,38.785,38.825,23346,2024-03-28 10:26:00-04:00
38.83,38.84,38.79,38.795,5634,2024-03-28 10:27:00-04:00
38.79,38.8,38.7897,38.7897,4242,2024-03-28 10:28:00-04:00
38.79,38.8,38.785,38.795,6370,2024-03-28 10:29:00-04:00
38.8,38.82,38.8,38.815,10842,2024-03-28 10:30:00-04:00
38.82,38.8605,38.815,38.8605,9502,2024-03-28 10:31:00-04:00
38.855,38.86,38.815,38.825,9952,2024-03-28 10:32:00-04:00
