open,high,low,close,volume,datetime
579.37,579.37,579.37,579.37,258,2024-03-28 08:12:00-04:00
577.76,577.76,577.76,577.76,100,2024-03-28 08:30:00-04:00
577.5,577.5,577.5,577.5,100,2024-03-28 09:25:00-04:00
579.3,580.38,576.19,580.38,19016,2024-03-28 09:30:00-04:00
580.32,580.93,580.31,580.31,1000,2024-03-28 09:31:00-04:00
579.615,579.615,578.6386,578.6386,846,2024-03-28 09:32:00-04:00
579.22,579.245,579.22,579.245,300,2024-03-28 09:33:00-04:00
579.105,579.79,579.105,579.4,1084,2024-03-28 09:34:00-04:00
579.005,579.03,578.74,578.74,425,2024-03-28 09:35:00-04:00
579.62,579.63,579.3,579.59,600,2024-03-28 09:36:00-04:00
579.1137,579.58,578.94,579.575,3402,2024-03-28 09:37:00-04:00
579.565,579.565,578.64,578.64,1131,2024-03-28 09:38:00-04:00
578.96,578.96,578.96,578.96,300,2024-03-28 09:39:00-04:00
578.3,579.575,578.2,579.5,3510,2024-03-28 09:40:00-04:00
579.525,579.525,579.525,579.525,300,2024-03-28 09:41:00-04:00
580.24,580.915,579.3404,579.3404,2747,2024-03-28 09:42:00-04:00
580.4837,580.79,580.16,580.16,1421,2024-03-28 09:44:00-04:00
579.81,579.81,579.81,579.81,100,2024-03-28 09:45:00-04:00
580.38,581.15,580.22,581.15,500,2024-03-28 09:46:00-04:00
580.795,581.26,580.795,581.225,650,2024-03-28 09:47:00-04:00
581.28,581.355,581.28,581.34,629,2024-03-28 09:48:00-04:00
581.335,581.335,580.3,580.3,1890,2024-03-28 09:49:00-04:00
580.54,580.73,580.28,580.61,825,2024-03-28 09:50:00-04:00
580.91,580.96,580.36,580.57,2053,2024-03-28 09:51:00-04:00
580.565,581.5,580.55,581.5,980,2024-03-28 09:52:00-04:00
580.9505,581.32,580.9505,580.98,2100,2024-03-28 09:53:00-04:00
581.275,581.3,580.82,581.045,3285,2024-03-28 09:54:00-04:00
581.299,581.33,581.245,581.245,4371,2024-03-28 09:55:00-04:00
581.35,581.42,581.29,581.29,906,2024-03-28 09:57:00-04:00
581.6,581.875,581.36,581.36,1400,2024-03-28 09:58:00-04:00
581.54,581.58,581.2,581.58,652,2024-03-28 09:59:00-04:00
581.585,582.0,581.585,581.965,1984,2024-03-28 10:00:00-04:00
582.22,582.295,581.63,581.63,1511,2024-03-28 10:01:00-04:00
581.805,582.13,581.805,582.125,1348,2024-03-28 10:02:00-04:00
582.03,582.03,581.75,581.75,854,2024-03-28 10:03:00-04:00
581.845,582.21,581.84,581.92,500,2024-03-28 10:04:00-04:00
581.75,582.11,581.67,582.11,570,2024-03-28 10:05:00-04:00
582.12,582.12,581.46,581.46,1897,2024-03-28 10:06:00-04:00
581.21,581.21,581.21,581.21,100,2024-03-28 10:07:00-04:00
581.3,581.5,581.3,581.5,500,2024-03-28 10:08:00-04:00
581.055,581.62,581.01,581.62,423,2024-03-28 10:09:00-04:00
581.365,581.56,581.345,581.56,725,2024-03-28 10:10:00-04:00
581.42,581.68,581.21,581.21,2785,2024-03-28 10:11:00-04:00
581.66,581.66,581.43,581.435,711,2024-03-28 10:12:00-04:00
581.23,581.52,581.19,581.52,1425,2024-03-28 10:13:00-04:00
581.2,581.255,581.2,581.255,679,2024-03-28 10:14:00-04:00
581.29,581.49,581.24,581.24,668,2024-03-28 10:15:00-04:00
581.01,581.01,581.01,581.01,100,2024-03-28 10:16:00-04:00
581.01,581.01,580.45,580.74,1066,2024-03-28 10:17:00-04:00
580.21,580.21,580.1,580.1,200,2024-03-28 10:18:00-04:00
580.195,580.195,579.3,579.3,400,2024-03-28 10:19:00-04:00
578.91,579.25,578.91,579.22,600,2024-03-28 10:20:00-04:00
579.24,579.4,579.24,579.295,800,2024-03-28 10:21:00-04:00
579.295,579.9,579.295,579.77,1214,2024-03-28 10:22:00-04:00
579.81,579.81,579.17,579.35,1023,2024-03-28 10:23:00-04:00
579.93,579.93,579.36,579.82,715,2024-03-28 10:25:00-04:00
579.2568,579.2568,579.2568,579.2568,150,2024-03-28 10:26:00-04:00
579.6,579.6,579.6,579.6,200,2024-03-28 10:28:00-04:00
579.625,579.625,579.625,579.625,100,2024-03-28 10:29:00-04:00
579.77,580.0499,579.35,579.63,842,2024-03-28 10:30:00-04:00
