open,high,low,close,volume,datetime
228.83,228.83,228.83,228.83,153,2024-03-28 08:12:00-04:00
229.57,229.57,229.57,229.57,100,2024-03-28 09:28:00-04:00
229.78,230.35,229.57,229.75,10115,2024-03-28 09:30:00-04:00
230.01,230.38,230.01,230.0775,848,2024-03-28 09:31:00-04:00
230.28,230.3319,230.28,230.3319,811,2024-03-28 09:32:00-04:00
230.416,230.53,230.416,230.53,270,2024-03-28 09:33:00-04:00
230.19,230.19,230.19,230.19,295,2024-03-28 09:34:00-04:00
229.82,230.14,229.82,230.14,830,2024-03-28 09:35:00-04:00
230.055,230.055,229.94,229.94,301,2024-03-28 09:36:00-04:00
230.075,230.11,230.075,230.11,552,2024-03-28 09:37:00-04:00
230.09,230.09,230.085,230.085,300,2024-03-28 09:38:00-04:00
230.085,230.085,229.93,230.035,1200,2024-03-28 09:39:00-04:00
230.05,230.33,230.05,230.33,1600,2024-03-28 09:40:00-04:00
230.3,230.39,230.3,230.39,600,2024-03-28 09:43:00-04:00
230.39,230.48,230.39,230.48,1100,2024-03-28 09:44:00-04:00
230.29,230.29,230.17,230.17,497,2024-03-28 09:45:00-04:00
230.38,230.45,230.38,230.45,805,2024-03-28 09:46:00-04:00
230.31,230.38,230.31,230.38,400,2024-03-28 09:47:00-04:00
230.27,230.28,230.27,230.275,895,2024-03-28 09:48:00-04:00
230.02,230.0699,230.02,230.0699,320,2024-03-28 09:50:00-04:00
229.84,229.84,229.66,229.76,1000,2024-03-28 09:51:00-04:00
229.67,229.81,229.65,229.73,1220,2024-03-28 09:52:00-04:00
229.68,229.76,229.68,229.725,300,2024-03-28 09:53:00-04:00
229.69,229.69,229.69,229.69,100,2024-03-28 09:54:00-04:00
229.67,229.84,229.67,229.84,1677,2024-03-28 09:55:00-04:00
229.83,229.83,229.795,229.795,300,2024-03-28 09:56:00-04:00
229.88,229.93,229.88,229.93,932,2024-03-28 09:57:00-04:00
230.03,230.03,230.02,230.02,301,2024-03-28 09:58:00-04:00
229.97,229.97,229.97,229.97,100,2024-03-28 09:59:00-04:00
230.07,230.0725,230.02,230.0725,300,2024-03-28 10:00:00-04:00
230.21,230.255,230.21,230.235,434,2024-03-28 10:01:00-04:00
230.235,230.415,230.235,230.4,1100,2024-03-28 10:02:00-04:00
230.36,230.365,230.35,230.35,400,2024-03-28 10:03:00-04:00
230.345,230.345,230.26,230.26,2174,2024-03-28 10:04:00-04:00
230.24,230.27,230.075,230.16,1900,2024-03-28 10:05:00-04:00
230.06,230.08,230.06,230.08,400,2024-03-28 10:08:00-04:00
230.16,230.22,230.16,230.22,400,2024-03-28 10:09:00-04:00
230.18,230.295,230.18,230.295,742,2024-03-28 10:10:00-04:00
230.34,230.4853,230.34,230.36,899,2024-03-28 10:11:00-04:00
230.35,230.35,230.32,230.32,200,2024-03-28 10:12:00-04:00
230.37,230.385,230.37,230.385,200,2024-03-28 10:13:00-04:00
230.19,230.23,230.19,230.23,200,2024-03-28 10:14:00-04:00
230.3,230.35,230.27,230.27,1066,2024-03-28 10:15:00-04:00
230.16,230.16,229.89,230.05,1205,2024-03-28 10:17:00-04:00
229.95,229.975,229.95,229.975,230,2024-03-28 10:18:00-04:00
229.97,229.97,229.97,229.97,217,2024-03-28 10:19:00-04:00
229.99,229.99,229.99,229.99,100,2024-03-28 10:20:00-04:00
229.99,230.07,229.99,230.05,832,2024-03-28 10:21:00-04:00
230.08,230.11,230.08,230.1,300,2024-03-28 10:22:00-04:00
230.074,230.12,230.074,230.12,300,2024-03-28 10:23:00-04:00
230.07,230.07,230.07,230.07,100,2024-03-28 10:24:00-04:00
230.06,230.06,230.06,230.06,121,2024-03-28 10:25:00-04:00
229.965,229.985,229.965,229.985,300,2024-03-28 10:26:00-04:00
230.06,230.06,230.06,230.06,200,2024-03-28 10:27:00-04:00
230.005,230.08,230.005,230.015,797,2024-03-28 10:28:00-04:00
230.0,230.03,229.915,229.915,1100,2024-03-28 10:29:00-04:00
229.975,229.98,229.95,229.98,1052,2024-03-28 10:30:00-04:00
229.965,230.02,229.96,229.96,916,2024-03-28 10:31:00-04:00
229.94,229.94,229.9046,229.915,654,2024-03-28 10:32:00-04:00
229.955,229.955,229.925,229.95,525,2024-03-28 10:33:00-04:00
229.91,229.91,229.91,229.91,125,2024-03-28 10:34:00-04:00
229.92,229.97,229.92,229.925,500,2024-03-28 10:35:00-04:00
229.92,229.97,229.9,229.955,2001,2024-03-28 10:36:00-04:00
229.9,230.08,229.9,230.08,1825,2024-03-28 10:37:00-04:00
230.09,230.175,230.07,230.1699,2200,2024-03-28 10:38:00-04:00
230.1497,230.1497,229.96,229.96,3514,2024-03-28 10:39:00-04:00
229.89,229.97,229.75,229.915,2434,2024-03-28 10:40:00-04:00
229.99,230.07,229.99,230.07,950,2024-03-28 10:41:00-04:00
230.0,230.0,230.0,230.0,550,2024-03-28 10:42:00-04:00
230.02,230.02,229.89,229.89,530,2024-03-28 10:43:00-04:00
229.97,229.97,229.963,229.963,501,2024-03-28 10:44:00-04:00
230.0,230.01,230.0,230.01,200,2024-03-28 10:45:00-04:00
229.94,229.9531,229.86,229.925,735,2024-03-28 10:46:00-04:00
229.85,229.85,229.775,229.81,500,2024-03-28 10:47:00-04:00
229.78,229.8,229.65,229.8,6050,2024-03-28 10:48:00-04:00
229.85,229.91,229.85,229.91,500,2024-03-28 10:50:00-04:00
230.0,230.0,230.0,230.0,100,2024-03-28 10:52:00-04:00
230.08,230.16,230.08,230.16,600,2024-03-28 10:53:00-04:00
230.05,230.145,230.05,230.145,300,2024-03-28 10:55:00-04:00
230.1317,230.1317,230.05,230.05,403,2024-03-28 10:56:00-04:00
229.99,230.03,229.99,230.03,206,2024-03-28 10:57:00-04:00
229.98,230.05,229.98,230.05,754,2024-03-28 10:58:00-04:00
230.015,230.015,229.92,229.92,435,2024-03-28 10:59:00-04:00
229.98,230.03,229.97,229.97,648,2024-03-28 11:00:00-04:00
229.88,229.906,229.88,229.885,335,2024-03-28 11:01:00-04:00
229.82,229.84,229.72,229.72,1105,2024-03-28 11:02:00-04:00
229.79,229.795,229.74,229.76,2200,2024-03-28 11:03:00-04:00
229.76,229.84,229.74,229.805,1312,2024-03-28 11:04:00-04:00
229.76,229.8305,229.76,229.8,1108,2024-03-28 11:05:00-04:00
229.835,229.9199,229.83,229.89,1100,2024-03-28 11:06:00-04:00
229.81,229.81,229.74,229.74,1151,2024-03-28 11:07:00-04:00
229.68,229.79,229.68,229.745,809,2024-03-28 11:08:00-04:00
229.6891,229.745,229.62,229.63,1324,2024-03-28 11:09:00-04:00
229.7,229.7,229.64,229.695,400,2024-03-28 11:10:00-04:00
229.695,229.72,229.565,229.645,2235,2024-03-28 11:11:00-04:00
229.645,229.645,229.645,229.645,200,2024-03-28 11:12:00-04:00
229.73,229.73,229.64,229.64,900,2024-03-28 11:13:00-04:00
229.67,229.68,229.665,229.67,874,2024-03-28 11:14:00-04:00
229.55,229.55,229.5375,229.5375,500,2024-03-28 11:15:00-04:00
229.5,229.5,229.45,229.46,708,2024-03-28 11:16:00-04:00
229.46,229.46,229.4,229.4,400,2024-03-28 11:17:00-04:00
229.385,229.47,229.385,229.42,400,2024-03-28 11:18:00-04:00
229.4,229.52,229.4,229.52,933,2024-03-28 11:19:00-04:00
229.46,229.5231,229.46,229.5231,200,2024-03-28 11:20:00-04:00
229.53,229.55,229.53,229.55,693,2024-03-28 11:21:00-04:00
229.54,229.63,229.54,229.57,617,2024-03-28 11:22:00-04:00
229.56,229.56,229.46,229.46,500,2024-03-28 11:23:00-04:00
229.52,229.52,229.52,229.52,100,2024-03-28 11:24:00-04:00
229.53,229.54,229.53,229.54,209,2024-03-28 11:25:00-04:00
229.52,229.52,229.49,229.49,300,2024-03-28 11:27:00-04:00
229.51,229.5325,229.48,229.53,500,2024-03-28 11:28:00-04:00
229.53,229.58,229.52,229.55,1381,2024-03-28 11:30:00-04:00
229.5325,229.56,229.49,229.5225,600,2024-03-28 11:31:00-04:00
229.59,229.59,229.59,229.59,300,2024-03-28 11:32:00-04:00
229.58,229.58,229.54,229.54,206,2024-03-28 11:33:00-04:00
229.57,229.57,229.55,229.55,300,2024-03-28 11:34:00-04:00
229.6558,229.6558,229.6558,229.6558,225,2024-03-28 11:39:00-04:00
229.63,229.63,229.63,229.63,100,2024-03-28 11:40:00-04:00
229.58,229.58,229.58,229.58,100,2024-03-28 11:43:00-04:00
229.59,229.64,229.59,229.625,1000,2024-03-28 11:44:00-04:00
