open,high,low,close,volume,datetime
195.59,196.16,195.3,196.16,17481,2021-11-23 09:30:00-05:00
195.4,195.95,195.4,195.715,543,2021-11-23 09:31:00-05:00
195.615,195.615,195.4,195.4,400,2021-11-23 09:32:00-05:00
195.38,196.29,195.03,196.29,6158,2021-11-23 09:33:00-05:00
196.18,196.18,196.03,196.03,200,2021-11-23 09:34:00-05:00
195.918,197.09,195.918,196.66,10386,2021-11-23 09:35:00-05:00
196.875,197.02,196.54,196.65,6812,2021-11-23 09:36:00-05:00
196.555,196.81,196.125,196.125,1531,2021-11-23 09:37:00-05:00
196.125,196.935,196.125,196.935,800,2021-11-23 09:38:00-05:00
196.93,196.93,196.54,196.84,5404,2021-11-23 09:39:00-05:00
196.52,196.81,196.52,196.66,900,2021-11-23 09:40:00-05:00
196.71,196.87,196.58,196.7975,1197,2021-11-23 09:41:00-05:00
196.76,196.92,196.5,196.5,9566,2021-11-23 09:42:00-05:00
196.47,196.47,196.31,196.31,800,2021-11-23 09:43:00-05:00
196.225,196.43,196.22,196.43,935,2021-11-23 09:44:00-05:00
196.38,196.38,196.3,196.305,822,2021-11-23 09:45:00-05:00
196.36,196.36,196.36,196.36,100,2021-11-23 09:46:00-05:00
196.35,196.8,196.21,196.75,3184,2021-11-23 09:47:00-05:00
196.68,196.68,196.455,196.455,1686,2021-11-23 09:48:00-05:00
196.42,196.685,196.42,196.685,800,2021-11-23 09:49:00-05:00
196.685,196.685,196.68,196.68,300,2021-11-23 09:50:00-05:00
196.66,196.66,196.645,196.655,1022,2021-11-23 09:51:00-05:00
196.85,197.3,196.85,197.3,1000,2021-11-23 09:52:00-05:00
197.105,197.105,196.77,196.91,4157,2021-11-23 09:53:00-05:00
197.05,197.1304,197.05,197.115,325,2021-11-23 09:54:00-05:00
197.08,197.28,197.08,197.28,1617,2021-11-23 09:55:00-05:00
197.28,197.28,197.265,197.265,200,2021-11-23 09:57:00-05:00
197.265,197.265,197.035,197.15,1251,2021-11-23 09:58:00-05:00
197.29,197.29,197.05,197.11,948,2021-11-23 09:59:00-05:00
197.095,197.1,196.905,196.905,1000,2021-11-23 10:00:00-05:00
196.955,196.955,196.89,196.92,600,2021-11-23 10:01:00-05:00
196.905,197.35,196.77,197.24,8659,2021-11-23 10:02:00-05:00
197.235,197.5,197.2,197.47,12521,2021-11-23 10:03:00-05:00
197.525,197.5525,197.42,197.485,4094,2021-11-23 10:04:00-05:00
197.5,197.64,197.4818,197.52,1315,2021-11-23 10:05:00-05:00
197.52,197.52,197.0,197.065,4836,2021-11-23 10:06:00-05:00
197.13,197.22,197.03,197.03,3521,2021-11-23 10:07:00-05:00
197.085,197.27,197.03,197.26,6257,2021-11-23 10:08:00-05:00
197.26,197.27,196.99,197.15,9924,2021-11-23 10:09:00-05:00
197.22,197.49,197.08,197.13,2840,2021-11-23 10:10:00-05:00
197.135,197.38,197.07,197.34,4845,2021-11-23 10:11:00-05:00
197.35,197.375,197.25,197.33,1148,2021-11-23 10:12:00-05:00
197.275,197.47,197.15,197.45,10422,2021-11-23 10:13:00-05:00
197.405,197.405,197.2,197.31,2934,2021-11-23 10:14:00-05:00
197.31,197.67,197.31,197.67,2080,2021-11-23 10:15:00-05:00
197.58,197.58,197.57,197.57,1072,2021-11-23 10:16:00-05:00
197.57,197.66,197.48,197.48,2606,2021-11-23 10:17:00-05:00
197.56,197.75,197.56,197.75,1275,2021-11-23 10:18:00-05:00
197.67,197.8,197.67,197.8,842,2021-11-23 10:19:00-05:00
197.82,197.82,197.435,197.435,2415,2021-11-23 10:20:00-05:00
197.49,197.91,197.42,197.69,8783,2021-11-23 10:21:00-05:00
197.635,197.76,197.58,197.64,3405,2021-11-23 10:22:00-05:00
197.705,197.87,197.65,197.65,12560,2021-11-23 10:23:00-05:00
197.47,197.66,197.47,197.5675,4700,2021-11-23 10:24:00-05:00
197.5,197.57,197.46,197.52,1000,2021-11-23 10:25:00-05:00
197.49,197.64,197.235,197.24,6410,2021-11-23 10:26:00-05:00
197.2,197.395,197.13,197.395,2450,2021-11-23 10:27:00-05:00
197.37,197.385,197.1,197.15,3869,2021-11-23 10:28:00-05:00
197.2,197.41,197.2,197.32,7366,2021-11-23 10:29:00-05:00
197.31,197.42,197.25,197.4,6890,2021-11-23 10:30:00-05:00
197.3725,197.425,197.22,197.27,4750,2021-11-23 10:31:00-05:00
197.315,197.47,197.315,197.33,4399,2021-11-23 10:32:00-05:00
197.25,197.415,197.25,197.34,4400,2021-11-23 10:33:00-05:00
197.44,197.535,197.26,197.535,3700,2021-11-23 10:34:00-05:00
197.43,197.6,197.36,197.51,7170,2021-11-23 10:35:00-05:00
197.51,197.51,197.485,197.485,574,2021-11-23 10:36:00-05:00
197.495,197.61,197.485,197.53,5086,2021-11-23 10:37:00-05:00
197.505,197.505,197.355,197.46,3219,2021-11-23 10:38:00-05:00
197.51,197.6,197.5,197.54,3715,2021-11-23 10:39:00-05:00
197.58,197.66,197.49,197.555,3523,2021-11-23 10:40:00-05:00
197.49,197.785,197.48,197.735,2100,2021-11-23 10:41:00-05:00
197.69,197.73,197.53,197.72,4814,2021-11-23 10:42:00-05:00
197.705,197.705,197.59,197.7,3814,2021-11-23 10:43:00-05:00
197.72,197.77,197.72,197.75,1099,2021-11-23 10:44:00-05:00
197.8,197.89,197.775,197.875,1600,2021-11-23 10:45:00-05:00
197.87,198.175,197.87,198.04,2209,2021-11-23 10:46:00-05:00
198.07,198.14,197.91,198.055,26144,2021-11-23 10:47:00-05:00
198.13,198.14,197.74,197.74,2100,2021-11-23 10:48:00-05:00
197.85,198.12,197.85,198.12,450,2021-11-23 10:49:00-05:00
198.13,198.13,198.025,198.1,1203,2021-11-23 10:50:00-05:00
198.04,198.22,198.04,198.12,1480,2021-11-23 10:51:00-05:00
198.15,198.21,198.04,198.05,1100,2021-11-23 10:52:00-05:00
198.08,198.08,197.58,197.58,2186,2021-11-23 10:53:00-05:00
197.6,197.61,197.6,197.6,1200,2021-11-23 10:54:00-05:00
197.52,197.59,197.41,197.425,1800,2021-11-23 10:55:00-05:00
197.35,197.44,197.26,197.38,1640,2021-11-23 10:56:00-05:00
197.325,197.39,196.9,196.9,2808,2021-11-23 10:57:00-05:00
197.015,197.025,196.7,196.7,2660,2021-11-23 10:58:00-05:00
196.87,197.09,196.785,196.99,3172,2021-11-23 10:59:00-05:00
197.09,197.13,196.9,196.94,5306,2021-11-23 11:00:00-05:00
196.9,197.15,196.9,197.11,6143,2021-11-23 11:01:00-05:00
197.04,197.06,196.9,196.9,4029,2021-11-23 11:02:00-05:00
196.93,197.12,196.9,196.91,10072,2021-11-23 11:03:00-05:00
196.8,196.8,196.34,196.56,1305,2021-11-23 11:04:00-05:00
196.76,196.79,196.76,196.79,500,2021-11-23 11:05:00-05:00
196.9,196.92,196.69,196.76,1400,2021-11-23 11:06:00-05:00
196.85,196.85,196.51,196.57,1133,2021-11-23 11:07:00-05:00
196.57,196.57,196.57,196.57,180,2021-11-23 11:08:00-05:00
196.55,196.55,196.45,196.45,900,2021-11-23 11:09:00-05:00
196.35,196.35,196.34,196.34,401,2021-11-23 11:10:00-05:00
196.3,196.5,196.285,196.495,1599,2021-11-23 11:11:00-05:00
196.576,196.576,196.41,196.41,908,2021-11-23 11:12:00-05:00
196.548,196.55,196.36,196.36,1225,2021-11-23 11:13:00-05:00
196.42,196.42,196.04,196.04,2240,2021-11-23 11:14:00-05:00
196.14,196.36,196.14,196.26,1100,2021-11-23 11:16:00-05:00
196.265,196.265,196.04,196.04,2400,2021-11-23 11:17:00-05:00
196.04,196.1392,196.03,196.1392,409,2021-11-23 11:18:00-05:00
196.03,196.1,195.85,195.85,1520,2021-11-23 11:19:00-05:00
195.98,195.98,195.97,195.97,288,2021-11-23 11:20:00-05:00
195.92,196.09,195.85,195.85,3409,2021-11-23 11:21:00-05:00
196.0,196.09,195.845,195.895,3061,2021-11-23 11:22:00-05:00
195.97,195.98,195.78,195.78,1200,2021-11-23 11:23:00-05:00
195.73,195.73,195.73,195.73,200,2021-11-23 11:24:00-05:00
195.735,195.735,195.52,195.68,2101,2021-11-23 11:25:00-05:00
195.85,195.85,195.84,195.84,248,2021-11-23 11:26:00-05:00
195.85,195.85,195.76,195.792,1401,2021-11-23 11:27:00-05:00
195.76,195.76,195.53,195.575,894,2021-11-23 11:28:00-05:00
195.58,195.58,195.3,195.47,1400,2021-11-23 11:29:00-05:00
195.49,195.54,195.39,195.39,400,2021-11-23 11:30:00-05:00
195.59,195.64,195.53,195.552,1601,2021-11-23 11:31:00-05:00
195.5,195.535,195.45,195.45,500,2021-11-23 11:32:00-05:00
195.3,195.38,195.29,195.38,500,2021-11-23 11:33:00-05:00
195.38,195.38,195.08,195.08,1300,2021-11-23 11:34:00-05:00
195.13,195.18,194.95,195.0,2616,2021-11-23 11:35:00-05:00
194.91,194.98,194.86,194.896,1777,2021-11-23 11:36:00-05:00
194.99,195.01,194.815,194.815,2518,2021-11-23 11:37:00-05:00
194.9,195.1,194.9,195.0922,4445,2021-11-23 11:38:00-05:00
195.09,195.09,194.98,194.98,800,2021-11-23 11:39:00-05:00
195.065,195.065,195.065,195.065,300,2021-11-23 11:40:00-05:00
195.04,195.04,195.04,195.04,800,2021-11-23 11:41:00-05:00
195.04,195.4,195.04,195.4,2186,2021-11-23 11:42:00-05:00
195.34,195.34,195.235,195.235,4191,2021-11-23 11:44:00-05:00
195.28,195.54,195.28,195.53,4500,2021-11-23 11:45:00-05:00
195.48,195.595,195.47,195.56,1401,2021-11-23 11:46:00-05:00
195.55,195.585,195.48,195.585,1400,2021-11-23 11:47:00-05:00
195.56,195.56,195.5,195.51,1723,2021-11-23 11:48:00-05:00
195.6038,195.6038,195.5,195.5636,1129,2021-11-23 11:49:00-05:00
195.46,195.46,195.38,195.385,900,2021-11-23 11:50:00-05:00
195.44,195.44,195.25,195.25,1700,2021-11-23 11:52:00-05:00
195.37,195.37,195.25,195.25,800,2021-11-23 11:53:00-05:00
195.275,195.6,195.16,195.6,10779,2021-11-23 11:54:00-05:00
195.6,195.67,195.33,195.485,2202,2021-11-23 11:55:00-05:00
195.485,195.485,195.48,195.48,2100,2021-11-23 11:56:00-05:00
195.59,195.59,195.525,195.555,600,2021-11-23 11:57:00-05:00
195.56,195.575,195.56,195.575,2600,2021-11-23 11:58:00-05:00
195.575,195.59,195.445,195.57,3500,2021-11-23 11:59:00-05:00
