open,high,low,close,volume,datetime
193.09,193.09,193.05,193.05,513,2021-11-23 08:51:00-05:00
192.87,192.87,192.87,192.87,620,2021-11-23 08:53:00-05:00
192.83,192.83,192.83,192.83,200,2021-11-23 08:54:00-05:00
192.83,192.83,192.83,192.83,135,2021-11-23 08:57:00-05:00
192.83,192.83,192.83,192.83,405,2021-11-23 09:09:00-05:00
192.81,192.83,192.81,192.83,446,2021-11-23 09:13:00-05:00
194.11,194.15,194.11,194.15,684,2021-11-23 09:25:00-05:00
194.16,194.16,194.15,194.15,659,2021-11-23 09:27:00-05:00
193.75,193.95,193.75,193.95,388,2021-11-23 09:29:00-05:00
193.73,193.73,193.0,193.4,51116,2021-11-23 09:30:00-05:00
193.15,193.15,192.5,192.6,5226,2021-11-23 09:31:00-05:00
192.43,192.65,192.11,192.65,2612,2021-11-23 09:32:00-05:00
192.47,192.65,192.4208,192.465,3727,2021-11-23 09:33:00-05:00
192.425,192.425,191.89,191.97,4380,2021-11-23 09:34:00-05:00
191.85,192.26,191.85,192.04,9026,2021-11-23 09:35:00-05:00
192.04,192.435,192.0,192.435,6717,2021-11-23 09:36:00-05:00
192.54,192.69,192.43,192.6,3500,2021-11-23 09:37:00-05:00
192.57,192.85,192.57,192.85,8675,2021-11-23 09:38:00-05:00
192.98,192.98,192.48,192.55,4430,2021-11-23 09:39:00-05:00
192.555,192.64,192.38,192.385,59151,2021-11-23 09:40:00-05:00
192.42,192.64,192.22,192.54,20512,2021-11-23 09:41:00-05:00
192.65,192.72,192.23,192.38,7050,2021-11-23 09:42:00-05:00
192.36,192.59,192.23,192.23,6315,2021-11-23 09:43:00-05:00
192.2951,192.4,191.97,192.0189,4609,2021-11-23 09:44:00-05:00
192.12,192.34,191.9,192.05,6060,2021-11-23 09:45:00-05:00
192.235,192.65,192.235,192.65,5982,2021-11-23 09:46:00-05:00
192.73,192.77,192.63,192.76,6048,2021-11-23 09:47:00-05:00
192.68,192.795,192.65,192.795,3269,2021-11-23 09:48:00-05:00
192.91,193.0,192.82,192.91,3182,2021-11-23 09:49:00-05:00
192.9,193.08,192.8,192.81,10592,2021-11-23 09:50:00-05:00
192.77,193.05,192.77,192.94,5160,2021-11-23 09:51:00-05:00
192.94,193.175,192.93,192.985,7690,2021-11-23 09:52:00-05:00
192.95,193.09,192.92,193.01,1567,2021-11-23 09:53:00-05:00
193.13,193.28,193.07,193.08,21134,2021-11-23 09:54:00-05:00
193.08,193.15,193.0,193.11,2605,2021-11-23 09:55:00-05:00
193.08,193.13,192.98,193.05,15274,2021-11-23 09:56:00-05:00
193.05,193.1,192.96,193.09,4464,2021-11-23 09:57:00-05:00
193.11,193.11,192.88,192.88,4871,2021-11-23 09:58:00-05:00
192.925,193.035,192.63,192.63,3400,2021-11-23 09:59:00-05:00
192.75,192.78,192.491,192.545,5945,2021-11-23 10:00:00-05:00
192.54,192.63,192.3675,192.44,4500,2021-11-23 10:01:00-05:00
192.41,192.545,192.295,192.33,3616,2021-11-23 10:02:00-05:00
192.3295,192.43,192.285,192.32,4044,2021-11-23 10:03:00-05:00
192.35,192.46,192.32,192.46,9201,2021-11-23 10:04:00-05:00
192.47,192.57,192.42,192.45,12948,2021-11-23 10:05:00-05:00
192.455,192.46,191.88,191.95,10511,2021-11-23 10:06:00-05:00
191.99,192.19,191.99,192.09,5101,2021-11-23 10:07:00-05:00
192.11,192.16,191.94,191.94,7404,2021-11-23 10:08:00-05:00
191.99,191.99,191.65,191.83,14126,2021-11-23 10:09:00-05:00
191.81,192.1855,191.81,192.1855,12427,2021-11-23 10:10:00-05:00
192.2,192.28,192.14,192.24,1547,2021-11-23 10:11:00-05:00
192.25,192.33,192.18,192.25,1900,2021-11-23 10:12:00-05:00
192.23,192.23,192.01,192.14,4613,2021-11-23 10:13:00-05:00
192.23,192.23,191.795,191.93,10956,2021-11-23 10:14:00-05:00
192.07,192.25,192.07,192.18,10227,2021-11-23 10:15:00-05:00
192.18,192.36,192.1186,192.23,9966,2021-11-23 10:16:00-05:00
192.2,192.24,192.09,192.19,5797,2021-11-23 10:17:00-05:00
192.17,192.32,192.08,192.17,6245,2021-11-23 10:18:00-05:00
192.18,192.29,192.11,192.11,9879,2021-11-23 10:19:00-05:00
192.115,192.18,191.84,191.99,10203,2021-11-23 10:20:00-05:00
191.95,192.0,191.76,191.76,5828,2021-11-23 10:21:00-05:00
191.78,191.84,191.685,191.72,4200,2021-11-23 10:22:00-05:00
191.695,191.91,191.695,191.78,6855,2021-11-23 10:23:00-05:00
191.83,191.93,191.72,191.79,2200,2021-11-23 10:24:00-05:00
191.88,191.96,191.84,191.96,5522,2021-11-23 10:25:00-05:00
191.965,191.965,191.58,191.63,4463,2021-11-23 10:26:00-05:00
191.54,191.67,191.45,191.45,7724,2021-11-23 10:27:00-05:00
191.47,191.51,191.12,191.125,7294,2021-11-23 10:28:00-05:00
191.14,191.435,191.14,191.38,13030,2021-11-23 10:29:00-05:00
191.36,191.475,191.27,191.46,10563,2021-11-23 10:30:00-05:00
191.45,191.64,191.42,191.63,3287,2021-11-23 10:31:00-05:00
191.6,191.6,191.46,191.51,2927,2021-11-23 10:32:00-05:00
191.48,191.5,191.35,191.35,3504,2021-11-23 10:33:00-05:00
191.3553,191.3553,191.03,191.03,4606,2021-11-23 10:34:00-05:00
191.05,191.075,190.78,190.835,10668,2021-11-23 10:35:00-05:00
190.85,190.99,190.762,190.925,8532,2021-11-23 10:36:00-05:00
190.94,191.05,190.8,190.87,3561,2021-11-23 10:37:00-05:00
190.79,190.97,190.77,190.89,5630,2021-11-23 10:38:00-05:00
