open,high,low,close,volume,datetime
539.15,539.15,539.15,539.15,678,2021-11-23 09:30:00-05:00
540.0,540.0,540.0,540.0,2759,2021-11-23 09:32:00-05:00
541.37,541.37,541.37,541.37,100,2021-11-23 09:33:00-05:00
541.4,541.4,541.4,541.4,100,2021-11-23 09:34:00-05:00
541.9,541.9,541.9,541.9,100,2021-11-23 09:35:00-05:00
543.34,543.34,541.71,541.71,201,2021-11-23 09:37:00-05:00
543.02,545.3,543.02,545.3,200,2021-11-23 09:40:00-05:00
545.87,545.87,545.87,545.87,120,2021-11-23 09:42:00-05:00
542.25,545.83,542.25,545.83,277,2021-11-23 09:45:00-05:00
545.49,545.78,545.49,545.78,200,2021-11-23 09:47:00-05:00
545.87,545.87,545.87,545.87,111,2021-11-23 09:50:00-05:00
545.41,545.87,545.41,545.87,200,2021-11-23 09:51:00-05:00
547.48,547.48,547.48,547.48,168,2021-11-23 09:52:00-05:00
544.195,547.51,544.195,547.51,211,2021-11-23 09:54:00-05:00
545.885,545.885,545.885,545.885,100,2021-11-23 09:56:00-05:00
547.47,547.47,547.47,547.47,189,2021-11-23 09:57:00-05:00
543.79,543.79,543.79,543.79,100,2021-11-23 10:02:00-05:00
545.78,545.78,545.78,545.78,179,2021-11-23 10:04:00-05:00
543.71,543.71,540.75,540.75,500,2021-11-23 10:06:00-05:00
540.84,540.84,540.84,540.84,200,2021-11-23 10:08:00-05:00
540.84,540.84,540.83,540.83,214,2021-11-23 10:10:00-05:00
540.01,540.01,540.0,540.0,755,2021-11-23 10:12:00-05:00
540.0,540.0,540.0,540.0,5069,2021-11-23 10:13:00-05:00
539.58,539.58,538.72,539.38,600,2021-11-23 10:14:00-05:00
539.26,539.44,538.705,539.0,500,2021-11-23 10:15:00-05:00
537.87,537.87,536.62,536.62,213,2021-11-23 10:17:00-05:00
536.64,537.54,536.38,537.54,700,2021-11-23 10:18:00-05:00
535.815,535.815,535.815,535.815,100,2021-11-23 10:19:00-05:00
535.13,535.13,535.13,535.13,100,2021-11-23 10:21:00-05:00
535.833,535.833,535.38,535.44,350,2021-11-23 10:22:00-05:00
535.31,535.965,535.31,535.965,200,2021-11-23 10:23:00-05:00
535.23,535.23,535.01,535.01,200,2021-11-23 10:24:00-05:00
533.81,533.81,533.81,533.81,100,2021-11-23 10:25:00-05:00
