open,high,low,close,volume,datetime
21.55,21.55,21.55,21.55,100,2021-11-23 07:10:00-05:00
21.56,21.62,21.56,21.61,300,2021-11-23 07:15:00-05:00
21.63,21.64,21.63,21.64,282,2021-11-23 07:16:00-05:00
21.62,21.62,21.62,21.62,731,2021-11-23 07:17:00-05:00
21.57,21.57,21.57,21.57,100,2021-11-23 07:20:00-05:00
21.52,21.52,21.52,21.52,100,2021-11-23 07:37:00-05:00
21.52,21.52,21.52,21.52,200,2021-11-23 08:06:00-05:00
21.27,21.27,21.27,21.27,100,2021-11-23 08:37:00-05:00
21.49,21.49,21.49,21.49,13988,2021-11-23 08:41:00-05:00
21.53,21.53,21.53,21.53,100,2021-11-23 08:59:00-05:00
21.47,21.47,21.47,21.47,100,2021-11-23 09:23:00-05:00
21.35,21.365,21.22,21.365,22603,2021-11-23 09:30:00-05:00
21.3,21.31,21.25,21.31,1650,2021-11-23 09:31:00-05:00
21.37,21.37,21.34,21.34,391,2021-11-23 09:32:00-05:00
21.36,21.46,21.36,21.44,3974,2021-11-23 09:33:00-05:00
21.44,21.49,21.43,21.48,2919,2021-11-23 09:34:00-05:00
21.47,21.47,21.37,21.37,3000,2021-11-23 09:35:00-05:00
21.39,21.39,21.3,21.3,8441,2021-11-23 09:36:00-05:00
21.3,21.32,21.27,21.31,5099,2021-11-23 09:37:00-05:00
21.32,21.345,21.31,21.34,2800,2021-11-23 09:38:00-05:00
21.33,21.37,21.29,21.3,6340,2021-11-23 09:39:00-05:00
21.3,21.33,21.28,21.33,3300,2021-11-23 09:40:00-05:00
21.34,21.39,21.29,21.38,4060,2021-11-23 09:41:00-05:00
21.39,21.4,21.34,21.34,6011,2021-11-23 09:42:00-05:00
21.32,21.365,21.32,21.365,4775,2021-11-23 09:43:00-05:00
21.36,21.39,21.36,21.39,2100,2021-11-23 09:44:00-05:00
21.39,21.4214,21.38,21.4,11084,2021-11-23 09:45:00-05:00
21.38,21.39,21.3579,21.3579,1291,2021-11-23 09:46:00-05:00
21.35,21.38,21.32,21.335,8450,2021-11-23 09:47:00-05:00
21.32,21.34,21.29,21.3,8516,2021-11-23 09:48:00-05:00
21.3,21.3,21.18,21.21,48573,2021-11-23 09:49:00-05:00
21.215,21.24,21.215,21.24,3400,2021-11-23 09:50:00-05:00
21.23,21.26,21.23,21.2543,1770,2021-11-23 09:51:00-05:00
21.26,21.28,21.23,21.26,7563,2021-11-23 09:52:00-05:00
21.26,21.34,21.24,21.32,2714,2021-11-23 09:53:00-05:00
21.32,21.345,21.317,21.33,2100,2021-11-23 09:54:00-05:00
21.33,21.36,21.33,21.35,2755,2021-11-23 09:55:00-05:00
21.35,21.485,21.35,21.47,113820,2021-11-23 09:56:00-05:00
21.48,21.49,21.42,21.42,29175,2021-11-23 09:57:00-05:00
21.4,21.41,21.39,21.4,4542,2021-11-23 09:58:00-05:00
21.409,21.409,21.37,21.4,3655,2021-11-23 09:59:00-05:00
21.39,21.42,21.38,21.4,7931,2021-11-23 10:00:00-05:00
21.42,21.44,21.41,21.425,1649,2021-11-23 10:01:00-05:00
21.4023,21.44,21.4023,21.44,4300,2021-11-23 10:02:00-05:00
21.45,21.45,21.43,21.43,2270,2021-11-23 10:03:00-05:00
21.42,21.46,21.42,21.44,7944,2021-11-23 10:04:00-05:00
21.47,21.48,21.46,21.47,5400,2021-11-23 10:05:00-05:00
21.47,21.48,21.4,21.41,5314,2021-11-23 10:06:00-05:00
21.43,21.44,21.4255,21.43,1133,2021-11-23 10:07:00-05:00
21.415,21.42,21.33,21.34,5899,2021-11-23 10:08:00-05:00
21.35,21.35,21.31,21.31,2483,2021-11-23 10:09:00-05:00
21.3,21.4,21.3,21.39,9700,2021-11-23 10:10:00-05:00
21.39,21.39,21.35,21.36,2100,2021-11-23 10:11:00-05:00
21.3544,21.39,21.3544,21.39,750,2021-11-23 10:12:00-05:00
21.37,21.38,21.36,21.38,2238,2021-11-23 10:13:00-05:00
21.37,21.38,21.36,21.38,3857,2021-11-23 10:14:00-05:00
21.4,21.425,21.4,21.42,1625,2021-11-23 10:15:00-05:00
21.41,21.41,21.38,21.38,600,2021-11-23 10:16:00-05:00
21.38,21.395,21.35,21.36,3491,2021-11-23 10:17:00-05:00
21.39,21.4,21.39,21.4,700,2021-11-23 10:18:00-05:00
21.41,21.425,21.4,21.425,1000,2021-11-23 10:19:00-05:00
21.43,21.43,21.42,21.42,1000,2021-11-23 10:20:00-05:00
21.395,21.42,21.395,21.4,2500,2021-11-23 10:21:00-05:00
21.4,21.43,21.4,21.43,1001,2021-11-23 10:22:00-05:00
21.43,21.47,21.43,21.45,5389,2021-11-23 10:23:00-05:00
21.45,21.47,21.44,21.46,58063,2021-11-23 10:24:00-05:00
21.45,21.45,21.4279,21.45,4200,2021-11-23 10:25:00-05:00
21.44,21.44,21.372,21.372,6200,2021-11-23 10:26:00-05:00
21.38,21.38,21.372,21.38,1200,2021-11-23 10:27:00-05:00
21.38,21.38,21.28,21.29,5501,2021-11-23 10:28:00-05:00
21.29,21.29,21.26,21.26,4951,2021-11-23 10:29:00-05:00
21.26,21.265,21.23,21.25,3405,2021-11-23 10:30:00-05:00
21.25,21.44,21.25,21.41,126352,2021-11-23 10:31:00-05:00
21.41,21.415,21.38,21.39,3456,2021-11-23 10:32:00-05:00
21.41,21.42,21.39,21.4,4121,2021-11-23 10:33:00-05:00
21.4,21.41,21.38,21.39,2998,2021-11-23 10:34:00-05:00
21.4,21.42,21.4,21.41,2200,2021-11-23 10:35:00-05:00
21.42,21.44,21.4,21.42,2173,2021-11-23 10:36:00-05:00
21.42,21.4208,21.415,21.415,1657,2021-11-23 10:37:00-05:00
21.395,21.4,21.37,21.37,1202,2021-11-23 10:38:00-05:00
21.385,21.42,21.385,21.42,1450,2021-11-23 10:39:00-05:00
21.42,21.425,21.4,21.4,2854,2021-11-23 10:40:00-05:00
21.4,21.42,21.4,21.42,300,2021-11-23 10:41:00-05:00
21.42,21.42,21.41,21.42,2603,2021-11-23 10:42:00-05:00
21.43,21.43,21.42,21.42,800,2021-11-23 10:43:00-05:00
21.425,21.43,21.42,21.42,2000,2021-11-23 10:44:00-05:00
21.415,21.44,21.41,21.44,795,2021-11-23 10:45:00-05:00
21.44,21.44,21.42,21.42,2154,2021-11-23 10:46:00-05:00
21.43,21.44,21.43,21.44,700,2021-11-23 10:47:00-05:00
21.44,21.44,21.44,21.44,200,2021-11-23 10:48:00-05:00
21.4215,21.47,21.4215,21.47,9215,2021-11-23 10:49:00-05:00
21.465,21.465,21.43,21.45,3119,2021-11-23 10:50:00-05:00
21.45,21.46,21.45,21.45,1567,2021-11-23 10:51:00-05:00
21.42,21.425,21.36,21.375,2476,2021-11-23 10:52:00-05:00
21.37,21.37,21.35,21.35,4847,2021-11-23 10:53:00-05:00
21.355,21.36,21.355,21.36,2135,2021-11-23 10:54:00-05:00
21.36,21.36,21.34,21.35,2403,2021-11-23 10:55:00-05:00
21.36,21.38,21.36,21.37,6912,2021-11-23 10:56:00-05:00
21.36,21.365,21.31,21.31,5172,2021-11-23 10:57:00-05:00
21.31,21.3207,21.301,21.32,8571,2021-11-23 10:58:00-05:00
21.32,21.347,21.31,21.315,5005,2021-11-23 10:59:00-05:00
21.325,21.33,21.32,21.33,2374,2021-11-23 11:00:00-05:00
21.32,21.32,21.255,21.255,3592,2021-11-23 11:01:00-05:00
21.26,21.26,21.22,21.225,10688,2021-11-23 11:02:00-05:00
21.2,21.22,21.2,21.22,1500,2021-11-23 11:03:00-05:00
21.22,21.24,21.205,21.23,6723,2021-11-23 11:04:00-05:00
21.25,21.26,21.23,21.26,1030,2021-11-23 11:05:00-05:00
21.2739,21.275,21.24,21.25,3048,2021-11-23 11:06:00-05:00
21.24,21.265,21.24,21.262,2368,2021-11-23 11:07:00-05:00
21.26,21.31,21.26,21.3,3720,2021-11-23 11:08:00-05:00
21.31,21.33,21.31,21.33,631,2021-11-23 11:09:00-05:00
21.35,21.35,21.34,21.3499,1320,2021-11-23 11:10:00-05:00
21.34,21.36,21.34,21.35,6477,2021-11-23 11:11:00-05:00
21.35,21.355,21.345,21.345,1393,2021-11-23 11:12:00-05:00
21.35,21.357,21.35,21.357,357,2021-11-23 11:13:00-05:00
21.36,21.36,21.35,21.35,555,2021-11-23 11:14:00-05:00
21.36,21.37,21.36,21.36,4209,2021-11-23 11:15:00-05:00
21.35,21.37,21.34,21.37,1400,2021-11-23 11:16:00-05:00
21.38,21.38,21.38,21.38,200,2021-11-23 11:17:00-05:00
21.36,21.36,21.34,21.35,500,2021-11-23 11:18:00-05:00
21.35,21.35,21.35,21.35,100,2021-11-23 11:19:00-05:00
21.36,21.37,21.36,21.37,1455,2021-11-23 11:20:00-05:00
21.37,21.38,21.37,21.37,800,2021-11-23 11:21:00-05:00
21.35,21.35,21.35,21.35,1800,2021-11-23 11:22:00-05:00
21.35,21.35,21.34,21.34,1712,2021-11-23 11:23:00-05:00
21.32,21.32,21.32,21.32,5192,2021-11-23 11:24:00-05:00
21.32,21.34,21.32,21.34,1146,2021-11-23 11:25:00-05:00
21.35,21.35,21.335,21.335,1000,2021-11-23 11:26:00-05:00
21.35,21.37,21.35,21.37,798,2021-11-23 11:27:00-05:00
21.36,21.36,21.34,21.34,2000,2021-11-23 11:28:00-05:00
21.33,21.33,21.305,21.31,1468,2021-11-23 11:29:00-05:00
21.32,21.33,21.32,21.33,1617,2021-11-23 11:30:00-05:00
21.35,21.405,21.35,21.37,10785,2021-11-23 11:31:00-05:00
21.37,21.37,21.36,21.36,2700,2021-11-23 11:32:00-05:00
21.36,21.36,21.35,21.35,200,2021-11-23 11:33:00-05:00
21.35,21.35,21.27,21.27,3546,2021-11-23 11:34:00-05:00
21.27,21.29,21.27,21.28,2399,2021-11-23 11:35:00-05:00
21.28,21.28,21.26,21.27,413,2021-11-23 11:36:00-05:00
21.28,21.33,21.28,21.315,3285,2021-11-23 11:37:00-05:00
21.33,21.33,21.325,21.325,1500,2021-11-23 11:38:00-05:00
21.32,21.32,21.31,21.315,600,2021-11-23 11:40:00-05:00
21.32,21.32,21.305,21.305,500,2021-11-23 11:41:00-05:00
21.3168,21.32,21.305,21.305,600,2021-11-23 11:42:00-05:00
21.31,21.33,21.31,21.32,900,2021-11-23 11:43:00-05:00
21.31,21.31,21.265,21.265,2388,2021-11-23 11:44:00-05:00
21.26,21.29,21.24,21.29,2999,2021-11-23 11:45:00-05:00
21.295,21.295,21.29,21.29,600,2021-11-23 11:46:00-05:00
21.29,21.31,21.29,21.31,1900,2021-11-23 11:47:00-05:00
21.32,21.33,21.31,21.32,800,2021-11-23 11:48:00-05:00
21.33,21.33,21.33,21.33,100,2021-11-23 11:49:00-05:00
21.36,21.36,21.36,21.36,100,2021-11-23 11:50:00-05:00
21.35,21.35,21.34,21.34,300,2021-11-23 11:51:00-05:00
21.33,21.335,21.31,21.31,1706,2021-11-23 11:52:00-05:00
21.3,21.3,21.3,21.3,200,2021-11-23 11:53:00-05:00
21.31,21.315,21.31,21.315,585,2021-11-23 11:54:00-05:00
21.32,21.33,21.32,21.32,2027,2021-11-23 11:55:00-05:00
21.31,21.32,21.31,21.32,1717,2021-11-23 11:56:00-05:00
21.33,21.36,21.33,21.36,2206,2021-11-23 11:57:00-05:00
21.35,21.35,21.35,21.35,1708,2021-11-23 11:58:00-05:00
21.34,21.34,21.305,21.3127,5400,2021-11-23 11:59:00-05:00
21.32,21.32,21.31,21.32,1000,2021-11-23 12:00:00-05:00
21.31,21.32,21.31,21.32,300,2021-11-23 12:01:00-05:00
21.3,21.3,21.285,21.3,3500,2021-11-23 12:02:00-05:00
21.29,21.29,21.26,21.26,6111,2021-11-23 12:03:00-05:00
21.26,21.26,21.2,21.2,1800,2021-11-23 12:04:00-05:00
21.2,21.21,21.19,21.205,2000,2021-11-23 12:05:00-05:00
21.21,21.22,21.21,21.22,1325,2021-11-23 12:06:00-05:00
21.22,21.254,21.22,21.25,8100,2021-11-23 12:07:00-05:00
21.25,21.25,21.23,21.24,3370,2021-11-23 12:08:00-05:00
21.26,21.26,21.26,21.26,200,2021-11-23 12:09:00-05:00
21.26,21.28,21.255,21.27,5313,2021-11-23 12:10:00-05:00
