open,high,low,close,volume,datetime
380.0,380.0,380.0,380.0,136,2021-11-23 08:29:00-05:00
379.15,379.15,379.15,379.15,100,2021-11-23 09:26:00-05:00
379.16,379.16,379.16,379.16,100,2021-11-23 09:28:00-05:00
376.62,377.96,375.36,376.13,10360,2021-11-23 09:30:00-05:00
376.18,377.615,376.18,377.615,200,2021-11-23 09:33:00-05:00
378.88,378.88,378.88,378.88,100,2021-11-23 09:34:00-05:00
378.85,378.85,378.85,378.85,100,2021-11-23 09:36:00-05:00
377.565,377.565,377.295,377.295,200,2021-11-23 09:37:00-05:00
378.195,378.195,377.33,377.33,200,2021-11-23 09:39:00-05:00
377.035,377.29,376.31,377.29,800,2021-11-23 09:40:00-05:00
377.34,377.35,377.34,377.35,300,2021-11-23 09:41:00-05:00
378.465,378.465,376.5,376.5,1503,2021-11-23 09:42:00-05:00
377.81,377.81,375.4,375.4,6402,2021-11-23 09:44:00-05:00
376.065,376.835,376.065,376.795,300,2021-11-23 09:45:00-05:00
376.08,376.08,376.065,376.065,200,2021-11-23 09:46:00-05:00
376.79,377.0,376.53,377.0,9975,2021-11-23 09:47:00-05:00
377.78,377.78,377.23,377.23,238,2021-11-23 09:48:00-05:00
376.34,377.35,376.11,377.35,3096,2021-11-23 09:49:00-05:00
377.33,377.33,376.14,376.14,1040,2021-11-23 09:50:00-05:00
377.3,377.31,377.26,377.265,500,2021-11-23 09:51:00-05:00
376.46,377.55,376.36,377.35,61820,2021-11-23 09:52:00-05:00
377.0,377.995,377.0,377.72,4691,2021-11-23 09:53:00-05:00
378.115,378.16,377.63,377.63,3762,2021-11-23 09:54:00-05:00
378.51,378.51,377.52,377.52,6300,2021-11-23 09:55:00-05:00
377.995,378.0,377.28,377.5,13051,2021-11-23 09:56:00-05:00
377.39,377.5,377.2,377.35,12053,2021-11-23 09:57:00-05:00
377.6,377.6,377.35,377.6,2883,2021-11-23 09:58:00-05:00
377.6,377.6,377.51,377.51,800,2021-11-23 09:59:00-05:00
377.38,377.38,376.85,376.85,1509,2021-11-23 10:00:00-05:00
377.06,377.23,376.76,377.23,400,2021-11-23 10:01:00-05:00
376.76,376.76,376.76,376.76,109,2021-11-23 10:02:00-05:00
377.19,377.6,377.19,377.6,1300,2021-11-23 10:03:00-05:00
377.2,377.6,377.2,377.6,1000,2021-11-23 10:04:00-05:00
377.55,377.6,377.5,377.5,1400,2021-11-23 10:05:00-05:00
377.5,377.5,377.01,377.26,2472,2021-11-23 10:06:00-05:00
