open,high,low,close,volume,datetime
76.33,76.56,75.97,76.28,21462,2021-11-23 09:30:00-05:00
76.285,76.46,76.27,76.46,800,2021-11-23 09:31:00-05:00
76.47,76.47,76.47,76.47,100,2021-11-23 09:32:00-05:00
76.5,76.5,76.25,76.45,2061,2021-11-23 09:33:00-05:00
76.42,76.42,76.31,76.31,2000,2021-11-23 09:34:00-05:00
76.24,76.31,76.095,76.2994,3948,2021-11-23 09:35:00-05:00
76.34,76.39,76.18,76.225,2100,2021-11-23 09:36:00-05:00
76.23,76.235,76.11,76.145,999,2021-11-23 09:37:00-05:00
76.22,76.27,76.22,76.25,880,2021-11-23 09:38:00-05:00
76.33,76.34,76.245,76.245,1343,2021-11-23 09:39:00-05:00
76.245,76.43,76.245,76.43,1584,2021-11-23 09:40:00-05:00
76.46,76.48,76.46,76.46,400,2021-11-23 09:41:00-05:00
76.53,76.65,76.5,76.58,2665,2021-11-23 09:42:00-05:00
76.45,76.49,76.45,76.49,200,2021-11-23 09:43:00-05:00
76.49,76.7388,76.49,76.7388,1631,2021-11-23 09:44:00-05:00
76.76,76.76,76.74,76.75,800,2021-11-23 09:45:00-05:00
76.7,76.78,76.66,76.66,5200,2021-11-23 09:46:00-05:00
76.675,76.68,76.54,76.54,1902,2021-11-23 09:47:00-05:00
76.48,76.62,76.48,76.55,1872,2021-11-23 09:48:00-05:00
76.558,76.558,76.42,76.42,1838,2021-11-23 09:49:00-05:00
76.42,76.5,76.42,76.49,1670,2021-11-23 09:50:00-05:00
76.45,76.53,76.44,76.53,1943,2021-11-23 09:51:00-05:00
76.53,76.62,76.53,76.62,350,2021-11-23 09:52:00-05:00
76.57,76.63,76.54,76.63,900,2021-11-23 09:53:00-05:00
76.621,76.621,76.51,76.57,1921,2021-11-23 09:54:00-05:00
76.58,76.62,76.57,76.59,2900,2021-11-23 09:55:00-05:00
76.61,76.68,76.61,76.62,3909,2021-11-23 09:56:00-05:00
76.62,76.65,76.61,76.63,1200,2021-11-23 09:57:00-05:00
76.625,76.66,76.56,76.57,1717,2021-11-23 09:58:00-05:00
76.61,76.65,76.564,76.575,3008,2021-11-23 09:59:00-05:00
76.5636,76.63,76.52,76.52,3133,2021-11-23 10:00:00-05:00
76.53,76.53,76.53,76.53,200,2021-11-23 10:01:00-05:00
76.5,76.58,76.5,76.5,1223,2021-11-23 10:02:00-05:00
76.61,76.61,76.58,76.58,800,2021-11-23 10:03:00-05:00
76.65,76.76,76.65,76.72,700,2021-11-23 10:05:00-05:00
76.71,76.71,76.5,76.5,1506,2021-11-23 10:06:00-05:00
76.53,76.61,76.44,76.44,4703,2021-11-23 10:07:00-05:00
76.53,76.53,76.41,76.43,1039,2021-11-23 10:08:00-05:00
76.38,76.38,76.3,76.3,565,2021-11-23 10:09:00-05:00
76.44,76.49,76.44,76.49,692,2021-11-23 10:10:00-05:00
76.46,76.46,76.36,76.37,1405,2021-11-23 10:11:00-05:00
76.37,76.4,76.345,76.345,1900,2021-11-23 10:12:00-05:00
76.31,76.31,76.265,76.2899,975,2021-11-23 10:13:00-05:00
76.24,76.34,76.23,76.34,3442,2021-11-23 10:14:00-05:00
76.3409,76.42,76.3409,76.415,1823,2021-11-23 10:15:00-05:00
76.4,76.425,76.37,76.37,1503,2021-11-23 10:16:00-05:00
76.37,76.395,76.27,76.305,7928,2021-11-23 10:17:00-05:00
76.36,76.395,76.33,76.395,4842,2021-11-23 10:18:00-05:00
76.37,76.4,76.37,76.4,200,2021-11-23 10:19:00-05:00
76.4,76.4,76.36,76.38,804,2021-11-23 10:20:00-05:00
76.34,76.3511,76.31,76.31,1127,2021-11-23 10:21:00-05:00
76.33,76.33,76.29,76.29,2829,2021-11-23 10:22:00-05:00
76.31,76.4,76.29,76.32,4038,2021-11-23 10:23:00-05:00
76.31,76.345,76.29,76.3,6494,2021-11-23 10:24:00-05:00
76.32,76.34,76.285,76.3,2900,2021-11-23 10:25:00-05:00
76.29,76.32,76.27,76.27,5339,2021-11-23 10:26:00-05:00
76.28,76.36,76.2555,76.36,2246,2021-11-23 10:27:00-05:00
76.36,76.36,76.29,76.29,1900,2021-11-23 10:28:00-05:00
76.278,76.3303,76.278,76.28,667,2021-11-23 10:29:00-05:00
76.26,76.33,76.23,76.33,2200,2021-11-23 10:30:00-05:00
76.37,76.4,76.36,76.37,906,2021-11-23 10:31:00-05:00
76.38,76.39,76.38,76.38,683,2021-11-23 10:32:00-05:00
76.36,76.36,76.31,76.31,981,2021-11-23 10:33:00-05:00
76.305,76.305,76.19,76.224,2144,2021-11-23 10:34:00-05:00
76.23,76.26,76.22,76.24,1063,2021-11-23 10:35:00-05:00
76.24,76.27,76.17,76.17,2030,2021-11-23 10:36:00-05:00
76.2,76.22,76.18,76.18,1239,2021-11-23 10:37:00-05:00
76.2013,76.2013,76.15,76.15,1244,2021-11-23 10:38:00-05:00
76.15,76.21,76.15,76.18,1259,2021-11-23 10:39:00-05:00
76.17,76.195,76.16,76.18,688,2021-11-23 10:40:00-05:00
76.16,76.205,76.1,76.165,5300,2021-11-23 10:41:00-05:00
76.15,76.18,76.12,76.175,9430,2021-11-23 10:42:00-05:00
76.15,76.185,76.09,76.09,7596,2021-11-23 10:43:00-05:00
76.11,76.13,76.08,76.08,8961,2021-11-23 10:44:00-05:00
76.07,76.14,76.06,76.132,2900,2021-11-23 10:45:00-05:00
76.12,76.12,76.12,76.12,306,2021-11-23 10:46:00-05:00
76.12,76.12,76.09,76.095,799,2021-11-23 10:47:00-05:00
76.09,76.09,76.08,76.08,511,2021-11-23 10:48:00-05:00
76.07,76.15,76.07,76.1,6060,2021-11-23 10:49:00-05:00
76.11,76.2,76.105,76.2,1801,2021-11-23 10:50:00-05:00
76.22,76.22,76.11,76.11,1929,2021-11-23 10:51:00-05:00
76.155,76.155,76.05,76.07,6263,2021-11-23 10:52:00-05:00
76.02,76.09,76.02,76.05,12545,2021-11-23 10:53:00-05:00
76.05,76.08,76.03,76.08,8398,2021-11-23 10:54:00-05:00
76.08,76.08,76.05,76.08,2493,2021-11-23 10:55:00-05:00
76.095,76.105,76.08,76.105,2600,2021-11-23 10:56:00-05:00
76.1,76.1,76.03,76.03,1600,2021-11-23 10:57:00-05:00
76.03,76.055,76.02,76.04,2600,2021-11-23 10:58:00-05:00
76.06,76.08,76.0301,76.0301,1228,2021-11-23 10:59:00-05:00
76.05,76.06,75.97,76.0,4112,2021-11-23 11:00:00-05:00
76.0,76.0368,75.94,75.99,7192,2021-11-23 11:01:00-05:00
75.99,76.01,75.92,75.92,12165,2021-11-23 11:02:00-05:00
75.92,75.965,75.87,75.95,6536,2021-11-23 11:03:00-05:00
75.95,76.02,75.94,76.02,2824,2021-11-23 11:04:00-05:00
76.0,76.04,75.965,76.04,2423,2021-11-23 11:05:00-05:00
76.06,76.07,76.04,76.07,576,2021-11-23 11:06:00-05:00
76.03,76.05,76.01,76.04,1087,2021-11-23 11:07:00-05:00
76.0178,76.11,76.0178,76.1,1100,2021-11-23 11:08:00-05:00
76.1,76.105,76.07,76.07,618,2021-11-23 11:09:00-05:00
76.07,76.13,76.07,76.1233,1104,2021-11-23 11:10:00-05:00
76.12,76.15,76.1,76.14,2228,2021-11-23 11:11:00-05:00
76.17,76.17,76.145,76.145,1890,2021-11-23 11:12:00-05:00
76.17,76.23,76.155,76.22,2851,2021-11-23 11:13:00-05:00
76.235,76.27,76.22,76.22,1103,2021-11-23 11:14:00-05:00
76.22,76.25,76.215,76.25,1400,2021-11-23 11:15:00-05:00
76.26,76.38,76.26,76.33,1200,2021-11-23 11:16:00-05:00
76.35,76.35,76.2747,76.2747,898,2021-11-23 11:17:00-05:00
76.23,76.28,76.21,76.28,2796,2021-11-23 11:18:00-05:00
76.29,76.36,76.28,76.355,4300,2021-11-23 11:19:00-05:00
76.355,76.395,76.3525,76.395,3531,2021-11-23 11:20:00-05:00
76.3962,76.44,76.32,76.32,2479,2021-11-23 11:21:00-05:00
76.33,76.33,76.31,76.33,400,2021-11-23 11:22:00-05:00
76.31,76.31,76.2601,76.29,1446,2021-11-23 11:23:00-05:00
76.26,76.3,76.25,76.3,1113,2021-11-23 11:24:00-05:00
76.27,76.31,76.26,76.31,1659,2021-11-23 11:25:00-05:00
76.35,76.37,76.32,76.32,500,2021-11-23 11:26:00-05:00
76.35,76.39,76.35,76.38,1000,2021-11-23 11:27:00-05:00
76.39,76.39,76.31,76.31,862,2021-11-23 11:28:00-05:00
76.3,76.3,76.21,76.3,893,2021-11-23 11:29:00-05:00
76.27,76.33,76.27,76.32,1350,2021-11-23 11:30:00-05:00
76.35,76.4,76.31,76.31,2227,2021-11-23 11:31:00-05:00
76.31,76.31,76.31,76.31,300,2021-11-23 11:32:00-05:00
76.29,76.29,76.23,76.23,829,2021-11-23 11:33:00-05:00
76.28,76.29,76.19,76.19,2125,2021-11-23 11:34:00-05:00
76.19,76.19,76.15,76.16,909,2021-11-23 11:35:00-05:00
