open,high,low,close,volume,datetime
199.3,199.3,198.82,198.82,5151,2021-11-23 09:30:00-05:00
199.0367,199.0367,198.59,198.59,593,2021-11-23 09:31:00-05:00
198.94,198.94,198.94,198.94,100,2021-11-23 09:32:00-05:00
199.25,199.25,199.25,199.25,100,2021-11-23 09:33:00-05:00
198.5182,198.54,198.5182,198.54,450,2021-11-23 09:34:00-05:00
198.61,198.61,198.61,198.61,167,2021-11-23 09:35:00-05:00
198.79,198.79,198.41,198.62,300,2021-11-23 09:36:00-05:00
198.38,198.575,197.84,197.84,500,2021-11-23 09:37:00-05:00
198.08,198.11,198.08,198.11,200,2021-11-23 09:39:00-05:00
198.62,198.62,198.62,198.62,100,2021-11-23 09:41:00-05:00
199.36,199.36,199.36,199.36,100,2021-11-23 09:44:00-05:00
199.5,199.5,199.5,199.5,300,2021-11-23 09:45:00-05:00
199.24,199.24,199.24,199.24,100,2021-11-23 09:46:00-05:00
199.32,199.32,199.32,199.32,100,2021-11-23 09:47:00-05:00
198.92,198.98,198.75,198.925,800,2021-11-23 09:49:00-05:00
199.12,199.23,199.07,199.23,1100,2021-11-23 09:51:00-05:00
199.155,199.58,199.155,199.58,700,2021-11-23 09:52:00-05:00
199.85,199.85,199.75,199.75,400,2021-11-23 09:53:00-05:00
200.0,200.0,200.0,200.0,300,2021-11-23 09:54:00-05:00
199.98,199.98,199.98,199.98,100,2021-11-23 09:55:00-05:00
199.88,200.13,199.88,200.13,1805,2021-11-23 09:56:00-05:00
200.02,200.38,200.0,200.16,1300,2021-11-23 09:57:00-05:00
199.96,200.09,199.87,200.0,1100,2021-11-23 09:58:00-05:00
199.78,199.78,199.7,199.7,500,2021-11-23 09:59:00-05:00
199.72,199.79,199.72,199.79,300,2021-11-23 10:00:00-05:00
199.58,199.58,199.58,199.58,100,2021-11-23 10:01:00-05:00
198.83,198.83,198.83,198.83,100,2021-11-23 10:03:00-05:00
199.18,199.58,199.17,199.58,1000,2021-11-23 10:04:00-05:00
199.54,199.545,199.53,199.545,400,2021-11-23 10:05:00-05:00
199.67,199.7,199.55,199.63,800,2021-11-23 10:06:00-05:00
199.34,199.48,199.34,199.48,200,2021-11-23 10:07:00-05:00
198.98,198.98,198.98,198.98,100,2021-11-23 10:09:00-05:00
199.17,199.18,199.17,199.18,300,2021-11-23 10:10:00-05:00
199.08,199.08,198.99,198.99,259,2021-11-23 10:11:00-05:00
199.16,199.16,198.9,198.9,200,2021-11-23 10:12:00-05:00
198.9,198.9,198.58,198.58,2500,2021-11-23 10:13:00-05:00
198.695,198.73,198.58,198.645,3013,2021-11-23 10:14:00-05:00
198.75,198.75,198.635,198.635,300,2021-11-23 10:15:00-05:00
198.55,198.55,198.425,198.425,400,2021-11-23 10:17:00-05:00
198.35,198.35,198.35,198.35,100,2021-11-23 10:18:00-05:00
198.35,198.4,198.28,198.4,702,2021-11-23 10:19:00-05:00
198.32,198.32,198.15,198.29,614,2021-11-23 10:21:00-05:00
198.44,198.44,198.44,198.44,100,2021-11-23 10:23:00-05:00
198.57,198.57,198.42,198.42,267,2021-11-23 10:24:00-05:00
198.34,198.34,198.16,198.16,500,2021-11-23 10:26:00-05:00
198.13,198.2,198.13,198.18,500,2021-11-23 10:27:00-05:00
198.3,198.3,198.3,198.3,138,2021-11-23 10:28:00-05:00
198.4,198.4,198.39,198.4,1500,2021-11-23 10:29:00-05:00
198.07,198.07,197.85,197.85,310,2021-11-23 10:30:00-05:00
197.97,198.16,197.97,198.14,500,2021-11-23 10:32:00-05:00
198.02,198.17,198.02,198.17,747,2021-11-23 10:34:00-05:00
198.08,198.08,198.08,198.08,100,2021-11-23 10:35:00-05:00
198.06,198.28,198.06,198.2,1606,2021-11-23 10:36:00-05:00
198.35,198.36,198.35,198.36,302,2021-11-23 10:37:00-05:00
198.29,198.29,198.27,198.27,200,2021-11-23 10:38:00-05:00
198.19,198.32,198.19,198.32,400,2021-11-23 10:40:00-05:00
198.34,198.34,198.34,198.34,100,2021-11-23 10:43:00-05:00
198.25,198.25,198.25,198.25,100,2021-11-23 10:44:00-05:00
198.44,198.44,198.44,198.44,201,2021-11-23 10:45:00-05:00
198.65,198.66,198.65,198.66,1473,2021-11-23 10:46:00-05:00
198.785,198.785,198.595,198.7,1380,2021-11-23 10:48:00-05:00
198.72,198.8,198.7,198.8,1103,2021-11-23 10:49:00-05:00
198.84,198.88,198.84,198.87,510,2021-11-23 10:50:00-05:00
198.92,199.065,198.92,199.0,1501,2021-11-23 10:51:00-05:00
198.95,199.0,198.87,199.0,1500,2021-11-23 10:52:00-05:00
198.93,198.93,198.81,198.81,400,2021-11-23 10:53:00-05:00
198.86,198.87,198.82,198.87,900,2021-11-23 10:54:00-05:00
198.86,198.86,198.565,198.565,1150,2021-11-23 10:55:00-05:00
198.25,198.36,198.15,198.36,1300,2021-11-23 10:57:00-05:00
198.215,198.33,198.21,198.21,600,2021-11-23 10:58:00-05:00
198.27,198.27,198.1,198.1,708,2021-11-23 10:59:00-05:00
198.13,198.33,198.03,198.28,8503,2021-11-23 11:00:00-05:00
198.33,198.56,198.21,198.46,9357,2021-11-23 11:01:00-05:00
198.435,198.53,198.13,198.17,5481,2021-11-23 11:02:00-05:00
198.28,198.32,198.19,198.22,3423,2021-11-23 11:03:00-05:00
198.22,198.33,198.135,198.2617,5892,2021-11-23 11:04:00-05:00
198.33,198.37,198.2,198.34,4400,2021-11-23 11:05:00-05:00
198.26,198.36,198.12,198.28,1141,2021-11-23 11:06:00-05:00
197.99,197.99,197.99,197.99,100,2021-11-23 11:07:00-05:00
197.54,197.54,197.53,197.53,200,2021-11-23 11:08:00-05:00
197.5,197.5,197.5,197.5,100,2021-11-23 11:09:00-05:00
197.25,197.58,197.25,197.58,1095,2021-11-23 11:10:00-05:00
197.665,197.665,197.635,197.635,200,2021-11-23 11:11:00-05:00
197.54,197.54,197.54,197.54,100,2021-11-23 11:12:00-05:00
197.61,197.69,197.61,197.615,1400,2021-11-23 11:13:00-05:00
197.79,197.8,197.66,197.695,5610,2021-11-23 11:14:00-05:00
197.79,197.81,197.79,197.81,200,2021-11-23 11:15:00-05:00
197.8,197.8,197.8,197.8,1000,2021-11-23 11:16:00-05:00
197.665,197.665,197.665,197.665,100,2021-11-23 11:17:00-05:00
197.55,197.62,197.55,197.62,800,2021-11-23 11:18:00-05:00
197.67,197.67,197.67,197.67,200,2021-11-23 11:19:00-05:00
197.76,197.76,197.76,197.76,300,2021-11-23 11:20:00-05:00
