open,high,low,close,volume,datetime
96.01,96.01,95.815,95.815,4276,2021-11-23 09:30:00-05:00
95.87,95.87,95.87,95.87,100,2021-11-23 09:31:00-05:00
96.42,96.42,96.05,96.05,857,2021-11-23 09:33:00-05:00
96.15,96.16,96.0,96.0,500,2021-11-23 09:34:00-05:00
96.0,96.025,95.95,96.025,2000,2021-11-23 09:35:00-05:00
95.76,95.79,95.73,95.79,500,2021-11-23 09:36:00-05:00
95.69,95.69,95.66,95.66,200,2021-11-23 09:37:00-05:00
95.52,95.52,95.52,95.52,100,2021-11-23 09:38:00-05:00
95.7,95.8,95.6,95.68,1107,2021-11-23 09:39:00-05:00
95.71,95.86,95.71,95.86,1658,2021-11-23 09:40:00-05:00
95.935,95.975,95.93,95.975,1700,2021-11-23 09:42:00-05:00
95.92,95.955,95.92,95.945,600,2021-11-23 09:43:00-05:00
95.82,95.99,95.82,95.93,886,2021-11-23 09:44:00-05:00
95.88,95.885,95.85,95.85,500,2021-11-23 09:45:00-05:00
95.82,95.82,95.765,95.765,200,2021-11-23 09:46:00-05:00
95.76,95.81,95.75,95.8,898,2021-11-23 09:47:00-05:00
95.8,95.92,95.8,95.86,1500,2021-11-23 09:48:00-05:00
95.86,95.86,95.79,95.81,1397,2021-11-23 09:49:00-05:00
95.835,95.835,95.83,95.83,200,2021-11-23 09:50:00-05:00
95.83,95.83,95.68,95.68,1391,2021-11-23 09:51:00-05:00
95.685,95.81,95.685,95.81,1556,2021-11-23 09:52:00-05:00
95.855,95.855,95.82,95.82,719,2021-11-23 09:53:00-05:00
95.82,95.85,95.805,95.805,2200,2021-11-23 09:54:00-05:00
95.815,95.83,95.805,95.805,1400,2021-11-23 09:55:00-05:00
95.84,95.895,95.84,95.89,2230,2021-11-23 09:56:00-05:00
95.89,95.9,95.89,95.9,1200,2021-11-23 09:57:00-05:00
95.81,95.81,95.75,95.75,1000,2021-11-23 09:59:00-05:00
95.69,95.69,95.69,95.69,100,2021-11-23 10:00:00-05:00
95.645,95.645,95.5361,95.5361,1206,2021-11-23 10:01:00-05:00
95.53,95.55,95.51,95.53,3288,2021-11-23 10:02:00-05:00
95.55,95.59,95.55,95.59,500,2021-11-23 10:03:00-05:00
95.71,95.71,95.65,95.65,200,2021-11-23 10:04:00-05:00
95.725,95.79,95.7,95.7,3268,2021-11-23 10:05:00-05:00
95.67,95.69,95.51,95.51,4568,2021-11-23 10:06:00-05:00
95.49,95.58,95.49,95.58,1103,2021-11-23 10:07:00-05:00
95.45,95.45,95.36,95.36,700,2021-11-23 10:08:00-05:00
95.37,95.37,95.29,95.29,988,2021-11-23 10:09:00-05:00
95.4,95.45,95.39,95.45,1183,2021-11-23 10:10:00-05:00
95.46,95.46,95.46,95.46,1307,2021-11-23 10:11:00-05:00
95.52,95.585,95.52,95.585,500,2021-11-23 10:12:00-05:00
95.58,95.58,95.58,95.58,1074,2021-11-23 10:13:00-05:00
95.58,95.69,95.58,95.69,1066,2021-11-23 10:14:00-05:00
95.75,95.75,95.71,95.72,1200,2021-11-23 10:16:00-05:00
95.79,95.85,95.75,95.82,9349,2021-11-23 10:17:00-05:00
