open,high,low,close,volume,datetime
50.55,50.55,50.45,50.49,1280,2021-11-23 07:00:00-05:00
50.54,50.55,50.54,50.55,800,2021-11-23 07:03:00-05:00
50.63,50.63,50.63,50.63,130,2021-11-23 07:08:00-05:00
50.65,50.65,50.65,50.65,130,2021-11-23 07:10:00-05:00
50.68,50.68,50.68,50.68,100,2021-11-23 07:15:00-05:00
50.67,50.67,50.66,50.66,325,2021-11-23 07:16:00-05:00
50.68,50.68,50.65,50.65,795,2021-11-23 07:18:00-05:00
50.65,50.66,50.65,50.66,900,2021-11-23 07:25:00-05:00
50.66,50.68,50.66,50.68,500,2021-11-23 07:26:00-05:00
50.69,50.69,50.69,50.69,550,2021-11-23 07:27:00-05:00
50.69,50.69,50.67,50.69,800,2021-11-23 07:28:00-05:00
50.67,50.67,50.67,50.67,100,2021-11-23 07:29:00-05:00
50.67,50.67,50.67,50.67,100,2021-11-23 07:31:00-05:00
50.68,50.69,50.68,50.69,700,2021-11-23 07:33:00-05:00
50.66,50.67,50.65,50.66,1092,2021-11-23 07:39:00-05:00
50.66,50.7,50.66,50.7,600,2021-11-23 07:51:00-05:00
50.71,50.75,50.71,50.75,600,2021-11-23 07:53:00-05:00
50.76,50.78,50.76,50.78,2293,2021-11-23 07:54:00-05:00
50.78,50.82,50.78,50.82,2100,2021-11-23 07:56:00-05:00
50.87,50.87,50.87,50.87,404,2021-11-23 07:57:00-05:00
50.81,50.81,50.81,50.81,200,2021-11-23 07:59:00-05:00
50.81,50.81,50.77,50.77,500,2021-11-23 08:00:00-05:00
50.73,50.8,50.7,50.8,3359,2021-11-23 08:01:00-05:00
50.79,50.82,50.79,50.79,18125,2021-11-23 08:06:00-05:00
50.79,50.8,50.79,50.8,313,2021-11-23 08:10:00-05:00
50.78,50.84,50.78,50.83,3350,2021-11-23 08:17:00-05:00
50.82,50.82,50.82,50.82,300,2021-11-23 08:18:00-05:00
50.81,50.81,50.81,50.81,100,2021-11-23 08:19:00-05:00
50.77,50.77,50.77,50.77,300,2021-11-23 08:21:00-05:00
50.79,50.79,50.79,50.79,300,2021-11-23 08:32:00-05:00
50.79,50.79,50.79,50.79,200,2021-11-23 08:35:00-05:00
50.78,50.81,50.78,50.81,3663,2021-11-23 08:39:00-05:00
50.82,50.83,50.81,50.81,1000,2021-11-23 08:40:00-05:00
50.8,50.8,50.8,50.8,450,2021-11-23 08:45:00-05:00
50.7201,50.7201,50.7201,50.7201,1709,2021-11-23 08:54:00-05:00
50.71,50.71,50.7,50.71,300,2021-11-23 08:56:00-05:00
50.7,50.7,50.68,50.7,1520,2021-11-23 08:57:00-05:00
50.72,50.73,50.69,50.69,2503,2021-11-23 08:58:00-05:00
50.71,50.71,50.71,50.71,10000,2021-11-23 08:59:00-05:00
50.67,50.68,50.67,50.68,300,2021-11-23 09:00:00-05:00
50.63,50.63,50.59,50.59,600,2021-11-23 09:01:00-05:00
50.62,50.65,50.61,50.61,2100,2021-11-23 09:02:00-05:00
50.62,50.65,50.62,50.65,400,2021-11-23 09:03:00-05:00
50.65,50.7,50.65,50.7,934,2021-11-23 09:04:00-05:00
50.71,50.75,50.71,50.75,600,2021-11-23 09:05:00-05:00
50.74,50.75,50.74,50.75,400,2021-11-23 09:06:00-05:00
50.77,50.79,50.77,50.78,2000,2021-11-23 09:07:00-05:00
50.78,50.79,50.78,50.78,810,2021-11-23 09:09:00-05:00
50.74,50.74,50.67,50.67,700,2021-11-23 09:10:00-05:00
