open,high,low,close,volume,datetime
144.73,144.73,144.73,144.73,100,2021-11-23 07:00:00-05:00
144.5,144.5,144.5,144.5,200,2021-11-23 07:46:00-05:00
144.5,144.5,144.5,144.5,1500,2021-11-23 07:47:00-05:00
144.42,144.42,144.42,144.42,365,2021-11-23 08:03:00-05:00
144.42,144.42,144.42,144.42,100,2021-11-23 08:11:00-05:00
144.5,144.5,144.5,144.5,200,2021-11-23 08:14:00-05:00
144.5,144.5,144.5,144.5,100,2021-11-23 08:16:00-05:00
144.48,144.5,144.46,144.5,1764,2021-11-23 08:18:00-05:00
144.65,144.65,144.65,144.65,100,2021-11-23 08:29:00-05:00
144.403,144.403,144.403,144.403,100,2021-11-23 08:35:00-05:00
144.65,144.65,144.63,144.65,1152,2021-11-23 09:09:00-05:00
144.4,144.4,144.4,144.4,100,2021-11-23 09:11:00-05:00
144.4001,144.5,144.4001,144.5,225,2021-11-23 09:20:00-05:00
144.4332,144.4332,144.4332,144.4332,100,2021-11-23 09:22:00-05:00
144.42,144.42,144.19,144.29,3863,2021-11-23 09:29:00-05:00
144.25,144.73,144.25,144.36,141498,2021-11-23 09:30:00-05:00
144.36,144.49,144.0,144.115,13114,2021-11-23 09:31:00-05:00
144.106,144.22,144.02,144.02,13244,2021-11-23 09:32:00-05:00
144.02,144.02,143.5,143.605,30135,2021-11-23 09:33:00-05:00
143.605,143.614,143.25,143.33,18153,2021-11-23 09:34:00-05:00
143.32,143.55,143.25,143.51,18169,2021-11-23 09:35:00-05:00
143.47,143.7,143.37,143.7,25204,2021-11-23 09:36:00-05:00
143.715,143.83,143.45,143.57,12278,2021-11-23 09:37:00-05:00
143.62,143.65,143.56,143.62,9117,2021-11-23 09:38:00-05:00
143.608,143.73,143.51,143.59,14854,2021-11-23 09:39:00-05:00
143.62,143.7399,143.56,143.69,20540,2021-11-23 09:40:00-05:00
143.7,143.815,143.67,143.8021,11064,2021-11-23 09:41:00-05:00
143.8271,143.94,143.72,143.83,30684,2021-11-23 09:42:00-05:00
143.905,144.0431,143.9,143.959,18137,2021-11-23 09:43:00-05:00
143.91,144.0667,143.81,144.0,10140,2021-11-23 09:44:00-05:00
144.0,144.19,144.0,144.0,17775,2021-11-23 09:45:00-05:00
144.02,144.13,143.97,144.02,20130,2021-11-23 09:46:00-05:00
144.015,144.05,143.94,144.01,12209,2021-11-23 09:47:00-05:00
144.01,144.22,143.99,144.22,16840,2021-11-23 09:48:00-05:00
144.21,144.38,144.21,144.32,25234,2021-11-23 09:49:00-05:00
144.33,144.45,144.3,144.36,25835,2021-11-23 09:50:00-05:00
144.36,144.58,144.3,144.5,24948,2021-11-23 09:51:00-05:00
144.46,144.5687,144.44,144.47,22614,2021-11-23 09:52:00-05:00
144.43,144.43,144.27,144.39,11855,2021-11-23 09:53:00-05:00
144.395,144.42,144.37,144.41,7505,2021-11-23 09:54:00-05:00
144.42,144.57,144.3701,144.545,90273,2021-11-23 09:55:00-05:00
144.59,144.64,144.57,144.5801,5238,2021-11-23 09:56:00-05:00
144.58,144.66,144.51,144.625,15778,2021-11-23 09:57:00-05:00
144.6,144.66,144.5905,144.625,16340,2021-11-23 09:58:00-05:00
144.64,144.66,144.52,144.59,17310,2021-11-23 09:59:00-05:00
144.59,144.6,144.485,144.485,15486,2021-11-23 10:00:00-05:00
144.51,144.6,144.46,144.5707,25057,2021-11-23 10:01:00-05:00
144.55,144.56,144.49,144.52,5091,2021-11-23 10:02:00-05:00
144.5231,144.61,144.49,144.61,5227,2021-11-23 10:03:00-05:00
144.62,144.8,144.5888,144.8,12056,2021-11-23 10:04:00-05:00
144.8,144.98,144.78,144.8113,24297,2021-11-23 10:05:00-05:00
144.78,144.78,144.59,144.59,5218,2021-11-23 10:06:00-05:00
144.612,144.67,144.51,144.51,7267,2021-11-23 10:07:00-05:00
144.52,144.67,144.52,144.5605,9895,2021-11-23 10:08:00-05:00
144.55,144.63,144.45,144.53,21107,2021-11-23 10:09:00-05:00
144.53,144.53,144.46,144.5,11849,2021-11-23 10:10:00-05:00
144.5,144.59,144.4475,144.5198,23740,2021-11-23 10:11:00-05:00
144.4865,144.51,144.43,144.465,24842,2021-11-23 10:12:00-05:00
144.47,144.54,144.43,144.51,21095,2021-11-23 10:13:00-05:00
144.51,144.52,144.45,144.49,17162,2021-11-23 10:14:00-05:00
144.46,144.52,144.46,144.49,15329,2021-11-23 10:15:00-05:00
144.49,144.57,144.48,144.55,12684,2021-11-23 10:16:00-05:00
144.54,144.64,144.54,144.625,6709,2021-11-23 10:17:00-05:00
144.64,144.65,144.57,144.59,13042,2021-11-23 10:18:00-05:00
144.585,144.61,144.5,144.505,25498,2021-11-23 10:19:00-05:00
144.5,144.51,144.45,144.48,18401,2021-11-23 10:20:00-05:00
144.47,144.475,144.26,144.3,12431,2021-11-23 10:21:00-05:00
144.3,144.37,144.26,144.35,6070,2021-11-23 10:22:00-05:00
144.3347,144.34,144.29,144.3299,1617,2021-11-23 10:23:00-05:00
144.324,144.35,144.28,144.31,12420,2021-11-23 10:24:00-05:00
144.285,144.43,144.285,144.3364,12557,2021-11-23 10:25:00-05:00
144.345,144.36,144.13,144.17,12852,2021-11-23 10:26:00-05:00
144.14,144.31,144.14,144.28,6123,2021-11-23 10:27:00-05:00
144.31,144.31,144.24,144.26,7359,2021-11-23 10:28:00-05:00
144.26,144.32,144.25,144.25,13947,2021-11-23 10:29:00-05:00
144.29,144.3397,144.23,144.28,18676,2021-11-23 10:30:00-05:00
144.295,144.42,144.295,144.33,13472,2021-11-23 10:31:00-05:00
144.31,144.35,144.22,144.33,7524,2021-11-23 10:32:00-05:00
144.33,144.37,144.245,144.37,15237,2021-11-23 10:33:00-05:00
144.35,144.42,144.33,144.39,4697,2021-11-23 10:34:00-05:00
144.41,144.45,144.31,144.33,11936,2021-11-23 10:35:00-05:00
144.33,144.3673,144.2601,144.3,10384,2021-11-23 10:36:00-05:00
144.28,144.32,144.25,144.265,6754,2021-11-23 10:37:00-05:00
144.26,144.32,144.23,144.31,13302,2021-11-23 10:38:00-05:00
144.33,144.33,144.26,144.26,8174,2021-11-23 10:39:00-05:00
144.26,144.35,144.26,144.33,13535,2021-11-23 10:40:00-05:00
144.3078,144.395,144.3,144.33,12705,2021-11-23 10:41:00-05:00
144.355,144.49,144.34,144.49,9829,2021-11-23 10:42:00-05:00
144.49,144.57,144.4684,144.57,13519,2021-11-23 10:43:00-05:00
144.57,144.73,144.57,144.73,23816,2021-11-23 10:44:00-05:00
144.73,144.81,144.73,144.7993,23872,2021-11-23 10:45:00-05:00
144.79,144.88,144.79,144.86,19484,2021-11-23 10:46:00-05:00
144.87,144.89,144.78,144.8801,8435,2021-11-23 10:47:00-05:00
144.9,144.96,144.89,144.9199,11008,2021-11-23 10:48:00-05:00
144.88,144.9122,144.81,144.83,4909,2021-11-23 10:49:00-05:00
144.8207,144.87,144.77,144.87,17328,2021-11-23 10:50:00-05:00
144.87,144.96,144.865,144.9532,9258,2021-11-23 10:51:00-05:00
144.9596,144.96,144.9,144.9309,13287,2021-11-23 10:52:00-05:00
144.9,145.1,144.9,145.1,16776,2021-11-23 10:53:00-05:00
145.095,145.155,145.095,145.1259,10693,2021-11-23 10:54:00-05:00
145.11,145.12,144.88,144.99,24161,2021-11-23 10:55:00-05:00
144.98,144.98,144.89,144.8903,8092,2021-11-23 10:56:00-05:00
144.9189,144.972,144.9,144.9,11092,2021-11-23 10:57:00-05:00
144.93,144.99,144.9,144.989,2996,2021-11-23 10:58:00-05:00
144.97,145.04,144.95,145.0,8560,2021-11-23 10:59:00-05:00
