open,high,low,close,volume,datetime
49.2,49.2,49.2,49.2,189,2024-03-28 08:12:00-04:00
48.68,48.69,48.68,48.68,787,2024-03-28 08:17:00-04:00
48.88,49.03,48.88,48.94,20336,2024-03-28 09:30:00-04:00
48.96,48.99,48.9,48.9,1200,2024-03-28 09:31:00-04:00
48.93,48.95,48.93,48.95,400,2024-03-28 09:32:00-04:00
48.92,49.05,48.92,48.93,4103,2024-03-28 09:33:00-04:00
48.94,48.94,48.94,48.94,142,2024-03-28 09:34:00-04:00
48.94,49.0,48.94,48.98,600,2024-03-28 09:35:00-04:00
48.99,49.0,48.99,48.99,800,2024-03-28 09:36:00-04:00
48.97,48.98,48.97,48.98,403,2024-03-28 09:37:00-04:00
48.97,48.97,48.95,48.95,730,2024-03-28 09:38:00-04:00
48.95,48.95,48.95,48.95,200,2024-03-28 09:39:00-04:00
48.94,48.95,48.94,48.95,406,2024-03-28 09:40:00-04:00
48.95,48.95,48.95,48.95,100,2024-03-28 09:41:00-04:00
48.95,48.96,48.93,48.96,12712,2024-03-28 09:42:00-04:00
48.94,48.96,48.94,48.94,905,2024-03-28 09:43:00-04:00
48.9535,48.9535,48.9503,48.9503,310,2024-03-28 09:44:00-04:00
48.95,48.95,48.94,48.94,1354,2024-03-28 09:45:00-04:00
48.93,48.93,48.93,48.93,301,2024-03-28 09:46:00-04:00
48.94,48.94,48.93,48.93,300,2024-03-28 09:47:00-04:00
48.92,48.92,48.91,48.91,2092,2024-03-28 09:48:00-04:00
48.92,48.93,48.9021,48.93,828,2024-03-28 09:49:00-04:00
48.92,48.92,48.91,48.91,700,2024-03-28 09:50:00-04:00
48.885,48.89,48.88,48.89,327,2024-03-28 09:51:00-04:00
48.9,48.9,48.89,48.8973,850,2024-03-28 09:52:00-04:00
48.9,48.9,48.9,48.9,200,2024-03-28 09:53:00-04:00
48.895,48.9,48.89,48.9,1026,2024-03-28 09:54:00-04:00
48.89,48.89,48.857,48.857,1121,2024-03-28 09:55:00-04:00
48.84,48.84,48.81,48.82,1719,2024-03-28 09:56:00-04:00
48.82,48.82,48.775,48.775,1589,2024-03-28 09:57:00-04:00
48.785,48.79,48.785,48.79,417,2024-03-28 09:58:00-04:00
48.7701,48.7701,48.77,48.77,868,2024-03-28 09:59:00-04:00
48.775,48.775,48.775,48.775,311,2024-03-28 10:00:00-04:00
48.79,48.79,48.78,48.78,359,2024-03-28 10:01:00-04:00
48.772,48.78,48.772,48.78,200,2024-03-28 10:02:00-04:00
48.79,48.79,48.75,48.76,7307,2024-03-28 10:03:00-04:00
48.76,48.77,48.76,48.77,1069,2024-03-28 10:04:00-04:00
48.78,48.78,48.76,48.77,1537,2024-03-28 10:06:00-04:00
48.77,48.77,48.76,48.76,220,2024-03-28 10:07:00-04:00
48.76,48.76,48.74,48.74,2354,2024-03-28 10:08:00-04:00
48.74,48.75,48.74,48.74,38872,2024-03-28 10:09:00-04:00
48.7311,48.745,48.7011,48.74,11191,2024-03-28 10:10:00-04:00
48.735,48.77,48.735,48.765,3563,2024-03-28 10:11:00-04:00
48.77,48.78,48.76,48.77,834,2024-03-28 10:12:00-04:00
48.77,48.77,48.765,48.765,1400,2024-03-28 10:13:00-04:00
48.76,48.76,48.75,48.755,410,2024-03-28 10:14:00-04:00
48.75,48.77,48.75,48.77,560,2024-03-28 10:15:00-04:00
48.78,48.8,48.78,48.8,1607,2024-03-28 10:16:00-04:00
48.78,48.78,48.76,48.77,3062,2024-03-28 10:17:00-04:00
48.7545,48.76,48.7545,48.76,2100,2024-03-28 10:18:00-04:00
48.76,48.76,48.75,48.75,1123,2024-03-28 10:19:00-04:00
48.76,48.76,48.76,48.76,310,2024-03-28 10:20:00-04:00
48.77,48.78,48.76,48.76,2271,2024-03-28 10:21:00-04:00
48.77,48.79,48.77,48.79,700,2024-03-28 10:22:00-04:00
48.8,48.82,48.8,48.82,1000,2024-03-28 10:23:00-04:00
48.825,48.85,48.82,48.84,1030,2024-03-28 10:24:00-04:00
48.83,48.83,48.82,48.82,1340,2024-03-28 10:25:00-04:00
48.84,48.84,48.84,48.84,1681,2024-03-28 10:26:00-04:00
48.83,48.84,48.83,48.83,1515,2024-03-28 10:27:00-04:00
48.83,48.83,48.83,48.83,300,2024-03-28 10:28:00-04:00
48.83,48.83,48.81,48.81,1496,2024-03-28 10:29:00-04:00
48.83,48.84,48.815,48.815,2347,2024-03-28 10:30:00-04:00
48.82,48.83,48.82,48.83,484,2024-03-28 10:31:00-04:00
48.83,48.84,48.83,48.84,2768,2024-03-28 10:32:00-04:00
48.835,48.835,48.835,48.835,300,2024-03-28 10:33:00-04:00
48.835,48.84,48.835,48.835,1507,2024-03-28 10:34:00-04:00
48.84,48.85,48.835,48.84,2796,2024-03-28 10:35:00-04:00
48.84,48.84,48.84,48.84,300,2024-03-28 10:36:00-04:00
48.84,48.85,48.84,48.85,4051,2024-03-28 10:37:00-04:00
48.85,48.85,48.835,48.835,1470,2024-03-28 10:38:00-04:00
