open,high,low,close,volume,datetime
395.31,395.31,395.31,395.31,2445,2024-03-28 09:30:00-04:00
395.035,396.62,393.45,395.035,2663,2024-03-28 09:36:00-04:00
395.035,395.035,394.55,395.03,700,2024-03-28 09:37:00-04:00
394.815,394.815,394.815,394.815,100,2024-03-28 09:42:00-04:00
394.815,394.815,394.815,394.815,100,2024-03-28 09:46:00-04:00
395.57,395.58,395.57,395.57,338,2024-03-28 09:47:00-04:00
395.34,395.34,395.34,395.34,100,2024-03-28 09:48:00-04:00
395.34,395.34,395.34,395.34,200,2024-03-28 09:49:00-04:00
395.33,395.33,395.33,395.33,200,2024-03-28 09:51:00-04:00
395.3,395.3,395.3,395.3,100,2024-03-28 09:52:00-04:00
395.335,395.335,395.335,395.335,100,2024-03-28 09:58:00-04:00
395.2675,395.97,395.2675,395.91,1400,2024-03-28 09:59:00-04:00
395.91,396.47,395.76,396.47,2309,2024-03-28 10:00:00-04:00
396.705,396.705,396.705,396.705,100,2024-03-28 10:02:00-04:00
396.61,396.61,396.065,396.065,400,2024-03-28 10:03:00-04:00
396.215,396.215,396.215,396.215,100,2024-03-28 10:04:00-04:00
396.0,396.0,396.0,396.0,100,2024-03-28 10:12:00-04:00
396.645,396.645,396.45,396.45,200,2024-03-28 10:29:00-04:00
396.34,396.34,396.34,396.34,100,2024-03-28 10:30:00-04:00
395.82,396.14,395.82,395.82,900,2024-03-28 10:32:00-04:00
396.66,396.66,396.66,396.66,100,2024-03-28 10:33:00-04:00
397.115,397.115,397.115,397.115,102,2024-03-28 10:35:00-04:00
397.095,397.095,397.095,397.095,100,2024-03-28 10:38:00-04:00
396.92,396.94,396.745,396.75,1333,2024-03-28 10:41:00-04:00
396.5,396.5,396.5,396.5,155,2024-03-28 10:51:00-04:00
396.48,396.48,396.48,396.48,100,2024-03-28 10:57:00-04:00
396.93,396.93,396.93,396.93,100,2024-03-28 11:04:00-04:00
396.965,396.965,396.965,396.965,144,2024-03-28 11:09:00-04:00
397.11,397.11,397.11,397.11,263,2024-03-28 11:11:00-04:00
397.14,397.14,396.47,396.47,800,2024-03-28 11:12:00-04:00
396.475,396.475,396.475,396.475,200,2024-03-28 11:13:00-04:00
396.47,396.47,396.47,396.47,200,2024-03-28 11:14:00-04:00
396.89,396.89,396.89,396.89,100,2024-03-28 11:19:00-04:00
397.37,397.37,397.37,397.37,136,2024-03-28 11:22:00-04:00
397.33,397.33,397.19,397.2,400,2024-03-28 11:25:00-04:00
397.49,397.56,397.49,397.56,200,2024-03-28 11:27:00-04:00
397.72,397.72,397.44,397.44,300,2024-03-28 11:32:00-04:00
397.2,397.2,397.2,397.2,100,2024-03-28 11:37:00-04:00
397.06,397.06,397.06,397.06,100,2024-03-28 11:40:00-04:00
397.0,397.0,397.0,397.0,396,2024-03-28 11:42:00-04:00
396.97,396.97,396.92,396.92,276,2024-03-28 11:43:00-04:00
396.91,396.91,396.82,396.82,308,2024-03-28 11:46:00-04:00
396.53,396.53,396.53,396.53,220,2024-03-28 11:49:00-04:00
396.8495,396.8495,396.8453,396.8453,432,2024-03-28 11:53:00-04:00
396.765,396.765,396.765,396.765,100,2024-03-28 11:54:00-04:00
396.85,396.85,396.85,396.85,100,2024-03-28 11:59:00-04:00
396.91,397.1302,396.3,396.3,1007,2024-03-28 12:00:00-04:00
396.66,396.66,396.3362,396.43,733,2024-03-28 12:01:00-04:00
396.46,396.46,396.46,396.46,100,2024-03-28 12:12:00-04:00
396.68,396.68,396.68,396.68,100,2024-03-28 12:16:00-04:00
396.33,396.33,396.33,396.33,100,2024-03-28 12:17:00-04:00
396.5,396.5,396.5,396.5,100,2024-03-28 12:19:00-04:00
396.5,396.5,396.5,396.5,100,2024-03-28 12:20:00-04:00
396.8,396.8,396.8,396.8,100,2024-03-28 12:23:00-04:00
397.22,397.22,397.22,397.22,112,2024-03-28 12:27:00-04:00
397.165,397.165,397.165,397.165,100,2024-03-28 12:29:00-04:00
396.69,396.69,396.69,396.69,100,2024-03-28 12:32:00-04:00
396.495,396.495,396.495,396.495,200,2024-03-28 12:33:00-04:00
396.465,396.465,396.465,396.465,100,2024-03-28 12:38:00-04:00
396.47,396.47,396.47,396.47,100,2024-03-28 12:39:00-04:00
396.465,396.465,396.465,396.465,100,2024-03-28 12:40:00-04:00
396.47,396.47,396.47,396.47,100,2024-03-28 12:45:00-04:00
396.435,396.435,396.435,396.435,100,2024-03-28 12:47:00-04:00
396.235,396.265,395.935,395.935,600,2024-03-28 12:48:00-04:00
395.93,395.93,395.835,395.835,300,2024-03-28 12:49:00-04:00
395.82,395.825,395.82,395.82,300,2024-03-28 12:50:00-04:00
395.82,395.82,395.67,395.67,700,2024-03-28 12:51:00-04:00
395.79,395.88,395.665,395.665,318,2024-03-28 12:56:00-04:00
395.435,395.435,395.43,395.43,400,2024-03-28 12:58:00-04:00
395.79,395.81,395.79,395.81,200,2024-03-28 12:59:00-04:00
396.33,396.33,396.275,396.275,457,2024-03-28 13:05:00-04:00
396.355,396.355,396.355,396.355,100,2024-03-28 13:20:00-04:00
395.97,395.97,395.97,395.97,100,2024-03-28 13:25:00-04:00
396.4,396.4,395.805,395.805,1400,2024-03-28 13:33:00-04:00
395.68,395.98,395.665,395.97,800,2024-03-28 13:37:00-04:00
395.99,395.99,395.99,395.99,282,2024-03-28 13:38:00-04:00
396.04,396.04,395.945,395.945,300,2024-03-28 13:46:00-04:00
395.91,395.91,395.66,395.66,200,2024-03-28 13:53:00-04:00
395.775,395.775,395.775,395.775,100,2024-03-28 14:01:00-04:00
395.725,395.725,395.4975,395.715,600,2024-03-28 14:03:00-04:00
395.3,395.62,395.23,395.23,1200,2024-03-28 14:05:00-04:00
395.62,395.62,395.62,395.62,100,2024-03-28 14:06:00-04:00
395.595,395.595,395.595,395.595,100,2024-03-28 14:08:00-04:00
395.97,396.34,395.91,396.13,2137,2024-03-28 14:09:00-04:00
396.08,396.08,396.08,396.08,100,2024-03-28 14:10:00-04:00
396.34,396.34,396.34,396.34,190,2024-03-28 14:13:00-04:00
396.39,396.39,396.39,396.39,100,2024-03-28 14:14:00-04:00
396.38,396.38,396.38,396.38,100,2024-03-28 14:20:00-04:00
396.07,396.07,396.07,396.07,100,2024-03-28 14:22:00-04:00
395.99,395.99,395.99,395.99,100,2024-03-28 14:30:00-04:00
395.99,396.33,395.99,396.33,685,2024-03-28 14:33:00-04:00
396.435,396.435,396.435,396.435,100,2024-03-28 14:34:00-04:00
396.7,396.7,396.66,396.66,200,2024-03-28 14:35:00-04:00
396.445,396.445,396.445,396.445,100,2024-03-28 14:38:00-04:00
396.55,396.55,396.55,396.55,100,2024-03-28 14:41:00-04:00
396.25,396.25,396.25,396.25,200,2024-03-28 14:45:00-04:00
395.952,395.952,395.952,395.952,100,2024-03-28 14:51:00-04:00
395.86,396.18,395.86,395.995,1109,2024-03-28 14:55:00-04:00
396.03,396.25,396.03,396.25,596,2024-03-28 14:56:00-04:00
396.16,396.465,396.06,396.465,500,2024-03-28 14:57:00-04:00
396.345,396.345,396.345,396.345,100,2024-03-28 15:00:00-04:00
395.97,395.97,395.91,395.91,200,2024-03-28 15:04:00-04:00
395.86,395.86,395.77,395.77,200,2024-03-28 15:07:00-04:00
395.91,395.91,395.91,395.91,150,2024-03-28 15:08:00-04:00
395.78,395.78,395.78,395.78,100,2024-03-28 15:10:00-04:00
396.45,396.45,396.45,396.45,100,2024-03-28 15:14:00-04:00
396.52,396.52,396.52,396.52,100,2024-03-28 15:17:00-04:00
396.515,396.515,396.515,396.515,250,2024-03-28 15:19:00-04:00
396.41,396.41,396.35,396.35,300,2024-03-28 15:20:00-04:00
396.32,396.432,396.03,396.03,316,2024-03-28 15:25:00-04:00
396.7,396.7,396.7,396.7,108,2024-03-28 15:26:00-04:00
396.43,396.43,396.43,396.43,100,2024-03-28 15:27:00-04:00
396.3,396.3,396.3,396.3,100,2024-03-28 15:28:00-04:00
396.61,396.61,396.61,396.61,100,2024-03-28 15:29:00-04:00
396.76,396.76,396.76,396.76,352,2024-03-28 15:30:00-04:00
396.775,396.775,396.775,396.775,350,2024-03-28 15:31:00-04:00
396.525,396.525,396.465,396.465,200,2024-03-28 15:32:00-04:00
396.4,396.44,396.4,396.44,300,2024-03-28 15:33:00-04:00
396.3,396.3,396.3,396.3,100,2024-03-28 15:40:00-04:00
396.24,396.4,395.935,395.935,900,2024-03-28 15:43:00-04:00
395.84,395.84,395.8,395.8,200,2024-03-28 15:44:00-04:00
395.812,395.812,395.812,395.812,100,2024-03-28 15:45:00-04:00
396.045,396.045,396.045,396.045,100,2024-03-28 15:46:00-04:00
396.045,396.045,395.92,395.955,300,2024-03-28 15:47:00-04:00
395.98,395.98,395.98,395.98,100,2024-03-28 15:48:00-04:00
395.95,395.95,395.69,395.69,200,2024-03-28 15:49:00-04:00
395.68,395.68,395.24,395.24,800,2024-03-28 15:50:00-04:00
395.525,395.525,395.525,395.525,100,2024-03-28 15:51:00-04:00
395.87,395.9,395.84,395.9,1136,2024-03-28 15:52:00-04:00
396.23,396.28,396.065,396.28,400,2024-03-28 15:53:00-04:00
396.27,396.38,395.8,395.8,1018,2024-03-28 15:55:00-04:00
395.86,395.98,395.715,395.98,884,2024-03-28 15:56:00-04:00
395.945,396.23,395.945,396.23,802,2024-03-28 15:57:00-04:00
396.05,396.05,396.05,396.05,100,2024-03-28 15:58:00-04:00
395.99,396.37,395.38,395.39,6541,2024-03-28 15:59:00-04:00
395.71,395.71,395.71,395.71,66162,2024-03-28 16:00:00-04:00
395.71,395.71,395.71,395.71,3560,2024-03-28 16:05:00-04:00
395.71,395.71,395.71,395.71,113,2024-03-28 16:20:00-04:00
394.65,394.65,393.62,393.62,3609,2024-04-01 09:30:00-04:00
392.73,392.74,392.73,392.74,1127,2024-04-01 09:36:00-04:00
393.37,393.37,393.37,393.37,100,2024-04-01 09:37:00-04:00
393.145,393.145,393.145,393.145,100,2024-04-01 09:38:00-04:00
392.19,392.19,392.19,392.19,100,2024-04-01 09:40:00-04:00
393.325,393.335,393.325,393.335,200,2024-04-01 09:45:00-04:00
393.325,393.325,393.325,393.325,100,2024-04-01 09:47:00-04:00
392.4,392.4,392.4,392.4,100,2024-04-01 09:52:00-04:00
393.1,393.1,393.1,393.1,100,2024-04-01 09:53:00-04:00
