open,high,low,close,volume,datetime
219.0,219.0,219.0,219.0,100,2021-11-23 07:20:00-05:00
218.4,218.4,218.4,218.4,400,2021-11-23 08:18:00-05:00
220.0,220.0,220.0,220.0,400,2021-11-23 08:41:00-05:00
219.18,219.18,219.05,219.05,200,2021-11-23 09:25:00-05:00
219.0,219.0,219.0,219.0,100,2021-11-23 09:26:00-05:00
218.25,218.5,218.25,218.25,2073,2021-11-23 09:27:00-05:00
218.54,219.65,217.02,217.735,37166,2021-11-23 09:30:00-05:00
217.96,218.1,217.0,217.1,4320,2021-11-23 09:31:00-05:00
216.88,217.43,216.37,217.43,4965,2021-11-23 09:32:00-05:00
217.3,217.505,216.9,217.31,2020,2021-11-23 09:33:00-05:00
217.565,218.23,217.525,218.04,3530,2021-11-23 09:34:00-05:00
218.31,219.76,218.31,219.26,5104,2021-11-23 09:35:00-05:00
219.45,220.8,219.42,219.93,7540,2021-11-23 09:36:00-05:00
220.015,220.04,219.62,219.84,2603,2021-11-23 09:37:00-05:00
219.97,220.2,219.72,220.02,7201,2021-11-23 09:38:00-05:00
219.87,219.94,219.7,219.81,4200,2021-11-23 09:39:00-05:00
219.96,220.75,219.91,220.67,2479,2021-11-23 09:40:00-05:00
220.5,220.82,220.5,220.58,1357,2021-11-23 09:41:00-05:00
220.82,221.26,220.82,221.09,1558,2021-11-23 09:42:00-05:00
221.1001,221.835,220.94,220.94,6441,2021-11-23 09:43:00-05:00
220.57,221.165,220.57,221.165,1943,2021-11-23 09:44:00-05:00
220.96,221.135,220.66,221.135,2087,2021-11-23 09:45:00-05:00
221.31,222.05,221.1,222.05,6514,2021-11-23 09:46:00-05:00
222.21,222.47,222.05,222.05,3206,2021-11-23 09:47:00-05:00
222.39,222.64,222.03,222.25,11371,2021-11-23 09:48:00-05:00
222.09,222.13,221.4,221.83,11463,2021-11-23 09:49:00-05:00
221.83,222.96,221.6,222.48,7370,2021-11-23 09:50:00-05:00
222.31,222.74,222.205,222.37,6410,2021-11-23 09:51:00-05:00
