open,high,low,close,volume,datetime
129.35,129.35,129.35,129.35,232,2021-11-23 07:06:00-05:00
129.23,129.5,129.23,129.5,400,2021-11-23 07:08:00-05:00
129.01,129.02,129.01,129.02,200,2021-11-23 07:23:00-05:00
129.2,129.2,129.2,129.2,100,2021-11-23 07:25:00-05:00
128.51,128.51,128.5,128.5,554,2021-11-23 09:27:00-05:00
127.98,127.98,127.0,127.0,540,2021-11-23 09:28:00-05:00
127.54,128.2,127.54,128.05,25817,2021-11-23 09:30:00-05:00
128.2,128.765,128.18,128.765,1694,2021-11-23 09:31:00-05:00
128.765,128.99,128.765,128.865,300,2021-11-23 09:32:00-05:00
129.21,129.21,129.21,129.21,100,2021-11-23 09:33:00-05:00
129.15,129.45,128.75,129.37,5180,2021-11-23 09:34:00-05:00
128.83,129.37,128.3,128.6625,5565,2021-11-23 09:35:00-05:00
128.76,129.04,128.74,129.04,1552,2021-11-23 09:36:00-05:00
128.68,129.05,128.37,128.91,18060,2021-11-23 09:37:00-05:00
129.02,129.3,128.75,129.28,2557,2021-11-23 09:38:00-05:00
129.26,129.56,129.0,129.56,5700,2021-11-23 09:39:00-05:00
129.37,130.26,129.37,130.11,1000,2021-11-23 09:40:00-05:00
129.71,130.07,129.67,129.79,5540,2021-11-23 09:42:00-05:00
129.67,129.86,129.49,129.49,5973,2021-11-23 09:43:00-05:00
129.535,129.535,129.04,129.1706,1471,2021-11-23 09:44:00-05:00
129.27,129.93,129.26,129.93,2561,2021-11-23 09:45:00-05:00
129.805,130.04,129.8,129.99,938,2021-11-23 09:46:00-05:00
129.6,129.6,129.6,129.6,100,2021-11-23 09:47:00-05:00
129.82,129.82,129.345,129.47,3931,2021-11-23 09:48:00-05:00
129.465,129.465,129.465,129.465,300,2021-11-23 09:49:00-05:00
129.45,129.47,129.22,129.47,3853,2021-11-23 09:50:00-05:00
129.38,129.51,129.25,129.39,3662,2021-11-23 09:51:00-05:00
129.52,129.6,129.5,129.5,693,2021-11-23 09:52:00-05:00
129.59,129.59,129.48,129.48,300,2021-11-23 09:53:00-05:00
129.55,129.89,129.55,129.89,2310,2021-11-23 09:54:00-05:00
130.02,130.02,129.75,129.98,1045,2021-11-23 09:55:00-05:00
130.0,130.02,129.86,130.0,450,2021-11-23 09:56:00-05:00
129.88,130.07,129.81,129.81,4240,2021-11-23 09:57:00-05:00
130.0,130.0,129.81,129.91,1991,2021-11-23 09:58:00-05:00
129.85,130.0,129.83,129.91,1621,2021-11-23 09:59:00-05:00
129.82,129.93,129.77,129.93,906,2021-11-23 10:00:00-05:00
129.83,129.83,129.66,129.705,1300,2021-11-23 10:01:00-05:00
129.74,130.05,129.67,130.0,2973,2021-11-23 10:02:00-05:00
130.0057,130.22,129.96,130.025,8446,2021-11-23 10:03:00-05:00
130.095,130.16,130.095,130.11,675,2021-11-23 10:04:00-05:00
130.2,130.36,130.197,130.35,2777,2021-11-23 10:05:00-05:00
130.39,130.44,130.18,130.3,2460,2021-11-23 10:06:00-05:00
130.34,130.49,130.295,130.49,1609,2021-11-23 10:07:00-05:00
130.425,130.425,130.29,130.31,3582,2021-11-23 10:08:00-05:00
130.41,130.45,130.31,130.435,2263,2021-11-23 10:09:00-05:00
130.44,130.59,130.35,130.35,1805,2021-11-23 10:10:00-05:00
130.45,130.45,130.405,130.415,500,2021-11-23 10:11:00-05:00
130.4,130.52,130.29,130.52,2704,2021-11-23 10:12:00-05:00
130.56,130.6,130.49,130.6,1417,2021-11-23 10:13:00-05:00
130.6,130.645,130.49,130.645,3654,2021-11-23 10:14:00-05:00
130.63,130.86,130.58,130.86,3497,2021-11-23 10:15:00-05:00
130.83,130.84,130.66,130.75,6025,2021-11-23 10:16:00-05:00
130.7245,130.74,130.55,130.55,5147,2021-11-23 10:17:00-05:00
130.56,130.675,130.56,130.67,2275,2021-11-23 10:18:00-05:00
130.62,130.65,130.57,130.615,900,2021-11-23 10:19:00-05:00
130.71,130.71,130.59,130.69,1218,2021-11-23 10:20:00-05:00
130.67,130.75,130.49,130.5,5521,2021-11-23 10:21:00-05:00
130.5,130.51,130.365,130.39,1701,2021-11-23 10:22:00-05:00
130.44,130.58,130.39,130.44,4817,2021-11-23 10:23:00-05:00
130.46,130.59,130.395,130.48,2353,2021-11-23 10:24:00-05:00
130.5,130.5,130.43,130.43,200,2021-11-23 10:25:00-05:00
130.45,130.54,130.42,130.505,4405,2021-11-23 10:26:00-05:00
130.485,130.6481,130.46,130.52,8977,2021-11-23 10:27:00-05:00
130.46,130.47,130.14,130.14,3880,2021-11-23 10:28:00-05:00
130.23,130.33,130.23,130.33,3242,2021-11-23 10:29:00-05:00
130.19,130.28,130.1401,130.28,2671,2021-11-23 10:30:00-05:00
130.28,130.56,130.28,130.47,2319,2021-11-23 10:31:00-05:00
130.4534,130.54,130.4273,130.54,909,2021-11-23 10:32:00-05:00
130.54,130.54,130.21,130.33,4647,2021-11-23 10:33:00-05:00
130.38,130.45,130.27,130.27,2484,2021-11-23 10:34:00-05:00
130.31,130.31,130.195,130.195,1929,2021-11-23 10:35:00-05:00
130.18,130.18,129.76,129.76,5831,2021-11-23 10:36:00-05:00
129.785,129.93,129.72,129.92,2437,2021-11-23 10:37:00-05:00
129.925,130.01,129.925,129.93,2301,2021-11-23 10:38:00-05:00
129.91,129.96,129.91,129.96,200,2021-11-23 10:39:00-05:00
129.94,130.06,129.94,129.965,3483,2021-11-23 10:40:00-05:00
129.93,129.93,129.86,129.89,1540,2021-11-23 10:41:00-05:00
129.83,129.855,129.805,129.855,472,2021-11-23 10:42:00-05:00
129.855,129.855,129.72,129.76,1631,2021-11-23 10:43:00-05:00
129.715,129.715,129.6,129.635,1958,2021-11-23 10:44:00-05:00
129.68,129.75,129.68,129.75,1258,2021-11-23 10:45:00-05:00
129.72,129.725,129.72,129.725,200,2021-11-23 10:46:00-05:00
129.68,129.705,129.55,129.58,2563,2021-11-23 10:47:00-05:00
129.545,129.75,129.545,129.74,2307,2021-11-23 10:48:00-05:00
129.79,129.79,129.67,129.67,1105,2021-11-23 10:49:00-05:00
129.61,129.66,129.54,129.635,3340,2021-11-23 10:50:00-05:00
129.6,129.6,129.45,129.485,3016,2021-11-23 10:51:00-05:00
129.525,129.6,129.4963,129.545,1173,2021-11-23 10:52:00-05:00
129.6,129.72,129.51,129.575,4993,2021-11-23 10:53:00-05:00
129.54,129.71,129.405,129.63,17500,2021-11-23 10:54:00-05:00
129.57,129.57,129.57,129.57,300,2021-11-23 10:55:00-05:00
129.57,129.605,129.34,129.34,5275,2021-11-23 10:56:00-05:00
129.405,129.405,129.23,129.23,1948,2021-11-23 10:57:00-05:00
129.28,129.55,129.16,129.55,7723,2021-11-23 10:58:00-05:00
129.56,129.57,129.4794,129.51,960,2021-11-23 10:59:00-05:00
129.425,129.425,129.3426,129.385,998,2021-11-23 11:00:00-05:00
129.385,129.54,129.32,129.54,2787,2021-11-23 11:01:00-05:00
129.53,129.605,129.53,129.605,607,2021-11-23 11:02:00-05:00
129.6,129.7,129.6,129.7,200,2021-11-23 11:03:00-05:00
129.68,129.68,129.54,129.67,1800,2021-11-23 11:04:00-05:00
129.65,129.65,129.65,129.65,100,2021-11-23 11:05:00-05:00
129.65,129.67,129.6416,129.6416,343,2021-11-23 11:06:00-05:00
129.69,129.7,129.61,129.65,800,2021-11-23 11:07:00-05:00
129.65,129.76,129.65,129.76,702,2021-11-23 11:08:00-05:00
129.7686,129.7686,129.63,129.71,550,2021-11-23 11:09:00-05:00
129.71,129.82,129.71,129.795,4128,2021-11-23 11:10:00-05:00
129.75,129.77,129.65,129.6968,1781,2021-11-23 11:11:00-05:00
129.6,129.63,129.6,129.63,902,2021-11-23 11:12:00-05:00
129.69,129.83,129.69,129.82,2951,2021-11-23 11:13:00-05:00
129.87,130.02,129.8551,130.02,1991,2021-11-23 11:14:00-05:00
130.02,130.02,129.9,129.97,6420,2021-11-23 11:15:00-05:00
