open,high,low,close,volume,datetime
104.54,104.91,104.13,104.37,415374,2016-06-08 01:00:00-04:00
104.23,104.9173,103.255,104.31,381989,2016-06-09 01:00:00-04:00
103.31,103.635,101.93,102.53,343461,2016-06-10 01:00:00-04:00
101.93,103.48,101.59,101.77,419680,2016-06-13 01:00:00-04:00
101.56,102.45,100.91,102.03,294545,2016-06-14 01:00:00-04:00
102.34,103.418,101.6201,103.09,456650,2016-06-15 01:00:00-04:00
102.56,103.0,99.4,100.72,566016,2016-06-16 01:00:00-04:00
100.33,100.46,98.07,99.23,801782,2016-06-17 01:00:00-04:00
100.0,102.84,99.61,101.72,625658,2016-06-20 01:00:00-04:00
101.57,103.1441,100.5101,101.76,466838,2016-06-21 01:00:00-04:00
101.49,103.11,101.037,101.7,394987,2016-06-22 01:00:00-04:00
102.69,104.27,101.52,104.25,558205,2016-06-23 01:00:00-04:00
99.0,103.98,98.01,100.37,4664903,2016-06-24 01:00:00-04:00
99.57,101.45,99.01,101.23,1046022,2016-06-27 01:00:00-04:00
101.94,105.35,101.25,105.09,667003,2016-06-28 01:00:00-04:00
105.98,108.48,105.66,108.16,791818,2016-06-29 01:00:00-04:00
109.21,109.66,108.11,109.29,719336,2016-06-30 01:00:00-04:00
109.71,110.2,108.89,110.17,355337,2016-07-01 01:00:00-04:00
109.91,110.78,108.77,109.83,531802,2016-07-05 01:00:00-04:00
109.46,111.55,109.46,111.44,809462,2016-07-06 01:00:00-04:00
111.96,114.5,111.14,113.53,592422,2016-07-07 01:00:00-04:00
114.08,115.89,112.86,114.15,645893,2016-07-08 01:00:00-04:00
115.0,116.71,114.63,115.94,795738,2016-07-11 01:00:00-04:00
116.17,118.207,116.0,117.76,803751,2016-07-12 01:00:00-04:00
118.53,119.72,116.82,117.505,637344,2016-07-13 01:00:00-04:00
118.39,118.69,116.935,117.78,480559,2016-07-14 01:00:00-04:00
117.92,118.55,116.6,117.14,311525,2016-07-15 01:00:00-04:00
117.91,118.26,116.661,117.47,343322,2016-07-18 01:00:00-04:00
117.32,118.88,116.155,116.59,391182,2016-07-19 01:00:00-04:00
