open,high,low,close,volume,datetime
85.05,85.43,84.62,85.08,498498,2016-06-08 01:00:00-04:00
84.54,85.1,83.68,85.04,545695,2016-06-09 01:00:00-04:00
84.49,85.22,84.28,84.77,425613,2016-06-10 01:00:00-04:00
84.22,85.145,84.0721,84.19,390214,2016-06-13 01:00:00-04:00
83.94,84.81,83.7,83.96,430736,2016-06-14 01:00:00-04:00
84.32,84.5,83.49,83.6,486728,2016-06-15 01:00:00-04:00
83.31,85.2899,83.16,85.25,462455,2016-06-16 01:00:00-04:00
85.04,85.58,84.58,85.51,1170868,2016-06-17 01:00:00-04:00
86.05,86.96,85.65,85.75,459593,2016-06-20 01:00:00-04:00
86.05,86.4,85.54,85.86,446555,2016-06-21 01:00:00-04:00
86.06,86.62,85.7501,86.15,450347,2016-06-22 01:00:00-04:00
87.0,87.21,86.13,86.58,462795,2016-06-23 01:00:00-04:00
82.78,85.03,82.78,83.21,684432,2016-06-24 01:00:00-04:00
82.28,82.48,80.83,81.01,619658,2016-06-27 01:00:00-04:00
81.9,83.315,81.28,83.17,506306,2016-06-28 01:00:00-04:00
84.08,84.39,83.265,84.34,450021,2016-06-29 01:00:00-04:00
84.78,86.33,84.16,86.31,458120,2016-06-30 01:00:00-04:00
86.52,88.24,86.52,87.95,723142,2016-07-01 01:00:00-04:00
87.62,87.74,85.26,85.49,498758,2016-07-05 01:00:00-04:00
85.2,85.87,84.79,85.4,539413,2016-07-06 01:00:00-04:00
85.43,86.02,83.99,84.42,416030,2016-07-07 01:00:00-04:00
85.47,86.53,85.3201,86.43,424997,2016-07-08 01:00:00-04:00
86.83,87.22,86.53,86.87,238035,2016-07-11 01:00:00-04:00
87.33,87.95,87.05,87.53,322856,2016-07-12 01:00:00-04:00
87.73,88.01,87.4301,87.94,212526,2016-07-13 01:00:00-04:00
88.91,88.9999,87.795,88.31,257891,2016-07-14 01:00:00-04:00
87.73,88.9999,87.73,87.93,245087,2016-07-15 01:00:00-04:00
87.83,88.26,87.53,87.59,219975,2016-07-18 01:00:00-04:00
87.02,87.61,86.88,87.59,278987,2016-07-19 01:00:00-04:00
87.9,88.22,87.37,87.39,281285,2016-07-20 01:00:00-04:00
87.45,87.64,87.09,87.32,275676,2016-07-21 01:00:00-04:00
87.52,88.03,87.14,87.9,225046,2016-07-22 01:00:00-04:00
87.74,88.17,87.43,87.6,327008,2016-07-25 01:00:00-04:00
87.55,88.1,86.07,86.51,483080,2016-07-26 01:00:00-04:00
85.48,85.95,83.52,83.75,603582,2016-07-27 01:00:00-04:00
83.51,83.97,83.011,83.35,348443,2016-07-28 01:00:00-04:00
83.01,83.52,82.64,83.01,453034,2016-07-29 01:00:00-04:00
83.09,83.44,82.82,83.25,498705,2016-08-01 01:00:00-04:00
83.2,83.505,82.64,83.29,513217,2016-08-02 01:00:00-04:00
83.59,84.42,83.28,84.11,505575,2016-08-03 01:00:00-04:00
84.1,84.45,83.51,83.69,379647,2016-08-04 01:00:00-04:00
84.24,84.89,83.88,84.81,354035,2016-08-05 01:00:00-04:00
84.86,85.25,84.38,84.76,312270,2016-08-08 01:00:00-04:00
84.87,85.31,84.58,84.78,280507,2016-08-09 01:00:00-04:00
84.58,85.18,84.58,84.78,215875,2016-08-10 01:00:00-04:00
84.81,85.67,84.81,85.24,230609,2016-08-11 01:00:00-04:00
84.91,85.39,84.83,85.19,183638,2016-08-12 01:00:00-04:00
85.26,86.26,85.25,85.79,287200,2016-08-15 01:00:00-04:00
85.45,86.06,85.16,85.19,274401,2016-08-16 01:00:00-04:00
85.2,86.12,85.12,85.8,247951,2016-08-17 01:00:00-04:00
85.83,86.46,85.58,86.14,271579,2016-08-18 01:00:00-04:00
85.89,86.88,85.69,86.87,221056,2016-08-19 01:00:00-04:00
87.04,87.04,86.15,86.71,308905,2016-08-22 01:00:00-04:00
86.73,86.89,86.46,86.73,263802,2016-08-23 01:00:00-04:00
86.84,87.0,86.38,86.84,312953,2016-08-24 01:00:00-04:00
86.38,87.77,86.17,87.64,473539,2016-08-25 01:00:00-04:00
87.59,88.89,87.11,87.69,379118,2016-08-26 01:00:00-04:00
87.69,88.76,87.69,88.72,327267,2016-08-29 01:00:00-04:00
88.91,89.76,88.67,89.5,330478,2016-08-30 01:00:00-04:00
89.53,89.76,88.93,89.55,339713,2016-08-31 01:00:00-04:00
89.83,89.99,88.85,89.26,349826,2016-09-01 01:00:00-04:00
89.67,90.29,89.52,90.24,260062,2016-09-02 01:00:00-04:00
90.22,90.26,89.02,89.88,303808,2016-09-06 01:00:00-04:00
89.64,90.29,89.28,90.13,231016,2016-09-07 01:00:00-04:00
90.25,90.33,89.51,89.95,377548,2016-09-08 01:00:00-04:00
89.67,90.2799,88.92,89.23,478208,2016-09-09 01:00:00-04:00
88.74,90.59,88.35,90.3,346245,2016-09-12 01:00:00-04:00
89.45,89.46,88.34,88.47,506317,2016-09-13 01:00:00-04:00
88.43,88.585,87.15,87.33,597048,2016-09-14 01:00:00-04:00
87.0,88.11,87.0,87.88,324444,2016-09-15 01:00:00-04:00
88.02,88.16,87.45,87.86,847340,2016-09-16 01:00:00-04:00
88.19,90.65,88.19,89.62,677856,2016-09-19 01:00:00-04:00
89.94,90.11,89.14,89.3,327331,2016-09-20 01:00:00-04:00
89.49,90.86,89.49,90.7,360953,2016-09-21 01:00:00-04:00
91.1,91.52,90.79,91.28,211025,2016-09-22 01:00:00-04:00
90.92,91.06,90.13,90.14,258898,2016-09-23 01:00:00-04:00
89.87,90.44,89.56,89.94,256551,2016-09-26 01:00:00-04:00
89.89,90.86,89.65,90.71,355338,2016-09-27 01:00:00-04:00
90.84,91.84,90.8,91.77,270796,2016-09-28 01:00:00-04:00
91.64,92.25,90.99,91.47,357754,2016-09-29 01:00:00-04:00
91.76,92.63,91.5,92.25,373215,2016-09-30 01:00:00-04:00
91.91,92.24,90.245,90.54,518819,2016-10-03 01:00:00-04:00
90.33,90.49,89.54,90.4,394311,2016-10-04 01:00:00-04:00
90.8,91.47,90.6,90.94,364388,2016-10-05 01:00:00-04:00
91.0,91.3,88.97,89.94,602482,2016-10-06 01:00:00-04:00
90.11,90.52,89.49,89.93,281431,2016-10-07 01:00:00-04:00
90.13,91.03,90.13,90.8,265267,2016-10-10 01:00:00-04:00
90.47,91.12,90.17,90.5,419652,2016-10-11 01:00:00-04:00
90.72,91.58,90.53,91.13,325216,2016-10-12 01:00:00-04:00
90.23,90.66,89.54,90.09,318287,2016-10-13 01:00:00-04:00
