open,high,low,close,volume,datetime
14.35,14.46,14.3,14.43,58292864,2016-06-08 01:00:00-04:00
14.32,14.32,14.08,14.19,74814895,2016-06-09 01:00:00-04:00
13.98,14.0,13.75,13.83,90725677,2016-06-10 01:00:00-04:00
13.64,13.9051,13.58,13.6,74851719,2016-06-13 01:00:00-04:00
13.56,13.7262,13.17,13.26,85377775,2016-06-14 01:00:00-04:00
13.38,13.66,13.28,13.34,100659070,2016-06-15 01:00:00-04:00
13.23,13.33,13.02,13.31,90151952,2016-06-16 01:00:00-04:00
13.38,13.53,13.28,13.4,89022300,2016-06-17 01:00:00-04:00
13.74,13.85,13.51,13.54,89873995,2016-06-20 01:00:00-04:00
13.615,13.65,13.445,13.62,73810799,2016-06-21 01:00:00-04:00
13.6,13.78,13.59,13.61,77980475,2016-06-22 01:00:00-04:00
13.84,14.05,13.82,14.04,82494585,2016-06-23 01:00:00-04:00
13.05,13.44,12.97,13.0,231499190,2016-06-24 01:00:00-04:00
12.77,12.77,12.05,12.18,259697520,2016-06-27 01:00:00-04:00
12.57,12.72,12.35,12.7,150136310,2016-06-28 01:00:00-04:00
13.07,13.22,12.92,13.19,118484022,2016-06-29 01:00:00-04:00
13.37,13.38,13.07,13.27,125773865,2016-06-30 01:00:00-04:00
13.19,13.27,13.02,13.1,88888071,2016-07-01 01:00:00-04:00
12.93,12.94,12.63,12.74,98246526,2016-07-05 01:00:00-04:00
12.52,12.92,12.45,12.86,94983303,2016-07-06 01:00:00-04:00
12.865,13.11,12.84,13.01,101100345,2016-07-07 01:00:00-04:00
13.28,13.32,13.11,13.17,92698914,2016-07-08 01:00:00-04:00
13.29,13.4,13.2,13.21,67267266,2016-07-11 01:00:00-04:00
13.41,13.6,13.4,13.54,89070594,2016-07-12 01:00:00-04:00
13.5,13.58,13.32,13.44,74595569,2016-07-13 01:00:00-04:00
13.73,13.78,13.64,13.65,97852124,2016-07-14 01:00:00-04:00
13.78,13.79,13.52,13.66,78652469,2016-07-15 01:00:00-04:00
13.84,14.23,13.82,14.11,187187120,2016-07-18 01:00:00-04:00
14.06,14.37,14.03,14.26,96940055,2016-07-19 01:00:00-04:00
14.35,14.43,14.26,14.4,79277868,2016-07-20 01:00:00-04:00
14.43,14.47,14.26,14.27,70985429,2016-07-21 01:00:00-04:00
14.26,14.4,14.18,14.38,46604794,2016-07-22 01:00:00-04:00
14.31,14.39,14.28,14.37,46420800,2016-07-25 01:00:00-04:00
14.32,14.55,14.31,14.53,60205579,2016-07-26 01:00:00-04:00
14.57,14.7,14.45,14.63,100985998,2016-07-27 01:00:00-04:00
14.57,14.69,14.46,14.68,72049503,2016-07-28 01:00:00-04:00
14.56,14.7,14.48,14.49,63276523,2016-07-29 01:00:00-04:00
14.52,14.6,14.26,14.33,61460852,2016-08-01 01:00:00-04:00
14.28,14.45,14.09,14.13,83776290,2016-08-02 01:00:00-04:00
14.11,14.48,14.095,14.48,65305419,2016-08-03 01:00:00-04:00
14.48,14.54,14.36,14.48,46176646,2016-08-04 01:00:00-04:00
14.75,15.06,14.75,15.05,120947818,2016-08-05 01:00:00-04:00
