open,high,low,close,volume,datetime
43.86,44.62,43.81,44.6,4372477,2016-06-08 01:00:00-04:00
44.53,44.79,44.22,44.75,3770068,2016-06-09 01:00:00-04:00
44.41,44.585,44.06,44.49,3331031,2016-06-10 01:00:00-04:00
44.12,44.78,44.12,44.41,3145216,2016-06-13 01:00:00-04:00
44.31,44.6,44.06,44.44,3924766,2016-06-14 01:00:00-04:00
44.6,44.63,44.18,44.21,2429448,2016-06-15 01:00:00-04:00
44.14,44.62,44.01,44.57,3558812,2016-06-16 01:00:00-04:00
44.63,44.6697,44.0,44.44,5158086,2016-06-17 01:00:00-04:00
44.83,45.05,44.54,44.96,7286896,2016-06-20 01:00:00-04:00
45.05,45.11,44.59,45.01,2810468,2016-06-21 01:00:00-04:00
45.09,45.16,44.78,44.94,5369179,2016-06-22 01:00:00-04:00
45.18,45.96,45.16,45.96,3274706,2016-06-23 01:00:00-04:00
44.84,44.84,43.72,43.85,11204951,2016-06-24 01:00:00-04:00
43.55,43.55,42.22,42.35,7807872,2016-06-27 01:00:00-04:00
42.7,43.41,42.31,43.38,6167427,2016-06-28 01:00:00-04:00
43.78,44.84,43.78,44.82,4085120,2016-06-29 01:00:00-04:00
44.99,45.235,44.76,45.22,5242502,2016-06-30 01:00:00-04:00
45.18,45.5,45.03,45.45,2377157,2016-07-01 01:00:00-04:00
45.25,45.58,45.15,45.31,3980847,2016-07-05 01:00:00-04:00
45.23,46.11,44.99,45.99,4877019,2016-07-06 01:00:00-04:00
45.92,46.36,45.86,46.12,2485362,2016-07-07 01:00:00-04:00
46.31,46.67,46.17,46.65,3256773,2016-07-08 01:00:00-04:00
46.87,46.9,46.37,46.49,4482477,2016-07-11 01:00:00-04:00
46.5,47.135,46.39,46.85,3544654,2016-07-12 01:00:00-04:00
47.13,47.22,46.74,46.82,2485229,2016-07-13 01:00:00-04:00
47.09,47.205,46.74,46.95,2907113,2016-07-14 01:00:00-04:00
47.08,47.2,46.56,46.77,2961651,2016-07-15 01:00:00-04:00
46.81,46.86,46.34,46.55,2811905,2016-07-18 01:00:00-04:00
46.44,46.5259,45.9,46.2,3484946,2016-07-19 01:00:00-04:00
46.48,46.86,46.46,46.7,1663151,2016-07-20 01:00:00-04:00
46.64,46.72,45.87,46.1,2369152,2016-07-21 01:00:00-04:00
46.18,46.32,45.67,46.32,2980721,2016-07-22 01:00:00-04:00
46.39,46.44,45.87,46.1,2601083,2016-07-25 01:00:00-04:00
46.55,48.085,46.47,48.01,6844595,2016-07-26 01:00:00-04:00
48.01,48.5,47.4725,48.32,5926373,2016-07-27 01:00:00-04:00
48.31,48.49,47.96,48.22,3776903,2016-07-28 01:00:00-04:00
48.18,48.34,47.82,48.02,5489155,2016-07-29 01:00:00-04:00
48.06,48.76,47.99,48.5,4063868,2016-08-01 01:00:00-04:00
48.47,48.69,48.22,48.48,4180479,2016-08-02 01:00:00-04:00
