open,high,low,close,volume,datetime
37.235,37.5,36.995,37.48,1935848,2016-06-08 01:00:00-04:00
37.185,37.485,37.045,37.44,1490138,2016-06-09 01:00:00-04:00
37.19,37.195,36.69,36.84,1773614,2016-06-10 01:00:00-04:00
36.545,36.6,35.94,36.01,2792512,2016-06-13 01:00:00-04:00
35.495,36.015,35.305,35.965,4720598,2016-06-14 01:00:00-04:00
36.0,36.09,35.705,36.005,4364070,2016-06-15 01:00:00-04:00
35.545,35.96,35.38,35.93,3434668,2016-06-16 01:00:00-04:00
35.94,35.94,35.475,35.73,3517174,2016-06-17 01:00:00-04:00
36.175,36.46,35.97,36.03,3660962,2016-06-20 01:00:00-04:00
36.005,36.25,35.97,35.995,2966970,2016-06-21 01:00:00-04:00
36.165,36.295,36.0,36.245,4873482,2016-06-22 01:00:00-04:00
36.685,36.965,36.45,36.765,2469290,2016-06-23 01:00:00-04:00
35.26,35.8975,34.635,34.705,6176870,2016-06-24 01:00:00-04:00
34.305,34.43,33.756,34.17,5586738,2016-06-27 01:00:00-04:00
34.385,35.375,34.05,35.3,8062354,2016-06-28 01:00:00-04:00
35.65,35.835,35.205,35.695,14390942,2016-06-29 01:00:00-04:00
35.595,36.19,35.095,36.145,17198236,2016-06-30 01:00:00-04:00
36.315,36.625,35.02,35.705,9229836,2016-07-01 01:00:00-04:00
35.62,35.7,34.835,35.025,6127014,2016-07-05 01:00:00-04:00
35.045,35.27,34.6225,35.165,14695344,2016-07-06 01:00:00-04:00
35.43,35.83,35.2125,35.41,5987608,2016-07-07 01:00:00-04:00
35.84,35.995,35.575,35.81,4910826,2016-07-08 01:00:00-04:00
36.0,36.025,35.53,35.85,3062882,2016-07-11 01:00:00-04:00
36.2,36.2,35.63,35.64,5766622,2016-07-12 01:00:00-04:00
35.91,35.98,35.53,35.665,5562168,2016-07-13 01:00:00-04:00
35.81,35.81,35.195,35.65,10020690,2016-07-14 01:00:00-04:00
35.75,35.93,34.9775,35.015,6147794,2016-07-15 01:00:00-04:00
34.945,34.995,34.34,34.965,5615782,2016-07-18 01:00:00-04:00
34.87,34.9175,34.525,34.885,3931902,2016-07-19 01:00:00-04:00
34.815,35.335,34.785,35.27,2602808,2016-07-20 01:00:00-04:00
35.36,35.785,35.29,35.465,4571436,2016-07-21 01:00:00-04:00
35.425,35.535,35.3,35.38,2100538,2016-07-22 01:00:00-04:00
35.33,35.55,35.15,35.53,2316066,2016-07-25 01:00:00-04:00
35.46,35.795,35.395,35.735,2693352,2016-07-26 01:00:00-04:00
35.79,35.86495,35.39,35.575,2157328,2016-07-27 01:00:00-04:00
35.525,35.61,35.24,35.46,2202592,2016-07-28 01:00:00-04:00
35.285,35.47,35.215,35.335,2638740,2016-07-29 01:00:00-04:00
35.47,35.535,35.25,35.35,2705026,2016-08-01 01:00:00-04:00
35.235,35.375,34.91,35.025,2507282,2016-08-02 01:00:00-04:00
35.04,35.155,34.885,35.05,3300704,2016-08-03 01:00:00-04:00
37.285,39.375,37.285,39.255,14479950,2016-08-04 01:00:00-04:00
39.255,39.72,38.96,39.575,6625030,2016-08-05 01:00:00-04:00
39.565,40.225,39.355,40.1,6702040,2016-08-08 01:00:00-04:00
40.305,40.625,39.82,40.035,4108006,2016-08-09 01:00:00-04:00
40.09,40.39,39.85,40.095,2893620,2016-08-10 01:00:00-04:00
40.32,40.415,40.09,40.28,2104562,2016-08-11 01:00:00-04:00
40.325,40.5,39.97,40.15,2084784,2016-08-12 01:00:00-04:00
40.04,40.465,40.04,40.37,2774792,2016-08-15 01:00:00-04:00
40.235,40.375,40.05,40.145,1991318,2016-08-16 01:00:00-04:00
40.135,40.1725,39.895,40.13,2022934,2016-08-17 01:00:00-04:00
40.185,40.23495,39.935,40.135,3462716,2016-08-18 01:00:00-04:00
39.91,40.325,39.615,40.29,2590800,2016-08-19 01:00:00-04:00
40.065,40.35,40.025,40.35,2226618,2016-08-22 01:00:00-04:00
40.35,40.39,40.135,40.265,1946026,2016-08-23 01:00:00-04:00
40.17,40.35,39.83,39.905,1449816,2016-08-24 01:00:00-04:00
39.88,40.0925,39.715,39.91,1633048,2016-08-25 01:00:00-04:00
40.07,40.07,39.09,39.345,2646994,2016-08-26 01:00:00-04:00
39.37,39.65,39.215,39.47,2488398,2016-08-29 01:00:00-04:00
39.295,39.515,39.225,39.475,1710318,2016-08-30 01:00:00-04:00
39.265,39.665,39.15,39.595,3244598,2016-08-31 01:00:00-04:00
39.695,39.945,39.35,39.925,4771902,2016-09-01 01:00:00-04:00
40.13,40.345,40.02,40.33,1861478,2016-09-02 01:00:00-04:00
40.505,40.595,40.235,40.49,2577078,2016-09-06 01:00:00-04:00
40.37,40.45,40.025,40.325,2141602,2016-09-07 01:00:00-04:00
40.25,40.385,40.01,40.05,1317690,2016-09-08 01:00:00-04:00
39.815,39.82,38.9,38.9,2099930,2016-09-09 01:00:00-04:00
38.71,39.12,38.665,39.005,6776666,2016-09-12 01:00:00-04:00
38.685,39.22,38.455,38.58,2985690,2016-09-13 01:00:00-04:00
38.54,38.805,38.395,38.545,2689004,2016-09-14 01:00:00-04:00
38.53,39.175,38.33,39.15,3510376,2016-09-15 01:00:00-04:00
39.06,39.27,38.795,39.23,6848530,2016-09-16 01:00:00-04:00
39.49,39.49,39.095,39.185,2414352,2016-09-19 01:00:00-04:00
39.48,39.545,39.23,39.3,1928284,2016-09-20 01:00:00-04:00
39.35,39.575,39.04,39.545,2404962,2016-09-21 01:00:00-04:00
39.74,39.9675,39.7,39.845,1848472,2016-09-22 01:00:00-04:00
39.65,39.91,39.525,39.67,1548946,2016-09-23 01:00:00-04:00
39.595,39.76,39.49,39.52,1479754,2016-09-26 01:00:00-04:00
39.255,39.865,39.165,39.78,2278622,2016-09-27 01:00:00-04:00
39.75,40.25,39.695,40.215,1473670,2016-09-28 01:00:00-04:00
40.215,40.6,40.21,40.45,3301122,2016-09-29 01:00:00-04:00
40.635,41.12,40.29,40.975,4477614,2016-09-30 01:00:00-04:00
40.775,40.835,40.29,40.425,2014972,2016-10-03 01:00:00-04:00
40.365,40.455,39.695,39.715,1603708,2016-10-04 01:00:00-04:00
39.9,39.925,39.59,39.7,1912280,2016-10-05 01:00:00-04:00
39.73,39.9067,39.495,39.775,1672926,2016-10-06 01:00:00-04:00
39.915,39.915,39.09,39.16,1331436,2016-10-07 01:00:00-04:00
39.43,39.64,39.39,39.61,1484592,2016-10-10 01:00:00-04:00
39.47,39.505,38.88,39.19,1566874,2016-10-11 01:00:00-04:00
39.275,39.43,39.105,39.345,733894,2016-10-12 01:00:00-04:00
38.905,39.39,38.685,39.3,1183772,2016-10-13 01:00:00-04:00
39.57,39.895,39.55,39.63,1064640,2016-10-14 01:00:00-04:00
39.75,39.945,39.565,39.76,2492466,2016-10-17 01:00:00-04:00
40.1,40.54125,39.97,40.46,2780920,2016-10-18 01:00:00-04:00
40.515,41.065,40.395,41.01,2978138,2016-10-19 01:00:00-04:00
40.915,40.925,39.785,40.055,2606104,2016-10-20 01:00:00-04:00
39.72,40.105,39.335,39.84,1742688,2016-10-21 01:00:00-04:00
40.12,40.385,39.99,40.155,1948746,2016-10-24 01:00:00-04:00
40.01,40.135,39.83,39.875,1416914,2016-10-25 01:00:00-04:00
39.865,40.125,39.595,39.765,1665384,2016-10-26 01:00:00-04:00
39.57,39.625,39.17,39.18,2499998,2016-10-27 01:00:00-04:00
39.24,39.3175,38.28,38.55,4521934,2016-10-28 01:00:00-04:00
38.585,38.8125,38.215,38.535,3373636,2016-10-31 01:00:00-04:00
38.615,38.695,38.125,38.435,3150294,2016-11-01 01:00:00-04:00
38.385,38.58,38.0,38.46,3573308,2016-11-02 01:00:00-04:00
38.445,39.36,38.065,39.12,4070394,2016-11-03 01:00:00-04:00
39.01,39.035,38.22,38.24,2436044,2016-11-04 01:00:00-04:00
38.825,39.345,38.64,39.31,3559656,2016-11-07 01:00:00-05:00
39.255,39.83,39.1,39.8,2494932,2016-11-08 01:00:00-05:00
39.245,39.5,38.66,39.295,3749622,2016-11-09 01:00:00-05:00
39.39,39.42,37.575,37.945,5893530,2016-11-10 01:00:00-05:00
37.755,38.025,37.3,37.985,2854456,2016-11-11 01:00:00-05:00
38.12,38.17,37.425,38.085,3512472,2016-11-14 01:00:00-05:00
38.11,38.385,37.995,38.195,2124498,2016-11-15 01:00:00-05:00
38.105,38.285,37.83,38.245,2284720,2016-11-16 01:00:00-05:00
38.295,38.52,38.17,38.245,1800794,2016-11-17 01:00:00-05:00
