open,high,low,close,volume,datetime
34.95,35.21,34.14,34.23,2178151,2016-11-03 01:00:00-04:00
34.21,34.605,34.0,34.09,1914632,2016-11-04 01:00:00-04:00
34.94,35.25,34.69,35.22,1863002,2016-11-07 01:00:00-05:00
35.1,35.51,34.72,35.37,1904801,2016-11-08 01:00:00-05:00
33.7,34.5,33.091,34.03,4810881,2016-11-09 01:00:00-05:00
34.11,35.455,34.0,35.2,3920406,2016-11-10 01:00:00-05:00
35.13,35.69,34.1,34.38,4943337,2016-11-11 01:00:00-05:00
34.58,35.11,33.807,34.22,3785240,2016-11-14 01:00:00-05:00
34.22,34.56,33.815,34.46,2804363,2016-11-15 01:00:00-05:00
34.22,34.58,34.11,34.49,2271265,2016-11-16 01:00:00-05:00
34.5,35.39,34.4243,35.38,2355312,2016-11-17 01:00:00-05:00
35.41,35.96,35.22,35.68,2455343,2016-11-18 01:00:00-05:00
35.93,36.37,35.63,36.16,1953164,2016-11-21 01:00:00-05:00
35.89,36.03,35.305,35.81,2432871,2016-11-22 01:00:00-05:00
35.65,35.79,35.31,35.39,2331213,2016-11-23 01:00:00-05:00
35.5,35.98,35.4,35.68,1191729,2016-11-25 01:00:00-05:00
35.66,35.95,35.29,35.39,1622273,2016-11-28 01:00:00-05:00
35.0,35.04,34.44,34.46,1603737,2016-11-29 01:00:00-05:00
34.91,36.04,34.7421,35.6,3188229,2016-11-30 01:00:00-05:00
35.98,37.33,35.94,36.83,4499275,2016-12-01 01:00:00-05:00
36.75,36.95,35.74,36.07,3450371,2016-12-02 01:00:00-05:00
36.49,37.8,36.43,37.49,3897101,2016-12-05 01:00:00-05:00
37.39,39.5,37.305,39.16,6046081,2016-12-06 01:00:00-05:00
39.45,41.98,39.41,41.6,5987086,2016-12-07 01:00:00-05:00
41.73,41.925,41.2795,41.63,3168184,2016-12-08 01:00:00-05:00
41.6,41.88,41.23,41.86,2268987,2016-12-09 01:00:00-05:00
41.74,41.755,40.98,41.1,2512595,2016-12-12 01:00:00-05:00
40.78,41.017,40.34,40.77,2320885,2016-12-13 01:00:00-05:00
40.23,40.44,39.26,39.31,2462996,2016-12-14 01:00:00-05:00
39.29,39.95,39.17,39.46,2436858,2016-12-15 01:00:00-05:00
39.72,39.98,39.33,39.74,4920859,2016-12-16 01:00:00-05:00
38.91,39.85,38.9,39.85,2477295,2016-12-19 01:00:00-05:00
40.21,40.93,39.91,40.38,2246414,2016-12-20 01:00:00-05:00
40.51,40.84,40.33,40.57,1668514,2016-12-21 01:00:00-05:00
40.39,40.43,39.42,39.63,1730063,2016-12-22 01:00:00-05:00
39.7,39.93,39.53,39.73,865843,2016-12-23 01:00:00-05:00
39.8,40.41,39.76,40.1,788867,2016-12-27 01:00:00-05:00
40.27,40.475,39.22,39.33,1078041,2016-12-28 01:00:00-05:00
39.48,39.67,39.3,39.49,1004338,2016-12-29 01:00:00-05:00
39.72,39.76,39.08,39.44,1326252,2016-12-30 01:00:00-05:00
39.9,40.25,39.38,40.07,1485686,2017-01-03 01:00:00-05:00
39.99,40.9,39.17,40.82,1600941,2017-01-04 01:00:00-05:00
40.74,41.1199,40.19,40.77,1775443,2017-01-05 01:00:00-05:00
40.98,41.37,40.52,41.1,1789267,2017-01-06 01:00:00-05:00
40.99,41.32,40.52,40.82,1550901,2017-01-09 01:00:00-05:00
40.97,41.4099,40.555,40.77,2787311,2017-01-10 01:00:00-05:00
40.62,40.69,39.43,40.12,4441048,2017-01-11 01:00:00-05:00
40.14,40.3761,39.32,39.99,2436592,2017-01-12 01:00:00-05:00
40.08,40.49,40.05,40.3,1298835,2017-01-13 01:00:00-05:00
40.12,40.28,39.65,39.79,1601074,2017-01-17 01:00:00-05:00
39.98,39.98,39.61,39.78,2023999,2017-01-18 01:00:00-05:00
39.92,39.98,39.62,39.82,1787913,2017-01-19 01:00:00-05:00
39.91,40.03,39.51,39.86,1804436,2017-01-20 01:00:00-05:00
39.87,40.1176,39.3,39.5,1601964,2017-01-23 01:00:00-05:00
39.79,40.53,39.77,40.43,2147236,2017-01-24 01:00:00-05:00
40.75,41.31,40.75,41.3,911703,2017-01-25 01:00:00-05:00
41.12,41.43,40.695,40.78,1238316,2017-01-26 01:00:00-05:00
40.79,40.93,40.2,40.4,967054,2017-01-27 01:00:00-05:00
40.52,40.64,39.88,40.56,1702136,2017-01-30 01:00:00-05:00
40.42,40.86,40.07,40.83,1808998,2017-01-31 01:00:00-05:00
41.15,41.5,40.68,41.03,1224583,2017-02-01 01:00:00-05:00
41.01,41.2675,40.27,40.47,1838113,2017-02-02 01:00:00-05:00
40.7,40.88,40.46,40.6,1024094,2017-02-03 01:00:00-05:00
40.26,40.59,40.201,40.57,863938,2017-02-06 01:00:00-05:00
40.49,40.49,39.7,40.1,1678414,2017-02-07 01:00:00-05:00
40.14,40.595,39.85,40.46,1994265,2017-02-08 01:00:00-05:00
40.0,41.31,40.0,40.65,2560169,2017-02-09 01:00:00-05:00
40.89,41.65,40.8,41.63,2099896,2017-02-10 01:00:00-05:00
41.67,42.18,41.39,41.67,2285993,2017-02-13 01:00:00-05:00
41.74,41.91,41.12,41.5,1693500,2017-02-14 01:00:00-05:00
41.5,42.05,41.11,41.91,1532333,2017-02-15 01:00:00-05:00
41.93,42.25,41.18,41.38,1359428,2017-02-16 01:00:00-05:00
40.97,42.38,40.6601,42.38,2272122,2017-02-17 01:00:00-05:00
42.62,43.32,42.22,42.63,2429449,2017-02-21 01:00:00-05:00
42.59,42.86,42.4,42.77,1382761,2017-02-22 01:00:00-05:00
42.89,43.08,42.345,42.47,1472972,2017-02-23 01:00:00-05:00
42.0,42.05,41.23,41.53,2535691,2017-02-24 01:00:00-05:00
41.47,42.465,41.35,42.45,1860897,2017-02-27 01:00:00-05:00
42.19,42.56,42.06,42.19,1762623,2017-02-28 01:00:00-05:00
42.89,43.43,42.74,42.99,2101957,2017-03-01 01:00:00-05:00
43.01,43.39,42.93,43.14,2023502,2017-03-02 01:00:00-05:00
43.13,43.21,42.7,42.96,2013055,2017-03-03 01:00:00-05:00
42.41,42.5,41.805,41.9,1722209,2017-03-06 01:00:00-05:00
41.82,41.99,41.4,41.69,1983261,2017-03-07 01:00:00-05:00
41.73,42.08,41.575,41.94,1505147,2017-03-08 01:00:00-05:00
41.99,41.99,41.38,41.56,1567024,2017-03-09 01:00:00-05:00
41.93,42.16,41.54,41.79,1677807,2017-03-10 01:00:00-05:00
42.0,42.67,41.89,42.61,1714498,2017-03-13 01:00:00-04:00
42.3,43.12,42.23,43.02,1675137,2017-03-14 01:00:00-04:00
43.22,44.23,43.07,43.95,1823622,2017-03-15 01:00:00-04:00
44.06,44.24,43.58,43.65,1361412,2017-03-16 01:00:00-04:00
43.56,43.56,42.5,42.76,2131217,2017-03-17 01:00:00-04:00
42.79,42.92,42.4,42.57,1190544,2017-03-20 01:00:00-04:00
42.77,42.77,40.79,40.84,1855441,2017-03-21 01:00:00-04:00
40.94,41.74,40.41,41.48,2907003,2017-03-22 01:00:00-04:00
41.32,41.385,40.85,41.21,1908838,2017-03-23 01:00:00-04:00
41.34,41.51,41.0,41.28,1508411,2017-03-24 01:00:00-04:00
40.63,41.24,40.405,41.2,1540023,2017-03-27 01:00:00-04:00
41.22,41.94,41.07,41.75,2620539,2017-03-28 01:00:00-04:00
41.77,42.29,41.7,41.93,1049838,2017-03-29 01:00:00-04:00
41.89,42.04,41.65,41.96,754255,2017-03-30 01:00:00-04:00
41.86,42.11,41.72,41.79,1641954,2017-03-31 01:00:00-04:00
