open,high,low,close,volume,datetime
81.64,81.67,80.68,81.27,3859001,2016-11-03 01:00:00-04:00
81.34,82.9,80.59,82.31,5745833,2016-11-04 01:00:00-04:00
83.74,84.16,82.97,83.75,3786427,2016-11-07 01:00:00-05:00
83.77,85.0,83.06,84.68,3407727,2016-11-08 01:00:00-05:00
89.78,93.2,89.36,91.2,19281888,2016-11-09 01:00:00-05:00
92.04,94.95,91.84,93.45,14174371,2016-11-10 01:00:00-05:00
93.39,94.34,91.82,93.01,7369906,2016-11-11 01:00:00-05:00
93.25,95.5,93.02,94.17,7552789,2016-11-14 01:00:00-05:00
93.46,94.46,92.64,94.44,4645386,2016-11-15 01:00:00-05:00
93.77,94.3999,92.835,93.35,3297156,2016-11-16 01:00:00-05:00
93.5,93.5,92.4,92.78,3942223,2016-11-17 01:00:00-05:00
93.01,93.4,91.9,92.34,4715937,2016-11-18 01:00:00-05:00
93.13,93.85,92.78,92.9,3783223,2016-11-21 01:00:00-05:00
93.4,93.71,92.8,93.62,3172772,2016-11-22 01:00:00-05:00
94.81,96.42,94.22,96.18,6571098,2016-11-23 01:00:00-05:00
95.96,96.44,95.21,95.81,2006880,2016-11-25 01:00:00-05:00
95.51,95.86,94.47,94.9,4916004,2016-11-28 01:00:00-05:00
94.0,94.57,93.63,94.04,3806021,2016-11-29 01:00:00-05:00
95.75,95.895,94.35,95.56,4641863,2016-11-30 01:00:00-05:00
96.0,97.39,94.05,96.24,9361618,2016-12-01 01:00:00-05:00
95.36,96.15,94.93,95.14,5038257,2016-12-02 01:00:00-05:00
95.87,95.99,94.15,94.45,4980335,2016-12-05 01:00:00-05:00
94.1,95.31,94.07,95.22,3663143,2016-12-06 01:00:00-05:00
95.25,97.33,94.93,97.33,4901054,2016-12-07 01:00:00-05:00
97.26,97.4,96.13,96.27,3861626,2016-12-08 01:00:00-05:00
96.23,96.3,95.19,95.53,6550220,2016-12-09 01:00:00-05:00
96.01,96.65,94.91,95.08,3597051,2016-12-12 01:00:00-05:00
95.74,96.5,95.18,96.02,3803344,2016-12-13 01:00:00-05:00
95.77,96.0,93.61,93.74,5647437,2016-12-14 01:00:00-05:00
93.8,94.73,93.05,94.53,4200139,2016-12-15 01:00:00-05:00
94.35,94.48,92.53,92.58,7872663,2016-12-16 01:00:00-05:00
91.93,92.78,91.0,92.71,3856324,2016-12-19 01:00:00-05:00
93.64,94.83,93.3,94.34,4302415,2016-12-20 01:00:00-05:00
94.26,94.3,93.68,93.82,2829309,2016-12-21 01:00:00-05:00
93.78,94.45,93.72,94.12,2534883,2016-12-22 01:00:00-05:00
93.79,94.4,93.64,94.32,1545895,2016-12-23 01:00:00-05:00
94.34,94.8,94.1,94.55,1735397,2016-12-27 01:00:00-05:00
94.6,94.9,92.82,93.15,2700257,2016-12-28 01:00:00-05:00
93.28,93.85,93.0,93.29,2387183,2016-12-29 01:00:00-05:00
93.04,93.25,92.33,92.74,3471158,2016-12-30 01:00:00-05:00
94.0,95.19,93.25,93.99,5054885,2017-01-03 01:00:00-05:00
94.46,94.5,93.43,93.57,3772050,2017-01-04 01:00:00-05:00
93.18,94.46,92.42,93.0,4698750,2017-01-05 01:00:00-05:00
93.45,93.6,92.41,93.04,4023073,2017-01-06 01:00:00-05:00
92.93,93.49,92.2,92.37,3095018,2017-01-09 01:00:00-05:00
92.98,94.44,92.77,93.83,3980193,2017-01-10 01:00:00-05:00
94.47,94.75,93.39,94.65,3720504,2017-01-11 01:00:00-05:00
94.37,94.37,92.78,93.99,3102819,2017-01-12 01:00:00-05:00
94.07,94.625,93.68,94.48,2609480,2017-01-13 01:00:00-05:00
94.24,94.2899,93.22,93.57,5040301,2017-01-17 01:00:00-05:00
92.79,93.42,92.53,93.33,3425712,2017-01-18 01:00:00-05:00
93.58,93.98,92.96,93.38,3540068,2017-01-19 01:00:00-05:00
94.01,95.0,93.62,94.58,5045228,2017-01-20 01:00:00-05:00
94.6,94.74,93.56,94.46,3254899,2017-01-23 01:00:00-05:00
95.02,96.73,94.8,96.24,5768201,2017-01-24 01:00:00-05:00
97.82,98.59,97.32,98.15,7557915,2017-01-25 01:00:00-05:00
98.45,98.98,96.0187,97.22,9097281,2017-01-26 01:00:00-05:00
97.69,99.46,97.5,98.99,6371428,2017-01-27 01:00:00-05:00
98.4,98.59,96.57,96.79,5221787,2017-01-30 01:00:00-05:00
96.59,96.63,94.59,95.66,5724663,2017-01-31 01:00:00-05:00
95.81,96.52,94.4,95.11,3582499,2017-02-01 01:00:00-05:00
94.77,95.13,93.5,93.77,3807479,2017-02-02 01:00:00-05:00
94.32,94.449,92.81,93.28,4677510,2017-02-03 01:00:00-05:00
92.81,93.12,92.43,92.87,4621278,2017-02-06 01:00:00-05:00
94.32,94.9229,93.02,93.31,4995605,2017-02-07 01:00:00-05:00
93.0,93.0,92.11,92.91,4083514,2017-02-08 01:00:00-05:00
93.06,94.18,92.69,93.96,3994308,2017-02-09 01:00:00-05:00
94.87,96.62,94.5,96.31,5600224,2017-02-10 01:00:00-05:00
97.69,99.045,97.16,98.5,6995085,2017-02-13 01:00:00-05:00
98.29,98.74,97.26,98.09,4342641,2017-02-14 01:00:00-05:00
98.11,99.02,98.0,99.02,4325979,2017-02-15 01:00:00-05:00
99.05,99.07,97.8,98.26,3062422,2017-02-16 01:00:00-05:00
98.07,98.95,97.54,98.85,3631547,2017-02-17 01:00:00-05:00
98.87,99.2,97.92,98.1,3916568,2017-02-21 01:00:00-05:00
98.04,98.73,97.62,98.2,3031129,2017-02-22 01:00:00-05:00
98.44,98.5,95.12,95.55,6024786,2017-02-23 01:00:00-05:00
94.86,95.5,93.5,95.48,5018244,2017-02-24 01:00:00-05:00
95.48,97.52,95.115,97.44,5444968,2017-02-27 01:00:00-05:00
97.24,97.6,96.44,96.66,3951691,2017-02-28 01:00:00-05:00
98.2,98.97,97.43,98.58,5564894,2017-03-01 01:00:00-05:00
98.49,98.73,92.84,94.36,23059151,2017-03-02 01:00:00-05:00
94.36,95.9,94.21,95.12,8178213,2017-03-03 01:00:00-05:00
94.32,95.94,94.1,95.66,4706107,2017-03-06 01:00:00-05:00
95.65,96.23,94.76,95.93,4683089,2017-03-07 01:00:00-05:00
94.1,95.48,92.86,93.23,9370375,2017-03-08 01:00:00-05:00
92.45,93.22,90.41,91.39,9260934,2017-03-09 01:00:00-05:00
91.89,93.1,90.81,92.31,7168974,2017-03-10 01:00:00-05:00
93.33,93.53,92.26,92.64,4376144,2017-03-13 01:00:00-04:00
91.22,92.0,90.62,91.86,5781058,2017-03-14 01:00:00-04:00
92.37,93.79,92.06,93.36,6434599,2017-03-15 01:00:00-04:00
93.97,94.09,92.641,92.85,3717911,2017-03-16 01:00:00-04:00
92.99,93.32,92.65,92.91,7141421,2017-03-17 01:00:00-04:00
93.13,95.48,92.89,95.4,6516200,2017-03-20 01:00:00-04:00
95.38,95.39,92.09,92.43,7720164,2017-03-21 01:00:00-04:00
92.0,93.13,91.72,92.43,5035553,2017-03-22 01:00:00-04:00
92.45,93.0,91.96,92.23,2586255,2017-03-23 01:00:00-04:00
92.24,93.24,91.56,92.15,3634569,2017-03-24 01:00:00-04:00
90.9,91.97,90.34,91.51,3425749,2017-03-27 01:00:00-04:00
91.56,93.16,91.51,92.95,3866074,2017-03-28 01:00:00-04:00
92.76,93.249,92.4,92.86,2513702,2017-03-29 01:00:00-04:00
92.98,93.37,92.4,93.22,3672610,2017-03-30 01:00:00-04:00
92.63,93.24,92.02,92.76,4020648,2017-03-31 01:00:00-04:00
92.43,92.84,91.0,92.27,3685857,2017-04-03 01:00:00-04:00
93.89,94.78,93.06,94.13,5797548,2017-04-04 01:00:00-04:00
94.92,96.7299,93.96,94.24,6061256,2017-04-05 01:00:00-04:00
94.42,96.42,94.26,95.82,5421615,2017-04-06 01:00:00-04:00
95.87,96.62,95.42,95.52,4463804,2017-04-07 01:00:00-04:00
96.31,97.89,96.1,97.14,5168332,2017-04-10 01:00:00-04:00
97.3,97.308,95.67,97.1,4250436,2017-04-11 01:00:00-04:00
96.69,96.77,94.66,94.86,4773941,2017-04-12 01:00:00-04:00
94.6,94.86,93.09,93.1,4705994,2017-04-13 01:00:00-04:00
93.69,94.35,93.49,94.14,3719144,2017-04-17 01:00:00-04:00
