open,high,low,close,volume,datetime
125.14,125.83,124.26,124.45,1146961,2016-11-03 01:00:00-04:00
124.84,125.38,123.075,123.11,1565411,2016-11-04 01:00:00-04:00
124.58,124.96,123.99,124.5,1893205,2016-11-07 01:00:00-05:00
124.53,125.84,124.07,125.38,1846526,2016-11-08 01:00:00-05:00
124.69,126.34,123.5,125.85,2500413,2016-11-09 01:00:00-05:00
126.36,126.67,124.38,126.46,3074456,2016-11-10 01:00:00-05:00
126.24,126.98,125.47,126.85,1781297,2016-11-11 01:00:00-05:00
127.42,127.93,126.44,126.9,1914102,2016-11-14 01:00:00-05:00
126.21,126.34,124.82,125.12,1962939,2016-11-15 01:00:00-05:00
124.62,125.58,124.1,125.42,2151413,2016-11-16 01:00:00-05:00
125.24,125.98,124.485,125.34,1263774,2016-11-17 01:00:00-05:00
125.63,126.73,125.0,126.3,1989656,2016-11-18 01:00:00-05:00
126.86,127.25,126.16,127.05,1622202,2016-11-21 01:00:00-05:00
127.59,127.59,126.05,126.41,1645668,2016-11-22 01:00:00-05:00
126.65,127.5,125.95,126.69,1082194,2016-11-23 01:00:00-05:00
127.05,127.125,126.07,126.65,534232,2016-11-25 01:00:00-05:00
126.25,126.95,125.7,126.76,1576243,2016-11-28 01:00:00-05:00
127.01,128.59,126.21,128.24,1722887,2016-11-29 01:00:00-05:00
128.94,129.57,127.54,128.0,2924199,2016-11-30 01:00:00-05:00
128.32,129.09,127.71,129.03,1811290,2016-12-01 01:00:00-05:00
128.58,128.96,127.78,127.82,1663870,2016-12-02 01:00:00-05:00
128.31,129.08,128.0,128.72,1399241,2016-12-05 01:00:00-05:00
128.97,130.29,128.41,130.09,2318099,2016-12-06 01:00:00-05:00
130.43,132.15,129.92,132.08,2454502,2016-12-07 01:00:00-05:00
132.43,132.99,131.551,132.2,1951468,2016-12-08 01:00:00-05:00
132.32,132.97,131.49,132.48,1244563,2016-12-09 01:00:00-05:00
132.59,132.99,131.95,132.86,1438117,2016-12-12 01:00:00-05:00
133.41,133.89,132.86,133.26,1628444,2016-12-13 01:00:00-05:00
133.2,133.37,130.42,131.88,1660053,2016-12-14 01:00:00-05:00
132.03,133.62,131.73,132.35,1586045,2016-12-15 01:00:00-05:00
132.76,132.95,131.73,132.71,2739929,2016-12-16 01:00:00-05:00
132.87,133.49,132.57,133.24,951034,2016-12-19 01:00:00-05:00
133.65,133.77,132.58,132.99,1255304,2016-12-20 01:00:00-05:00
133.23,133.51,132.84,133.32,984468,2016-12-21 01:00:00-05:00
133.58,133.69,132.56,133.31,1224024,2016-12-22 01:00:00-05:00
133.32,133.57,132.69,133.11,911227,2016-12-23 01:00:00-05:00
133.1,133.46,132.46,132.68,968434,2016-12-27 01:00:00-05:00
132.45,132.87,132.13,132.16,1005547,2016-12-28 01:00:00-05:00
132.28,132.64,131.84,132.24,953177,2016-12-29 01:00:00-05:00
132.66,132.985,131.79,132.12,1351403,2016-12-30 01:00:00-05:00
132.74,132.74,131.02,131.71,1401146,2017-01-03 01:00:00-05:00
132.11,132.3299,131.01,131.52,1324381,2017-01-04 01:00:00-05:00
131.48,131.89,129.83,130.63,1731384,2017-01-05 01:00:00-05:00
130.87,131.98,130.67,131.33,1595489,2017-01-06 01:00:00-05:00
131.08,131.54,130.35,130.51,1537582,2017-01-09 01:00:00-05:00
130.46,131.27,130.32,130.46,1134894,2017-01-10 01:00:00-05:00
129.96,130.44,129.46,130.36,1545039,2017-01-11 01:00:00-05:00
129.89,130.21,128.98,129.79,1225848,2017-01-12 01:00:00-05:00
130.3,130.75,129.97,130.25,1059711,2017-01-13 01:00:00-05:00
129.72,131.45,129.33,130.99,2000328,2017-01-17 01:00:00-05:00
131.27,132.06,130.84,131.97,1868145,2017-01-18 01:00:00-05:00
132.1,132.4,130.91,131.27,1626942,2017-01-19 01:00:00-05:00
131.66,132.48,130.74,131.41,1801749,2017-01-20 01:00:00-05:00
131.54,131.64,130.9897,131.43,1010640,2017-01-23 01:00:00-05:00
131.77,132.82,131.535,131.97,1359810,2017-01-24 01:00:00-05:00
132.6,133.34,132.51,133.07,1294246,2017-01-25 01:00:00-05:00
133.0,133.4,132.37,133.06,1045752,2017-01-26 01:00:00-05:00
133.19,133.32,132.34,133.3,1105591,2017-01-27 01:00:00-05:00
133.26,133.26,131.2,131.71,1497304,2017-01-30 01:00:00-05:00
131.15,132.0,130.54,131.49,1521379,2017-01-31 01:00:00-05:00
128.87,129.69,127.15,128.48,3620606,2017-02-01 01:00:00-05:00
128.15,130.97,128.0,130.77,2038742,2017-02-02 01:00:00-05:00
132.0,132.2592,130.95,131.28,1487072,2017-02-03 01:00:00-05:00
131.1,132.25,130.92,131.43,1056427,2017-02-06 01:00:00-05:00
131.99,131.99,130.36,130.75,1526409,2017-02-07 01:00:00-05:00
130.55,131.19,130.17,130.83,983391,2017-02-08 01:00:00-05:00
131.2,132.21,130.68,131.88,919864,2017-02-09 01:00:00-05:00
132.2,133.21,131.74,132.76,868068,2017-02-10 01:00:00-05:00
132.95,133.96,132.25,133.81,1007517,2017-02-13 01:00:00-05:00
133.86,134.16,132.97,133.99,1006210,2017-02-14 01:00:00-05:00
134.04,134.55,133.52,134.46,936791,2017-02-15 01:00:00-05:00
134.3,135.74,134.1,135.73,1421074,2017-02-16 01:00:00-05:00
135.35,136.25,134.74,136.19,1431549,2017-02-17 01:00:00-05:00
136.04,136.87,135.125,136.73,1318734,2017-02-21 01:00:00-05:00
136.0,137.91,135.49,137.76,1243998,2017-02-22 01:00:00-05:00
138.0,139.3,137.65,139.01,984862,2017-02-23 01:00:00-05:00
138.48,139.35,137.74,138.41,978205,2017-02-24 01:00:00-05:00
138.2,138.65,137.18,137.61,897887,2017-02-27 01:00:00-05:00
136.87,138.51,136.6901,138.17,1463195,2017-02-28 01:00:00-05:00
139.11,140.555,138.0501,140.38,1602548,2017-03-01 01:00:00-05:00
139.67,140.32,138.39,138.4,1161760,2017-03-02 01:00:00-05:00
138.35,138.73,137.64,138.65,1240892,2017-03-03 01:00:00-05:00
137.92,138.38,137.56,137.69,1204575,2017-03-06 01:00:00-05:00
137.3,137.765,136.94,137.41,1133575,2017-03-07 01:00:00-05:00
137.9,138.38,136.79,136.96,1134812,2017-03-08 01:00:00-05:00
