open,high,low,close,volume,datetime
62.74,63.44,62.73,62.99,657153,2016-11-03 01:00:00-04:00
63.22,64.09,62.68,63.4,549781,2016-11-04 01:00:00-04:00
63.92,64.055,62.75,63.7,823968,2016-11-07 01:00:00-05:00
63.4,63.88,62.97,63.59,852719,2016-11-08 01:00:00-05:00
63.86,66.22,63.63,66.19,1311493,2016-11-09 01:00:00-05:00
66.51,68.36,65.2488,67.64,1618102,2016-11-10 01:00:00-05:00
67.4,68.17,66.99,67.94,2151361,2016-11-11 01:00:00-05:00
68.09,68.95,67.86,68.77,1878453,2016-11-14 01:00:00-05:00
68.43,68.6,67.97,68.53,840571,2016-11-15 01:00:00-05:00
68.2,68.66,67.92,68.6,592398,2016-11-16 01:00:00-05:00
68.46,69.01,68.38,68.87,529090,2016-11-17 01:00:00-05:00
68.75,68.8201,67.89,68.68,1253128,2016-11-18 01:00:00-05:00
68.83,68.83,68.23,68.46,1691666,2016-11-21 01:00:00-05:00
68.71,68.71,68.13,68.26,596316,2016-11-22 01:00:00-05:00
68.09,68.467,67.85,67.94,626515,2016-11-23 01:00:00-05:00
68.23,68.64,67.8517,68.43,250438,2016-11-25 01:00:00-05:00
68.4,68.72,67.9,68.63,811736,2016-11-28 01:00:00-05:00
68.58,69.08,68.14,68.8,983688,2016-11-29 01:00:00-05:00
68.83,69.45,68.22,68.9,1183191,2016-11-30 01:00:00-05:00
69.22,69.51,68.41,69.48,981059,2016-12-01 01:00:00-05:00
70.16,72.18,69.95,72.06,1397240,2016-12-02 01:00:00-05:00
71.92,72.94,71.8,72.64,1123712,2016-12-05 01:00:00-05:00
73.01,73.744,72.77,73.55,1178451,2016-12-06 01:00:00-05:00
73.71,75.135,73.53,74.84,1323106,2016-12-07 01:00:00-05:00
74.7,75.66,74.26,75.28,743510,2016-12-08 01:00:00-05:00
75.57,76.74,75.53,76.68,919027,2016-12-09 01:00:00-05:00
76.85,77.19,76.29,76.66,770636,2016-12-12 01:00:00-05:00
77.13,77.29,76.51,76.59,514049,2016-12-13 01:00:00-05:00
76.31,76.7,75.97,76.27,654940,2016-12-14 01:00:00-05:00
76.15,76.55,75.5,75.57,890788,2016-12-15 01:00:00-05:00
75.71,76.22,75.4,75.72,1841850,2016-12-16 01:00:00-05:00
75.96,76.76,75.2401,75.42,521313,2016-12-19 01:00:00-05:00
74.9,75.12,74.16,74.9,718250,2016-12-20 01:00:00-05:00
74.89,75.12,74.02,74.13,512576,2016-12-21 01:00:00-05:00
74.22,74.5633,73.27,73.7,371838,2016-12-22 01:00:00-05:00
73.56,73.6266,72.82,73.4,438758,2016-12-23 01:00:00-05:00
73.52,73.9,73.04,73.74,428219,2016-12-27 01:00:00-05:00
74.02,74.13,73.24,73.31,365349,2016-12-28 01:00:00-05:00
73.54,73.7,73.27,73.67,383447,2016-12-29 01:00:00-05:00
73.76,74.0997,73.48,73.89,522683,2016-12-30 01:00:00-05:00
73.68,74.21,72.54,73.01,652323,2017-01-03 01:00:00-05:00
74.47,75.91,73.64,75.88,871812,2017-01-04 01:00:00-05:00
75.65,76.19,74.85,75.09,591500,2017-01-05 01:00:00-05:00
75.94,76.09,75.43,75.5,732372,2017-01-06 01:00:00-05:00
75.25,75.36,74.12,74.53,569630,2017-01-09 01:00:00-05:00
74.61,74.98,73.66,73.68,548320,2017-01-10 01:00:00-05:00
73.69,74.055,73.12,73.94,578261,2017-01-11 01:00:00-05:00
73.69,73.84,72.64,73.83,453999,2017-01-12 01:00:00-05:00
74.52,75.055,73.56,75.02,513258,2017-01-13 01:00:00-05:00
75.51,75.58,74.67,74.76,792727,2017-01-17 01:00:00-05:00
75.07,75.32,74.39,75.29,507874,2017-01-18 01:00:00-05:00
75.19,75.79,75.01,75.75,624060,2017-01-19 01:00:00-05:00
75.89,76.65,75.6,76.64,692855,2017-01-20 01:00:00-05:00
76.64,76.7,75.613,76.05,646025,2017-01-23 01:00:00-05:00
76.37,77.27,76.28,76.79,558550,2017-01-24 01:00:00-05:00
77.0,78.11,76.69,77.95,707365,2017-01-25 01:00:00-05:00
77.99,78.25,77.645,77.97,701892,2017-01-26 01:00:00-05:00
78.07,78.375,77.34,77.83,464583,2017-01-27 01:00:00-05:00
77.46,77.87,76.8,77.87,615725,2017-01-30 01:00:00-05:00
78.7,79.76,78.25,79.62,1383576,2017-01-31 01:00:00-05:00
79.76,79.99,78.39,78.45,622688,2017-02-01 01:00:00-05:00
77.98,78.9,77.77,77.94,849663,2017-02-02 01:00:00-05:00
78.56,78.86,77.73,78.14,1116353,2017-02-03 01:00:00-05:00
