open,high,low,close,volume,datetime
24.45,25.09,24.45,24.81,2349343,2016-11-03 01:00:00-04:00
24.65,25.42,24.59,24.59,2925316,2016-11-04 01:00:00-04:00
25.17,25.17,24.55,24.73,1621438,2016-11-07 01:00:00-05:00
24.74,25.14,24.5,25.06,1467750,2016-11-08 01:00:00-05:00
24.1,25.34,23.9975,25.16,2127533,2016-11-09 01:00:00-05:00
25.24,25.74,25.01,25.34,2272744,2016-11-10 01:00:00-05:00
25.18,25.9,24.82,25.78,1996663,2016-11-11 01:00:00-05:00
25.86,27.45,25.78,27.32,3137692,2016-11-14 01:00:00-05:00
27.24,27.335,26.395,26.71,1738939,2016-11-15 01:00:00-05:00
26.66,27.14,26.61,26.66,881396,2016-11-16 01:00:00-05:00
26.6,27.229,26.51,27.09,1690880,2016-11-17 01:00:00-05:00
27.0,27.1,26.68,26.75,1631523,2016-11-18 01:00:00-05:00
26.77,27.135,26.635,26.71,1081842,2016-11-21 01:00:00-05:00
26.84,27.05,26.445,26.6,841126,2016-11-22 01:00:00-05:00
26.56,26.64,26.32,26.5,698452,2016-11-23 01:00:00-05:00
26.49,26.79,26.3,26.77,487936,2016-11-25 01:00:00-05:00
26.77,26.77,26.05,26.58,2009125,2016-11-28 01:00:00-05:00
26.64,27.12,26.465,27.12,2407135,2016-11-29 01:00:00-05:00
27.18,27.38,26.39,26.44,3195312,2016-11-30 01:00:00-05:00
26.45,26.89,26.38,26.54,1886404,2016-12-01 01:00:00-05:00
26.44,26.7,25.9,26.02,1842062,2016-12-02 01:00:00-05:00
26.22,26.82,26.1,26.67,1575757,2016-12-05 01:00:00-05:00
26.66,27.03,26.51,27.03,885319,2016-12-06 01:00:00-05:00
27.04,28.14,26.96,28.04,1525832,2016-12-07 01:00:00-05:00
28.01,28.895,28.0,28.66,1777815,2016-12-08 01:00:00-05:00
28.62,28.91,27.92,28.24,2512252,2016-12-09 01:00:00-05:00
28.2,28.25,27.22,27.7,1954091,2016-12-12 01:00:00-05:00
27.82,28.06,27.75,27.83,1336334,2016-12-13 01:00:00-05:00
27.84,28.07,27.615,27.74,1828103,2016-12-14 01:00:00-05:00
27.74,27.96,27.61,27.83,1489028,2016-12-15 01:00:00-05:00
27.79,28.11,27.43,27.52,3142252,2016-12-16 01:00:00-05:00
27.52,27.79,27.3,27.39,846519,2016-12-19 01:00:00-05:00
27.52,27.69,27.36,27.64,724134,2016-12-20 01:00:00-05:00
27.65,27.8,27.52,27.68,925865,2016-12-21 01:00:00-05:00
27.59,27.6228,26.97,27.41,1036239,2016-12-22 01:00:00-05:00
27.44,27.56,27.23,27.3,701373,2016-12-23 01:00:00-05:00
27.29,27.59,27.18,27.5,603849,2016-12-27 01:00:00-05:00
27.5,27.54,27.13,27.27,607754,2016-12-28 01:00:00-05:00
27.32,27.38,26.89,27.01,1065807,2016-12-29 01:00:00-05:00
27.03,27.0949,26.6,26.78,997629,2016-12-30 01:00:00-05:00
27.04,27.61,27.04,27.37,1592952,2017-01-03 01:00:00-05:00
27.36,27.825,27.33,27.63,1483930,2017-01-04 01:00:00-05:00
27.43,27.49,26.52,26.6,1863383,2017-01-05 01:00:00-05:00
26.68,27.17,26.52,26.86,1228206,2017-01-06 01:00:00-05:00
26.82,26.88,26.24,26.25,1506632,2017-01-09 01:00:00-05:00
26.18,26.19,25.61,25.76,1738948,2017-01-10 01:00:00-05:00
25.7,26.015,25.56,25.99,2257638,2017-01-11 01:00:00-05:00
25.78,26.73,25.78,26.65,1448252,2017-01-12 01:00:00-05:00
26.75,26.92,26.54,26.82,1568722,2017-01-13 01:00:00-05:00
26.69,27.185,26.64,27.14,1075966,2017-01-17 01:00:00-05:00
27.21,27.54,27.1,27.4,984345,2017-01-18 01:00:00-05:00
27.36,27.57,27.11,27.35,709771,2017-01-19 01:00:00-05:00
27.47,27.58,27.21,27.31,890113,2017-01-20 01:00:00-05:00
27.25,27.67,27.25,27.58,1246951,2017-01-23 01:00:00-05:00
27.58,27.89,27.42,27.8,817272,2017-01-24 01:00:00-05:00
27.85,28.24,26.945,27.05,2502113,2017-01-25 01:00:00-05:00
27.11,27.545,26.97,27.28,1189471,2017-01-26 01:00:00-05:00
27.4,27.65,27.1,27.41,945361,2017-01-27 01:00:00-05:00
27.41,27.52,27.1,27.4,885430,2017-01-30 01:00:00-05:00
27.3,28.03,26.95,27.71,1594996,2017-01-31 01:00:00-05:00
27.71,27.92,27.11,27.4,1111980,2017-02-01 01:00:00-05:00
27.32,27.395,27.01,27.16,1156562,2017-02-02 01:00:00-05:00
27.24,27.52,27.22,27.44,590805,2017-02-03 01:00:00-05:00
27.42,27.58,27.22,27.24,838677,2017-02-06 01:00:00-05:00
27.23,27.37,26.89,27.25,914072,2017-02-07 01:00:00-05:00
27.14,27.25,26.62,26.78,1326058,2017-02-08 01:00:00-05:00
26.87,27.46,26.87,27.22,1023988,2017-02-09 01:00:00-05:00
27.21,27.72,27.1372,27.65,860074,2017-02-10 01:00:00-05:00
27.7,28.25,27.67,28.1,1756590,2017-02-13 01:00:00-05:00
27.99,28.15,26.73,27.89,2090564,2017-02-14 01:00:00-05:00
27.85,28.25,27.68,27.89,1345788,2017-02-15 01:00:00-05:00
27.9,28.19,27.42,27.99,1120143,2017-02-16 01:00:00-05:00
27.92,28.28,27.9,28.09,711974,2017-02-17 01:00:00-05:00
28.05,29.07,27.98,28.87,2108145,2017-02-21 01:00:00-05:00
28.74,28.95,28.445,28.64,1008921,2017-02-22 01:00:00-05:00
28.71,29.045,28.47,28.6,771051,2017-02-23 01:00:00-05:00
28.64,28.69,28.18,28.55,934490,2017-02-24 01:00:00-05:00
28.47,28.62,28.13,28.33,737052,2017-02-27 01:00:00-05:00
28.35,28.35,27.875,28.07,1232893,2017-02-28 01:00:00-05:00
28.26,28.33,27.85,27.87,1493920,2017-03-01 01:00:00-05:00
27.76,27.76,27.22,27.66,1687526,2017-03-02 01:00:00-05:00
27.71,27.75,27.155,27.2,1065925,2017-03-03 01:00:00-05:00
27.1,27.26,26.72,27.19,1549676,2017-03-06 01:00:00-05:00
27.19,27.535,26.97,27.2,1820418,2017-03-07 01:00:00-05:00
27.19,27.68,27.19,27.39,1621032,2017-03-08 01:00:00-05:00
27.29,27.59,27.075,27.29,1236819,2017-03-09 01:00:00-05:00
27.38,27.4,26.89,27.09,1944667,2017-03-10 01:00:00-05:00
27.04,27.08,26.61,26.77,1919769,2017-03-13 01:00:00-04:00
26.74,27.21,26.55,26.67,2046885,2017-03-14 01:00:00-04:00
26.75,27.31,26.56,27.21,1659553,2017-03-15 01:00:00-04:00
27.24,27.57,27.16,27.4,1196410,2017-03-16 01:00:00-04:00
27.48,27.55,27.11,27.35,2451313,2017-03-17 01:00:00-04:00
27.32,27.42,27.0184,27.16,869008,2017-03-20 01:00:00-04:00
27.29,27.29,26.79,26.83,1307880,2017-03-21 01:00:00-04:00
26.92,27.12,26.61,27.0,1216709,2017-03-22 01:00:00-04:00
26.94,27.24,26.88,27.15,1384681,2017-03-23 01:00:00-04:00
27.22,27.23,26.95,27.07,1502124,2017-03-24 01:00:00-04:00
26.96,27.15,26.81,27.11,1225643,2017-03-27 01:00:00-04:00
27.04,27.33,26.97,27.2,887133,2017-03-28 01:00:00-04:00
27.14,27.55,27.01,27.51,873460,2017-03-29 01:00:00-04:00
27.45,28.08,27.44,28.05,928879,2017-03-30 01:00:00-04:00
28.05,28.42,27.88,28.31,1566933,2017-03-31 01:00:00-04:00
28.37,28.5,27.84,28.2,2047713,2017-04-03 01:00:00-04:00
28.22,28.6,28.11,28.58,1390324,2017-04-04 01:00:00-04:00
28.6,29.115,28.56,28.56,1844187,2017-04-05 01:00:00-04:00
28.53,28.88,28.36,28.62,1845218,2017-04-06 01:00:00-04:00
28.65,28.72,28.479,28.57,1175357,2017-04-07 01:00:00-04:00
28.52,28.825,28.52,28.61,1522080,2017-04-10 01:00:00-04:00
28.56,28.61,28.26,28.48,1274944,2017-04-11 01:00:00-04:00
28.33,28.43,28.07,28.14,1381971,2017-04-12 01:00:00-04:00
28.12,28.18,27.68,27.73,1214296,2017-04-13 01:00:00-04:00
27.86,28.08,27.7,27.94,1318931,2017-04-17 01:00:00-04:00
27.88,28.1,27.79,28.02,1031121,2017-04-18 01:00:00-04:00
28.08,28.54,28.08,28.37,1020957,2017-04-19 01:00:00-04:00
28.56,28.85,28.48,28.72,1226377,2017-04-20 01:00:00-04:00
28.71,28.89,28.59,28.65,1128329,2017-04-21 01:00:00-04:00
29.0,29.18,28.81,28.9,1148485,2017-04-24 01:00:00-04:00
28.93,29.02,28.75,28.765,2492411,2017-04-25 01:00:00-04:00
28.68,28.965,28.65,28.79,1102153,2017-04-26 01:00:00-04:00
28.77,28.895,28.61,28.71,1450900,2017-04-27 01:00:00-04:00
28.72,28.72,27.67,27.98,2848586,2017-04-28 01:00:00-04:00
28.09,28.09,27.16,27.19,2735248,2017-05-01 01:00:00-04:00
27.15,27.3,26.67,27.21,1385007,2017-05-02 01:00:00-04:00
27.36,27.36,25.84,26.19,3326210,2017-05-03 01:00:00-04:00
26.14,26.32,25.48,26.08,2400311,2017-05-04 01:00:00-04:00
26.16,26.495,26.12,26.46,1786468,2017-05-05 01:00:00-04:00
26.41,26.62,25.98,26.51,1765555,2017-05-08 01:00:00-04:00
25.77,26.01,25.17,26.0,2231943,2017-05-09 01:00:00-04:00
