open,high,low,close,volume,datetime
69.06,73.46,68.2784,73.34,1724924,2016-06-08 01:00:00-04:00
73.33,74.71,71.48,72.67,1173299,2016-06-09 01:00:00-04:00
72.27,72.94,71.13,71.91,836481,2016-06-10 01:00:00-04:00
71.44,74.85,70.58,72.08,1094301,2016-06-13 01:00:00-04:00
72.23,73.8,71.1708,73.4,979352,2016-06-14 01:00:00-04:00
73.8,74.99,72.57,72.95,1032517,2016-06-15 01:00:00-04:00
72.7,72.91,71.48,72.49,756985,2016-06-16 01:00:00-04:00
72.35,72.87,71.61,72.6,714489,2016-06-17 01:00:00-04:00
74.89,77.62,73.925,77.24,1863982,2016-06-20 01:00:00-04:00
77.74,77.74,75.55,77.51,1152381,2016-06-21 01:00:00-04:00
77.33,77.77,76.17,77.49,962141,2016-06-22 01:00:00-04:00
77.75,78.17,76.46,77.59,1240404,2016-06-23 01:00:00-04:00
74.66,77.83,73.17,77.46,1560524,2016-06-24 01:00:00-04:00
76.83,77.46,74.59,75.91,1071239,2016-06-27 01:00:00-04:00
76.5,78.3175,76.22,78.04,843317,2016-06-28 01:00:00-04:00
78.1,81.23,78.01,79.0,1261454,2016-06-29 01:00:00-04:00
79.26,79.88,78.34,79.33,1307797,2016-06-30 01:00:00-04:00
79.62,80.22,78.98,79.58,528867,2016-07-01 01:00:00-04:00
79.52,79.52,78.48,79.05,782931,2016-07-05 01:00:00-04:00
79.0,79.15,77.97,78.69,960168,2016-07-06 01:00:00-04:00
78.58,78.88,76.211,78.21,824023,2016-07-07 01:00:00-04:00
79.0,79.0,77.29,78.87,1068802,2016-07-08 01:00:00-04:00
79.49,79.82,78.64,79.4,735130,2016-07-11 01:00:00-04:00
79.9,81.0,79.4,79.8,622946,2016-07-12 01:00:00-04:00
80.12,80.47,79.04,79.33,538477,2016-07-13 01:00:00-04:00
80.02,80.08,77.04,78.11,874876,2016-07-14 01:00:00-04:00
78.1,78.5,76.76,77.55,743501,2016-07-15 01:00:00-04:00
78.3,78.52,76.76,78.19,1190819,2016-07-18 01:00:00-04:00
79.2,86.35,78.95,83.04,2558233,2016-07-19 01:00:00-04:00
83.89,85.12,83.54,84.63,920603,2016-07-20 01:00:00-04:00
87.96,89.05,86.31,87.89,2155284,2016-07-22 01:00:00-04:00
87.64,87.859,87.02,87.8,1010409,2016-07-25 01:00:00-04:00
88.03,88.68,87.5,88.32,503153,2016-07-26 01:00:00-04:00
88.14,89.23,87.16,88.66,518945,2016-07-27 01:00:00-04:00
88.84,90.605,88.35,89.56,427058,2016-07-28 01:00:00-04:00
90.33,92.39,89.7001,92.23,882846,2016-07-29 01:00:00-04:00
92.69,93.26,91.2999,92.65,853676,2016-08-01 01:00:00-04:00
92.49,92.86,90.98,92.78,790924,2016-08-02 01:00:00-04:00
87.84,94.5,87.5,90.87,1999520,2016-08-03 01:00:00-04:00
91.5,91.77,90.64,91.5,986516,2016-08-04 01:00:00-04:00
91.02,92.22,90.79,91.23,854568,2016-08-05 01:00:00-04:00
91.25,91.72,90.48,90.66,804412,2016-08-08 01:00:00-04:00
91.0,91.45,90.51,91.1,821521,2016-08-09 01:00:00-04:00
90.26,90.965,89.17,90.24,739668,2016-08-10 01:00:00-04:00
90.87,91.16,90.42,90.92,653223,2016-08-11 01:00:00-04:00
91.0,91.0,90.0,90.53,499974,2016-08-12 01:00:00-04:00
90.5,91.3,90.19,90.88,523640,2016-08-15 01:00:00-04:00
90.99,90.99,90.201,90.62,523149,2016-08-16 01:00:00-04:00
90.55,90.71,89.95,90.29,901287,2016-08-17 01:00:00-04:00
90.25,91.43,90.25,90.9,553012,2016-08-18 01:00:00-04:00
90.5,91.33,89.95,90.94,579571,2016-08-19 01:00:00-04:00
90.65,91.469,90.03,90.56,263390,2016-08-22 01:00:00-04:00
90.34,92.25,90.03,92.09,558137,2016-08-23 01:00:00-04:00
91.72,93.87,90.24,90.35,797856,2016-08-24 01:00:00-04:00
90.55,91.78,90.0,90.62,315692,2016-08-25 01:00:00-04:00
