open,high,low,close,volume,datetime
74.65,75.47,74.55,75.4,1215789,2016-06-08 01:00:00-04:00
75.41,76.67,75.41,76.54,1585868,2016-06-09 01:00:00-04:00
76.58,77.286,76.48,77.14,2902549,2016-06-10 01:00:00-04:00
77.14,77.54,76.79,77.22,2285523,2016-06-13 01:00:00-04:00
77.19,78.25,76.78,78.25,2396587,2016-06-14 01:00:00-04:00
78.25,78.3999,76.98,77.31,2117745,2016-06-15 01:00:00-04:00
77.39,78.33,77.32,77.95,2442329,2016-06-16 01:00:00-04:00
77.86,78.08,76.97,77.84,3858048,2016-06-17 01:00:00-04:00
77.95,77.975,76.37,77.16,2107619,2016-06-20 01:00:00-04:00
77.37,77.53,76.84,77.17,1364649,2016-06-21 01:00:00-04:00
77.26,77.41,76.91,77.16,1281530,2016-06-22 01:00:00-04:00
77.11,77.11,76.3,76.86,1574012,2016-06-23 01:00:00-04:00
76.82,78.87,76.53,78.41,4230797,2016-06-24 01:00:00-04:00
78.47,80.0799,78.24,79.73,3557263,2016-06-27 01:00:00-04:00
79.55,79.58,78.31,79.2,2513962,2016-06-28 01:00:00-04:00
79.22,79.66,78.56,79.07,1882752,2016-06-29 01:00:00-04:00
79.18,80.4433,78.91,80.44,2222111,2016-06-30 01:00:00-04:00
80.81,80.98,79.44,80.51,1573844,2016-07-01 01:00:00-04:00
80.72,81.88,80.51,81.67,2148333,2016-07-05 01:00:00-04:00
81.22,81.6399,80.53,81.55,1783748,2016-07-06 01:00:00-04:00
81.27,81.35,79.72,79.99,2367230,2016-07-07 01:00:00-04:00
79.75,80.42,79.05,80.38,2334590,2016-07-08 01:00:00-04:00
79.93,80.48,79.0914,80.2,2440492,2016-07-11 01:00:00-04:00
79.66,79.86,78.73,78.77,2407942,2016-07-12 01:00:00-04:00
79.15,79.56,78.8,79.42,2069616,2016-07-13 01:00:00-04:00
78.78,79.26,78.62,79.12,1660982,2016-07-14 01:00:00-04:00
79.14,79.52,78.6,79.15,1753842,2016-07-15 01:00:00-04:00
79.44,79.68,78.8726,79.06,1578080,2016-07-18 01:00:00-04:00
79.09,79.33,78.67,79.11,999277,2016-07-19 01:00:00-04:00
79.11,79.27,78.47,78.91,1576185,2016-07-20 01:00:00-04:00
78.91,79.89,78.34,79.89,1928880,2016-07-21 01:00:00-04:00
79.79,81.265,79.79,81.18,1866473,2016-07-22 01:00:00-04:00
81.16,81.27,80.62,81.19,1290049,2016-07-25 01:00:00-04:00
81.2,81.2,80.04,80.45,1255018,2016-07-26 01:00:00-04:00
80.25,80.32,78.31,79.43,2809517,2016-07-27 01:00:00-04:00
79.43,80.06,79.12,79.88,922531,2016-07-28 01:00:00-04:00
79.78,80.85,79.551,80.08,2338524,2016-07-29 01:00:00-04:00
79.71,80.61,79.68,80.46,1364123,2016-08-01 01:00:00-04:00
80.19,80.41,79.64,80.12,1121573,2016-08-02 01:00:00-04:00
80.04,80.189,78.55,78.9,1589581,2016-08-03 01:00:00-04:00
79.03,79.4,78.53,78.79,1360837,2016-08-04 01:00:00-04:00
78.45,78.64,77.655,77.75,1965606,2016-08-05 01:00:00-04:00
77.83,78.37,77.43,77.65,1363929,2016-08-08 01:00:00-04:00
77.77,78.32,77.395,78.09,1429139,2016-08-09 01:00:00-04:00
78.32,78.49,77.98,78.24,1376497,2016-08-10 01:00:00-04:00
78.09,78.42,77.85,78.39,1427653,2016-08-11 01:00:00-04:00
78.73,79.02,78.42,78.79,1819506,2016-08-12 01:00:00-04:00
