open,high,low,close,volume,datetime
74.83,75.13,73.53,73.62,1450269,2016-06-08 01:00:00-04:00
72.6,72.71,71.51,71.78,1780853,2016-06-09 01:00:00-04:00
71.19,73.07,71.0,72.9,1981962,2016-06-10 01:00:00-04:00
72.26,74.15,71.8,72.56,1686025,2016-06-13 01:00:00-04:00
72.17,72.93,70.76,71.43,1150948,2016-06-14 01:00:00-04:00
71.62,72.68,71.51,71.67,1121387,2016-06-15 01:00:00-04:00
70.84,71.77,70.09,71.7,1092201,2016-06-16 01:00:00-04:00
71.78,72.51,71.14,71.39,2480940,2016-06-17 01:00:00-04:00
72.32,73.34,71.915,71.97,1307706,2016-06-20 01:00:00-04:00
72.21,72.26,71.24,72.07,1146116,2016-06-21 01:00:00-04:00
72.24,72.65,71.5,71.58,525220,2016-06-22 01:00:00-04:00
72.34,73.01,72.25,73.01,666380,2016-06-23 01:00:00-04:00
69.7,70.8,68.33,68.41,3050928,2016-06-24 01:00:00-04:00
67.37,67.5297,65.19,65.81,2150556,2016-06-27 01:00:00-04:00
66.69,66.9303,65.51,66.51,1545826,2016-06-28 01:00:00-04:00
67.47,67.7,66.47,67.31,2469369,2016-06-29 01:00:00-04:00
67.6,67.91,66.62,67.9,2829071,2016-06-30 01:00:00-04:00
68.03,69.28,67.92,68.16,1620991,2016-07-01 01:00:00-04:00
67.72,68.01,65.4499,65.63,2208869,2016-07-05 01:00:00-04:00
65.32,66.12,64.19,66.08,2704633,2016-07-06 01:00:00-04:00
66.41,67.51,66.22,66.99,1783612,2016-07-07 01:00:00-04:00
67.92,69.95,67.77,68.52,1334688,2016-07-08 01:00:00-04:00
68.78,69.76,68.66,69.1,1158082,2016-07-11 01:00:00-04:00
69.89,70.59,69.89,70.36,1090688,2016-07-12 01:00:00-04:00
70.71,70.93,70.325,70.74,1043525,2016-07-13 01:00:00-04:00
71.55,71.895,70.94,71.7,1248408,2016-07-14 01:00:00-04:00
71.96,71.99,70.99,71.35,1074271,2016-07-15 01:00:00-04:00
71.19,72.15,70.95,72.0,840292,2016-07-18 01:00:00-04:00
71.49,71.98,71.35,71.4,788389,2016-07-19 01:00:00-04:00
71.47,72.23,71.07,71.9,972165,2016-07-20 01:00:00-04:00
71.9,72.1,71.2585,72.02,897879,2016-07-21 01:00:00-04:00
71.94,72.5,71.53,71.93,1075538,2016-07-22 01:00:00-04:00
71.71,72.13,71.13,72.11,1008228,2016-07-25 01:00:00-04:00
71.93,71.93,69.18,69.99,1969000,2016-07-26 01:00:00-04:00
70.06,70.74,69.67,70.32,2048498,2016-07-27 01:00:00-04:00
69.84,70.82,69.37,70.37,1391926,2016-07-28 01:00:00-04:00
66.0,66.52,64.34,65.23,3741776,2016-07-29 01:00:00-04:00
65.2,65.86,64.71,65.18,1938629,2016-08-01 01:00:00-04:00
64.89,64.93,63.65,64.12,1748517,2016-08-02 01:00:00-04:00
64.15,65.12,63.82,64.92,1130063,2016-08-03 01:00:00-04:00
64.95,65.255,64.66,64.78,1241952,2016-08-04 01:00:00-04:00
65.13,65.6,65.01,65.37,1066061,2016-08-05 01:00:00-04:00
65.55,66.19,65.29,65.56,949740,2016-08-08 01:00:00-04:00
65.67,66.32,65.37,65.49,807160,2016-08-09 01:00:00-04:00
65.59,65.73,64.68,64.84,815002,2016-08-10 01:00:00-04:00
65.15,65.65,64.7,65.32,1211969,2016-08-11 01:00:00-04:00
