open,high,low,close,volume,datetime
53.16,53.39,52.56,52.84,1732923,2016-11-03 01:00:00-04:00
53.06,53.74,52.8,52.86,1107268,2016-11-04 01:00:00-04:00
53.76,54.58,53.41,54.55,1481048,2016-11-07 01:00:00-05:00
54.33,54.7,53.89,54.39,1217944,2016-11-08 01:00:00-05:00
53.75,54.97,53.345,54.7,1790684,2016-11-09 01:00:00-05:00
55.06,55.99,54.88,55.74,1732144,2016-11-10 01:00:00-05:00
55.59,56.3,55.0,55.24,1116528,2016-11-11 01:00:00-05:00
55.59,56.14,55.26,56.08,1344899,2016-11-14 01:00:00-05:00
56.56,57.13,56.245,57.11,1791788,2016-11-15 01:00:00-05:00
56.91,57.1,55.96,56.16,975799,2016-11-16 01:00:00-05:00
56.51,57.49,56.27,57.4,1141877,2016-11-17 01:00:00-05:00
57.3,57.75,57.02,57.59,1187545,2016-11-18 01:00:00-05:00
57.77,58.39,57.41,58.07,1226975,2016-11-21 01:00:00-05:00
57.93,58.08,56.58,56.75,1338286,2016-11-22 01:00:00-05:00
56.75,57.14,56.45,57.08,697456,2016-11-23 01:00:00-05:00
57.1,57.41,56.89,57.36,319691,2016-11-25 01:00:00-05:00
57.12,57.4099,55.675,56.18,1208829,2016-11-28 01:00:00-05:00
56.33,56.96,56.061,56.2,1625081,2016-11-29 01:00:00-05:00
56.31,56.61,55.13,55.15,1357306,2016-11-30 01:00:00-05:00
55.14,55.21,53.6,53.82,1617903,2016-12-01 01:00:00-05:00
53.94,54.26,53.54,53.8,1032449,2016-12-02 01:00:00-05:00
54.2,55.12,54.18,54.97,1132300,2016-12-05 01:00:00-05:00
55.25,55.28,54.7,55.15,1341123,2016-12-06 01:00:00-05:00
55.23,55.8105,55.04,55.67,1865856,2016-12-07 01:00:00-05:00
55.67,56.61,55.35,56.44,1627617,2016-12-08 01:00:00-05:00
56.35,56.66,56.0573,56.37,605381,2016-12-09 01:00:00-05:00
55.79,55.92,55.03,55.27,855558,2016-12-12 01:00:00-05:00
55.5,55.87,55.28,55.43,1024660,2016-12-13 01:00:00-05:00
55.32,56.92,55.32,56.02,1306597,2016-12-14 01:00:00-05:00
56.0,56.385,54.53,54.6,1141957,2016-12-15 01:00:00-05:00
54.8,55.42,54.54,55.26,2524305,2016-12-16 01:00:00-05:00
55.46,55.93,54.97,55.15,901265,2016-12-19 01:00:00-05:00
55.3,55.46,54.55,54.9,1232868,2016-12-20 01:00:00-05:00
55.0,55.91,54.78,55.39,1734101,2016-12-21 01:00:00-05:00
55.5,55.5,54.84,54.98,1013022,2016-12-22 01:00:00-05:00
55.2,55.24,54.87,54.98,324113,2016-12-23 01:00:00-05:00
54.95,55.33,54.93,55.22,635625,2016-12-27 01:00:00-05:00
55.43,55.43,54.15,54.18,776999,2016-12-28 01:00:00-05:00
54.13,54.42,53.8701,54.05,780522,2016-12-29 01:00:00-05:00
54.34,54.34,53.24,53.46,1087755,2016-12-30 01:00:00-05:00
53.99,54.72,53.32,53.89,1842367,2017-01-03 01:00:00-05:00
53.94,54.81,53.83,54.46,1041845,2017-01-04 01:00:00-05:00
54.46,54.75,53.88,53.95,1191927,2017-01-05 01:00:00-05:00
53.9,55.06,53.9,54.78,2122195,2017-01-06 01:00:00-05:00
54.61,54.61,53.87,53.9,1456165,2017-01-09 01:00:00-05:00
53.83,54.47,53.77,54.17,834212,2017-01-10 01:00:00-05:00
54.02,54.57,53.98,54.47,969901,2017-01-11 01:00:00-05:00
54.3,54.54,53.15,54.24,1330444,2017-01-12 01:00:00-05:00
54.36,54.62,54.25,54.27,995426,2017-01-13 01:00:00-05:00
54.09,54.39,53.76,54.0,1338750,2017-01-17 01:00:00-05:00
54.09,54.355,53.68,54.3,1624833,2017-01-18 01:00:00-05:00
54.24,55.15,54.24,54.86,1241841,2017-01-19 01:00:00-05:00
54.9,55.478,54.82,55.41,1319665,2017-01-20 01:00:00-05:00
55.19,55.7,55.19,55.62,1063794,2017-01-23 01:00:00-05:00
55.94,56.99,55.834,56.76,1312187,2017-01-24 01:00:00-05:00
56.98,57.25,56.7201,57.02,1181680,2017-01-25 01:00:00-05:00
57.31,57.31,56.07,56.46,1170016,2017-01-26 01:00:00-05:00
56.69,56.69,55.835,56.0,876553,2017-01-27 01:00:00-05:00
56.05,56.05,54.95,55.64,1044382,2017-01-30 01:00:00-05:00
55.46,55.745,54.62,55.13,1470184,2017-01-31 01:00:00-05:00
55.05,57.0,55.05,56.3,2613722,2017-02-01 01:00:00-05:00
56.21,56.22,55.14,55.64,2064337,2017-02-02 01:00:00-05:00
56.05,56.44,55.98,56.1,1119485,2017-02-03 01:00:00-05:00
55.87,56.07,55.67,55.86,1118239,2017-02-06 01:00:00-05:00
56.07,56.07,55.695,55.82,945560,2017-02-07 01:00:00-05:00
55.92,55.96,55.25,55.94,1081749,2017-02-08 01:00:00-05:00
55.88,56.39,55.59,56.28,1230550,2017-02-09 01:00:00-05:00
56.44,57.21,56.1,57.07,769050,2017-02-10 01:00:00-05:00
57.18,57.61,56.8,57.08,601489,2017-02-13 01:00:00-05:00
57.3,57.3,56.19,56.86,974926,2017-02-14 01:00:00-05:00
56.8,57.48,56.6,57.39,1105364,2017-02-15 01:00:00-05:00
57.45,57.685,56.78,57.0,1173453,2017-02-16 01:00:00-05:00
56.86,57.06,56.41,57.06,864426,2017-02-17 01:00:00-05:00
57.02,57.69,56.915,57.38,983015,2017-02-21 01:00:00-05:00
57.2,57.41,56.67,56.91,988001,2017-02-22 01:00:00-05:00
57.17,57.29,56.33,57.07,1440358,2017-02-23 01:00:00-05:00
56.82,57.4,56.56,57.4,814020,2017-02-24 01:00:00-05:00
57.4,58.24,57.4,58.21,1494890,2017-02-27 01:00:00-05:00
58.2,58.2,57.53,57.83,1254767,2017-02-28 01:00:00-05:00
58.56,59.13,58.52,58.72,1360647,2017-03-01 01:00:00-05:00
58.96,59.0,58.46,58.5,908993,2017-03-02 01:00:00-05:00
58.92,59.1,58.44,58.72,1577523,2017-03-03 01:00:00-05:00
58.35,58.59,57.76,57.9,1104913,2017-03-06 01:00:00-05:00
57.88,58.32,57.795,57.92,1053422,2017-03-07 01:00:00-05:00
57.91,58.72,57.711,58.7,947637,2017-03-08 01:00:00-05:00
59.08,59.83,58.93,59.38,1538333,2017-03-09 01:00:00-05:00
59.65,60.11,59.62,60.07,1111820,2017-03-10 01:00:00-05:00
59.82,60.215,59.76,60.1,1200369,2017-03-13 01:00:00-04:00
59.76,60.39,59.555,60.02,853165,2017-03-14 01:00:00-04:00
60.31,61.39,60.29,61.14,891208,2017-03-15 01:00:00-04:00
61.08,61.67,60.96,61.08,1121821,2017-03-16 01:00:00-04:00
61.2,61.33,60.94,61.04,1200418,2017-03-17 01:00:00-04:00
61.08,61.29,60.67,60.94,581277,2017-03-20 01:00:00-04:00
61.0,61.24,59.69,59.74,1497548,2017-03-21 01:00:00-04:00
59.74,60.18,59.42,59.77,1522311,2017-03-22 01:00:00-04:00
59.77,60.54,59.675,60.18,756903,2017-03-23 01:00:00-04:00
60.23,60.54,59.99,60.38,1761093,2017-03-24 01:00:00-04:00
59.65,60.33,59.56,60.28,989864,2017-03-27 01:00:00-04:00
60.14,60.84,59.88,60.66,785007,2017-03-28 01:00:00-04:00
60.34,60.9,60.01,60.9,1485838,2017-03-29 01:00:00-04:00
60.83,61.11,60.62,60.97,1287756,2017-03-30 01:00:00-04:00
60.81,61.06,60.52,60.85,1125560,2017-03-31 01:00:00-04:00
60.89,61.17,60.22,60.62,1402894,2017-04-03 01:00:00-04:00
60.48,60.775,60.37,60.62,1344215,2017-04-04 01:00:00-04:00
60.71,61.16,60.29,60.48,1729039,2017-04-05 01:00:00-04:00
61.95,62.28,61.29,61.85,2099585,2017-04-06 01:00:00-04:00
61.75,62.02,61.55,61.86,1148992,2017-04-07 01:00:00-04:00
61.76,62.62,61.76,61.97,951843,2017-04-10 01:00:00-04:00
61.8,62.15,61.72,62.06,1385668,2017-04-11 01:00:00-04:00
61.72,61.83,60.32,61.71,2218110,2017-04-12 01:00:00-04:00
61.49,62.03,61.49,61.5,1537344,2017-04-13 01:00:00-04:00
61.65,61.94,61.46,61.92,1030471,2017-04-17 01:00:00-04:00
61.51,62.14,61.33,62.05,1060167,2017-04-18 01:00:00-04:00
62.29,62.78,62.06,62.15,955685,2017-04-19 01:00:00-04:00
62.39,62.59,62.13,62.32,1178213,2017-04-20 01:00:00-04:00
62.4,62.92,62.27,62.82,933121,2017-04-21 01:00:00-04:00
63.22,63.86,63.17,63.66,1182595,2017-04-24 01:00:00-04:00
64.41,65.18,63.85,64.93,1855317,2017-04-25 01:00:00-04:00
65.19,66.01,64.91,65.6,1770874,2017-04-26 01:00:00-04:00
65.0,65.53,63.55,64.19,3964882,2017-04-27 01:00:00-04:00
64.17,64.17,63.43,63.74,2142422,2017-04-28 01:00:00-04:00
63.96,63.96,63.3,63.32,1568681,2017-05-01 01:00:00-04:00
63.44,63.72,63.32,63.72,1556460,2017-05-02 01:00:00-04:00
63.35,63.52,63.1,63.19,1161053,2017-05-03 01:00:00-04:00
63.28,63.47,62.83,63.34,1086134,2017-05-04 01:00:00-04:00
63.46,63.6,63.06,63.48,775875,2017-05-05 01:00:00-04:00
63.35,63.72,63.29,63.43,915806,2017-05-08 01:00:00-04:00
