open,high,low,close,volume,datetime
11.64,11.92,11.56,11.58,37432758,2016-06-08 01:00:00-04:00
11.21,11.21,10.78,10.9,49003555,2016-06-09 01:00:00-04:00
10.53,10.68,10.26,10.36,38323822,2016-06-10 01:00:00-04:00
10.25,10.71,10.24,10.4,25648132,2016-06-13 01:00:00-04:00
10.3,10.45,9.82,10.21,33249945,2016-06-14 01:00:00-04:00
10.64,11.3,10.6,11.0,62845107,2016-06-15 01:00:00-04:00
10.81,10.82,10.32,10.78,39528419,2016-06-16 01:00:00-04:00
11.03,11.4,10.98,11.14,40800100,2016-06-17 01:00:00-04:00
11.47,11.905,11.42,11.55,38890224,2016-06-20 01:00:00-04:00
11.48,11.66,11.25,11.61,28845014,2016-06-21 01:00:00-04:00
11.81,11.9,11.36,11.5,36900077,2016-06-22 01:00:00-04:00
11.72,11.93,11.615,11.77,33441226,2016-06-23 01:00:00-04:00
11.02,11.11,10.51,10.58,54028498,2016-06-24 01:00:00-04:00
10.56,10.56,9.99,10.13,30101127,2016-06-27 01:00:00-04:00
10.62,10.92,10.52,10.69,41865561,2016-06-28 01:00:00-04:00
10.87,11.08,10.76,10.77,29320236,2016-06-29 01:00:00-04:00
10.85,11.18,10.61,11.14,33685284,2016-06-30 01:00:00-04:00
11.04,11.5,10.94,11.35,27441718,2016-07-01 01:00:00-04:00
11.1,11.18,10.34,10.5,38153836,2016-07-05 01:00:00-04:00
10.45,10.9,10.27,10.89,29891349,2016-07-06 01:00:00-04:00
11.07,11.41,10.56,10.67,38483315,2016-07-07 01:00:00-04:00
10.93,11.24,10.81,11.2,36040131,2016-07-08 01:00:00-04:00
11.4,11.89,11.37,11.65,33360500,2016-07-11 01:00:00-04:00
12.05,12.98,12.02,12.9,59009703,2016-07-12 01:00:00-04:00
12.8,13.0,12.42,12.96,44432181,2016-07-13 01:00:00-04:00
13.03,13.2199,12.6807,12.95,31588304,2016-07-14 01:00:00-04:00
13.03,13.25,12.91,13.11,24296523,2016-07-15 01:00:00-04:00
12.91,13.15,12.6,13.14,22242739,2016-07-18 01:00:00-04:00
12.92,12.95,12.4,12.45,27143642,2016-07-19 01:00:00-04:00
12.11,12.4,11.69,12.3,39267735,2016-07-20 01:00:00-04:00
12.5,12.89,12.44,12.87,34293023,2016-07-21 01:00:00-04:00
12.78,12.8774,12.53,12.67,23434861,2016-07-22 01:00:00-04:00
12.62,12.62,12.17,12.38,29515391,2016-07-25 01:00:00-04:00
11.6,12.84,11.25,12.68,71538388,2016-07-26 01:00:00-04:00
12.89,13.59,12.8,13.06,51487566,2016-07-27 01:00:00-04:00
13.13,13.195,12.72,12.94,24785448,2016-07-28 01:00:00-04:00
12.76,13.035,12.63,12.96,28956254,2016-07-29 01:00:00-04:00
13.01,13.04,12.41,12.48,26279379,2016-08-01 01:00:00-04:00
12.64,12.7,12.21,12.4,24142208,2016-08-02 01:00:00-04:00
12.2,12.58,12.03,12.39,24941720,2016-08-03 01:00:00-04:00
12.23,12.6,12.2,12.32,23465725,2016-08-04 01:00:00-04:00
12.32,12.37,11.88,12.23,36713630,2016-08-05 01:00:00-04:00
12.49,12.73,12.28,12.29,29715362,2016-08-08 01:00:00-04:00
12.28,12.5,12.03,12.09,20165775,2016-08-09 01:00:00-04:00
12.47,12.5,12.0,12.02,21346459,2016-08-10 01:00:00-04:00
12.15,12.2,11.93,12.11,21594116,2016-08-11 01:00:00-04:00
12.0,12.18,11.72,11.82,23264130,2016-08-12 01:00:00-04:00
11.9495,12.28,11.9299,12.17,20601798,2016-08-15 01:00:00-04:00
12.36,12.36,12.05,12.08,20214274,2016-08-16 01:00:00-04:00
11.98,12.045,11.78,12.0,20372013,2016-08-17 01:00:00-04:00
12.2,12.27,12.04,12.23,20883112,2016-08-18 01:00:00-04:00
12.06,12.08,11.89,11.97,17288342,2016-08-19 01:00:00-04:00
11.75,11.925,11.51,11.83,20362896,2016-08-22 01:00:00-04:00
11.95,12.2,11.79,11.98,25074134,2016-08-23 01:00:00-04:00
11.82,11.86,11.04,11.08,44040575,2016-08-24 01:00:00-04:00
11.08,11.3,10.89,11.09,31324983,2016-08-25 01:00:00-04:00
11.24,11.58,10.82,10.89,32804817,2016-08-26 01:00:00-04:00
10.82,11.115,10.8,10.98,18349130,2016-08-29 01:00:00-04:00
10.94,10.97,10.45,10.56,28234679,2016-08-30 01:00:00-04:00
10.43,10.515,10.18,10.29,32235956,2016-08-31 01:00:00-04:00
10.32,10.47,10.18,10.35,20780182,2016-09-01 01:00:00-04:00
10.63,10.83,10.39,10.48,23683507,2016-09-02 01:00:00-04:00
10.6,10.81,10.52,10.72,21368613,2016-09-06 01:00:00-04:00
