open,high,low,close,volume,datetime
19.02,19.14,18.94,18.98,4455204,2016-06-08 01:00:00-04:00
18.82,18.83,18.55,18.73,5591047,2016-06-09 01:00:00-04:00
18.45,18.545,18.33,18.53,5827146,2016-06-10 01:00:00-04:00
18.35,18.66,18.29,18.32,6129092,2016-06-13 01:00:00-04:00
18.2,18.4,17.77,17.83,6019679,2016-06-14 01:00:00-04:00
17.86,18.415,17.82,18.03,8552414,2016-06-15 01:00:00-04:00
17.87,17.9,17.58,17.86,6961664,2016-06-16 01:00:00-04:00
17.89,18.24,17.76,18.21,12170840,2016-06-17 01:00:00-04:00
18.58,18.88,18.36,18.4,10209102,2016-06-20 01:00:00-04:00
18.45,18.54,18.2,18.41,10842748,2016-06-21 01:00:00-04:00
18.4,18.765,18.4,18.44,5717480,2016-06-22 01:00:00-04:00
18.72,19.12,18.72,19.11,5494988,2016-06-23 01:00:00-04:00
17.9,18.17,17.5,17.5,11595183,2016-06-24 01:00:00-04:00
17.2,17.215,16.14,16.26,10151616,2016-06-27 01:00:00-04:00
16.47,16.68,16.25,16.64,12729447,2016-06-28 01:00:00-04:00
16.76,17.13,16.58,17.12,13175301,2016-06-29 01:00:00-04:00
17.28,17.59,17.15,17.59,15029944,2016-06-30 01:00:00-04:00
17.44,17.615,17.3,17.43,6242963,2016-07-01 01:00:00-04:00
17.02,17.1199,16.6,16.7,6584758,2016-07-05 01:00:00-04:00
16.4,16.895,16.2607,16.77,7186374,2016-07-06 01:00:00-04:00
17.01,17.14,16.71,16.95,4655094,2016-07-07 01:00:00-04:00
17.27,17.455,17.195,17.25,7059841,2016-07-08 01:00:00-04:00
17.41,17.57,17.31,17.42,3693237,2016-07-11 01:00:00-04:00
17.69,17.9,17.61,17.89,6148457,2016-07-12 01:00:00-04:00
17.91,17.98,17.69,17.94,6763922,2016-07-13 01:00:00-04:00
18.34,18.51,18.235,18.44,6064348,2016-07-14 01:00:00-04:00
18.59,18.61,18.375,18.54,7696580,2016-07-15 01:00:00-04:00
18.45,18.55,18.36,18.43,3738297,2016-07-18 01:00:00-04:00
18.38,18.56,18.26,18.41,4172335,2016-07-19 01:00:00-04:00
18.46,18.48,18.272,18.39,3984891,2016-07-20 01:00:00-04:00
18.34,18.495,18.21,18.26,6772197,2016-07-21 01:00:00-04:00
18.32,18.445,18.16,18.43,3717378,2016-07-22 01:00:00-04:00
18.38,18.51,18.35,18.42,3740546,2016-07-25 01:00:00-04:00
18.37,18.67,18.25,18.66,5571417,2016-07-26 01:00:00-04:00
18.64,18.85,18.541,18.65,7773216,2016-07-27 01:00:00-04:00
18.65,19.01,18.48,18.92,9015966,2016-07-28 01:00:00-04:00
18.93,19.1,18.775,18.98,5967317,2016-07-29 01:00:00-04:00
19.05,19.06,18.715,18.78,6510826,2016-08-01 01:00:00-04:00
18.69,18.825,18.46,18.58,5365464,2016-08-02 01:00:00-04:00
18.61,19.01,18.61,18.96,6622879,2016-08-03 01:00:00-04:00
19.0,19.105,18.81,18.87,5511893,2016-08-04 01:00:00-04:00
19.1,19.57,18.93,19.57,8247415,2016-08-05 01:00:00-04:00
19.62,19.72,19.38,19.4,6385385,2016-08-08 01:00:00-04:00
19.37,19.53,19.35,19.4,3145821,2016-08-09 01:00:00-04:00
19.4,19.48,19.07,19.09,4050196,2016-08-10 01:00:00-04:00
19.13,19.27,19.06,19.24,4856504,2016-08-11 01:00:00-04:00
19.12,19.21,18.94,19.11,3081718,2016-08-12 01:00:00-04:00
19.18,19.47,18.95,19.45,3116386,2016-08-15 01:00:00-04:00
19.32,19.54,19.32,19.41,3959351,2016-08-16 01:00:00-04:00
19.39,19.545,19.33,19.52,5852040,2016-08-17 01:00:00-04:00
19.5,19.62,19.47,19.58,5185842,2016-08-18 01:00:00-04:00
19.59,19.64,19.45,19.59,4108914,2016-08-19 01:00:00-04:00
19.57,19.65,19.48,19.62,3499187,2016-08-22 01:00:00-04:00
19.67,19.72,19.52,19.52,4762365,2016-08-23 01:00:00-04:00
19.55,19.65,19.41,19.45,4853179,2016-08-24 01:00:00-04:00
19.42,19.64,19.34,19.59,5076355,2016-08-25 01:00:00-04:00
19.67,19.87,19.55,19.69,4751036,2016-08-26 01:00:00-04:00
19.74,19.93,19.7001,19.81,4416841,2016-08-29 01:00:00-04:00
19.86,20.18,19.77,20.16,6274041,2016-08-30 01:00:00-04:00
20.18,20.22,19.9,20.16,5652675,2016-08-31 01:00:00-04:00
20.22,20.27,19.78,20.04,4985822,2016-09-01 01:00:00-04:00
20.11,20.139,19.9,20.1,4294094,2016-09-02 01:00:00-04:00
20.13,20.2,19.7,19.87,5004906,2016-09-06 01:00:00-04:00
19.79,20.06,19.7,20.02,4312462,2016-09-07 01:00:00-04:00
20.08,20.19,19.95,20.14,3965698,2016-09-08 01:00:00-04:00
20.1,20.255,19.925,19.93,5934910,2016-09-09 01:00:00-04:00
19.86,20.26,19.65,20.21,5739771,2016-09-12 01:00:00-04:00
20.29,20.3,19.76,20.22,13236106,2016-09-13 01:00:00-04:00
20.3,20.78,20.1,20.37,13660374,2016-09-14 01:00:00-04:00
20.27,20.67,20.25,20.54,7227506,2016-09-15 01:00:00-04:00
20.38,20.56,20.3,20.46,11059730,2016-09-16 01:00:00-04:00
20.59,20.72,20.5,20.63,6840226,2016-09-19 01:00:00-04:00
20.71,20.79,20.57,20.64,7533405,2016-09-20 01:00:00-04:00
20.71,20.85,20.5389,20.74,7404512,2016-09-21 01:00:00-04:00
20.88,21.04,20.75,20.8,8259580,2016-09-22 01:00:00-04:00
20.66,21.11,20.66,20.92,5734081,2016-09-23 01:00:00-04:00
20.78,20.8,20.43,20.46,7876182,2016-09-26 01:00:00-04:00
20.36,20.74,20.29,20.72,7075932,2016-09-27 01:00:00-04:00
20.66,20.71,20.32,20.54,8417062,2016-09-28 01:00:00-04:00
