open,high,low,close,volume,datetime
30.23,30.5,30.16,30.31,29141296,2016-06-08 01:00:00-04:00
30.16,30.33,30.02,30.24,26527176,2016-06-09 01:00:00-04:00
30.02,30.28,29.93,30.04,29429998,2016-06-10 01:00:00-04:00
29.98,30.13,29.79,29.83,32959955,2016-06-13 01:00:00-04:00
29.82,30.46,29.79,30.44,43700512,2016-06-14 01:00:00-04:00
30.48,30.91,30.47,30.59,43765244,2016-06-15 01:00:00-04:00
30.14,30.74,30.08,30.64,67618136,2016-06-16 01:00:00-04:00
30.65,30.72,30.45,30.6,55635867,2016-06-17 01:00:00-04:00
30.85,31.32,30.83,30.83,47891137,2016-06-20 01:00:00-04:00
30.88,31.01,30.87,30.94,36034262,2016-06-21 01:00:00-04:00
31.0,31.1,30.77,30.78,36011780,2016-06-22 01:00:00-04:00
31.06,31.21,30.97,31.19,40228963,2016-06-23 01:00:00-04:00
30.11,30.55,29.75,29.82,85669178,2016-06-24 01:00:00-04:00
29.54,29.62,29.17,29.32,55173361,2016-06-27 01:00:00-04:00
29.81,30.0,29.67,29.94,38208496,2016-06-28 01:00:00-04:00
30.51,30.62,30.3,30.55,35868200,2016-06-29 01:00:00-04:00
30.66,31.5,30.65,31.48,54514457,2016-06-30 01:00:00-04:00
31.33,31.63,31.32,31.49,32700349,2016-07-01 01:00:00-04:00
31.25,31.53,31.12,31.45,32360464,2016-07-05 01:00:00-04:00
31.27,31.8,31.265,31.74,32105905,2016-07-06 01:00:00-04:00
31.81,32.1,31.74,31.82,37517858,2016-07-07 01:00:00-04:00
31.99,32.27,31.99,32.2,38531744,2016-07-08 01:00:00-04:00
32.26,32.5,32.18,32.21,37979065,2016-07-11 01:00:00-04:00
32.31,32.49,32.13,32.26,38090962,2016-07-12 01:00:00-04:00
32.26,32.48,32.25,32.36,32464414,2016-07-13 01:00:00-04:00
32.5,32.72,32.49,32.63,33877776,2016-07-14 01:00:00-04:00
32.76,32.95,32.74,32.88,42308770,2016-07-15 01:00:00-04:00
32.89,32.94,32.66,32.91,38265114,2016-07-18 01:00:00-04:00
32.75,32.95,32.72,32.93,33557724,2016-07-19 01:00:00-04:00
32.96,33.0,32.7,32.78,35557794,2016-07-20 01:00:00-04:00
32.73,32.85,32.49,32.59,42869414,2016-07-21 01:00:00-04:00
31.73,32.07,31.69,32.06,57763807,2016-07-22 01:00:00-04:00
32.07,32.08,31.38,31.64,45728700,2016-07-25 01:00:00-04:00
31.67,31.73,31.31,31.47,36903949,2016-07-26 01:00:00-04:00
31.49,31.56,31.12,31.28,39256526,2016-07-27 01:00:00-04:00
31.2,31.31,31.08,31.25,30297520,2016-07-28 01:00:00-04:00
31.28,31.4264,31.111,31.14,50052182,2016-07-29 01:00:00-04:00
31.12,31.22,31.02,31.15,31154871,2016-08-01 01:00:00-04:00
31.11,31.16,31.0,31.05,27000557,2016-08-02 01:00:00-04:00
31.03,31.24,31.025,31.13,20006018,2016-08-03 01:00:00-04:00
31.2,31.25,31.09,31.17,20293694,2016-08-04 01:00:00-04:00
31.27,31.45,31.22,31.28,21577288,2016-08-05 01:00:00-04:00
31.3,31.395,31.21,31.27,20434126,2016-08-08 01:00:00-04:00
31.23,31.35,31.15,31.3,20108832,2016-08-09 01:00:00-04:00
31.25,31.335,31.2,31.27,18538116,2016-08-10 01:00:00-04:00
31.31,31.37,31.2,31.29,37986166,2016-08-11 01:00:00-04:00
31.2,31.28,31.175,31.24,21327002,2016-08-12 01:00:00-04:00
31.3,31.35,31.22,31.24,19553314,2016-08-15 01:00:00-04:00
31.14,31.29,31.08,31.19,22383559,2016-08-16 01:00:00-04:00
31.26,31.325,31.18,31.29,17598105,2016-08-17 01:00:00-04:00
31.25,31.43,31.19,31.43,28041239,2016-08-18 01:00:00-04:00
31.32,31.4,31.18,31.25,24742797,2016-08-19 01:00:00-04:00
31.17,31.43,31.08,31.32,20460480,2016-08-22 01:00:00-04:00
31.45,31.57,31.23,31.23,32116691,2016-08-23 01:00:00-04:00
31.27,31.35,31.17,31.22,22045111,2016-08-24 01:00:00-04:00
31.19,31.3,31.13,31.21,17027872,2016-08-25 01:00:00-04:00
31.27,31.46,31.14,31.23,22265644,2016-08-26 01:00:00-04:00
31.18,31.45,31.17,31.36,21248854,2016-08-29 01:00:00-04:00
31.34,31.47,31.3,31.37,18137873,2016-08-30 01:00:00-04:00
31.29,31.3459,31.19,31.24,33416260,2016-08-31 01:00:00-04:00
31.15,31.29,30.96,31.2,41255600,2016-09-01 01:00:00-04:00
31.25,31.45,31.23,31.29,20807497,2016-09-02 01:00:00-04:00
31.31,31.34,30.8,31.05,40955651,2016-09-06 01:00:00-04:00
30.99,31.06,30.8,31.06,27266887,2016-09-07 01:00:00-04:00
31.0,31.05,30.9,31.04,30256181,2016-09-08 01:00:00-04:00
30.82,30.82,30.11,30.11,44619722,2016-09-09 01:00:00-04:00
30.0,30.57,29.84,30.49,41407281,2016-09-12 01:00:00-04:00
30.22,30.2548,29.72,29.85,45066224,2016-09-13 01:00:00-04:00
29.81,30.0,29.67,29.7,51077594,2016-09-14 01:00:00-04:00
29.55,29.85,29.42,29.75,35262527,2016-09-15 01:00:00-04:00
29.63,29.75,29.54,29.68,64934725,2016-09-16 01:00:00-04:00
29.78,29.96,29.4,29.43,30501299,2016-09-19 01:00:00-04:00
29.67,29.8,29.62,29.67,29646465,2016-09-20 01:00:00-04:00
29.75,29.92,29.59,29.85,29031558,2016-09-21 01:00:00-04:00
29.96,30.11,29.93,30.04,29379879,2016-09-22 01:00:00-04:00
30.02,30.05,29.81,29.89,22821677,2016-09-23 01:00:00-04:00
29.8,29.81,29.52,29.54,25905794,2016-09-26 01:00:00-04:00
29.6,29.97,29.47,29.88,25491940,2016-09-27 01:00:00-04:00
29.92,29.94,29.6,29.9,26750633,2016-09-28 01:00:00-04:00
29.81,30.1,29.44,29.53,38873664,2016-09-29 01:00:00-04:00
29.6,29.85,29.575,29.62,36120040,2016-09-30 01:00:00-04:00
29.46,29.7,29.4,29.64,19794077,2016-10-03 01:00:00-04:00
29.71,29.75,29.45,29.5,31127714,2016-10-04 01:00:00-04:00
29.52,29.7,29.4,29.5,24936855,2016-10-05 01:00:00-04:00
29.4,29.5,29.14,29.27,28087933,2016-10-06 01:00:00-04:00
29.06,29.205,28.92,29.08,37840132,2016-10-07 01:00:00-04:00
29.0,29.31,28.81,28.86,33981885,2016-10-10 01:00:00-04:00
28.75,29.03,28.69,28.92,30942235,2016-10-11 01:00:00-04:00
28.92,29.02,28.81,28.9,22754703,2016-10-12 01:00:00-04:00
28.78,28.9,28.66,28.77,28392555,2016-10-13 01:00:00-04:00
28.96,29.03,28.82,28.89,28181380,2016-10-14 01:00:00-04:00
28.9,28.99,28.7,28.85,39732551,2016-10-17 01:00:00-04:00
29.03,29.08,28.9,28.98,27562377,2016-10-18 01:00:00-04:00
29.06,29.22,29.03,29.06,29187978,2016-10-19 01:00:00-04:00
