open,high,low,close,volume,datetime
30.0,30.03,29.52,29.57,12990855,2016-06-08 01:00:00-04:00
29.48,29.5,29.155,29.36,11907469,2016-06-09 01:00:00-04:00
29.22,29.34,28.98,29.06,10740357,2016-06-10 01:00:00-04:00
28.85,29.4,28.8,29.08,13871284,2016-06-13 01:00:00-04:00
29.07,29.31,28.65,28.83,10751685,2016-06-14 01:00:00-04:00
28.98,29.22,28.79,28.86,8479890,2016-06-15 01:00:00-04:00
28.67,29.07,28.5,29.02,9654396,2016-06-16 01:00:00-04:00
29.14,29.43,29.06,29.23,12707391,2016-06-17 01:00:00-04:00
29.62,30.03,29.59,29.65,12329065,2016-06-20 01:00:00-04:00
29.64,29.77,29.43,29.51,10318009,2016-06-21 01:00:00-04:00
29.34,29.59,29.27,29.32,8717169,2016-06-22 01:00:00-04:00
29.59,29.85,29.55,29.82,9598108,2016-06-23 01:00:00-04:00
28.58,29.04,28.25,28.35,30181107,2016-06-24 01:00:00-04:00
28.09,28.1,27.34,27.51,18645156,2016-06-27 01:00:00-04:00
27.93,27.98,27.4,27.74,14061357,2016-06-28 01:00:00-04:00
28.0,28.2,27.6,28.17,10644071,2016-06-29 01:00:00-04:00
28.18,29.66,27.7,28.3,15360601,2016-06-30 01:00:00-04:00
28.69,28.98,28.36,28.89,15157864,2016-07-01 01:00:00-04:00
28.64,28.68,28.04,28.17,12178185,2016-07-05 01:00:00-04:00
28.0,28.41,27.52,28.4,14631429,2016-07-06 01:00:00-04:00
28.49,29.055,28.42,28.74,10842314,2016-07-07 01:00:00-04:00
29.27,29.87,29.27,29.66,16659407,2016-07-08 01:00:00-04:00
29.79,30.27,29.74,30.13,13870321,2016-07-11 01:00:00-04:00
30.45,30.85,30.39,30.6,16789455,2016-07-12 01:00:00-04:00
30.63,30.69,30.22,30.63,13303647,2016-07-13 01:00:00-04:00
30.88,31.05,30.6,30.76,11306401,2016-07-14 01:00:00-04:00
30.82,30.98,30.57,30.77,8429465,2016-07-15 01:00:00-04:00
30.75,31.1,30.61,30.87,8732327,2016-07-18 01:00:00-04:00
30.7,31.27,30.7,31.25,17164085,2016-07-19 01:00:00-04:00
31.42,31.58,31.07,31.49,20923034,2016-07-20 01:00:00-04:00
32.56,32.87,31.83,32.03,36306348,2016-07-21 01:00:00-04:00
32.1,32.24,31.72,32.16,13305449,2016-07-22 01:00:00-04:00
32.19,32.36,31.96,32.06,11324935,2016-07-25 01:00:00-04:00
31.98,32.22,31.89,32.15,9462036,2016-07-26 01:00:00-04:00
32.18,32.29,31.97,32.02,9159541,2016-07-27 01:00:00-04:00
31.05,31.2,30.65,30.99,20363869,2016-07-28 01:00:00-04:00
30.79,31.55,30.78,31.54,16150459,2016-07-29 01:00:00-04:00
