open,high,low,close,volume,datetime
155.2,156.58,153.91,154.64,2426771,2016-06-08 01:00:00-04:00
153.79,154.29,152.4611,153.17,2712162,2016-06-09 01:00:00-04:00
151.35,151.6599,149.57,149.89,4335725,2016-06-10 01:00:00-04:00
149.0,151.316,148.59,148.63,3385841,2016-06-13 01:00:00-04:00
148.22,149.05,145.45,146.19,5069610,2016-06-14 01:00:00-04:00
147.16,148.7,145.9,146.16,2981372,2016-06-15 01:00:00-04:00
145.0,146.99,143.53,146.63,3499194,2016-06-16 01:00:00-04:00
146.63,148.23,145.46,145.64,4296532,2016-06-17 01:00:00-04:00
148.5,150.5,147.58,147.75,3338934,2016-06-20 01:00:00-04:00
148.5,148.83,147.12,148.35,2424787,2016-06-21 01:00:00-04:00
148.01,150.12,147.99,148.14,2487606,2016-06-22 01:00:00-04:00
150.56,152.8,150.14,152.66,2940458,2016-06-23 01:00:00-04:00
143.03,146.42,140.92,141.86,9442225,2016-06-24 01:00:00-04:00
140.07,141.23,138.2,139.51,7397164,2016-06-27 01:00:00-04:00
142.21,142.615,139.82,142.41,5041530,2016-06-28 01:00:00-04:00
143.6,145.55,142.9301,145.5,3804113,2016-06-29 01:00:00-04:00
146.67,148.88,145.37,148.58,4528624,2016-06-30 01:00:00-04:00
148.49,150.7,148.07,148.25,3096778,2016-07-01 01:00:00-04:00
146.72,146.94,143.33,144.45,3942959,2016-07-05 01:00:00-04:00
142.94,145.9399,142.6241,145.58,2941759,2016-07-06 01:00:00-04:00
146.0,148.09,145.36,147.0,2578292,2016-07-07 01:00:00-04:00
149.36,150.92,148.31,150.38,3281405,2016-07-08 01:00:00-04:00
151.49,152.98,151.38,152.19,3042069,2016-07-11 01:00:00-04:00
154.0,157.25,153.92,156.92,5119409,2016-07-12 01:00:00-04:00
157.0,158.27,156.15,157.92,4276430,2016-07-13 01:00:00-04:00
160.29,163.24,160.01,162.54,5087724,2016-07-14 01:00:00-04:00
162.86,163.14,160.7,161.64,3078402,2016-07-15 01:00:00-04:00
162.36,164.09,162.01,163.33,4734502,2016-07-18 01:00:00-04:00
162.02,164.08,160.73,161.41,5399685,2016-07-19 01:00:00-04:00
162.55,162.89,159.22,161.77,3547824,2016-07-20 01:00:00-04:00
161.71,161.9,159.77,160.05,2997187,2016-07-21 01:00:00-04:00
160.29,160.73,159.86,160.41,1811695,2016-07-22 01:00:00-04:00
159.64,161.33,159.61,160.51,1956099,2016-07-25 01:00:00-04:00
160.68,161.5,159.42,161.16,2150146,2016-07-26 01:00:00-04:00
161.2,162.17,160.41,160.99,2317561,2016-07-27 01:00:00-04:00
160.18,160.96,158.84,160.53,2047424,2016-07-28 01:00:00-04:00
159.51,160.19,158.65,158.81,2388194,2016-07-29 01:00:00-04:00
158.81,159.92,157.93,158.18,2316300,2016-08-01 01:00:00-04:00
157.65,158.46,155.37,156.06,3182783,2016-08-02 01:00:00-04:00
156.45,158.95,156.18,158.34,2284670,2016-08-03 01:00:00-04:00
158.22,158.9,157.41,158.05,2005699,2016-08-04 01:00:00-04:00
159.75,162.13,159.2,162.09,2676100,2016-08-05 01:00:00-04:00
162.1,163.98,162.01,162.83,2266612,2016-08-08 01:00:00-04:00
162.5,164.579,162.5,163.44,1957434,2016-08-09 01:00:00-04:00
163.45,163.6,162.01,162.19,1656141,2016-08-10 01:00:00-04:00
162.2,164.25,161.93,163.86,1827689,2016-08-11 01:00:00-04:00
162.67,163.37,162.07,163.25,1440839,2016-08-12 01:00:00-04:00
163.87,165.84,163.8,165.55,2222188,2016-08-15 01:00:00-04:00
164.99,166.76,164.72,165.65,2523774,2016-08-16 01:00:00-04:00
165.94,166.32,164.74,165.67,2061908,2016-08-17 01:00:00-04:00
165.34,166.56,164.63,166.06,1750624,2016-08-18 01:00:00-04:00
165.36,166.9,164.5,166.23,1840878,2016-08-19 01:00:00-04:00
166.0,166.91,164.89,166.26,1448111,2016-08-22 01:00:00-04:00
167.0,167.85,165.98,166.08,1965548,2016-08-23 01:00:00-04:00
165.78,166.7,164.85,165.3,2035311,2016-08-24 01:00:00-04:00
165.08,166.04,164.61,165.9,1441362,2016-08-25 01:00:00-04:00
166.76,168.07,165.36,165.97,2402214,2016-08-26 01:00:00-04:00
166.6,167.86,166.15,166.87,2620945,2016-08-29 01:00:00-04:00
166.69,169.51,166.4412,169.37,2934067,2016-08-30 01:00:00-04:00
169.25,170.24,167.47,169.46,3688209,2016-08-31 01:00:00-04:00
170.0,170.07,166.66,168.51,2843274,2016-09-01 01:00:00-04:00
168.52,169.74,167.9,169.18,1747492,2016-09-02 01:00:00-04:00
168.72,169.79,167.465,169.33,2034947,2016-09-06 01:00:00-04:00
168.7,170.21,168.65,169.67,1584347,2016-09-07 01:00:00-04:00
169.35,171.88,168.71,171.66,3031625,2016-09-08 01:00:00-04:00
170.83,172.42,168.51,168.57,3411750,2016-09-09 01:00:00-04:00
167.01,171.67,166.23,171.06,2647877,2016-09-12 01:00:00-04:00
168.54,169.97,166.38,167.0,2788205,2016-09-13 01:00:00-04:00
167.0,167.86,165.59,166.16,1995901,2016-09-14 01:00:00-04:00
165.78,168.76,165.76,168.08,1666130,2016-09-15 01:00:00-04:00
167.85,168.05,165.61,166.0,4534927,2016-09-16 01:00:00-04:00
167.34,168.31,165.68,166.21,2030742,2016-09-19 01:00:00-04:00
167.68,168.28,166.39,166.47,1533159,2016-09-20 01:00:00-04:00
167.42,168.28,165.93,167.03,2333687,2016-09-21 01:00:00-04:00
168.45,169.3325,167.7,168.02,2467664,2016-09-22 01:00:00-04:00
167.75,168.1,165.05,165.13,3421183,2016-09-23 01:00:00-04:00
163.83,163.97,161.0,161.48,2772196,2016-09-26 01:00:00-04:00
160.72,163.449,159.82,162.89,2602686,2016-09-27 01:00:00-04:00
163.34,163.79,161.68,163.45,1678107,2016-09-28 01:00:00-04:00
163.38,163.96,157.77,158.95,3733830,2016-09-29 01:00:00-04:00
159.95,162.41,157.8,161.27,4497189,2016-09-30 01:00:00-04:00
160.5,161.72,160.25,161.07,2444718,2016-10-03 01:00:00-04:00
161.24,164.15,161.23,162.27,2469912,2016-10-04 01:00:00-04:00
163.32,166.57,163.005,166.4,2548215,2016-10-05 01:00:00-04:00
167.18,167.29,164.82,167.15,2858217,2016-10-06 01:00:00-04:00
167.5,169.98,166.24,169.83,3390244,2016-10-07 01:00:00-04:00
170.52,171.75,170.1,171.04,2532001,2016-10-10 01:00:00-04:00
169.84,170.87,167.91,169.04,2679967,2016-10-11 01:00:00-04:00
169.04,169.99,168.301,169.3,2404792,2016-10-12 01:00:00-04:00
167.6,167.63,165.51,167.42,2713705,2016-10-13 01:00:00-04:00
171.6,172.95,169.11,170.52,5282325,2016-10-14 01:00:00-04:00
170.5,171.27,168.45,169.0,3061380,2016-10-17 01:00:00-04:00
172.01,173.47,171.1,172.63,4482486,2016-10-18 01:00:00-04:00
173.37,175.68,173.18,174.51,3676036,2016-10-19 01:00:00-04:00
174.0,175.79,173.8,174.51,2471135,2016-10-20 01:00:00-04:00
172.84,174.9,172.51,174.67,2004401,2016-10-21 01:00:00-04:00
175.5,175.79,174.35,175.12,1943200,2016-10-24 01:00:00-04:00
175.04,175.96,174.641,175.55,2423299,2016-10-25 01:00:00-04:00
174.79,177.9,173.93,177.07,2533800,2016-10-26 01:00:00-04:00
