open,high,low,close,volume,datetime
44.12,44.18,43.87,44.11,2899787,2016-06-08 01:00:00-04:00
43.9,43.99,43.36,43.59,1661097,2016-06-09 01:00:00-04:00
43.35,43.39,42.9,43.18,2337172,2016-06-10 01:00:00-04:00
42.92,43.04,41.93,41.98,3483518,2016-06-13 01:00:00-04:00
41.78,41.94,41.31,41.73,3014409,2016-06-14 01:00:00-04:00
42.0,42.26,41.55,41.59,2386033,2016-06-15 01:00:00-04:00
41.37,41.76,40.89,41.73,2799883,2016-06-16 01:00:00-04:00
41.72,42.04,41.45,41.96,2809456,2016-06-17 01:00:00-04:00
42.45,43.11,42.4177,42.68,2188296,2016-06-20 01:00:00-04:00
42.85,42.87,42.43,42.45,1729255,2016-06-21 01:00:00-04:00
42.53,42.69,42.37,42.37,1579280,2016-06-22 01:00:00-04:00
43.02,43.29,42.88,43.29,1582591,2016-06-23 01:00:00-04:00
41.52,42.38,41.25,41.37,9585840,2016-06-24 01:00:00-04:00
41.0,41.07,39.235,39.64,4015872,2016-06-27 01:00:00-04:00
40.0,40.2654,39.51,40.26,2858221,2016-06-28 01:00:00-04:00
40.83,41.34,40.63,41.17,2300669,2016-06-29 01:00:00-04:00
41.31,42.38,40.995,42.38,3104974,2016-06-30 01:00:00-04:00
42.7,42.82,42.19,42.71,1943783,2016-07-01 01:00:00-04:00
42.3,42.42,41.525,41.76,1822814,2016-07-05 01:00:00-04:00
41.69,42.0,41.08,41.96,3467402,2016-07-06 01:00:00-04:00
41.95,42.48,41.67,41.9,2317005,2016-07-07 01:00:00-04:00
42.27,42.86,42.195,42.75,2274513,2016-07-08 01:00:00-04:00
42.72,43.1054,42.48,43.03,1988560,2016-07-11 01:00:00-04:00
43.32,44.215,43.28,44.17,2839812,2016-07-12 01:00:00-04:00
44.19,44.4,43.85,44.24,2818135,2016-07-13 01:00:00-04:00
44.5,44.68,43.98,44.05,3046040,2016-07-14 01:00:00-04:00
44.41,45.97,44.41,45.47,5390989,2016-07-15 01:00:00-04:00
45.47,45.63,45.11,45.53,2119127,2016-07-18 01:00:00-04:00
45.44,45.648,44.81,44.97,2908311,2016-07-19 01:00:00-04:00
45.01,45.465,44.89,45.01,2414810,2016-07-20 01:00:00-04:00
45.07,45.32,44.725,44.88,1812521,2016-07-21 01:00:00-04:00
44.94,45.2199,44.75,45.12,1591471,2016-07-22 01:00:00-04:00
45.04,45.131,44.7,45.12,1402729,2016-07-25 01:00:00-04:00
45.19,45.705,45.045,45.68,1600180,2016-07-26 01:00:00-04:00
45.68,45.86,45.1,45.59,2911029,2016-07-27 01:00:00-04:00
45.5,46.28,44.93,45.73,3215848,2016-07-28 01:00:00-04:00
45.57,45.89,45.28,45.81,2319707,2016-07-29 01:00:00-04:00
45.76,45.88,45.17,45.5,2063167,2016-08-01 01:00:00-04:00
45.39,45.65,45.22,45.39,2004065,2016-08-02 01:00:00-04:00
45.38,45.82,45.165,45.74,1425777,2016-08-03 01:00:00-04:00
45.85,46.38,45.725,45.82,2061309,2016-08-04 01:00:00-04:00
46.11,46.47,45.89,45.98,1748858,2016-08-05 01:00:00-04:00
45.93,46.34,45.84,46.18,2112891,2016-08-08 01:00:00-04:00
46.2,46.495,46.015,46.06,1175241,2016-08-09 01:00:00-04:00
46.07,47.39,46.07,46.79,4054425,2016-08-10 01:00:00-04:00
46.46,47.02,46.46,46.93,2688093,2016-08-11 01:00:00-04:00
46.84,47.02,46.3,46.5,2170062,2016-08-12 01:00:00-04:00
46.5,46.88,46.32,46.32,2086304,2016-08-15 01:00:00-04:00
46.45,47.48,46.43,46.66,2900580,2016-08-16 01:00:00-04:00
46.76,47.33,46.72,47.31,2454666,2016-08-17 01:00:00-04:00
47.29,47.7,47.25,47.61,2252411,2016-08-18 01:00:00-04:00
47.33,47.58,46.86,47.46,1750147,2016-08-19 01:00:00-04:00
47.14,47.14,46.08,46.56,3461891,2016-08-22 01:00:00-04:00
46.98,47.23,46.7,46.96,1837902,2016-08-23 01:00:00-04:00
47.0,47.0,46.48,46.56,1478464,2016-08-24 01:00:00-04:00
46.54,48.71,46.35,48.39,6974548,2016-08-25 01:00:00-04:00
48.64,49.7,48.545,48.89,5442825,2016-08-26 01:00:00-04:00
48.8,49.43,48.77,48.9,2744015,2016-08-29 01:00:00-04:00
48.9,49.33,48.8,48.99,2474020,2016-08-30 01:00:00-04:00
48.8,48.89,48.1665,48.49,2229201,2016-08-31 01:00:00-04:00
48.59,48.99,48.3,48.71,2112686,2016-09-01 01:00:00-04:00
49.0,49.225,48.77,49.12,1656955,2016-09-02 01:00:00-04:00
49.25,49.48,48.92,49.35,2544169,2016-09-06 01:00:00-04:00
49.15,49.63,49.045,49.48,2037548,2016-09-07 01:00:00-04:00
49.26,49.46,48.96,49.07,2251434,2016-09-08 01:00:00-04:00
48.77,48.875,47.65,47.71,2476093,2016-09-09 01:00:00-04:00
47.3,48.44,47.17,48.21,2940629,2016-09-12 01:00:00-04:00
