open,high,low,close,volume,datetime
32.0,32.06,31.81,31.98,425694,2016-11-03 01:00:00-04:00
32.02,32.36,31.82,31.82,406691,2016-11-04 01:00:00-04:00
32.2,33.26,32.09,33.26,731814,2016-11-07 01:00:00-05:00
33.08,33.5,32.831,33.21,560826,2016-11-08 01:00:00-05:00
32.67,33.78,32.63,33.78,624441,2016-11-09 01:00:00-05:00
33.99,34.25,33.78,33.93,557594,2016-11-10 01:00:00-05:00
33.78,34.59,33.78,34.57,435247,2016-11-11 01:00:00-05:00
34.68,34.95,34.58,34.8,439779,2016-11-14 01:00:00-05:00
34.75,35.32,34.6111,35.13,548066,2016-11-15 01:00:00-05:00
35.0,35.37,34.7357,35.11,476766,2016-11-16 01:00:00-05:00
35.0,35.58,35.0,35.22,737278,2016-11-17 01:00:00-05:00
35.3,36.52,34.791,35.89,1035224,2016-11-18 01:00:00-05:00
35.9,36.09,35.805,35.9,659417,2016-11-21 01:00:00-05:00
35.9,36.6,35.84,36.6,754594,2016-11-22 01:00:00-05:00
36.59,37.68,36.59,37.65,733530,2016-11-23 01:00:00-05:00
37.65,38.28,37.61,38.26,345738,2016-11-25 01:00:00-05:00
38.0,38.08,37.61,37.98,879764,2016-11-28 01:00:00-05:00
37.9,37.98,37.25,37.26,634192,2016-11-29 01:00:00-05:00
37.36,37.48,36.83,36.83,801246,2016-11-30 01:00:00-05:00
36.9,36.9,35.35,35.49,1103396,2016-12-01 01:00:00-05:00
35.54,35.83,35.23,35.35,1106601,2016-12-02 01:00:00-05:00
35.56,36.09,35.56,35.84,695915,2016-12-05 01:00:00-05:00
36.0,36.38,35.76,36.37,530655,2016-12-06 01:00:00-05:00
36.33,36.7,35.96,36.63,528586,2016-12-07 01:00:00-05:00
36.72,37.07,36.61,36.95,1205504,2016-12-08 01:00:00-05:00
37.0,37.3,36.81,37.12,459447,2016-12-09 01:00:00-05:00
36.9,37.22,36.71,37.12,446277,2016-12-12 01:00:00-05:00
37.34,37.54,37.08,37.15,401455,2016-12-13 01:00:00-05:00
37.01,37.22,36.31,36.35,763810,2016-12-14 01:00:00-05:00
36.52,36.69,36.42,36.51,645916,2016-12-15 01:00:00-05:00
36.57,36.74,36.28,36.3,2149884,2016-12-16 01:00:00-05:00
36.2,36.48,35.785,35.89,741410,2016-12-19 01:00:00-05:00
36.15,36.3,35.69,35.99,589481,2016-12-20 01:00:00-05:00
36.09,36.41,36.01,36.15,381698,2016-12-21 01:00:00-05:00
36.18,36.39,35.81,36.21,512692,2016-12-22 01:00:00-05:00
36.33,36.89,36.33,36.87,299907,2016-12-23 01:00:00-05:00
36.75,37.19,36.75,37.0,323070,2016-12-27 01:00:00-05:00
37.06,37.08,36.25,36.46,544769,2016-12-28 01:00:00-05:00
36.58,36.86,36.29,36.63,309366,2016-12-29 01:00:00-05:00
36.88,36.95,36.32,36.57,476198,2016-12-30 01:00:00-05:00
36.6,37.16,36.03,36.28,630944,2017-01-03 01:00:00-05:00
36.25,37.18,36.25,36.88,693670,2017-01-04 01:00:00-05:00
36.98,37.18,36.31,36.45,1206081,2017-01-05 01:00:00-05:00
36.55,36.6,36.12,36.2,652922,2017-01-06 01:00:00-05:00
36.13,36.37,35.9,36.1,916603,2017-01-09 01:00:00-05:00
36.26,36.355,36.02,36.31,749150,2017-01-10 01:00:00-05:00
36.26,36.62,36.13,36.5,574183,2017-01-11 01:00:00-05:00
36.4,36.4,35.69,36.35,304493,2017-01-12 01:00:00-05:00
36.52,36.99,36.51,36.93,349216,2017-01-13 01:00:00-05:00
36.61,36.83,35.81,35.88,520433,2017-01-17 01:00:00-05:00
35.95,36.39,35.73,35.9,471441,2017-01-18 01:00:00-05:00
35.97,36.39,35.6,35.73,390867,2017-01-19 01:00:00-05:00
35.88,36.17,35.76,36.16,439423,2017-01-20 01:00:00-05:00
35.96,36.38,35.79,36.3,453923,2017-01-23 01:00:00-05:00
36.35,37.0,36.19,36.95,423549,2017-01-24 01:00:00-05:00
36.99,37.86,36.75,37.71,686742,2017-01-25 01:00:00-05:00
37.66,37.6805,37.15,37.24,544710,2017-01-26 01:00:00-05:00
37.19,37.426,36.86,37.01,409372,2017-01-27 01:00:00-05:00
37.56,37.56,36.5,36.99,1142147,2017-01-30 01:00:00-05:00
36.78,37.17,36.31,37.07,777977,2017-01-31 01:00:00-05:00
37.14,37.48,36.41,36.72,1514431,2017-02-01 01:00:00-05:00
36.85,37.0,36.1,36.13,1459218,2017-02-02 01:00:00-05:00
36.49,37.52,36.33,37.35,1704293,2017-02-03 01:00:00-05:00
37.0,37.0772,36.55,36.68,712079,2017-02-06 01:00:00-05:00
36.82,37.19,36.43,36.57,865912,2017-02-07 01:00:00-05:00
36.54,37.4,36.3,37.2,735844,2017-02-08 01:00:00-05:00
37.22,37.48,36.97,36.99,627163,2017-02-09 01:00:00-05:00
37.09,37.645,36.75,37.63,1516106,2017-02-10 01:00:00-05:00
37.72,37.835,37.42,37.42,404338,2017-02-13 01:00:00-05:00
37.23,37.6,37.05,37.45,512556,2017-02-14 01:00:00-05:00
37.3,38.34,37.27,38.1,960939,2017-02-15 01:00:00-05:00
38.15,38.47,37.84,38.22,831977,2017-02-16 01:00:00-05:00
38.41,38.48,36.69,37.92,1050447,2017-02-17 01:00:00-05:00
37.83,38.18,37.73,38.04,582640,2017-02-21 01:00:00-05:00
37.94,38.15,37.84,38.12,480120,2017-02-22 01:00:00-05:00
