open,high,low,close,volume,datetime
115.22,115.6,114.66,114.84,759287,2016-11-03 01:00:00-04:00
115.18,115.4,114.43,114.5,855426,2016-11-04 01:00:00-04:00
115.96,117.5,115.645,117.48,1459310,2016-11-07 01:00:00-05:00
117.48,118.41,116.75,117.85,763951,2016-11-08 01:00:00-05:00
115.66,119.38,115.32,118.68,1798821,2016-11-09 01:00:00-05:00
118.89,121.66,118.89,120.23,1554595,2016-11-10 01:00:00-05:00
119.75,120.33,117.03,117.85,1379506,2016-11-11 01:00:00-05:00
118.42,118.68,115.68,116.79,1613428,2016-11-14 01:00:00-05:00
116.52,117.13,115.9,117.08,1075582,2016-11-15 01:00:00-05:00
117.16,117.39,116.59,117.15,605559,2016-11-16 01:00:00-05:00
117.46,117.81,116.02,116.29,1036111,2016-11-17 01:00:00-05:00
116.25,116.52,115.54,115.78,1041212,2016-11-18 01:00:00-05:00
116.46,117.12,116.37,116.74,1158194,2016-11-21 01:00:00-05:00
117.42,117.43,116.25,116.83,1112450,2016-11-22 01:00:00-05:00
116.39,118.71,116.1,118.71,1625772,2016-11-23 01:00:00-05:00
118.84,119.28,118.69,119.08,351979,2016-11-25 01:00:00-05:00
118.77,119.07,118.48,118.69,749878,2016-11-28 01:00:00-05:00
118.15,123.949,117.14,122.18,3835865,2016-11-29 01:00:00-05:00
122.56,122.65,120.045,120.3,2108195,2016-11-30 01:00:00-05:00
120.58,121.03,119.195,119.73,1840846,2016-12-01 01:00:00-05:00
119.61,120.41,119.09,119.58,935011,2016-12-02 01:00:00-05:00
119.52,120.025,118.39,119.76,1946948,2016-12-05 01:00:00-05:00
119.58,120.18,118.86,119.02,995990,2016-12-06 01:00:00-05:00
119.72,122.54,119.4,122.26,2813600,2016-12-07 01:00:00-05:00
122.64,123.61,121.935,122.96,1267533,2016-12-08 01:00:00-05:00
123.03,124.405,121.43,123.92,1376550,2016-12-09 01:00:00-05:00
124.32,124.48,123.05,123.48,873353,2016-12-12 01:00:00-05:00
124.15,124.16,122.85,123.73,830461,2016-12-13 01:00:00-05:00
123.66,124.2,122.35,122.58,995216,2016-12-14 01:00:00-05:00
122.44,124.09,122.36,123.43,908225,2016-12-15 01:00:00-05:00
123.96,123.97,122.12,122.49,1734965,2016-12-16 01:00:00-05:00
122.32,123.02,122.14,123.0,793460,2016-12-19 01:00:00-05:00
121.82,121.94,116.47,118.39,4678078,2016-12-20 01:00:00-05:00
118.68,118.78,117.11,118.53,2194316,2016-12-21 01:00:00-05:00
117.89,117.89,116.1271,117.19,1732158,2016-12-22 01:00:00-05:00
116.9,117.63,116.29,117.59,936035,2016-12-23 01:00:00-05:00
117.96,118.69,117.68,118.55,703920,2016-12-27 01:00:00-05:00
118.83,119.43,117.4,117.48,747284,2016-12-28 01:00:00-05:00
117.64,118.0,117.25,117.41,574798,2016-12-29 01:00:00-05:00
117.23,117.4,116.44,117.19,984850,2016-12-30 01:00:00-05:00
117.97,118.22,116.12,116.9,2364426,2017-01-03 01:00:00-05:00
117.37,117.41,116.45,116.85,1564777,2017-01-04 01:00:00-05:00
116.24,116.39,115.0,115.67,1756549,2017-01-05 01:00:00-05:00
115.72,116.4,115.14,116.2,1907453,2017-01-06 01:00:00-05:00
116.47,117.23,115.97,116.55,1143756,2017-01-09 01:00:00-05:00
116.79,116.97,115.69,115.85,928285,2017-01-10 01:00:00-05:00
115.78,117.0,115.1,116.92,995075,2017-01-11 01:00:00-05:00
117.0,117.55,116.53,117.25,1102686,2017-01-12 01:00:00-05:00
117.23,117.64,116.73,117.08,1088306,2017-01-13 01:00:00-05:00
116.62,117.22,116.36,116.92,1424275,2017-01-17 01:00:00-05:00
116.71,117.12,116.47,116.6,1386448,2017-01-18 01:00:00-05:00
116.51,116.9,115.82,116.1,1965371,2017-01-19 01:00:00-05:00
116.18,117.39,115.88,117.39,1295524,2017-01-20 01:00:00-05:00
117.21,117.588,116.49,116.68,1750368,2017-01-23 01:00:00-05:00
117.2,118.225,117.0,117.69,3539783,2017-01-24 01:00:00-05:00
117.89,120.19,117.28,119.57,3917578,2017-01-25 01:00:00-05:00
116.54,119.76,115.71,119.5,1980738,2017-01-26 01:00:00-05:00
120.45,121.0,119.5,120.2,1739229,2017-01-27 01:00:00-05:00
119.36,119.53,117.86,119.3,1649783,2017-01-30 01:00:00-05:00
118.76,118.88,118.055,118.44,1356776,2017-01-31 01:00:00-05:00
117.32,118.46,117.14,117.95,1324372,2017-02-01 01:00:00-05:00
116.88,117.34,116.54,116.62,1705754,2017-02-02 01:00:00-05:00
116.91,117.76,116.81,117.47,1121219,2017-02-03 01:00:00-05:00
117.06,117.11,116.07,116.44,1447991,2017-02-06 01:00:00-05:00
115.86,116.74,115.54,116.3,1582777,2017-02-07 01:00:00-05:00
115.96,116.625,115.53,116.3,891584,2017-02-08 01:00:00-05:00
116.42,116.74,115.6,115.76,1030351,2017-02-09 01:00:00-05:00
116.2,116.58,115.76,116.23,1247524,2017-02-10 01:00:00-05:00
116.97,117.95,116.6,117.44,1059492,2017-02-13 01:00:00-05:00
116.79,117.59,115.88,117.32,767710,2017-02-14 01:00:00-05:00
116.92,117.74,116.71,117.59,884686,2017-02-15 01:00:00-05:00
117.7,118.23,117.12,117.5,1810668,2017-02-16 01:00:00-05:00
117.66,117.91,117.27,117.42,906056,2017-02-17 01:00:00-05:00
117.3,118.95,117.04,118.31,1600573,2017-02-21 01:00:00-05:00
117.82,118.54,117.55,117.79,862477,2017-02-22 01:00:00-05:00
118.01,118.47,117.655,118.06,853794,2017-02-23 01:00:00-05:00
117.11,118.24,116.8308,118.11,833429,2017-02-24 01:00:00-05:00
118.0,119.71,117.8,118.52,1736979,2017-02-27 01:00:00-05:00
118.07,119.12,117.35,118.71,1616109,2017-02-28 01:00:00-05:00
119.78,120.62,119.32,120.36,1283120,2017-03-01 01:00:00-05:00
120.33,120.62,118.68,118.78,1064603,2017-03-02 01:00:00-05:00
118.03,118.058,117.37,117.6,1076529,2017-03-03 01:00:00-05:00
117.17,118.32,117.14,117.73,1203984,2017-03-06 01:00:00-05:00
117.63,119.04,117.28,118.79,1676460,2017-03-07 01:00:00-05:00
118.2,119.61,118.16,118.57,2717103,2017-03-08 01:00:00-05:00
118.15,118.7,116.61,116.99,1728764,2017-03-09 01:00:00-05:00
117.53,117.68,116.88,116.95,1407285,2017-03-10 01:00:00-05:00
117.34,117.34,115.9875,116.72,1580833,2017-03-13 01:00:00-04:00
116.42,117.19,116.22,116.65,1455765,2017-03-14 01:00:00-04:00
117.3,118.95,116.7,118.62,1606340,2017-03-15 01:00:00-04:00
118.69,119.19,117.04,117.12,1567385,2017-03-16 01:00:00-04:00
117.72,118.48,117.555,118.32,2297065,2017-03-17 01:00:00-04:00
118.42,118.71,117.98,118.24,643427,2017-03-20 01:00:00-04:00
118.28,118.639,116.6,116.95,1047052,2017-03-21 01:00:00-04:00
116.75,117.48,116.28,117.07,1103465,2017-03-22 01:00:00-04:00
116.95,118.15,116.47,117.64,781115,2017-03-23 01:00:00-04:00
117.54,118.12,116.15,116.41,850590,2017-03-24 01:00:00-04:00
115.8,118.22,115.67,117.89,1309411,2017-03-27 01:00:00-04:00
118.56,119.4,117.74,118.78,2120546,2017-03-28 01:00:00-04:00
118.69,119.61,118.29,118.38,1305952,2017-03-29 01:00:00-04:00
118.12,119.6,118.04,118.6,1732350,2017-03-30 01:00:00-04:00
118.23,119.47,118.09,118.6,1470195,2017-03-31 01:00:00-04:00
118.75,119.25,117.11,118.0,1825477,2017-04-03 01:00:00-04:00
118.46,119.58,118.07,119.27,1006437,2017-04-04 01:00:00-04:00
120.0,120.0,117.9,118.13,1440011,2017-04-05 01:00:00-04:00
118.38,119.75,118.2,119.37,1238563,2017-04-06 01:00:00-04:00
119.15,119.5,118.46,118.85,1076549,2017-04-07 01:00:00-04:00
118.67,119.93,118.0,119.57,686466,2017-04-10 01:00:00-04:00
119.23,119.54,118.635,119.18,1019353,2017-04-11 01:00:00-04:00
118.69,119.28,118.05,118.23,903957,2017-04-12 01:00:00-04:00
118.01,118.82,117.4,117.47,818591,2017-04-13 01:00:00-04:00
117.76,118.84,117.43,118.05,660859,2017-04-17 01:00:00-04:00
118.05,118.71,117.61,118.32,1498319,2017-04-18 01:00:00-04:00
119.2,119.4,117.85,118.16,1120849,2017-04-19 01:00:00-04:00
118.73,120.05,118.31,119.73,1034674,2017-04-20 01:00:00-04:00
119.71,120.07,119.07,119.58,853898,2017-04-21 01:00:00-04:00
121.44,123.12,121.1,123.01,1896746,2017-04-24 01:00:00-04:00
