open,high,low,close,volume,datetime
39.82,40.385,39.51,39.7,5187598,2016-11-03 01:00:00-04:00
39.69,40.93,39.555,40.38,7293975,2016-11-04 01:00:00-04:00
41.0,41.57,40.705,41.57,7740837,2016-11-07 01:00:00-05:00
41.57,42.0,41.22,41.93,8783963,2016-11-08 01:00:00-05:00
40.8,42.456,40.75,42.37,8472576,2016-11-09 01:00:00-05:00
42.64,43.85,42.58,43.64,10326084,2016-11-10 01:00:00-05:00
43.5,43.85,42.99,43.84,7907311,2016-11-11 01:00:00-05:00
43.9,45.45,43.88,45.35,11144737,2016-11-14 01:00:00-05:00
46.55,47.3,45.68,46.25,9921402,2016-11-15 01:00:00-05:00
46.04,46.34,45.45,45.85,6502590,2016-11-16 01:00:00-05:00
45.69,46.7399,45.35,46.69,5915536,2016-11-17 01:00:00-05:00
46.91,47.25,46.68,47.06,6783000,2016-11-18 01:00:00-05:00
47.08,47.68,46.98,47.36,6760706,2016-11-21 01:00:00-05:00
47.69,47.99,46.75,47.1,7401268,2016-11-22 01:00:00-05:00
46.99,47.46,46.13,47.37,5317703,2016-11-23 01:00:00-05:00
47.31,47.91,47.23,47.45,2499128,2016-11-25 01:00:00-05:00
47.41,47.77,47.15,47.52,4230928,2016-11-28 01:00:00-05:00
47.56,47.83,47.21,47.24,4453435,2016-11-29 01:00:00-05:00
46.1,47.3311,44.7,46.61,6640947,2016-11-30 01:00:00-05:00
46.36,47.44,46.185,47.07,5594773,2016-12-01 01:00:00-05:00
47.37,48.24,47.3,47.91,4843592,2016-12-02 01:00:00-05:00
48.08,48.46,47.0444,47.07,4734215,2016-12-05 01:00:00-05:00
47.39,47.9,47.16,47.68,4573208,2016-12-06 01:00:00-05:00
47.71,49.875,47.4,49.85,7738753,2016-12-07 01:00:00-05:00
49.98,49.98,49.241,49.6,6643226,2016-12-08 01:00:00-05:00
49.89,50.684,49.22,49.79,6700895,2016-12-09 01:00:00-05:00
49.36,49.69,48.92,49.37,8801311,2016-12-12 01:00:00-05:00
49.47,50.43,49.45,49.55,6603671,2016-12-13 01:00:00-05:00
49.5,50.0,48.9,49.28,5920363,2016-12-14 01:00:00-05:00
49.43,51.31,49.4,50.59,9147773,2016-12-15 01:00:00-05:00
50.74,51.13,49.89,49.93,7649531,2016-12-16 01:00:00-05:00
50.26,50.53,49.72,50.35,3438403,2016-12-19 01:00:00-05:00
50.55,51.19,50.41,50.89,3700768,2016-12-20 01:00:00-05:00
50.77,51.077,50.52,50.65,3954416,2016-12-21 01:00:00-05:00
50.72,51.03,50.08,50.25,2508786,2016-12-22 01:00:00-05:00
50.36,50.72,50.19,50.45,1616888,2016-12-23 01:00:00-05:00
50.46,50.78,50.26,50.49,1874248,2016-12-27 01:00:00-05:00
50.53,50.96,50.07,50.17,3185772,2016-12-28 01:00:00-05:00
50.19,50.62,49.958,50.2,2167328,2016-12-29 01:00:00-05:00
50.19,50.37,49.53,49.84,3257296,2016-12-30 01:00:00-05:00
