open,high,low,close,volume,datetime
48.27,48.33,46.633333,46.736667,4528518,2016-11-03 01:00:00-04:00
43.51,46.303333,42.166667,45.076667,18240636,2016-11-04 01:00:00-04:00
45.516667,45.57,44.545,45.38,4123332,2016-11-07 01:00:00-05:00
45.416667,45.663333,44.81,45.333333,2980029,2016-11-08 01:00:00-05:00
43.85,45.01,43.336667,44.196667,5104599,2016-11-09 01:00:00-05:00
44.78,44.8645,42.3,42.33,3615289,2016-11-10 01:00:00-05:00
42.39,42.66,41.43,41.92,2838657,2016-11-11 01:00:00-05:00
41.79,42.3,40.64,40.87,4028512,2016-11-14 01:00:00-05:00
41.02,41.85,40.86,41.62,4665933,2016-11-15 01:00:00-05:00
41.53,42.5425,41.47,42.06,3894110,2016-11-16 01:00:00-05:00
42.02,42.34,41.51,41.97,3639969,2016-11-17 01:00:00-05:00
41.74,42.0,41.61,41.68,2767283,2016-11-18 01:00:00-05:00
41.63,43.71,41.55,43.59,9065620,2016-11-21 01:00:00-05:00
43.73,45.65,43.59,45.26,6909046,2016-11-22 01:00:00-05:00
45.02,45.64,44.61,44.74,2990926,2016-11-23 01:00:00-05:00
44.73,45.03,44.63,44.85,1329138,2016-11-25 01:00:00-05:00
44.77,45.47,44.68,45.29,3701853,2016-11-28 01:00:00-05:00
45.27,45.74,45.08,45.28,3985490,2016-11-29 01:00:00-05:00
45.23,45.2855,44.55,44.75,3967314,2016-11-30 01:00:00-05:00
44.5,44.795,43.53,43.64,4142347,2016-12-01 01:00:00-05:00
45.0,45.0,43.44,44.44,3082777,2016-12-02 01:00:00-05:00
45.48,45.48,44.426,44.89,2609535,2016-12-05 01:00:00-05:00
44.88,44.98,43.85,44.37,2785329,2016-12-06 01:00:00-05:00
44.37,44.76,44.25,44.47,2771192,2016-12-07 01:00:00-05:00
44.37,44.525,43.0,43.05,2880045,2016-12-08 01:00:00-05:00
43.07,44.22,43.06,44.04,2528602,2016-12-09 01:00:00-05:00
43.85,44.495,43.85,44.27,1982821,2016-12-12 01:00:00-05:00
44.16,45.2,43.89,45.0,2629545,2016-12-13 01:00:00-05:00
44.99,45.1001,43.8,44.02,2034817,2016-12-14 01:00:00-05:00
43.81,44.56,43.75,44.29,1560624,2016-12-15 01:00:00-05:00
44.28,44.75,43.91,44.5,3924370,2016-12-16 01:00:00-05:00
44.4,44.5,43.69,43.87,2199317,2016-12-19 01:00:00-05:00
43.91,43.995,43.46,43.54,2551973,2016-12-20 01:00:00-05:00
45.28,45.77,44.37,45.37,4305262,2016-12-21 01:00:00-05:00
45.51,45.59,44.49,45.3,2290351,2016-12-22 01:00:00-05:00
45.05,46.02,45.03,45.57,2010752,2016-12-23 01:00:00-05:00
45.6,46.09,45.14,45.53,1724533,2016-12-27 01:00:00-05:00
45.63,45.63,44.7,44.91,1671077,2016-12-28 01:00:00-05:00
44.91,45.235,44.69,45.03,1983332,2016-12-29 01:00:00-05:00
45.1,45.19,44.11,44.34,2529547,2016-12-30 01:00:00-05:00
44.65,45.55,44.57,45.54,3442916,2017-01-03 01:00:00-05:00
45.7,46.13,45.54,46.02,2309626,2017-01-04 01:00:00-05:00
45.99,46.3,45.63,46.19,2744990,2017-01-05 01:00:00-05:00
46.15,46.3,45.35,45.62,2658946,2017-01-06 01:00:00-05:00
45.46,45.5699,44.2033,44.4,2880787,2017-01-09 01:00:00-05:00
44.25,44.49,43.385,43.5,3553283,2017-01-10 01:00:00-05:00
