open,high,low,close,volume,datetime
13.65,13.97,13.24,13.26,2748158,2016-11-03 01:00:00-04:00
13.23,13.85,13.23,13.5,1442128,2016-11-04 01:00:00-04:00
14.09,14.88,14.06,14.7,1867325,2016-11-07 01:00:00-05:00
14.42,15.27,14.26,15.16,1117173,2016-11-08 01:00:00-05:00
14.13,15.62,14.0159,15.4,1575941,2016-11-09 01:00:00-05:00
15.98,15.98,14.65,15.4,1141166,2016-11-10 01:00:00-05:00
15.37,16.035,15.17,15.95,1026491,2016-11-11 01:00:00-05:00
16.85,16.85,15.28,15.49,2044950,2016-11-14 01:00:00-05:00
15.92,15.99,15.11,15.16,1281730,2016-11-15 01:00:00-05:00
15.74,15.74,15.17,15.28,555767,2016-11-16 01:00:00-05:00
15.37,15.9,15.15,15.79,526006,2016-11-17 01:00:00-05:00
16.11,16.19,15.7001,15.92,544403,2016-11-18 01:00:00-05:00
16.0,16.33,15.77,15.79,1036480,2016-11-21 01:00:00-05:00
15.81,16.13,15.765,15.98,727556,2016-11-22 01:00:00-05:00
15.86,16.04,15.72,15.97,437348,2016-11-23 01:00:00-05:00
15.92,16.062,15.5,15.55,568242,2016-11-25 01:00:00-05:00
15.64,15.97,15.5201,15.95,596177,2016-11-28 01:00:00-05:00
15.89,16.9699,15.73,16.81,2831428,2016-11-29 01:00:00-05:00
16.15,16.9399,15.33,15.98,1937389,2016-11-30 01:00:00-05:00
15.9,16.0499,14.71,14.95,1942081,2016-12-01 01:00:00-05:00
14.95,15.22,14.57,15.11,1254836,2016-12-02 01:00:00-05:00
15.25,15.87,15.15,15.56,1018688,2016-12-05 01:00:00-05:00
15.82,15.82,15.41,15.6,560373,2016-12-06 01:00:00-05:00
15.6,16.225,15.4,16.2,743382,2016-12-07 01:00:00-05:00
16.25,16.7399,16.24,16.38,621359,2016-12-08 01:00:00-05:00
16.47,16.69,16.025,16.16,771725,2016-12-09 01:00:00-05:00
16.23,16.4899,15.7,15.93,665230,2016-12-12 01:00:00-05:00
15.95,16.27,15.61,16.18,944871,2016-12-13 01:00:00-05:00
16.2,16.25,15.75,15.82,550299,2016-12-14 01:00:00-05:00
15.83,15.925,15.47,15.61,652770,2016-12-15 01:00:00-05:00
15.51,15.78,15.31,15.62,1190790,2016-12-16 01:00:00-05:00
15.5,16.139,15.39,15.77,779725,2016-12-19 01:00:00-05:00
15.77,16.0,15.66,15.71,591795,2016-12-20 01:00:00-05:00
15.61,15.745,15.1,15.53,576510,2016-12-21 01:00:00-05:00
15.47,15.55,15.28,15.37,1016276,2016-12-22 01:00:00-05:00
15.32,15.54,15.24,15.3,536014,2016-12-23 01:00:00-05:00
15.4,15.55,15.3,15.42,406190,2016-12-27 01:00:00-05:00
15.5,15.61,15.05,15.13,557969,2016-12-28 01:00:00-05:00
15.15,15.4,15.03,15.29,555806,2016-12-29 01:00:00-05:00
15.28,15.36,14.91,15.1,782458,2016-12-30 01:00:00-05:00
15.23,15.37,14.57,15.33,1032246,2017-01-03 01:00:00-05:00
15.35,15.46,15.18,15.29,1446284,2017-01-04 01:00:00-05:00
15.2,16.2,15.0,15.99,2805244,2017-01-05 01:00:00-05:00
16.01,16.13,15.55,16.03,1059938,2017-01-06 01:00:00-05:00
16.05,16.39,16.03,16.15,1129855,2017-01-09 01:00:00-05:00
16.19,16.33,15.97,16.28,683787,2017-01-10 01:00:00-05:00
16.24,16.32,16.02,16.24,526123,2017-01-11 01:00:00-05:00
16.22,16.32,15.58,16.06,664755,2017-01-12 01:00:00-05:00
16.17,16.29,16.1,16.2,426348,2017-01-13 01:00:00-05:00
16.14,16.2,15.86,15.89,1099072,2017-01-17 01:00:00-05:00
