open,high,low,close,volume,datetime
18.07,18.32,17.735,17.78,4577636,2016-06-08 01:00:00-04:00
16.91,16.915,16.05,16.59,10766865,2016-06-09 01:00:00-04:00
16.36,16.36,14.86,14.9,9009710,2016-06-10 01:00:00-04:00
14.85,15.175,14.66,14.88,5681326,2016-06-13 01:00:00-04:00
14.8,14.89,14.09,14.23,7032790,2016-06-14 01:00:00-04:00
14.12,14.34,13.76,13.95,6757426,2016-06-15 01:00:00-04:00
13.84,14.21,13.62,13.97,8548511,2016-06-16 01:00:00-04:00
14.02,14.715,14.02,14.39,6458225,2016-06-17 01:00:00-04:00
14.44,14.72,14.24,14.25,3950390,2016-06-20 01:00:00-04:00
14.26,14.46,14.07,14.33,3314261,2016-06-21 01:00:00-04:00
14.3,14.36,13.88,14.14,4076544,2016-06-22 01:00:00-04:00
14.27,14.55,14.21,14.53,3186628,2016-06-23 01:00:00-04:00
14.17,14.35,13.87,13.99,7257901,2016-06-24 01:00:00-04:00
13.81,13.98,13.22,13.32,5504944,2016-06-27 01:00:00-04:00
13.59,14.265,13.59,14.19,6337882,2016-06-28 01:00:00-04:00
14.37,14.84,14.36,14.71,5609852,2016-06-29 01:00:00-04:00
14.75,15.01,14.31,14.99,5480139,2016-06-30 01:00:00-04:00
15.03,15.41,14.955,15.02,4415500,2016-07-01 01:00:00-04:00
14.85,14.9299,14.2,14.5,3326880,2016-07-05 01:00:00-04:00
14.4,14.705,14.32,14.63,2517166,2016-07-06 01:00:00-04:00
14.65,14.94,14.36,14.56,3597869,2016-07-07 01:00:00-04:00
14.69,15.07,14.68,15.07,3921319,2016-07-08 01:00:00-04:00
14.95,15.37,14.93,15.36,3267713,2016-07-11 01:00:00-04:00
15.49,15.97,15.49,15.78,4066095,2016-07-12 01:00:00-04:00
15.81,15.88,15.5,15.87,4365962,2016-07-13 01:00:00-04:00
15.61,16.02,15.29,15.31,5740040,2016-07-14 01:00:00-04:00
15.35,15.545,15.23,15.47,3465163,2016-07-15 01:00:00-04:00
15.47,15.54,15.35,15.53,3310945,2016-07-18 01:00:00-04:00
15.48,15.53,14.605,14.64,4485162,2016-07-19 01:00:00-04:00
14.53,14.78,14.18,14.67,5182400,2016-07-20 01:00:00-04:00
14.65,14.86,14.5,14.57,4370860,2016-07-21 01:00:00-04:00
14.62,14.89,14.52,14.79,3523385,2016-07-22 01:00:00-04:00
14.81,15.03,14.66,14.79,2851426,2016-07-25 01:00:00-04:00
14.84,15.05,14.665,14.77,2584664,2016-07-26 01:00:00-04:00
14.87,14.99,13.88,13.98,5553904,2016-07-27 01:00:00-04:00
13.97,14.175,13.8,14.09,3548879,2016-07-28 01:00:00-04:00
14.03,14.13,13.765,13.84,4590439,2016-07-29 01:00:00-04:00
13.78,13.895,13.46,13.66,4738026,2016-08-01 01:00:00-04:00
13.68,13.87,13.54,13.77,3456969,2016-08-02 01:00:00-04:00
13.8,14.54,13.66,14.14,3950898,2016-08-03 01:00:00-04:00
14.1,14.25,13.56,13.8,4995492,2016-08-04 01:00:00-04:00
13.64,13.925,13.6,13.62,3833268,2016-08-05 01:00:00-04:00
13.7,13.88,13.5,13.52,4528029,2016-08-08 01:00:00-04:00
13.51,13.82,12.75,12.83,5769223,2016-08-09 01:00:00-04:00
12.85,13.11,12.54,12.75,5298791,2016-08-10 01:00:00-04:00
12.81,13.05,12.69,12.97,3624686,2016-08-11 01:00:00-04:00
13.02,13.15,12.67,12.72,3449045,2016-08-12 01:00:00-04:00
12.77,12.87,12.55,12.61,4669123,2016-08-15 01:00:00-04:00
12.64,12.73,12.28,12.3,4576588,2016-08-16 01:00:00-04:00
12.28,12.45,12.08,12.38,5199169,2016-08-17 01:00:00-04:00
12.39,12.57,12.35,12.57,3166306,2016-08-18 01:00:00-04:00
12.51,12.51,12.2834,12.37,2549437,2016-08-19 01:00:00-04:00
12.29,12.5,12.19,12.49,3361941,2016-08-22 01:00:00-04:00
12.55,12.8,12.48,12.56,4414557,2016-08-23 01:00:00-04:00
12.55,12.62,12.14,12.2,3306928,2016-08-24 01:00:00-04:00
12.21,12.46,12.2,12.35,1913469,2016-08-25 01:00:00-04:00
12.41,12.68,12.21,12.26,3124304,2016-08-26 01:00:00-04:00
12.29,12.53,12.26,12.52,2509524,2016-08-29 01:00:00-04:00
12.54,12.63,12.16,12.19,2537075,2016-08-30 01:00:00-04:00
12.16,12.25,11.745,12.11,4021836,2016-08-31 01:00:00-04:00
12.1,12.17,11.56,11.6,4334344,2016-09-01 01:00:00-04:00
11.71,12.08,11.71,11.98,2527742,2016-09-02 01:00:00-04:00
11.98,12.24,11.84,12.15,2441183,2016-09-06 01:00:00-04:00
12.15,12.48,12.15,12.3,3561533,2016-09-07 01:00:00-04:00
12.29,12.51,12.22,12.42,5409300,2016-09-08 01:00:00-04:00
12.25,12.25,11.59,11.6,3863022,2016-09-09 01:00:00-04:00
11.79,12.05,11.57,11.98,4535137,2016-09-12 01:00:00-04:00
11.72,11.79,10.78,10.98,6640143,2016-09-13 01:00:00-04:00
10.98,11.15,10.76,10.89,6349752,2016-09-14 01:00:00-04:00
10.82,11.31,10.7,11.15,6643271,2016-09-15 01:00:00-04:00
10.98,11.3,10.86,11.26,9279516,2016-09-16 01:00:00-04:00
11.27,11.3299,11.07,11.22,3089941,2016-09-19 01:00:00-04:00
11.27,11.53,11.16,11.43,5937912,2016-09-20 01:00:00-04:00
11.54,11.98,11.5,11.88,6697764,2016-09-21 01:00:00-04:00
11.98,12.09,11.51,11.76,5600984,2016-09-22 01:00:00-04:00
11.66,11.85,11.51,11.53,5562716,2016-09-23 01:00:00-04:00
11.49,11.535,11.25,11.3,4892918,2016-09-26 01:00:00-04:00
11.26,11.31,11.03,11.19,3556134,2016-09-27 01:00:00-04:00
11.24,11.49,11.2,11.42,5284413,2016-09-28 01:00:00-04:00
11.37,11.395,11.03,11.1,4856358,2016-09-29 01:00:00-04:00
11.18,11.26,11.04,11.21,4397911,2016-09-30 01:00:00-04:00
11.32,11.62,11.04,11.28,5167998,2016-10-03 01:00:00-04:00
11.26,11.3,10.84,11.05,5934000,2016-10-04 01:00:00-04:00
11.14,11.16,10.88,10.97,4074508,2016-10-05 01:00:00-04:00
10.91,11.12,10.87,10.97,4210443,2016-10-06 01:00:00-04:00
11.08,11.18,10.97,10.98,5827502,2016-10-07 01:00:00-04:00
11.1,11.44,11.1,11.42,3755290,2016-10-10 01:00:00-04:00
11.34,11.375,10.955,11.13,5548845,2016-10-11 01:00:00-04:00
11.15,11.3,11.0,11.14,3423238,2016-10-12 01:00:00-04:00
11.07,11.34,10.865,11.27,4231727,2016-10-13 01:00:00-04:00
11.27,11.455,11.015,11.11,5277036,2016-10-14 01:00:00-04:00
11.13,11.25,10.92,10.97,3838772,2016-10-17 01:00:00-04:00
11.13,11.76,11.0,11.7,9783262,2016-10-18 01:00:00-04:00
11.75,12.12,11.49,12.1,5508898,2016-10-19 01:00:00-04:00
12.09,12.15,11.38,11.64,6933586,2016-10-20 01:00:00-04:00
11.52,11.875,11.33,11.52,6071971,2016-10-21 01:00:00-04:00
11.57,11.73,11.05,11.11,5960030,2016-10-24 01:00:00-04:00
11.11,11.18,10.81,10.95,7114954,2016-10-25 01:00:00-04:00
10.87,10.93,10.4,10.53,7669356,2016-10-26 01:00:00-04:00
10.5,10.72,10.37,10.47,5371875,2016-10-27 01:00:00-04:00
10.41,10.57,10.195,10.3,5802476,2016-10-28 01:00:00-04:00
10.37,10.8,10.37,10.63,8552893,2016-10-31 01:00:00-04:00
10.65,10.76,10.5,10.63,5105435,2016-11-01 01:00:00-04:00
10.46,10.48,9.88,9.89,8691077,2016-11-02 01:00:00-04:00
9.95,10.365,9.84,10.13,6046826,2016-11-03 01:00:00-04:00
10.78,11.67,10.73,11.03,11248588,2016-11-04 01:00:00-04:00
11.26,11.52,11.24,11.38,6461407,2016-11-07 01:00:00-05:00
11.47,11.66,11.32,11.47,6675854,2016-11-08 01:00:00-05:00
11.57,12.15,11.43,12.03,7199914,2016-11-09 01:00:00-05:00
12.1,12.1,11.06,11.07,8540717,2016-11-10 01:00:00-05:00
11.08,11.245,10.775,11.07,5899312,2016-11-11 01:00:00-05:00
11.17,11.83,11.11,11.68,5602650,2016-11-14 01:00:00-05:00
11.59,11.75,11.28,11.48,6342427,2016-11-15 01:00:00-05:00
11.43,11.43,11.02,11.19,4730157,2016-11-16 01:00:00-05:00
11.17,11.52,11.14,11.25,4539493,2016-11-17 01:00:00-05:00
11.27,11.47,11.195,11.21,2820404,2016-11-18 01:00:00-05:00
11.33,11.61,11.31,11.52,3108419,2016-11-21 01:00:00-05:00
11.41,11.45,10.89,10.91,4404020,2016-11-22 01:00:00-05:00
10.76,11.115,10.75,11.03,2868149,2016-11-23 01:00:00-05:00
11.03,11.11,10.92,10.95,1755896,2016-11-25 01:00:00-05:00
11.05,11.57,11.04,11.55,5696811,2016-11-28 01:00:00-05:00
11.52,11.64,11.215,11.31,5020611,2016-11-29 01:00:00-05:00
11.36,11.505,11.29,11.34,19546776,2016-11-30 01:00:00-05:00
11.31,11.44,11.06,11.11,9254103,2016-12-01 01:00:00-05:00
10.98,11.445,10.98,11.24,4807470,2016-12-02 01:00:00-05:00
11.32,11.75,11.06,11.71,6788485,2016-12-05 01:00:00-05:00
11.69,11.86,11.485,11.82,6877217,2016-12-06 01:00:00-05:00
11.89,12.035,11.8,11.95,7441256,2016-12-07 01:00:00-05:00
11.9,12.49,11.86,12.46,5565626,2016-12-08 01:00:00-05:00
12.5,12.89,12.37,12.86,8596151,2016-12-09 01:00:00-05:00
12.93,13.06,12.43,12.6,10262238,2016-12-12 01:00:00-05:00
12.69,12.88,12.52,12.79,7563228,2016-12-13 01:00:00-05:00
12.78,13.01,12.42,12.48,7381105,2016-12-14 01:00:00-05:00
12.42,12.6,12.1,12.58,5194011,2016-12-15 01:00:00-05:00
12.33,12.62,12.22,12.3,20156309,2016-12-16 01:00:00-05:00
12.34,12.86,12.31,12.85,6513501,2016-12-19 01:00:00-05:00
12.85,12.88,12.46,12.5,3681645,2016-12-20 01:00:00-05:00
12.55,12.7,12.33,12.37,6076005,2016-12-21 01:00:00-05:00
12.34,12.46,12.105,12.13,5885844,2016-12-22 01:00:00-05:00
12.21,12.43,12.14,12.34,3600460,2016-12-23 01:00:00-05:00
12.3,12.605,12.3,12.6,3651798,2016-12-27 01:00:00-05:00
12.66,12.7,12.42,12.43,2749111,2016-12-28 01:00:00-05:00
12.43,12.56,12.33,12.39,2640608,2016-12-29 01:00:00-05:00
12.45,12.46,12.22,12.26,3448759,2016-12-30 01:00:00-05:00
12.32,12.445,12.185,12.3,3228591,2017-01-03 01:00:00-05:00
12.32,13.07,12.3,13.03,8040905,2017-01-04 01:00:00-05:00
13.01,13.31,12.915,13.28,8121311,2017-01-05 01:00:00-05:00
13.31,13.45,12.96,13.36,8693199,2017-01-06 01:00:00-05:00
13.35,13.51,13.13,13.47,8445232,2017-01-09 01:00:00-05:00
13.43,13.71,13.24,13.62,8770640,2017-01-10 01:00:00-05:00
13.68,14.1,13.68,14.1,14526847,2017-01-11 01:00:00-05:00
14.05,14.44,13.95,14.38,7591133,2017-01-12 01:00:00-05:00
14.33,14.63,14.3,14.6,6953502,2017-01-13 01:00:00-05:00
15.45,15.92,15.05,15.34,10917987,2017-01-17 01:00:00-05:00
15.39,15.5626,15.125,15.26,6565489,2017-01-18 01:00:00-05:00
15.17,15.57,15.11,15.56,13204134,2017-01-19 01:00:00-05:00
15.68,16.41,15.66,16.11,8393893,2017-01-20 01:00:00-05:00
16.21,16.5,15.885,16.21,5812675,2017-01-23 01:00:00-05:00
16.32,16.62,16.2,16.37,6634389,2017-01-24 01:00:00-05:00
16.39,16.56,16.31,16.44,5031056,2017-01-25 01:00:00-05:00
16.46,16.64,16.33,16.46,4412747,2017-01-26 01:00:00-05:00
16.41,16.6,16.31,16.45,3317616,2017-01-27 01:00:00-05:00
16.4,16.4175,16.015,16.26,4848323,2017-01-30 01:00:00-05:00
16.18,16.575,16.18,16.54,3836708,2017-01-31 01:00:00-05:00
16.49,16.6,16.185,16.34,3379154,2017-02-01 01:00:00-05:00
16.28,16.79,16.08,16.71,6049650,2017-02-02 01:00:00-05:00
16.74,17.56,16.57,17.08,11968852,2017-02-03 01:00:00-05:00
17.12,17.21,16.39,16.7,6966277,2017-02-06 01:00:00-05:00
16.64,16.7,16.23,16.27,5060144,2017-02-07 01:00:00-05:00
16.2,16.51,16.02,16.36,4443492,2017-02-08 01:00:00-05:00
16.23,16.5,16.21,16.42,4257470,2017-02-09 01:00:00-05:00
16.5,16.66,16.32,16.66,3186988,2017-02-10 01:00:00-05:00
16.6,16.94,16.54,16.75,5709712,2017-02-13 01:00:00-05:00
16.63,16.81,16.32,16.79,6752840,2017-02-14 01:00:00-05:00
16.74,17.75,16.73,17.49,8391042,2017-02-15 01:00:00-05:00
17.49,17.49,17.09,17.11,4479008,2017-02-16 01:00:00-05:00
17.11,17.13,16.725,17.1,3986996,2017-02-17 01:00:00-05:00
16.79,17.3,16.52,17.12,3779057,2017-02-21 01:00:00-05:00
17.05,17.05,16.685,16.83,4706572,2017-02-22 01:00:00-05:00
17.01,17.28,16.94,17.04,6036009,2017-02-23 01:00:00-05:00
17.19,17.565,17.13,17.46,6467851,2017-02-24 01:00:00-05:00
17.41,17.71,16.66,16.77,9383733,2017-02-27 01:00:00-05:00
16.43,16.88,15.83,16.56,9653038,2017-02-28 01:00:00-05:00
16.86,17.1,16.7,16.85,14262167,2017-03-01 01:00:00-05:00
16.73,17.47,16.73,17.03,8078878,2017-03-02 01:00:00-05:00
17.03,17.31,16.89,17.3,4584487,2017-03-03 01:00:00-05:00
17.28,17.43,16.95,17.36,10790047,2017-03-06 01:00:00-05:00
17.49,17.66,16.95,17.1,5974710,2017-03-07 01:00:00-05:00
17.06,17.265,16.59,17.17,7587644,2017-03-08 01:00:00-05:00
17.09,17.87,17.04,17.86,7437129,2017-03-09 01:00:00-05:00
17.96,18.06,17.57,17.86,5923911,2017-03-10 01:00:00-05:00
17.87,18.06,17.27,17.33,9000158,2017-03-13 01:00:00-04:00
17.35,17.35,16.79,17.01,6336205,2017-03-14 01:00:00-04:00
17.14,17.61,17.08,17.46,8199809,2017-03-15 01:00:00-04:00
17.47,17.98,17.22,17.89,9435041,2017-03-16 01:00:00-04:00
18.0,18.56,18.0,18.06,12065082,2017-03-17 01:00:00-04:00
18.13,18.4,17.93,18.33,6020585,2017-03-20 01:00:00-04:00
18.32,18.51,18.165,18.24,3805803,2017-03-21 01:00:00-04:00
18.28,18.33,17.885,18.01,4262265,2017-03-22 01:00:00-04:00
18.03,18.265,18.0,18.14,3395969,2017-03-23 01:00:00-04:00
18.15,18.26,18.1,18.16,3132956,2017-03-24 01:00:00-04:00
18.12,18.19,17.97,18.18,2915790,2017-03-27 01:00:00-04:00
18.11,18.16,17.92,18.11,4216734,2017-03-28 01:00:00-04:00
18.68,18.945,18.45,18.73,7570506,2017-03-29 01:00:00-04:00
18.7,18.73,18.23,18.37,3167380,2017-03-30 01:00:00-04:00
18.38,18.945,18.29,18.7,4979659,2017-03-31 01:00:00-04:00
18.58,18.75,18.31,18.73,4489856,2017-04-03 01:00:00-04:00
18.74,19.065,18.63,18.88,4466351,2017-04-04 01:00:00-04:00
18.88,19.06,18.604,18.69,3784470,2017-04-05 01:00:00-04:00
18.7,18.98,18.6033,18.9,5780218,2017-04-06 01:00:00-04:00
18.92,18.97,18.465,18.51,3658535,2017-04-07 01:00:00-04:00
18.51,18.88,18.51,18.76,2997605,2017-04-10 01:00:00-04:00
18.69,18.775,18.49,18.71,2695512,2017-04-11 01:00:00-04:00
18.66,18.8,18.445,18.73,3962870,2017-04-12 01:00:00-04:00
18.75,18.79,18.35,18.39,2724041,2017-04-13 01:00:00-04:00
18.38,18.475,18.3279,18.45,2724730,2017-04-17 01:00:00-04:00
18.39,18.545,18.32,18.44,3685515,2017-04-18 01:00:00-04:00
18.47,18.65,17.86,17.88,4801137,2017-04-19 01:00:00-04:00
18.01,18.02,17.2,17.24,6910424,2017-04-20 01:00:00-04:00
17.26,17.35,16.76,17.07,6418669,2017-04-21 01:00:00-04:00
17.15,17.475,17.06,17.3,4138793,2017-04-24 01:00:00-04:00
17.07,17.17,16.84,17.01,4951192,2017-04-25 01:00:00-04:00
17.03,17.41,16.935,17.28,8660718,2017-04-26 01:00:00-04:00
17.18,17.305,16.79,16.84,3956287,2017-04-27 01:00:00-04:00
16.92,17.22,16.795,16.9,4055217,2017-04-28 01:00:00-04:00
16.7,16.92,16.63,16.67,5518193,2017-05-01 01:00:00-04:00
16.27,16.78,15.55,15.77,10206382,2017-05-02 01:00:00-04:00
