open,high,low,close,volume,datetime
46.34,46.51,45.8,46.18,5865431,2016-06-08 01:00:00-04:00
46.02,47.45,45.92,47.38,11804167,2016-06-09 01:00:00-04:00
46.82,47.24,46.14,46.2,10000592,2016-06-10 01:00:00-04:00
46.25,47.6986,46.25,46.79,11889674,2016-06-13 01:00:00-04:00
46.68,47.1,46.155,46.88,7458639,2016-06-14 01:00:00-04:00
47.27,47.77,46.75,47.36,7525868,2016-06-15 01:00:00-04:00
47.01,47.63,46.551,47.55,6161428,2016-06-16 01:00:00-04:00
47.61,47.62,46.53,46.72,11775048,2016-06-17 01:00:00-04:00
47.47,48.17,47.44,47.56,7344230,2016-06-20 01:00:00-04:00
47.76,47.89,47.2,47.27,5312661,2016-06-21 01:00:00-04:00
47.37,47.68,47.15,47.23,5065516,2016-06-22 01:00:00-04:00
47.68,48.54,47.65,48.49,7446994,2016-06-23 01:00:00-04:00
46.5,47.36,45.3,45.73,25442111,2016-06-24 01:00:00-04:00
45.35,45.7,44.57,45.24,11258487,2016-06-27 01:00:00-04:00
46.1,46.1499,45.27,45.9,9547980,2016-06-28 01:00:00-04:00
46.3,47.01,46.18,46.65,7973264,2016-06-29 01:00:00-04:00
46.73,47.3,46.35,47.01,10773475,2016-06-30 01:00:00-04:00
46.75,47.36,46.5,46.66,5462198,2016-07-01 01:00:00-04:00
46.4,47.43,46.03,47.35,9277061,2016-07-05 01:00:00-04:00
47.02,47.925,46.78,47.65,6827594,2016-07-06 01:00:00-04:00
47.97,49.06,47.75,48.89,9884992,2016-07-07 01:00:00-04:00
49.41,51.091,49.22,50.85,12048273,2016-07-08 01:00:00-04:00
51.58,52.4,51.52,52.02,11219437,2016-07-11 01:00:00-04:00
52.6,53.28,51.94,52.8,10919045,2016-07-12 01:00:00-04:00
52.9,53.2,52.7,52.78,8115130,2016-07-13 01:00:00-04:00
53.06,53.8,52.62,53.32,7922283,2016-07-14 01:00:00-04:00
52.64,52.935,51.841,52.7,10715357,2016-07-15 01:00:00-04:00
53.35,53.43,52.77,52.97,6324838,2016-07-18 01:00:00-04:00
52.94,53.7293,52.84,53.52,9566250,2016-07-19 01:00:00-04:00
53.7,54.505,53.48,54.22,7411502,2016-07-20 01:00:00-04:00
54.1,54.27,53.04,53.22,9032697,2016-07-21 01:00:00-04:00
53.41,54.67,53.02,54.67,7894165,2016-07-22 01:00:00-04:00
55.0,55.81,54.76,55.68,7813211,2016-07-25 01:00:00-04:00
56.17,56.92,56.09,56.63,12862739,2016-07-26 01:00:00-04:00
57.12,57.22,55.72,56.06,11166886,2016-07-27 01:00:00-04:00
56.19,56.6,56.0137,56.18,5547934,2016-07-28 01:00:00-04:00
56.39,57.25,55.38,57.1,10239664,2016-07-29 01:00:00-04:00
57.34,57.55,56.36,56.73,7527970,2016-08-01 01:00:00-04:00
57.0,57.03,55.5,56.04,7068720,2016-08-02 01:00:00-04:00
55.97,56.3,55.66,56.19,7495709,2016-08-03 01:00:00-04:00
