open,high,low,close,volume,datetime
1730.0,1749.99,1716.0,1745.0,18374,2016-06-08 01:00:00-04:00
1742.0,1749.9999,1729.715,1738.1,15144,2016-06-09 01:00:00-04:00
1730.32,1736.0,1713.0,1721.77,17119,2016-06-10 01:00:00-04:00
1715.35,1733.385,1704.0,1715.55,22452,2016-06-13 01:00:00-04:00
1717.0,1720.0,1690.0,1705.64,35152,2016-06-14 01:00:00-04:00
1718.98,1718.98,1688.1,1708.0,27078,2016-06-15 01:00:00-04:00
1703.0,1724.08,1696.53,1722.66,15803,2016-06-16 01:00:00-04:00
1720.0,1734.95,1704.11,1705.0,34581,2016-06-17 01:00:00-04:00
1715.0,1728.0,1711.035,1726.98,20311,2016-06-20 01:00:00-04:00
1735.0,1735.0,1706.75,1723.96,18285,2016-06-21 01:00:00-04:00
1722.75,1728.67,1697.5,1703.13,19557,2016-06-22 01:00:00-04:00
1708.0,1727.62,1701.0001,1727.62,23615,2016-06-23 01:00:00-04:00
1690.01,1714.38,1675.7273,1695.62,37431,2016-06-24 01:00:00-04:00
1681.0,1692.24,1662.0,1675.07,60307,2016-06-27 01:00:00-04:00
1690.85,1705.49,1671.0,1684.0,43936,2016-06-28 01:00:00-04:00
1698.85,1745.1,1690.14,1734.0,29433,2016-06-29 01:00:00-04:00
1735.74,1789.49,1721.01,1780.34,38418,2016-06-30 01:00:00-04:00
1779.95,1798.3,1768.0,1782.83,21707,2016-07-01 01:00:00-04:00
1778.0,1785.41,1761.01,1770.0,19677,2016-07-05 01:00:00-04:00
1770.0,1793.8,1758.0,1790.0,18243,2016-07-06 01:00:00-04:00
1795.56,1799.65,1776.0105,1788.2,15865,2016-07-07 01:00:00-04:00
1761.72,1845.3731,1761.72,1830.0,31417,2016-07-08 01:00:00-04:00
1835.2,1845.0,1820.98,1820.98,27038,2016-07-11 01:00:00-04:00
1826.05,1830.3,1793.43,1803.57,30077,2016-07-12 01:00:00-04:00
