open,high,low,close,volume,datetime
115.98,117.78,115.98,116.6,532706,2016-06-08 01:00:00-04:00
115.66,116.14,115.18,115.36,916102,2016-06-09 01:00:00-04:00
113.99,114.375,112.22,112.7,1419127,2016-06-10 01:00:00-04:00
111.64,112.94,111.22,111.57,1036753,2016-06-13 01:00:00-04:00
111.13,112.28,110.36,111.89,973038,2016-06-14 01:00:00-04:00
112.38,112.52,111.33,111.62,1049340,2016-06-15 01:00:00-04:00
110.94,111.79,109.375,111.51,826388,2016-06-16 01:00:00-04:00
111.74,112.65,111.25,112.18,924214,2016-06-17 01:00:00-04:00
113.84,115.31,113.46,113.78,900178,2016-06-20 01:00:00-04:00
113.85,113.85,113.03,113.39,810093,2016-06-21 01:00:00-04:00
113.79,114.33,112.96,113.01,773922,2016-06-22 01:00:00-04:00
114.39,115.0699,113.7,114.01,966461,2016-06-23 01:00:00-04:00
110.11,110.89,105.67,105.91,3493836,2016-06-24 01:00:00-04:00
103.81,103.95,99.1,100.53,2398433,2016-06-27 01:00:00-04:00
101.63,102.48,101.15,102.4,1643561,2016-06-28 01:00:00-04:00
103.78,104.33,102.49,104.06,1291800,2016-06-29 01:00:00-04:00
104.7,108.05,104.24,108.05,2208667,2016-06-30 01:00:00-04:00
108.33,110.565,108.24,109.34,1592782,2016-07-01 01:00:00-04:00
108.55,109.11,106.14,107.07,1469390,2016-07-05 01:00:00-04:00
106.85,108.56,105.0,108.39,1862357,2016-07-06 01:00:00-04:00
108.45,109.56,107.46,108.22,1900958,2016-07-07 01:00:00-04:00
109.68,111.39,109.275,111.33,1152930,2016-07-08 01:00:00-04:00
111.4,112.35,111.01,111.89,617605,2016-07-11 01:00:00-04:00
112.83,113.47,111.995,113.25,1054043,2016-07-12 01:00:00-04:00
113.84,113.89,112.0,113.08,850279,2016-07-13 01:00:00-04:00
114.52,114.67,113.57,113.82,770224,2016-07-14 01:00:00-04:00
114.29,114.56,113.47,113.68,653976,2016-07-15 01:00:00-04:00
113.33,113.65,112.26,113.1,569655,2016-07-18 01:00:00-04:00
112.52,113.08,112.16,112.44,649307,2016-07-19 01:00:00-04:00
